"","Table 5U# BEA Retail and Food Service Sales                     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1992 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 23, 2014 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/22/2014 1:41:25 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","S1 EN04472AMA       Retail and food services","T050010",2092794,2242470,2424695,2553976,2703048,2839430,2970172,3210152,3415853,3516024,3597913,3758057,3993331,4256291,4486061,4631752,4577449,4252161,4488780,4811430,5052754,5265437
"9","2","S1 EN44ZZZZMA Retail trade","T050020",1878301,2014484,2186684,2307183,2447103,2566734,2682906,2909652,3094584,3180581,3248065,3388024,3599145,3836444,4037605,4159486,4093434,3772619,3994037,4290390,4501374,4697311
"10","3","S1 EN441ZZZMA   Motor vehicle and parts dealers","T050030",431240,489140,559683,600550,646903,676668,712005,789614,821491,842884,845440,869552,894463,918560,935496,941504,810353,698375,777267,852348,929039,1014691
"11","4","S4 EN4411ZZMA     Automobile dealers","T050040",369094,420703,484040,519357,560149,583983,613410,683436,708757,730679,728858,745027,761343,777833,789491,792960,669952,573553,650829,719416,790229,871837
"12","5","S4 EN4412ZZMA     Other motor vehicle dealers","T050050",18767,21913,24448,27189,29198,31861,36259,41054,46798,48742,51571,57633,63618,67454,70162,70482,61099,47391,45248,46716,52209,57223
"13","6","S2 EN4413ZZMA     Automotive parts, accessories and tire stores","T050060",43380,46524,51196,54004,57556,60824,62336,65124,65936,63463,65011,66891,69502,73273,75843,78062,79302,77432,81189,86216,86601,85630
"14","7","S1 EN44DZZZMA   Furniture, home furnishings, electronics and appliance stores","T050070",100474,110204,124383,136190,144200,151525,161230,172811,183795,181789,189069,193965,210330,224435,236677,237321,223751,197591,200036,204384,211165,216681
"15","8","S1 EN442ZZZMA     Furniture and home furnishings stores","T050080",55005,58374,63491,66907,71086,76531,81507,88586,96042,96336,99464,102129,109448,115607,120188,118095,105811,91658,92881,95516,100502,103986
"16","9","S4 EN4421ZZMA       Furniture Stores","T050090",33354,35252,37571,39226,41417,44371,46804,49803,53605,53606,54458,55044,59229,62523,64403,63292,56389,49313,50403,51405,53851,54292
"17","10","S4 EN4422ZZMA       Home furnishings stores","T050100",21651,23122,25920,27681,29669,32160,34703,38783,42436,42731,45006,47085,50218,53084,55785,54802,49422,42345,42478,44112,46652,49693
"18","11","S1 EN443ZZZMA     Electronics and appliance stores","T050110",45470,51830,60892,69283,73114,74995,79723,84225,87753,85453,89605,91836,100883,108828,116488,119226,117940,105933,107155,108867,110663,112695
"19","12","S1 EN444ZZZMA   Building material and garden equipment and supplies dealers","T050120",137515,148424,165395,173898,185284,201161,213092,230088,241861,251221,261251,278000,311602,339464,354275,339927,321947,283494,285093,296457,312882,330680
"20","13","S2 EN4441ZZMA     Building material and supplies dealers","T050130",116313,127240,142742,149580,158367,171307,182025,198702,209150,218598,229064,244825,276754,304362,318550,301850,280867,245924,244510,252068,263636,277058
"21","14","S3 EN4442ZZMA     Lawn and garden equipment and supplies stores","T050140",21203,21183,22654,24318,26918,29854,31067,31386,32711,32623,32186,33175,34848,35102,35725,38078,41080,37570,40583,44389,49246,53622
"22","15","S1 EN445ZZZMA   Food and beverage stores","T050150",380103,384996,394288,400804,410647,419555,426488,443908,454191,473577,476025,485455,501982,521936,541066,563414,584167,584643,596596,626166,646133,665532
"23","16","S1 EN4451ZZMA     Grocery stores","T050160",345654,350376,359072,365364,373640,381197,386524,402871,410219,427368,429010,437031,450705,468907,484981,504363,523101,523006,533158,560503,577145,592537
"24","17","S3 EN4452ZZMA     Specialty food stores","T050170",11625,11870,11918,12190,12579,12966,13203,13179,13965,14925,15400,16183,17256,17542,17834,18684,19169,18951,19484,20439,21544,22705
"25","18","S2 EN4453ZZMA     Beer, wine, liquor stores","T050180",22823,22749,23299,23250,24429,25393,26761,27859,30008,31283,31615,32241,34020,35487,38251,40368,41898,42686,43954,45225,47444,50290
"26","19","S1 EN448ZZZMA   Clothing and clothing accessories stores","T050190",125944,131396,135572,138334,144081,147816,157058,167906,176242,176750,181629,188817,200057,211714,225172,233747,229146,216423,225827,241744,254231,262824
"27","20","S2 EN4481ZZMA     Clothing stores","T050200",89595,93151,94980,95859,99028,103213,109958,117938,124248,126097,129734,135731,144427,153548,163162,170763,167239,160435,167646,177802,187449,191897
"28","21","S2 EN4482ZZMA     Shoe stores","T050210",19399,19800,20713,21186,22127,22377,23196,23675,23790,23846,24225,24475,24960,26668,28277,28300,28147,26473,27917,29641,31145,31722
"29","22","S3 EN4483ZZMA     Jewelry, luggage, and leather goods stores","T050220",16949,18446,19879,21290,22927,22227,23905,26293,28204,26807,27670,28611,30670,31497,33733,34684,33759,29514,30264,34301,35638,39205
"30","23","S1 EN452ZZZMA   General merchandise stores","T050230",262073,281832,301157,317254,331918,350229,370401,400581,424915,451389,471439,494350,521993,558229,586248,612711,630808,624061,640222,663011,681664,687565
"31","24","S1 EN4521ZZMA     Department stores","T050240",187876,199415,210372,217381,223098,232433,235579,242805,244346,241501,233572,226318,227194,229379,227227,223541,212226,199840,198573,197643,191283,183906
"32","25","S2 EN4529ZZMA     Other general merchandise stores","T050250",74197,82417,90785,99873,108820,117796,134822,157777,180569,209888,237867,268031,294799,328850,359020,389171,418582,424221,441649,465368,490382,503659
"33","26","S1 EN44EZZZMA   Other retail stores","T050260",440952,468492,506205,540154,584068,619779,642631,704744,792089,802970,823212,877886,958719,1062105,1158672,1230860,1293263,1168032,1268997,1406279,1466259,1519338
"34","27","S1 EN446ZZZMA     Health and personal care stores","T050270",91250,94380,98327,103879,111425,121131,132245,145479,158319,170050,183677,195876,202263,214158,227701,241283,250154,257260,264438,276225,278711,285129
