"","Table 5#7#6BU# Change in Real Private Inventories by Industry   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1","[Millions of chained (2009) dollars; seasonally adjusted at annual rates]                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 23, 2014 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/22/2014 1:24:05 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","    Nonfarm industries","KCNF0",80451,76372,77679,67128,-45837,25489,22426,62446,63863,75379,36514,-34967,-145966,65860,36639,65940,55216
"9","2","Mining, utilities, and construction","KCCMU0",2590,9184,-2046,-2969,11387,-4076,7657,1319,3233,16052,-3096,-6656,-2584,1416,-4360,5637,-1584
"10","3","Manufacturing industries","KC300",26429,19808,17981,8825,-29327,-1086,-8924,6468,22838,19024,17538,-17880,-26262,22094,21248,10608,7337
"11",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","    Durable goods industries","KC30D0",16237,18891,7561,7411,-22933,-3898,-5702,4261,17808,12689,12643,-5179,-24059,16830,20345,14270,11330
"13","5","      Wood product manufacturing","KC3210",414,576,758,203,-607,507,-137,818,834,-67,-731,-1604,-1964,542,322,255,710
"14","6","      Nonmetallic mineral product manufacturing","KC3270",267,-59,346,188,-682,323,-170,363,111,598,399,-544,-1996,-19,284,-40,220
"15","7","      Primary metal manufacturing","KC3310",641,2097,395,-825,-3047,232,-2535,3168,1831,1451,134,-1440,-6594,1935,2840,694,57
"16","8","      Fabricated metal product manufacturing","KC3320",1764,1184,992,1074,-1635,409,-826,-135,2586,1831,850,-569,-4432,532,2489,769,1053
"17","9","      Machinery manufacturing","KC3330",1878,1453,120,3213,-5487,-56,-2284,-66,2935,3003,825,129,-4712,2199,5074,3778,-669
"18","10","      Computer and electronic product manufacturing","KC3340",5648,318,3222,8825,-6432,-3283,1593,2180,2892,265,1247,3765,-338,1281,2622,809,1774
"19","11","      Electrical equipment, appliance, and component manufacturing","KC3350",651,553,-40,1091,-1297,-260,-583,-387,18,783,765,-138,-1920,163,558,413,63
"20","12","      Transportation equipment manufacturing","KC3360",1646,13136,-659,-11209,-1972,-1011,-2358,-1848,4627,4087,9039,-4625,-1204,8790,6208,8036,8185
"21","13","        Motor vehicle and parts manufacturing","KC3MV0",656,735,1828,-281,-2987,1401,690,106,794,627,-993,-3473,-2038,1743,1709,891,-784
"22","14","        Other transportation equipment manufacturing","KC3OT0",981,12456,-2497,-10909,1016,-2403,-3013,-1937,3823,3451,10071,-1106,834,7048,4497,7166,8989
"23","15","      Furniture and related product manufacturing","KC3370",169,125,389,318,-507,500,-435,280,347,23,-131,-697,-869,-35,-207,77,-265
"24","16","      Miscellaneous durable goods manufacturing","KC3390",294,519,802,1159,-117,75,949,-143,1538,854,324,591,-30,1452,-11,-461,400
"25","17","    Nondurable goods industries","KC30N0",9890,-850,10979,993,-5332,3352,-3149,2156,4826,6281,4925,-12465,-2203,5506,1791,-2583,-3066
"26","18","      Food manufacturing","KC3110",1122,-464,1837,668,-604,1238,-863,-1026,1584,247,-555,324,1566,-457,-402,-648,-1778
"27","19","      Beverage and tobacco product manufacturing","KC3120",864,-37,-225,-41,698,92,-234,-100,414,25,-370,-169,1199,-180,291,675,280
"28","20","      Textile mills","KC3130",18,71,196,-492,-471,-248,-151,-67,-68,-154,-153,-372,-645,124,-52,-142,65
"29","21","      Textile product mills","KC3140",285,-225,353,440,189,-1016,135,-6,210,20,-90,-105,-584,306,-153,-7,43
"30","22","      Apparel manufacturing","KC3150",550,-5,773,-392,-2122,94,18,-281,-155,5,-199,-319,-415,-32,36,162,332
"31","23","      Leather and allied product manufacturing","KC3160",55,11,4,-123,-190,-135,-57,-5,58,135,-36,1,-78,54,75,94,-66
"32","24","      Paper manufacturing","KC3220",681,-605,1154,-719,-69,1475,-850,96,-30,68,92,-659,-1154,-69,25,-443,-452
"33","25","      Printing and related support activities","KC3230",241,-613,705,-362,-314,480,-350,31,-29,111,489,-751,-528,49,-207,-66,111
"34","26","      Petroleum and coal product manufacturing","KC3240",2293,-1401,141,-89,1502,-1128,-27,1112,1131,1102,3472,-3667,3638,-67,688,-342,-778
"35","27","      Chemical manufacturing","KC3250",3596,1451,4276,2467,-2359,1436,-298,2434,1480,3510,1074,-5087,-3384,5118,835,-1789,-532
"36","28","      Plastics and rubber product manufacturing","KC3260",714,741,1182,-8,-839,664,-258,372,264,1225,451,-1502,-1818,914,503,7,21
"37",NA,"  By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","29","    Materials and supplies","KC30M0",12461,4470,9934,6678,-11815,-2307,-5612,5183,6974,6351,2145,-5102,-12392,1410,6351,3069,-862
"39","30","      Durable goods industries","KC30DM0",8958,4789,5820,8616,-9753,-2903,-3602,4850,5572,5181,2620,-979,-12097,1796,7017,3973,723
"40","31","      Nondurable goods industries","KC30NM0",2959,-881,4051,-2850,-1518,860,-1957,165,1319,1115,-456,-4047,-295,-336,-320,-628,-1435
"41","32","    Work-in-process","KC30W0",3957,8389,304,-5510,-10688,317,-735,-2334,8116,4136,13518,-4112,-3048,12707,9555,5159,7967
"42","33","      Durable goods industries","KC30DW0",1430,8649,-1232,-5474,-9009,-329,-724,-2706,7053,2109,9851,-1504,-2998,12601,8922,7002,8532
"43","34","      Nondurable goods industries","KC30NW0",2914,-929,1903,258,-1426,762,17,477,999,2053,3645,-2526,-50,335,865,-1370,-188
"44","35","    Finished goods","KC30F0",10145,6814,7989,8029,-6731,853,-2666,3718,7733,8556,1958,-8663,-10822,8104,5433,2452,456
"45","36","      Durable goods industries","KC30DF0",5836,5429,3059,4462,-4181,-716,-1427,2186,5185,5417,176,-2714,-8964,2482,4390,3319,2157
