"","Table 4#2#4# Price Indexes for Exports and Imports of Goods and ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Index numbers, 2005=100]; Seasonally adjusted                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1967 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 22, 2011 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2011 10:22:42 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3
"9","1","    Exports of goods and services","B020RG3",31.049,31.008,30.976,31.148,31.375,32.021,31.634,31.861,32.345,32.4,32.844
"10","2","Exports of goods \1\","B253RG3",35.978,35.811,35.658,35.795,35.965,36.874,36.198,36.424,37.056,36.95,37.466
"11","3","  Foods, feeds, and beverages","B638RG3",32.879,32.881,32.475,31.794,32.147,32.42,31.379,31.088,32.017,31.94,31.81
"12","4","  Industrial supplies and materials","B639RG3",20.727,20.594,20.393,20.278,20.37,20.002,19.618,19.631,19.847,19.859,20.187
"13","5","    Durable goods","B686RG3",19.624,19.49,19.288,19.211,19.258,18.931,18.551,18.566,18.784,18.799,19.124
"14","6","    Nondurable goods","B687RG3",21.109,20.978,20.781,20.645,20.763,20.376,19.995,20.006,20.216,20.226,20.55
"15","7","  Capital goods, except automotive","B640RG3",70.417,69.805,70.049,71.78,72.022,78.882,76.907,78.303,80.02,79.202,79.877
"16","8","    Civilian aircraft, engines, and parts","B688RG3",15.512,15.612,15.709,15.811,15.963,16.113,16.212,16.363,16.513,16.667,16.865
"17","9","    Computers, peripherals, and parts","B850RG3",8285.125,8367.063,8349.435,8288.194,8210.908,8310.885,8306.532,8432.679,8380.955,8242.292,8159.333
"18","10","    Other","B689RG3",45.557,45.061,45.221,46.528,46.684,51.938,50.296,51.289,52.617,51.971,52.47
"19","11","  Automotive vehicles, engines, and parts","B641RG3",19.223,19.384,19.384,19.544,19.544,19.625,19.225,19.631,19.958,20.203,20.847
"20","12","  Consumer goods, except automotive","B642RG3",29.713,29.711,29.712,29.708,29.852,29.548,30.982,30.576,31.057,30.309,31.587
"21","13","    Durable goods","B690RG3",25.158,25.151,25.136,25.116,25.831,24.264,24.514,26.517,26.479,25.656,26.116
"22","14","    Nondurable goods","B691RG3",35.109,35.11,35.124,35.133,34.698,35.693,38.423,35.425,36.458,35.755,37.954
"23","15","  Other","B643RG3",22.529,22.361,22.268,22.427,22.502,22.86,22.441,22.539,22.676,22.972,23.172
"24","16","Exports of services \1\","B646RG3",21.604,21.784,21.967,22.196,22.515,22.683,22.812,23.032,23.25,23.581,23.89
"25","17","  Transfers under U.S. military agency sales contracts","B267RG3",30.004,30.367,30.691,30.988,31.395,31.694,31.791,32.367,33.363,33.912,34.304
"26","18","  Travel","B493RG3",18.134,18.216,18.379,18.543,18.706,19.033,19.278,19.441,19.686,20.013,20.34
"27","19","  Passenger fares","B533RG3",22.314,22.407,22.5,22.5,22.403,22.542,22.542,22.542,22.566,22.705,22.845
"28","20","  Other transportation","B683RG3",25.851,26.028,26.209,26.387,27.098,26.896,26.686,26.473,25.45,25.76,26.034
"29","21","  Royalties and license fees","B684RG3",18.226,18.354,18.52,18.728,19.011,19.198,19.445,19.694,19.899,20.136,20.412
"30","22","  Other private services","B720RG3",24.79,24.925,25.145,25.42,25.817,26.07,26.39,26.756,27.048,27.406,27.796
"31","23","  Other","B980RG3",20.947,21.175,21.271,21.755,21.839,22.138,22.564,22.949,23.662,24.095,24.618
"32","24","    Imports of goods and services","B021RG3",21.413,21.359,21.366,21.379,21.521,21.684,21.728,21.883,21.975,22.07,22.23
"33","25","Imports of goods \1\","B255RG3",21.831,21.747,21.747,21.753,21.902,22.068,22.048,22.23,22.364,22.451,22.579
"34","26","  Foods, feeds, and beverages","B647RG3",24.781,24.622,24.781,24.859,24.778,24.939,25.181,25.427,25.833,25.996,26.076
"35","27","  Industrial supplies and materials, except petroleum and products","B649RG3",19.207,19.206,19.204,19.202,19.475,19.519,19.51,19.513,19.84,19.841,19.829
"36","28","    Durable goods","B820RG3",18.634,18.633,18.631,18.627,18.885,18.952,18.939,18.942,19.283,19.284,19.265
