"","Table 1#1#8# Contributions to Percent Change in the Gross Domest","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"11","2","Personal consumption expenditures","DPCERJ2",2.79,2.91,2.66,2.14,3.34,6.41,5.26,3.47,4.09,4.38,5.5,6.67,5.6,3.48,2.76,2.43,2.09,1.57,2.32,2.6,2.84,3,2.39,1.95,1.47,1.39,1.48,1.46,1.25,0.64,1.09,1.7,1.32,0.95,1.42,1.82,2.07,1.9,1.88,2.27,0.15,1.25,1.75
"12","3","  Goods","DGDSRJ2",1.21,1.18,0.93,0.78,1.8,3.71,2.44,1.18,1.6,1.8,2.72,3.19,2.12,0.77,0.5,0.52,0.44,-0.13,0.86,0.7,1,1.06,0.62,0.3,0.22,0.25,0.23,0.27,-0.03,-0.37,0.13,0.49,-0.02,-0.26,-0.02,0.37,0.52,0.35,0.32,0.73,-0.61,0.36,0.9
"13","4","    Durable goods","DDURRJ2",0.26,0.2,0.31,0.1,0.14,0.6,0.78,0.49,0.42,0.53,0.61,0.74,0.54,0.31,0.16,0.13,0.09,0.1,0.27,0.16,0.17,0.09,0.12,0.06,0.08,0.16,0.06,-0.09,-0.19,-0.25,-0.25,-0.17,-0.19,-0.24,-0.34,-0.18,-0.1,-0.15,-0.17,-0.15,-0.14,-0.13,-0.07
"14","5","    Nondurable goods","DNDGRJ2",0.95,0.99,0.62,0.68,1.65,3.1,1.67,0.69,1.17,1.27,2.11,2.45,1.58,0.46,0.34,0.39,0.34,-0.23,0.59,0.54,0.84,0.97,0.5,0.25,0.13,0.09,0.17,0.36,0.16,-0.11,0.38,0.66,0.16,-0.01,0.32,0.55,0.62,0.5,0.49,0.88,-0.47,0.49,0.98
"15","6","  Services","DSERRJ2",1.57,1.72,1.73,1.36,1.55,2.71,2.82,2.28,2.49,2.58,2.78,3.48,3.48,2.71,2.26,1.91,1.66,1.7,1.46,1.9,1.84,1.94,1.77,1.65,1.26,1.13,1.25,1.19,1.28,1.01,0.96,1.2,1.34,1.21,1.44,1.45,1.55,1.55,1.57,1.54,0.75,0.89,0.84
"16","7","Gross private domestic investment","A006RJ2",0.75,0.65,0.76,0.68,0.93,1.69,1.87,0.83,1.26,1.5,1.73,1.72,1.68,0.88,-0.04,0.12,0.19,0.37,0.32,0.38,0.39,0.3,0.2,-0.05,0.16,0.19,0.18,-0.07,-0.06,-0.19,-0.02,0.19,0.15,0.07,0.18,0.55,0.77,0.74,0.33,0.17,-0.13,-0.18,0.2
"17","8","  Fixed investment","A007RJ2",0.73,0.64,0.74,0.67,0.9,1.58,1.86,0.85,1.24,1.45,1.65,1.69,1.62,0.93,-0.03,0.1,0.22,0.4,0.3,0.41,0.38,0.31,0.21,-0.04,0.16,0.19,0.17,-0.04,-0.04,-0.15,-0.01,0.2,0.15,0.07,0.19,0.54,0.76,0.73,0.32,0.18,-0.16,-0.17,0.15
"18","9","    Nonresidential","A008RJ2",0.43,0.5,0.49,0.35,0.42,1.08,1.48,0.59,0.74,0.79,1.03,1.15,1.27,0.73,-0.11,-0.03,0.1,0.21,0.1,0.25,0.23,0.21,0.16,-0.08,0,0.05,0.02,-0.13,-0.15,-0.27,-0.18,0.01,-0.06,-0.05,-0.05,0.15,0.34,0.37,0.25,0.23,-0.06,-0.16,0.13
"19","10","      Structures","B009RJ2",0.25,0.25,0.29,0.27,0.3,0.55,0.46,0.18,0.31,0.37,0.5,0.44,0.69,0.42,-0.13,0.04,0.11,0.08,0.06,0.15,0.14,0.11,0.06,0,0.08,0.09,0.12,0.07,0.11,0.14,0.09,0.12,0.17,0.12,0.09,0.19,0.34,0.37,0.21,0.19,-0.1,-0.03,0.12
"20","11","      Equipment and software","B010RJ2",0.19,0.25,0.19,0.08,0.12,0.53,1.02,0.41,0.43,0.42,0.53,0.71,0.59,0.31,0.02,-0.07,-0.01,0.12,0.04,0.09,0.09,0.1,0.1,-0.08,-0.07,-0.04,-0.09,-0.2,-0.26,-0.41,-0.28,-0.12,-0.22,-0.17,-0.14,-0.04,0.01,0,0.04,0.04,0.03,-0.12,0.01
"21","12","    Residential","A011RJ2",0.29,0.14,0.26,0.32,0.48,0.51,0.38,0.27,0.49,0.67,0.62,0.53,0.34,0.19,0.09,0.13,0.12,0.19,0.2,0.17,0.15,0.1,0.05,0.04,0.15,0.14,0.15,0.09,0.11,0.11,0.17,0.2,0.21,0.12,0.23,0.39,0.42,0.36,0.07,-0.05,-0.1,-0.01,0.03
"22","13","  Change in private inventories","A014RJ2",0.02,0.01,0.02,0.01,0.03,0.11,0.01,-0.02,0.02,0.04,0.08,0.03,0.06,-0.05,-0.02,0.03,-0.03,-0.03,0.02,-0.04,0.01,-0.01,-0.01,-0.01,0,0,0,-0.02,-0.02,-0.04,-0.01,-0.01,0,0,-0.01,0.01,0.01,0.01,0.01,-0.01,0.03,-0.01,0.04
"23","14","Net exports of goods and services","A019RJ2",0.04,-0.1,-0.12,-0.14,-0.24,-1.15,0.19,0.04,-0.42,-0.15,-0.56,-1.4,0.17,0.39,0.4,0.16,0.11,-0.11,-0.44,-0.09,-0.09,-0.25,0.22,-0.05,0.08,0.01,-0.08,0.07,0.25,0.45,-0.14,-0.41,0.31,0.11,-0.27,-0.35,-0.59,-0.31,-0.21,-1.2,1.13,-0.38,-0.47
"24","15","  Exports","A020RJ2",0.18,0.21,0.21,0.26,0.8,1.67,0.86,0.28,0.33,0.49,1.01,0.96,0.74,0.04,0.03,0.07,-0.23,-0.11,0.19,0.42,0.15,0.06,0.13,-0.04,0,0.11,0.24,-0.15,-0.2,-0.26,-0.07,0.19,-0.04,-0.04,0.2,0.34,0.36,0.37,0.38,0.58,-0.67,0.52,0.82
"25","16","    Goods","A253RJ2",0.12,0.18,0.11,0.11,0.73,1.48,0.74,0.17,0.23,0.36,0.87,0.73,0.56,-0.08,-0.05,0.05,-0.29,-0.17,0.14,0.37,0.09,-0.07,-0.01,-0.12,-0.04,0.08,0.18,-0.21,-0.23,-0.26,-0.1,0.1,-0.05,-0.05,0.13,0.24,0.22,0.25,0.27,0.43,-0.59,0.4,0.67
"26","17","    Services","A646RJ2",0.06,0.03,0.1,0.15,0.07,0.19,0.12,0.11,0.1,0.13,0.14,0.23,0.18,0.13,0.08,0.02,0.05,0.06,0.05,0.05,0.06,0.13,0.14,0.07,0.04,0.04,0.06,0.06,0.03,0,0.04,0.09,0,0.01,0.07,0.1,0.14,0.12,0.11,0.15,-0.08,0.12,0.15
"27","18","  Imports","A021RJ2",-0.13,-0.31,-0.33,-0.4,-1.04,-2.82,-0.67,-0.24,-0.75,-0.64,-1.57,-2.36,-0.57,0.34,0.36,0.09,0.34,0,-0.62,-0.51,-0.24,-0.31,0.09,-0.01,0.08,-0.1,-0.32,0.22,0.45,0.71,-0.08,-0.6,0.36,0.15,-0.47,-0.69,-0.95,-0.67,-0.59,-1.78,1.8,-0.9,-1.29
"28","19","    Goods","A255RJ2",-0.11,-0.26,-0.21,-0.33,-0.83,-2.55,-0.55,-0.17,-0.65,-0.51,-1.38,-2.11,-0.5,0.35,0.34,0.06,0.34,0.19,-0.6,-0.42,-0.25,-0.16,0.17,0.05,0.1,-0.07,-0.26,0.27,0.45,0.66,-0.01,-0.57,0.36,0.2,-0.33,-0.58,-0.84,-0.58,-0.49,-1.62,1.74,-0.82,-1.2
"29","20","    Services","B656RJ2",-0.03,-0.05,-0.13,-0.07,-0.21,-0.27,-0.12,-0.07,-0.1,-0.13,-0.19,-0.25,-0.07,0,0.03,0.03,0,-0.19,-0.03,-0.1,0.01,-0.15,-0.08,-0.06,-0.02,-0.04,-0.06,-0.05,0,0.04,-0.07,-0.03,0,-0.05,-0.14,-0.11,-0.12,-0.1,-0.1,-0.16,0.06,-0.08,-0.09
"30","21","Government consumption expenditures and gross investment","A822RJ2",1.37,1.81,1.71,1.63,1.51,2.09,2.15,1.41,1.43,1.29,1.65,2.15,1.98,1.34,0.83,1.05,0.64,0.38,0.59,0.56,0.64,0.82,0.71,0.52,0.49,0.52,0.51,0.44,0.33,0.24,0.55,0.69,0.48,0.48,0.78,0.8,1.08,0.9,0.9,0.95,-0.07,0.46,0.63
"31","22","  Federal","A823RJ2",0.64,0.9,0.88,0.94,0.63,0.8,0.94,0.63,0.65,0.53,0.64,0.89,0.86,0.63,0.33,0.56,0.22,0.05,0.12,0.2,0.24,0.29,0.35,0.26,0.21,0.21,0.2,0.19,0.11,0.07,0.15,0.19,0.12,0.23,0.28,0.32,0.34,0.28,0.24,0.23,-0.02,0.2,0.23
"32","23","    National defense","A824RJ2",0.52,0.66,0.69,0.81,0.49,0.59,0.62,0.45,0.45,0.41,0.45,0.63,0.61,0.46,0.25,0.5,0.14,-0.01,0.08,0.13,0.18,0.22,0.23,0.21,0.1,0.13,0.12,0.14,0.06,0.04,0.1,0.12,0.08,0.15,0.2,0.21,0.25,0.21,0.17,0.18,-0.04,0.13,0.17
"33","24","    Nondefense","A825RJ2",0.13,0.23,0.19,0.13,0.14,0.2,0.32,0.18,0.2,0.12,0.18,0.26,0.25,0.16,0.09,0.06,0.08,0.06,0.04,0.07,0.07,0.08,0.12,0.05,0.11,0.08,0.08,0.05,0.05,0.03,0.05,0.07,0.04,0.08,0.08,0.11,0.09,0.08,0.07,0.05,0.02,0.07,0.06
"34","25","  State and local","A829RJ2",0.72,0.91,0.82,0.69,0.88,1.3,1.22,0.77,0.78,0.76,1.01,1.27,1.12,0.72,0.49,0.48,0.42,0.33,0.47,0.35,0.39,0.53,0.36,0.25,0.28,0.31,0.31,0.25,0.22,0.17,0.4,0.5,0.36,0.25,0.5,0.48,0.74,0.62,0.66,0.72,-0.05,0.26,0.4
