"","Table 6#6D# Wage and Salary Accruals Per Full-Time Equivalent Em","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16"
"1","[Dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 08, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/26/2012 12:02:15 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","      Wage and salary accruals per full-time equivalent employee","A4401C0",35504,37108,39243,40201,40957,42450,44152,45729,47780,49953,51387,51893,53409
"9","2","Domestic industries","A4402C0",35422,37016,39157,40068,40819,42291,43977,45537,47575,49727,51031,51573,53072
"10","3","  Private industries","A4403C0",35032,36661,38862,39647,40204,41577,43207,44717,46777,48956,50103,50411,51986
"11","4","    Agriculture, forestry, fishing, and hunting","N4404C0",20658,20712,22154,23809,24183,23877,26875,28600,29079,31727,33204,33938,33803
"12","5","      Farms \1\","N4405C0",21652,20888,22574,23960,23992,23180,27049,29316,31051,34469,36577,37532,36555
"13","6","      Forestry, fishing, and related activities","N4406C0",18998,20390,21398,23505,24579,25338,26533,27301,26417,27846,28575,28641,29713
"14","7","    Mining","N4407C0",52346,54933,57983,60763,61242,63535,68014,73161,79354,83133,88571,87201,91570
"15","8","      Oil and gas extraction","N4408C0",73752,79566,88496,93826,93910,97440,109436,117479,131482,133017,145588,136478,146420
"16","9","      Mining, except oil and gas","N4409C0",45959,47543,48437,49634,50119,52018,54356,57102,60054,61975,64512,65251,68911
"17","10","      Support activities for mining","N4410C0",44520,46155,48213,52014,51887,53734,56537,63359,68768,74251,76957,74553,77173
"18","11","    Utilities","N4411C0",58138,60459,64742,67173,68771,70492,74093,77409,80338,84754,86772,87764,89676
"19","12","    Construction","N4412C0",35138,36612,38563,39897,40603,41745,41878,43948,46611,48833,51218,52289,52731
"20","13","    Manufacturing","N4413C0",39412,41402,43933,44216,45382,47393,49423,50909,53152,55273,56375,57335,60003
"21","14","      Durable goods","N4414C0",41502,43746,46559,46493,47563,49710,51828,53124,55803,57948,59006,60143,63355
"22","15","        Wood products","N4415C0",28407,29115,30350,31125,31625,32868,34570,36003,36294,37044,37558,37621,38136
