"","Table 2#4#3# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 08, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/22/2011 9:10:26 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Personal consumption expenditures","DPCERA3",8.363,7.915,7.667,6.979,6.824,7.312,7.758,8.548,8.864,8.722,9.209,9.686,10.373,10.127,10.411,10.707,11.37,12.784,13.029,13.323,13.692,14.57,14.799,15.266,15.995,16.331,17.536,18.049,18.497,18.658,19.718,20.26,20.677,21.7,22.593,23.939,25.453,26.897,27.703,29.301,30.399
"9","2","Goods","DGDSRA3",8.724,8.034,7.741,6.835,6.785,7.405,8.013,9.078,9.348,9.14,9.773,10.38,11.204,10.34,10.239,10.316,11.021,13.059,13.438,13.708,14.12,15.214,15.033,15.371,16.167,16.34,17.844,18.112,18.422,18.234,19.381,19.721,19.846,20.867,21.701,22.994,24.623,26.184,26.697,28.35,29.216
"10","3","  Durable goods","DDURRA3",3.066,2.539,2.194,1.667,1.624,1.858,2.249,2.748,2.891,2.396,2.84,3.25,3.75,2.38,2.137,1.97,2.188,3.953,4.636,4.94,5.342,6.477,5.938,5.809,6.487,6.46,7.837,7.545,7.614,7.034,7.862,8.022,7.752,8.638,9.433,10.314,11.592,12.554,12.741,14.155,14.685
"11","4","    Motor vehicles and parts","DMOTRA3",6.83,4.753,3.708,2.371,2.826,3.516,4.871,6.015,6.112,3.954,5.387,6.788,7.716,1.237,1.269,1.174,1.454,4.899,7.102,8.025,10.288,13.302,11.224,10.107,12.566,11.984,16.408,13.966,14.618,12.104,14.423,15.319,13.786,16.369,18.413,19.436,22.516,22.885,22.331,25.826,26.77
"12","5","      New motor vehicles (55)","DNMVRA3",5.847,3.816,2.769,1.615,2.201,2.773,4.154,5.269,5.343,3.124,4.402,5.701,6.342,0.255,0.257,0.084,0.08,4.118,7.016,7.948,10.844,14.345,11.631,9.792,13.381,12.85,18.152,14.525,14.905,11.158,14.44,15.536,13.367,16.773,19.399,20.658,24.709,24.981,23.67,28.379,28.858
"13","6","      Net purchases of used motor vehicles (56)","DNPVRA3",9.194,7.459,5.426,3.733,4.149,5.169,6.923,9.112,9.514,7.01,8.566,9.256,10.099,9.377,8.284,7.732,7.332,5.919,9.679,14.005,18.011,20.898,22.269,24.185,21.054,18.328,21.623,22.696,24.93,26.109,23,22.568,21.719,21.23,22.007,21.82,23.626,23.635,25.286,25.306,26.522
"14","7","      Motor vehicle parts and accessories (58)","DMVPRA3",3.714,3.221,3.12,2.456,2.147,2.577,2.719,2.956,3.025,2.837,3.495,4.041,5.059,1.988,2.332,2.674,3.876,8.08,7.765,7.229,6.701,8.284,7.152,7.764,7.047,6.494,7.775,8.415,9.498,10.181,11.507,12.387,13.181,14.463,15.174,16.297,16.734,17.889,18.556,20.637,23.414
"15","8","    Furnishings and durable household equipment","DFDHRA3",5.868,4.854,4.73,3.908,3.666,3.981,4.514,5.574,5.766,5.214,5.836,6.397,7.418,6.149,4.863,4.307,4.672,7.9,9.185,9.719,9.505,10.955,10.417,10.375,10.69,10.69,12.046,12.634,12.393,12.239,13.034,12.842,12.922,13.645,14.541,16.189,17.249,18.749,19.175,20.328,20.755
"16","9","      Furniture and furnishings (parts of 31 and 32)","DFFFRA3",7.59,6.251,6.148,5,4.274,4.503,5.371,6.844,6.709,6.226,7.219,7.724,8.629,7.616,6.831,6.115,6.168,8.667,9.047,9.675,9.797,10.962,10.487,10.715,11.081,11.038,12.632,13.131,12.857,12.801,13.718,13.502,13.506,14.439,15.632,17.6,18.727,19.893,20.062,21.108,21.187
"17","10","      Household appliances (part of 33)","DAPPRA3",2.605,2.384,2.17,1.525,1.919,2.414,2.912,3.423,3.81,3.193,3.52,4.159,5.201,3.154,1.023,0.565,1.128,5.608,8.957,9.269,8.63,11.04,10.151,10.032,10.574,10.899,12.442,13.847,13.989,13.771,14.708,14.476,14.753,15.239,16.209,17.708,18.234,20.224,20.938,23.053,24.67
"18","11","      Glassware, tableware, and household utensils (34)","DUTERA3",11.041,8.045,8.574,8.668,7.945,7.963,7.365,8.783,9.766,8.963,9.031,9.693,11.568,10.854,9.007,8.396,10.021,15.776,16.41,17.363,16.23,16.896,16.437,15.666,15.808,15.694,16.399,15.665,14.354,13.727,14.1,13.668,13.649,14.095,13.961,15.329,17.103,19.325,20.205,20.704,20.878
"19","12","      Tools and equipment for house and garden (35)","DTOORA3",2.822,2.518,2.12,1.734,1.644,1.79,1.87,2.292,2.469,2.272,2.561,2.82,3.228,3.235,3.17,3.266,3.574,4.859,5.076,5.511,5.656,6.353,6.485,5.798,5.285,4.591,4.87,4.989,4.981,4.95,5.266,5.528,5.638,6.147,6.507,7.217,8.301,9.743,10.445,11.036,11.261
"20","13","    Recreational goods and vehicles","DREQRA3",0.243,0.257,0.211,0.156,0.137,0.155,0.173,0.22,0.251,0.232,0.27,0.3,0.355,0.319,0.264,0.25,0.286,0.575,0.582,0.575,0.579,0.741,0.725,0.789,0.869,0.935,1.054,1.111,1.086,1.08,1.204,1.195,1.242,1.325,1.447,1.698,1.98,2.437,2.679,2.967,3.165
"21","14","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRA3",0.046,0.054,0.04,0.03,0.025,0.027,0.03,0.041,0.046,0.042,0.053,0.061,0.074,0.064,0.042,0.032,0.036,0.106,0.109,0.106,0.113,0.16,0.15,0.171,0.194,0.215,0.24,0.248,0.234,0.229,0.258,0.255,0.269,0.292,0.327,0.382,0.465,0.591,0.671,0.73,0.766
"22","15","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRA3",0.661,0.534,0.529,0.428,0.38,0.439,0.494,0.604,0.686,0.676,0.748,0.793,0.959,0.864,0.832,0.845,0.988,1.738,1.869,1.903,1.789,2.011,2.053,2.192,2.314,2.413,2.808,3.047,3.221,3.331,3.729,3.892,4.136,4.149,4.129,4.713,5.327,6.527,7,7.47,7.565
"23","16","      Sports and recreational vehicles (79)","DWHLRA3",1.019,0.79,0.743,0.562,0.519,0.674,0.8,1.058,1.224,1.136,1.29,1.382,1.707,1.292,1.247,1.301,1.56,3.36,3.709,3.704,3.156,3.437,3.334,3.457,3.781,4.066,5.019,5.525,5.817,5.948,6.684,5.943,5.429,6.04,6.903,8.695,10.336,12.772,14.085,18.407,21.894
"24","17","      Recreational books (part of 90)","DRBKRA3",9.294,8.226,8.272,5.21,5.457,5.982,6.634,7.469,8.589,7.691,7.793,8.096,8.712,9.91,11.594,13.866,15.434,16.864,14.067,14.145,14.243,15.096,16.977,16.227,16.392,15.755,16.628,18.013,17.368,16.974,17.777,18.493,19.511,20.58,22.262,26.122,26.192,28.326,27.691,28.615,30.813
"25","18","      Musical instruments (part of 80)","DMSCRA3",1.718,2.042,1.505,1.149,0.922,1.005,1.106,1.498,1.693,1.541,1.988,2.312,2.759,2.409,1.516,1.084,1.199,3.85,3.911,3.81,4.17,6.064,5.668,6.493,7.408,8.265,9.172,9.37,8.693,8.492,9.583,9.576,10.128,10.863,11.985,13.644,15.848,19.016,20.273,20.62,19.858
"26","19","    Other durable goods","DODGRA3",3.938,3.633,2.86,2.359,1.933,2.221,2.524,2.76,3.195,3.211,3.429,3.649,4.195,4.523,5.433,5.327,5.847,6.911,6.506,6.637,6.48,6.783,7.005,7.522,7.731,8.029,8.561,8.958,9.033,9.131,9.423,9.491,9.683,10.578,10.957,11.903,13.126,15.099,15.231,16.719,17.372
"27","20","      Jewelry and watches (part of 119)","DJRYRA3",2.98,2.752,1.766,1.447,0.987,1.173,1.437,1.539,1.99,2.064,2.194,2.382,2.823,3.038,3.829,3.614,4.165,5.194,4.764,4.845,4.604,4.819,4.845,5.286,5.386,5.845,6.433,6.642,6.764,6.973,7.23,7.165,7.058,7.577,7.957,8.416,9.64,11.991,12.821,13.742,13.648
"28","21","      Therapeutic appliances and equipment (42)","DTAERA3",2.294,2.309,2.057,1.743,1.782,2.316,2.436,2.616,3.024,2.905,3.133,3.343,4.007,4.522,5.209,5.524,5.734,6.37,6.202,6.445,6.588,7.015,7.546,7.902,8.309,8.298,8.254,9.004,9.061,8.957,8.881,8.99,9.17,10.897,10.787,11.854,12.799,14.026,12.315,13.915,15.35
"29","22","      Educational books (96)","DEBKRA3",14.359,12.71,12.781,8.05,8.431,9.243,10.249,11.54,13.27,11.882,12.04,12.508,13.461,15.312,17.913,21.424,23.847,26.056,21.735,21.854,22.007,23.324,26.231,25.071,25.327,24.342,25.692,27.831,26.835,26.225,27.467,28.588,30.412,32.964,36.205,41.341,40.337,42.953,41.802,43.202,46.87
"30","23","      Luggage and similar personal items (part of 119)","DLUGRA3",8.408,7.487,6.984,6.077,5.068,5.18,5.797,6.52,6.622,6.791,7.322,7.601,8.178,8.459,9.662,9.261,9.636,10.877,10.757,10.922,10.75,11.086,11.394,12.471,12.839,12.984,13.799,14.233,14.278,14.307,15.042,15.383,16.427,17.316,17.912,19.866,21.623,23.042,23.353,26.627,28.409
"31","24","      Telephone and facsimile equipment (67)","DTCERA3",0.242,0.228,0.205,0.182,0.152,0.155,0.154,0.194,0.197,0.194,0.209,0.22,0.233,0.218,0.205,0.186,0.186,0.239,0.235,0.275,0.308,0.351,0.366,0.339,0.317,0.289,0.322,0.331,0.337,0.33,0.347,0.36,0.383,0.424,0.46,0.511,0.535,0.571,0.589,0.623,0.621
