"","Table 2#5#4 Price Indexes for Personal Consumption Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 08, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/28/2012 10:43:49 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","      Personal consumption expenditures","DPCERG3",22.626,23.685,24.692,25.536,26.913,29.716,32.198,33.966,36.171,38.705,42.137,46.663,50.833,53.64,55.948,58.065,59.965,61.427,63.618,66.151,69.025,72.18,74.789,76.989,78.679,80.302,82.078,83.864,85.433,86.246,87.636,89.818,91.53,92.778,94.658,97.121,100,102.723,105.499,108.943,109.169,111.112
"9","2","Household consumption expenditures \1\","DPHCRG3",22.188,23.228,24.211,25.036,26.381,29.11,31.537,33.269,35.428,37.912,41.268,45.709,49.827,52.679,55.067,57.235,59.168,60.673,62.9,65.465,68.454,71.768,74.534,76.924,78.737,80.399,82.215,84.011,85.543,86.255,87.607,89.726,91.374,92.634,94.606,97.144,100,102.74,105.551,109.072,109.402,111.44
"10","3","  Food and beverages purchased for off-premises consumption","DFXARG3",23.936,25.271,25.847,27.079,30.506,35.145,37.787,38.49,40.757,44.657,49.043,53.166,56.954,58.452,59.124,60.9,61.563,63.012,65,66.938,70.469,73.911,76.232,76.817,77.891,79.195,80.912,83.38,84.969,86.037,87.446,89.499,92.13,93.542,95.296,98.255,100,101.688,105.647,112.066,113.495,113.853
"11","4","    Food and nonalcoholic beverages purchased for off-premises consumption","DTFDRG3",22.842,24.193,24.726,25.996,29.693,34.701,37.36,38.037,40.53,44.601,49.075,53.247,57.102,58.478,58.939,60.807,61.381,62.779,64.88,66.876,70.616,74.134,75.598,75.973,77.173,78.672,80.593,83.124,84.751,85.921,87.271,89.228,91.963,93.316,95.103,98.165,100,101.745,105.935,112.786,113.948,114.267
"12","5","    Alcoholic beverages purchased for off-premises consumption","DAOPRG3",32.812,33.92,34.891,35.475,36.061,38.291,40.915,41.79,42.442,44.723,48.226,52.248,55.719,58.019,60.195,61.339,62.723,64.519,65.67,67.222,69.281,72.17,80.589,82.806,82.89,82.788,83.008,85.043,86.339,86.789,88.623,91.287,93.241,95.071,96.586,98.836,100,101.347,103.831,107.572,110.724,111.271
"13","6","    Food produced and consumed on farms","DFFDRG3",35.031,35.5,36.018,42.379,55.551,49.559,50.654,52.031,52.232,66.86,80.285,77.229,76.814,79.116,74.956,78.029,73.086,74.162,80.998,82.353,86.744,93.556,89.791,86.328,88.605,81.795,81.638,82.265,87.233,77.667,74.289,78.381,83.59,74.231,84.025,97.109,100,96.42,104.395,103.035,89.632,104.583
"14","7","  Clothing, footwear, and related services","DCAFRG3",61.388,63.731,65.986,67.173,69.451,74.787,78.355,81.062,84.641,86.651,88.844,92.564,96,97.682,99.195,99.931,102.194,101.978,104.986,108.419,110.218,113.887,116.192,117.155,116.727,115.017,112.55,111.362,111.542,109.708,108.474,107.404,105.632,103.156,100.852,100.688,100,99.789,99.029,98.574,99.562,99.041
"15","8","    Clothing","DCLTRG3",63.618,65.884,68.242,69.349,71.605,77.304,80.999,83.714,87.359,89.2,90.669,93.933,97.214,98.858,100.642,101.383,103.95,103.851,106.975,110.328,111.807,115.779,118.077,118.745,118.169,116.316,113.653,112.384,112.624,110.626,109.679,108.7,106.696,103.98,101.511,101.357,100,99.601,98.866,98.022,98.771,97.966
"16","9","      Garments","DGARRG3",69.473,71.841,74.436,75.625,78.003,84.044,87.866,90.568,94.39,95.913,96.767,99.542,102.462,103.808,105.489,106,108.589,108.191,111.453,114.798,116.055,120.06,122.302,122.843,122.002,119.753,116.587,115.042,115.241,113.01,111.831,110.555,108.031,104.848,102.028,101.649,100,99.363,98.419,97.193,97.728,96.66
"17","10","        Women's and girls' clothing","DWGCRG3",79.506,81.929,85.331,86.81,89.262,95.349,99.015,101.621,105.287,106.886,107.252,109.021,110.505,110.568,111.715,111.656,114.307,112.907,117.111,120.374,120.592,125.42,127.155,127.579,126.638,123.959,119.384,116.458,116.319,113.29,111.275,109.707,107.652,104.528,102.049,101.949,100,99.938,99.524,97.095,97.647,96.743
"18","11","        Men's and boys' clothing","DMBCRG3",60.646,63.122,64.916,65.761,68.15,73.487,76.687,79.407,83.086,84.356,85.722,89.287,93.492,96.313,98.313,99.522,101.776,102.215,104.51,107.937,110.651,113.18,116.21,116.938,116.516,114.765,113.314,113.376,114.3,113.28,112.889,111.73,108.274,104.871,101.626,101.169,100,98.335,96.68,97.342,97.835,96.378
"19","12","        Children's and infants' clothing","DCICRG3",35.202,35.872,36.647,37.696,38.95,49.18,59.085,62.273,68.291,70.924,72.338,78.258,85.082,88.174,92.564,93.939,98.1,102.363,102.361,106.074,108.2,113.924,115.965,116.419,113.497,112.217,111.416,112.85,111.006,108.149,110.483,111.74,110.606,108.284,104.58,101.535,100,99.848,97.652,97.406,98.038,97.776
"20","13","      Other clothing materials","DOCMRG3",59.575,61.88,63.91,65.412,67.634,71.816,73.56,75.766,78.19,77.98,80.67,86.579,92.041,95.116,96.589,97.191,98.441,100.354,100.178,105.861,107.313,112.792,113.805,114.95,114.291,113.502,118.279,118.882,112.13,106.636,103.868,103.78,103.674,103.212,101.193,101.692,100,99.211,95.875,96.151,98.688,101.239
"21","14","      Cleaning, repair, and rental of clothing","DCRCRG3",17.418,18.256,18.867,19.177,20.026,22.293,24.254,26.018,27.78,30.732,34.671,39.413,43.939,47.222,49.658,52.246,54.656,56.752,59.192,61.713,64.902,67.83,70.624,72.28,74.264,76.226,77.298,78.592,80.547,81.68,83.571,85.684,89.227,91.642,93.739,96.667,100,103.667,107.324,113.116,117.349,120.746
"22","15","        Laundry and dry cleaning services","DDRYRG3",17.989,18.739,19.355,19.549,20.198,22.583,24.984,26.647,28.325,31.302,35.275,40.116,44.697,48.049,50.54,53.159,55.616,57.758,60.238,62.793,66.051,69.024,71.911,73.587,75.587,77.587,78.676,79.994,81.983,83.324,85.364,87.077,90.223,92.992,95.091,97.764,100,103.025,106.296,110.973,114.22,116.798
"23","16","        Clothing repair, rental, and alterations","DLGRRG3",16.713,17.681,18.29,18.761,19.854,22,23.522,25.379,27.215,30.139,34.042,38.682,43.151,46.363,48.743,51.296,53.659,55.711,58.108,60.59,63.713,66.592,69.307,70.939,72.906,74.829,75.884,77.152,79.072,79.991,81.728,84.26,88.222,90.265,92.359,95.545,100,104.345,108.419,115.413,120.724,125.014
"24","17","    Footwear \2\","DFTWRG3",50.729,53.331,55.102,56.609,58.946,62.604,65.561,68.21,71.46,74.24,79.743,85.547,89.673,91.531,91.714,92.421,93.15,92.34,94.76,98.59,102.003,104.156,106.491,108.962,109.305,108.333,106.866,106.091,105.964,104.961,102.304,100.782,100.165,98.907,97.45,97.237,100,100.758,99.87,101.377,103.592,104.543
"25","18","  Housing, utilities, and fuels","DHUFRG3",17.539,18.299,19.244,19.951,20.922,22.485,24.26,26.016,28.374,30.359,33.19,37.094,41.365,44.991,47.675,50.059,52.564,54.697,56.652,58.852,61.244,64.068,66.101,67.871,69.795,71.551,73.448,75.725,77.761,79.459,81.344,84.444,88.292,90.712,93.729,96.358,100,104.404,108.145,112.389,113.13,113.654
