"","Table 1#2#2# Contributions to Percent Change in Real Gross Domes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"11","2","       Final sales of domestic product","A190RY2",3.11,0.92,2.78,5.25,5.3,-0.28,1.06,3.95,4.35,5.46,3.53,0.64,1.38,-0.6,4.23,5.24,5.2,3.78,2.78,4.25,3.4,2.09,0.03,3.11,2.78,3.44,2.97,3.72,3.92,4.4,4.85,4.19,2,1.34,2.48,3.05,3.2,2.59,2.15,0.17,-2.64,1.39,1.95
"12","3","       Change in private inventories","A014RY2",0,-0.73,0.58,0.06,0.5,-0.27,-1.27,1.41,0.25,0.12,-0.41,-0.91,1.16,-1.34,0.29,1.95,-1.06,-0.32,0.42,-0.14,0.17,-0.21,-0.26,0.29,0.07,0.63,-0.46,0.02,0.54,-0.05,-0.02,-0.05,-0.92,0.48,0.06,0.42,-0.13,0.07,-0.23,-0.51,-0.84,1.64,-0.21
"13","4","Goods","A353RY2",1.39,-0.33,1.16,2.6,4.04,-0.38,-0.98,2.99,1.84,2.55,1.57,-0.33,1.66,-1.9,1.52,4.26,0.85,0.99,1.34,2.05,1.89,0.35,-0.56,1.31,1.22,2.23,1.18,1.74,2.48,1.86,2.23,1.54,-0.5,0.51,1.04,1.46,1.26,1.43,1.19,-0.21,-1.56,3.01,1.24
"14","5","    Final sales","A325RY2",1.39,0.39,0.58,2.54,3.54,-0.11,0.29,1.58,1.59,2.43,1.97,0.58,0.5,-0.56,1.23,2.31,1.91,1.31,0.92,2.19,1.72,0.56,-0.3,1.03,1.15,1.59,1.63,1.72,1.94,1.91,2.24,1.59,0.42,0.04,0.98,1.04,1.39,1.36,1.42,0.3,-0.72,1.37,1.45
"15","6","    Change in private inventories","A014RY2",0,-0.73,0.58,0.06,0.5,-0.27,-1.27,1.41,0.25,0.12,-0.41,-0.91,1.16,-1.34,0.29,1.95,-1.06,-0.32,0.42,-0.14,0.17,-0.21,-0.26,0.29,0.07,0.63,-0.46,0.02,0.54,-0.05,-0.02,-0.05,-0.92,0.48,0.06,0.42,-0.13,0.07,-0.23,-0.51,-0.84,1.64,-0.21
"16","7","  Durable goods","A354RY2",0.97,-0.84,0.57,2,3.21,-0.04,-1.22,2.14,1.36,1.93,0.98,-1.05,0.31,-1.64,1.49,2.98,0.52,0.81,1.2,1.62,1.14,0.16,-0.73,0.96,1.27,1.36,1.19,1.22,1.98,1.66,1.71,1.32,-0.54,0.41,0.64,1.04,1,0.82,0.93,-0.26,-1.55,2.06,1.01
"17","8","    Final sales","A326RY2",0.83,-0.22,0.28,1.71,2.71,0.25,-0.07,1.05,1.46,1.56,1.27,-0.46,0.02,-0.92,0.94,1.91,1.46,0.96,0.66,1.64,1.2,0.38,-0.37,0.78,0.95,1.08,1.22,1.4,1.67,1.64,1.71,1.33,0.26,-0.18,0.67,0.83,1.03,0.9,1.04,-0.02,-0.9,0.91,1.12
"18","9","    Change in private inventories \1\","A355RY2",0.14,-0.62,0.29,0.29,0.5,-0.29,-1.15,1.08,-0.1,0.37,-0.28,-0.59,0.29,-0.72,0.55,1.06,-0.94,-0.15,0.54,-0.02,-0.06,-0.22,-0.36,0.18,0.32,0.27,-0.03,-0.19,0.3,0.02,-0.01,-0.01,-0.8,0.59,-0.04,0.21,-0.02,-0.08,-0.11,-0.24,-0.65,1.15,-0.11
"19","10","  Nondurable goods","A356RY2",0.42,0.5,0.59,0.6,0.83,-0.34,0.24,0.86,0.48,0.61,0.59,0.72,1.36,-0.26,0.03,1.29,0.33,0.18,0.14,0.43,0.75,0.2,0.17,0.35,-0.05,0.87,-0.01,0.52,0.5,0.2,0.52,0.23,0.04,0.11,0.4,0.41,0.25,0.61,0.26,0.05,-0.01,0.95,0.23
"20","11","    Final sales","A334RY2",0.56,0.61,0.3,0.83,0.83,-0.36,0.36,0.53,0.13,0.86,0.71,1.04,0.49,0.36,0.29,0.4,0.45,0.35,0.26,0.54,0.52,0.19,0.07,0.25,0.2,0.51,0.42,0.32,0.27,0.27,0.53,0.27,0.16,0.22,0.31,0.21,0.36,0.46,0.38,0.32,0.19,0.46,0.33
"21","12","    Change in private inventories \1\","A357RY2",-0.14,-0.1,0.29,-0.23,0,0.02,-0.12,0.33,0.35,-0.25,-0.12,-0.32,0.87,-0.62,-0.27,0.89,-0.12,-0.17,-0.12,-0.12,0.23,0.01,0.1,0.1,-0.24,0.36,-0.43,0.2,0.24,-0.07,-0.01,-0.04,-0.12,-0.11,0.09,0.21,-0.1,0.15,-0.12,-0.27,-0.2,0.49,-0.1
"22","13","Services \2\","A341RY2",1.57,1,1.21,1.86,1.49,1.07,1.78,1.42,1.75,1.94,1.21,0.95,1.03,0.92,2.25,1.53,2.73,2.31,1.81,2.08,1.75,1.72,1.03,1.76,1.37,1.41,1.24,1.44,1.6,2.02,2.22,2.26,1.51,1.54,1.19,1.52,1.51,1.41,1.33,0.66,-0.34,0.72,0.62
"23","14","Structures","A755RY2",0.14,-0.48,0.99,0.86,0.26,-1.25,-1.01,0.95,1,1.09,0.35,-0.89,-0.16,-0.97,0.75,1.39,0.56,0.16,0.05,-0.02,-0.07,-0.19,-0.7,0.32,0.26,0.43,0.09,0.56,0.38,0.47,0.38,0.34,0.07,-0.24,0.31,0.49,0.3,-0.18,-0.6,-0.78,-1.59,-0.69,-0.12
"24",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","15","  Motor vehicle output","A953RY2",0,-0.85,1.02,0.48,0.65,-0.66,-0.36,0.98,0.61,0.16,-0.34,-0.98,0.23,-0.21,0.85,0.76,0.41,-0.01,-0.04,0.2,0.07,-0.35,-0.34,0.35,0.29,0.43,0,0.07,0.31,0.31,0.37,-0.06,-0.16,0.39,0.04,0.14,0.13,-0.04,0,-0.53,-0.55,0.49,0.28
"26","16","  Gross domestic product excluding motor vehicle output","A962RY2",3.1,1.05,2.34,4.83,5.15,0.11,0.15,4.39,3.99,5.42,3.47,0.71,2.31,-1.73,3.67,6.42,3.73,3.47,3.24,3.91,3.5,2.22,0.11,3.04,2.56,3.64,2.52,3.67,4.15,4.04,4.46,4.2,1.24,1.43,2.5,3.33,2.94,2.7,1.91,0.19,-2.93,2.54,1.45
"27","17","  Final sales of computers \3\","BB01RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,0.33,0.28,0.16,0.36,0.48,0.26,0.17,0.22,0.2,0.13,0.06,0.1,0.21,0.19,0.18,0.42,0.5,0.49,0.42,0.41,0.3,0.13,0.03,0.11,0.03,0.1,0.14,0.09,0.11,0.01,0.1,0.16
"28","18","  Gross domestic product excluding final sales of computers","BB00RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.86,-0.61,2.25,-2.1,4.16,6.71,3.87,3.29,2.98,3.91,3.45,1.82,-0.34,3.18,2.66,3.89,2.09,3.24,3.96,3.93,4.41,3.84,0.95,1.79,2.43,3.44,2.97,2.52,1.82,-0.44,-3.49,2.93,1.57
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
