"","Table 6#1B# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 17, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/26/2012 12:01:01 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","    National income without capital consumption adjustment","J422RC1",881.6,923.9,1000.8,1103.2,1239.9,1340,1451.3,1619.8,1806.8,2038.8,2262.1,2451.4,2731.7,2842.7,3034.4,3393.8,3598.7,3782.9,4065.1
"9","2","Domestic industries","J423RC1",875.5,917.5,993.2,1094.7,1227.3,1324.5,1438.3,1602.9,1786.5,2017.2,2230.1,2417.2,2698.8,2806.2,2997.3,3357.5,3572.1,3765.3,4047.4
"10","3","  Private industries","J736RC1",756.4,785.8,849.2,936.8,1056.4,1137.7,1231.4,1376.5,1540.7,1749.3,1939.2,2095.7,2343.7,2421.5,2586,2906.5,3081.9,3245,3495.6
"11","4","    Agriculture, forestry, and fishing","J424RC1",21.5,22.1,24,28.2,43.8,42.6,43.5,41.7,41.1,47.8,56.6,50.8,61.7,58.8,47.5,63,62.7,61.3,66.2
"12","5","    Mining","J734RC1",9.2,10.4,10.8,11.9,14,20.6,24.8,26.2,31.8,35,42.5,64.5,89.2,80.8,64.1,67.1,60.4,42.9,43.1
"13","6","    Construction","J735RC1",45.6,48,52.7,58.3,66.1,70.6,70.5,80.9,89.5,105.7,118.9,125.1,125.9,124.4,131.3,152.8,167.7,186.2,201.5
"14","7","    Manufacturing","J426RC1",236.8,230.3,242.4,267.9,301.2,316.9,333.2,382.7,434.1,489.1,535.6,552.2,611.9,595.1,624.5,696.3,717.8,718.9,770.4
"15","8","      Durable goods","J428RC1",141.3,132.3,139.6,157.7,180.4,184.9,188.9,220,254.4,291.4,314.8,315.8,345.6,327.3,347.7,406.6,415.6,422.8,450.9
"16","9","      Nondurable goods","J427RC1",95.5,98,102.8,110.2,120.8,132,144.3,162.7,179.7,197.7,220.8,236.4,266.3,267.8,276.8,289.7,302.2,296.1,319.5
"17","10","    Transportation and public utilities","J737RC1",70,74.5,81.9,90.5,99.1,106.7,117,133.8,148.6,166.9,178.5,195.9,217.5,233.7,252.5,278.1,287.3,303.4,321.7
"18","11","      Transportation","J429RC1",31.5,33.1,36.5,40.5,45.2,49.8,49.8,58.5,65.2,73.7,80.9,84.9,89.1,87.4,95.1,107.6,109.4,119.1,127.8
"19","12","      Communication","J430RC1",20.5,22.4,23.9,26.5,29.1,31.5,34.1,38.2,42,47.9,51.5,58.3,66.2,72.5,77.1,80.6,85.4,91.3,94
"20","13","      Electric, gas, and sanitary services","J431RC1",18.1,19,21.5,23.4,24.8,25.4,33.1,37.2,41.4,45.3,46,52.7,62.2,73.8,80.4,89.9,92.5,93,100
"21","14","    Wholesale trade","J433RC1",64.2,68.2,73.7,82,91.8,103.9,113.2,120.5,132.9,149.9,169.3,179.3,199,202.8,215.4,249.1,259.7,272.3,286.3
"22","15","    Retail trade","J434RC1",89.6,95.4,103.8,112.7,124.4,130.2,145.5,164.5,181.8,203.3,220.2,227.2,249.6,264.1,292.3,326.3,350.6,377,400.7
"23","16","    Finance, insurance, and real estate","J435RC1",114.7,122.8,136.4,148.3,161.8,176.8,195.6,213.6,238.7,273.4,303.4,344.3,390.1,425.4,475.9,530,578,627.2,671.6
"24","17","    Services","J437RC1",104.8,114,123.5,137.1,154.2,169.4,188.2,212.5,242.3,278.4,314.2,356.3,398.7,436.4,482.5,543.8,597.8,655.7,734
"25","18","  Government","B436RC1",119.1,131.7,144,157.8,170.8,186.8,206.9,226.4,245.8,267.9,290.9,321.5,355.1,384.7,411.4,451.1,490.2,520.2,551.8
"26","19","Rest of the world","A192RC1",6.1,6.4,7.6,8.6,12.6,15.5,13,16.8,20.3,21.6,31.9,34.2,32.9,36.5,37.1,36.3,26.5,17.6,17.7
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Note. Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
