"","Table 1#4#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 28, 2012     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/26/2012 3:39:11 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","Gross domestic product","A191RL1",3.1,0.2,3.4,5.3,5.8,-0.6,-0.2,5.4,4.6,5.6,3.1,-0.3,2.5,-1.9,4.5,7.2,4.1,3.5,3.2,4.1,3.6,1.9,-0.2,3.4,2.9,4.1,2.5,3.7,4.5,4.4,4.8,4.1,1.1,1.8,2.5,3.5,3.1,2.7,1.9,-0.3,-3.5,3,1.7
"9","2","Less: Exports of goods and services","A020RL1",4.8,10.7,1.7,7.5,18.9,7.9,-0.6,4.4,2.4,10.5,9.9,10.8,1.2,-7.6,-2.6,8.2,3,7.7,10.8,16,11.5,9,6.6,6.9,3.3,8.7,10.1,8.3,11.9,2.3,4.4,8.6,-5.6,-2,1.6,9.5,6.7,9,9.3,6.1,-9.4,11.3,6.7
"10","3","Plus: Imports of goods and services","A021RL1",5.7,4.3,5.3,11.3,4.6,-2.3,-11.1,19.6,10.9,8.7,1.7,-6.6,2.6,-1.3,12.6,24.3,6.5,8.5,5.9,3.9,4.4,3.6,-0.2,7,8.6,11.9,8,8.7,13.5,11.7,11.5,13,-2.8,3.4,4.4,11.1,6.1,6.1,2.4,-2.7,-13.6,12.5,4.9
"11","4","Equals: Gross domestic purchases","A712RL1",3.1,-0.2,3.6,5.5,5,-1.3,-1.1,6.5,5.3,5.5,2.4,-1.9,2.7,-1.3,5.8,8.7,4.4,3.7,2.9,3.2,3,1.4,-0.9,3.4,3.4,4.5,2.4,3.8,4.7,5.5,5.7,4.8,1.2,2.4,2.9,3.9,3.2,2.6,1.2,-1.5,-4.4,3.4,1.6
"12","5","Less: Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","6","Equals: Final sales to domestic purchasers","A713RL1",3.2,0.6,3,5.5,4.5,-1,0.2,5.1,5.1,5.4,2.9,-1,1.5,0,5.5,6.7,5.6,4,2.5,3.3,2.8,1.6,-0.6,3.1,3.3,3.8,2.8,3.8,4.2,5.6,5.8,4.9,2.1,1.9,2.8,3.5,3.3,2.5,1.4,-1,-3.6,1.8,1.8
"14",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Final sales of domestic product","A190RL1",3.1,0.9,2.8,5.3,5.3,-0.3,1.1,3.9,4.4,5.5,3.6,0.6,1.4,-0.6,4.2,5.2,5.3,3.8,2.8,4.3,3.4,2.1,0,3.1,2.8,3.5,3,3.7,3.9,4.4,4.9,4.2,2,1.3,2.5,3.1,3.2,2.6,2.2,0.2,-2.6,1.4,2
"16","8","  Gross domestic purchases, current dollars","A712RP1",8.2,5.2,8.9,10.2,11,8.9,8.1,12.6,12.4,13,11.5,8.4,12.1,4.3,9.6,12.5,7.4,6,6.3,6.7,6.9,5.5,2.4,5.9,5.6,6.6,4.6,5.7,6.3,6.2,7.4,7.5,3.1,3.9,5.2,7.1,7,6,4.2,1.8,-4.5,5,4.2
"17","9","  Final sales to domestic purchasers, current dollars","A713RP1",8.3,6,8.3,10.2,10.6,9.1,9.5,11.1,12.3,12.9,11.9,9.4,10.8,5.7,9.2,10.5,8.6,6.4,5.8,7,6.7,5.8,2.7,5.6,5.5,6,5.1,5.8,5.8,6.3,7.5,7.6,4.1,3.4,5.2,6.7,7.2,5.9,4.4,2.2,-3.7,3.3,4.3
