"","Table 1#1#6C# Real Gross Domestic Product, Chained (1972) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of chained (1972) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/26/2012 3:37:45 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982
"8","1","    Gross domestic product","A191CX1",1135.1,1137.3,1175.4,1237.9,1309.6,1302.4,1299.6,1369.3,1432.3,1512.2,1559.4,1555.2,1594.6,1563.7
"9","2","Personal consumption expenditures","DPCECX1",683,699,725.6,770.2,808.4,801.7,819.9,865.5,902,941.7,964.1,960.7,975.3,988.9
"10","3","  Goods","DGDSCX1",334.1,336.8,350.9,373.8,393.2,378.8,381.4,408.1,425.6,443.2,450.3,438.9,444.1,447.2
"11","4","    Durable goods","DDURCX1",96.7,94.1,103.6,116.4,128.6,120.4,120.7,135.7,147.7,155.4,154.7,142.3,143.8,143.5
"12","5","    Nondurable goods","DNDGCX1",237.5,242.8,247.4,257.4,264.8,258.3,260.5,272.9,279.1,289.2,296.7,296.2,299.9,303
"13","6","  Services","DSERCX1",348.6,362.2,374.7,396.4,415.2,423.2,439.1,457.9,476.8,499,514.3,522.2,531.5,541.9
"14","7","Gross private domestic investment","A006CX1",178.3,166.6,185.6,207.6,231.9,214.9,176.8,212.5,244.6,274.1,282.8,251.8,274.4,236
"15","8","  Fixed investment","A007CX1",168.3,164.7,177.2,198.5,216.6,203.1,181.3,199.2,227.8,255.4,269.8,252.2,257.9,239.8
"16","9","    Nonresidential","A008CX1",118.6,118,118,128.8,147.6,148.8,134.1,140.7,156.6,180,198.1,197.6,208.8,201
"17","10","      Structures","B009CX1",46.4,46.5,45.7,47.2,51,49.9,44.7,45.7,47.6,54.5,61.4,65,70.2,69.1
"18","11","      Equipment and software","B010CX1",72.3,71.6,72.3,81.7,96.6,99.1,89.7,95.3,109.6,126.3,137.4,132.4,138.1,130.9
"19","12","    Residential","A011CX1",49.4,46.4,59.2,69.7,69.2,54.9,47.8,59.1,71.7,76.2,73.5,57.9,53.3,43.6
"20","13","  Change in private inventories","A014CX1",10.7,2,8.9,9.1,13.8,10.3,-4.5,12.2,15.3,16.2,9.9,-3.3,13.8,-7
"21","14","Net exports of goods and services","A019CX1",-2.2,1.5,-0.8,-3.4,6.5,15,22.8,13.6,7,9.4,18.4,37.6,36.8,27.9
"22","15","  Exports","A020CX1",58.5,64.8,65.9,70.8,84.2,90.9,90.3,94.2,96.5,106.7,117.2,129.9,131.5,121.4
"23","16","    Goods","A253CX1",42.1,47,46.8,51.8,63.7,68.7,67.2,70.3,71.3,79.2,88.6,99.1,98.1,89.2
"24","17","    Services","A646CX1",16.3,17.8,19.2,19,20.4,22,23.3,24,25.6,27.7,28.6,30.4,33.6,32.7
"25","18","  Imports","A021CX1",60.7,63.3,66.7,74.2,77.7,75.9,67.5,80.7,89.5,97.2,98.8,92.3,94.7,93.5
"26","19","    Goods","A255CX1",44.5,46.2,50.1,56.9,61,59.3,51.8,63.5,71.2,77.6,79,73.1,74.6,72.7
"27","20","    Services","B656CX1",16.2,17.1,16.6,17.3,16.7,16.7,16,17.1,17.9,19.2,19.4,19,20.1,21.2
"28","21","Government consumption expenditures and gross investment","A822CX1",278,271.2,265.3,263.4,262.5,269.1,275.2,276.4,279.4,287.7,293,298.7,301.5,306.8
