"","Table 7#9# Rental Income of Persons by Legal Form of Organizatio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 08, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/26/2012 12:06:45 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","      Rental income of persons with capital consumption adjustment","A048RC1",20.9,21.1,22.2,23.1,23.9,24,23.4,22.1,19.6,20.9,22.6,28.5,36.5,38.1,38.2,40,41.9,33.8,34.2,40.2,42.4,49.8,61.6,84.6,114.1,142.9,154.6,170.4,176.5,191.5,208.2,215.3,232.4,218.7,204.2,198.4,178.2,146.5,143.7,231.6,305.9,350.2
"9","2","Other private business","W155RC1",6,6.2,6.3,7.3,8.7,8.5,8.7,8.7,9.5,10.1,11.4,14.3,20.1,24.2,25.8,28.5,32.5,29,27.4,25.8,25.3,29.2,34.4,42.1,47.6,52.1,56.1,58.4,61.3,60.7,60.5,60.7,64.6,58.8,55,55,56.8,59.4,71.1,96.2,107.8,113.6
"10","3","  Tenant-occupied housing","W285RC1",3.1,3.1,3.1,3.3,2.8,2.2,2,1.8,3,2.5,2.4,3.9,6.9,10.6,13,13,16.5,16.9,16.3,15.3,14.4,17.6,22.2,29.2,34.4,39.3,42.8,43.1,44.7,45.5,45.1,42.9,44.1,42.8,35,33.1,29.8,31.4,42.7,55.3,67.6,73.2
"11","4","    Nonfarm tenant-occupied permanent site housing","B1436C1",3,3,3,3.2,2.7,2.1,1.9,1.7,2.9,2.4,2.3,3.8,6.8,10.6,12.9,12.9,16.5,16.9,16.3,15.3,14.4,17.6,22.2,29.1,34.3,39.2,42.6,43,44.6,45.5,45,42.8,44,42.7,34.9,32.9,29.7,31.2,42.6,55.2,67.5,73.1
"12","5","    Farm tenant-occupied housing owned by farm operator landlords","W156RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1
"13","6","  Farms owned by nonoperator landlords \1\","B1437C1",1.6,1.6,1.5,2.3,3.6,3.1,3.1,2.6,2.6,3.2,3.9,4,3.9,3.6,3.3,4.9,4.5,3.4,4.3,3.8,4.3,4.5,4.3,4.6,4.9,4.7,4.8,5.2,5.6,5.4,5.2,5.6,5.6,4.8,5.1,5,5.3,4.7,4.4,5.6,5.9,5.9
"14","7","  Nonfarm nonresidential properties \2\","B1438C1",0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.7,0.6,1,1.1,1.5,1.5,1.2,1,0.8,0.6,0.9,1.1,1.2,1,1.3,1.6,1.4,1.4,1.1,1.2,0.4,0.3,0.3,0.2,-0.1,0.1,0,-0.4,2.4,2.6
"15","8","  Royalties","B1439C1",1.2,1.4,1.4,1.6,2,2.9,3.3,3.9,3.7,4.1,4.7,6,8.7,9.4,8.6,9.5,10.1,7.3,5.6,5.6,5.9,6.5,7,7.2,7.1,7.2,7.2,8.6,9.5,8.4,9.1,11.1,14.5,10.9,14.6,16.7,21.7,23.2,24,35.8,31.8,31.8
"16","9","Households and nonprofit institutions","W157RC1",14.9,14.8,15.9,15.8,15.2,15.6,14.7,13.4,10.1,10.7,11.2,14.2,16.3,13.8,12.4,11.5,9.3,4.8,6.8,14.5,17.1,20.6,27.2,42.5,66.5,90.8,98.5,112,115.3,130.8,147.6,154.5,167.8,160,149.2,143.3,121.4,87.2,72.6,135.4,198.2,236.6
"17","10","  Nonfarm owner-occupied housing","A2217C1",13.7,13.5,14.4,14.1,13.6,13.9,13.2,12,8.7,9.2,9.7,12.5,14.5,12,10.6,9.9,7.8,3.6,5.5,13,15.4,18.6,24.8,39.5,62.9,86.5,93.7,107,110.2,125.5,142.3,148.4,161.6,153.7,143.3,136.8,114.2,79.1,66,128,189.6,227.4
