"","Table 5#5#1# Percent Change From Preceding Period in Real Privat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 08, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/26/2012 11:58:55 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","      Private fixed investment in equipment and software","A327RL1",8.9,-0.8,1.2,13,18.2,2.5,-9.5,6.2,15,15.1,8.7,-3.5,4.2,-5.2,5.5,19.7,6.4,2,1.4,7.5,7.2,0,-2.6,7.2,12.3,11.8,11.8,10.5,13.6,14.4,14.1,10.4,-3.2,-4.1,3.2,8,8.5,7.5,3.3,-4.3,-16,14.5
"9","2","Nonresidential equipment and software","B010RL1",8.8,-1,1,12.9,18.3,2.6,-9.5,6.3,15.1,15.2,8.7,-3.6,4.3,-5.2,5.4,19.8,6.4,1.9,1.4,7.5,7.3,0,-2.6,7.3,12.5,11.9,12,10.6,13.8,14.5,14.1,10.5,-3.2,-4.2,3.1,7.9,8.5,7.6,3.3,-4.3,-16,14.6
"10","3","  Information processing equipment and software","A679RL1",21.5,12.8,6.7,14.7,17.8,14.7,-0.4,13.7,21.2,29.1,21,16.8,15.7,7.3,16.4,26.8,11.3,8.2,6.2,11.2,13.9,5.3,5.1,15.4,13.2,12.6,17.3,19.8,23.3,22.8,22.5,18,-0.4,-2.8,8,9.8,7.3,8.6,8.1,2.1,-3.8,9.9
"11","4","    Computers, software, and communication","W175RL1",25.1,16.4,6.7,12.5,15.2,12.3,0.8,15.8,28.6,34,29.6,24.1,19.5,10.2,18.8,31.8,16.2,10.2,12,14.6,15.3,6.7,6,19.1,14.7,16.7,23.1,24.2,29.1,26,27.8,20.2,-1,-4.3,7.8,10.5,6.5,9.8,8.8,2.8,-2.7,9.7
"12","5","      Computers and peripheral equipment","B935RL1",60,12.5,44.4,53.8,5,33.3,0,46.4,48.8,98.4,62,57.7,56,23,51.8,63.6,25.5,15,25.6,14.3,21.6,-1.2,8.6,36.8,28.2,24.3,50.8,44.4,45,45.4,42.1,21.3,2.5,4.8,8.9,11.4,11.7,23.1,14,7.9,-3.2,30.5
"13","6","      Software \1\","B985RL1",34.5,27.7,6.3,17.4,13.7,16.9,17.2,8.7,4.2,18.5,24.5,18,16.3,15.4,17.9,26.4,18.8,11.9,14,19.2,28.9,17.9,13.3,17.5,11.8,9.8,10,17.3,29.5,20.8,23.3,13.8,0.7,-0.1,7,10.3,6.5,4.2,6,4.1,-0.7,2.8
"14","7","      Communication equipment \2\","C275RL1",16.6,9.8,-2.9,-4.9,19.6,2.3,-6,8.6,33.1,17.5,18.3,11.8,3.8,0.5,-0.5,11.8,6.7,5.2,-0.2,11.4,-0.3,3.7,-3.8,6.7,6.5,18.6,15.2,13.6,13.9,15.5,21.4,29.6,-6.4,-18.7,8.4,10.3,1.8,12.7,11.3,-5.1,-8.1,12.5
"15","8","    Medical equipment and instruments","W176RL1",22,12,16.1,9.5,16.9,13.3,1.1,10.9,3.9,12.5,-0.2,-1.7,11.2,23.7,7.2,8,2.6,2.4,6.9,6.9,4.8,10.2,6.2,8.9,9,-3.9,0.7,8.7,12.7,15.6,7.1,10,8.8,13.1,7.3,7.3,14.7,3.6,12,-0.2,-4.1,10.1
"16","9","    Nonmedical instruments","W177RL1",5.2,7.9,-6.3,26.5,11.6,26.2,-8.5,7.2,58.1,10.4,2.4,3.6,4.6,2.7,-2.1,22.1,3.8,0.4,-0.8,0.4,23.4,6,0.8,3.5,-0.2,4.5,8.6,3.4,-9,1.9,-0.1,6.3,4,1.1,-1.7,9.5,6.5,7.2,1.3,-1.8,-15.3,17.5
"17","10","    Photocopy and related equipment","C285RL1",14.1,16.5,18.2,24.3,21.9,13,9,6.6,-3.2,16.6,0.7,2.5,9.6,0.9,-3.2,23.3,-5.3,-0.1,0.3,7.2,5.4,-4.2,3,1.4,19.3,7.3,-8.8,3.1,0.8,13.1,-12.9,-4.4,-29.4,-26.9,15,-6.7,-6.1,-7.7,51.6,-9.2,-23.3,-12
