"","Table 3#2# Federal Government Current Receipts and Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 28, 2012     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/26/2012 11:49:09 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","    Current receipts","W005RC1",192.7,186.1,191.9,220.3,250.8,280,277.6,323,364,424,486.9,532.8,619.9,617.4,643.3,710,774.4,816,896.5,958.5,1038,1082.8,1101.9,1148,1224.1,1322.1,1407.8,1526.4,1656.2,1777.9,1895,2057.1,2020.3,1859.3,1885.1,2013.9,2290.1,2524.5,2654.7,2502.2,2232.5,2429.6,2564.8
"9","2","Current tax receipts","W006RC1",146,137.9,138.6,158.2,173,192.1,186.8,217.9,247.2,286.6,325.9,355.5,407.7,386.3,393.2,425.2,460.2,479.2,543.6,566.2,621.2,642.2,635.6,659.9,713,781.4,844.6,931.9,1030.1,1115.8,1195.4,1309.6,1249.4,1073.5,1070.2,1153.8,1383.7,1558.3,1637.6,1447.7,1170.2,1340.7,1536.7
"10","3","  Personal current taxes \1\","A074RC1",91.7,88.9,85.8,102.8,109.6,126.5,120.7,141.2,162.2,188.9,224.6,250,290.6,295,286.2,301.4,336,350,392.5,402.8,451.5,470.1,461.3,475.2,505.5,542.5,585.8,663.3,744.2,825.2,893,995.6,991.8,828.6,774.2,799.2,931.9,1049.9,1165.6,1101.3,856.6,896.4,1072
