"","Table 1#5#4# Price Indexes for Gross Domestic Product, Expanded ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","  Goods","DGDSRG3",23.546,23.773,24.137,24.772,25.128,25.397,25.789,25.598,25.282,24.996,24.707,24.562,24.431,24.567,25.171,25.701,26.747,26.976,26.939,27.261,27.327,27.169,27.27,27.199,27.176,27.098,27.094,27.102,27.224,27.121,26.928,26.791,26.829,26.805,26.894,26.901,26.977,27.178,27.473,27.629,27.874,28.088,28.307,28.405,28.87,28.883,28.81,28.674,28.866,28.901,28.992,29.068,29.027,29.172,29.213,29.323,29.359,29.238,29.313,29.263,29.35,29.417,29.464,29.546,29.579,29.582,29.763,29.833,29.974,29.965,30.02,30.092,30.159,30.334,30.409,30.41,30.687,30.91,31.104,31.283,31.259,31.333,31.667,31.91,32.205,32.479,32.778,33.107,33.338,33.738
"12","4","    Durable goods","DDURRG3",41.428,41.809,42.042,42.59,42.915,43.478,44.99,45.072,44.92,44.626,44.083,44.031,43.897,44.234,44.847,45.587,47.273,47.588,47.606,48.065,48.393,47.823,48.318,47.183,47.642,47.696,47.391,47.483,47.862,46.66,45.895,45.628,45.912,46.137,46.576,46.7,46.878,46.978,47.658,48.279,48.667,49.341,49.336,49.432,50.31,50.107,50.055,49.877,50.747,50.941,50.932,50.91,50.836,50.775,50.62,50.532,50.54,50.779,51.01,50.947,50.954,51.02,51.188,50.987,51.003,51.159,51.303,51.465,51.539,51.509,51.454,51.351,51.36,51.199,50.944,50.663,50.596,50.813,51.038,51.272,51.165,51.39,51.956,52.481,52.821,53.143,53.586,54.075,54.391,54.798
"13","5","      Motor vehicles and parts","DMOTRG3",22.223,22.241,22.576,22.902,23.151,23.432,25.257,25.051,25.155,25.225,24.945,24.957,24.996,25.198,25.156,25.211,25.995,26.176,26.259,27.279,27.936,27.46,28.212,26.451,27.223,27.265,26.645,26.845,27.534,26.021,25.326,25.36,25.767,26.172,26.668,26.844,27.096,27.051,27.78,28.314,28.916,29.555,29.389,29.33,30.377,30.338,30.535,30.371,31.785,31.998,31.952,31.918,31.655,31.443,31.162,31.007,31.024,31.393,31.798,31.76,31.779,32.023,32.237,31.985,31.997,32.2,32.365,32.472,32.576,32.525,32.533,32.453,32.568,32.369,32.14,31.946,31.849,32.015,32.109,32.177,31.813,32.075,32.741,33.269,33.265,33.431,33.692,33.986,34.015,34.201
"14","6","      Furnishings and durable household equipment","DFDHRG3",39.102,39.628,40.019,40.545,40.791,41.317,41.887,42.006,41.332,40.52,40.158,40.057,39.849,40.328,41.616,43.111,45.085,45.683,45.556,45.411,45.343,44.854,44.967,44.747,44.785,44.989,45.229,45.219,45.061,45.019,44.827,44.466,44.453,44.431,44.575,44.583,44.48,44.643,44.955,45.432,45.378,45.612,45.709,45.828,46.084,45.514,45.258,45.294,45.366,45.586,45.651,45.66,45.811,45.951,46.021,46.088,46.087,46.152,46.139,46.113,46.131,46.078,46.026,46.034,46.018,46.028,46.085,46.228,46.249,46.224,46.099,45.991,45.927,45.9,45.789,45.758,45.81,45.993,46.367,46.722,46.885,47.058,47.4,47.71,48.43,48.953,49.332,49.761,50.216,50.715
"15","7","      Recreational goods and vehicles","DREQRG3",162.209,164.187,163.61,166.189,168.076,171.101,175.832,179.207,180.712,180.788,179.241,179.65,177.583,176.544,179.089,180.83,185.366,183.174,181.512,178.783,177.454,175.796,175.603,174.651,173.461,173.472,174.314,173.32,172.216,169.503,166.478,164.06,163.684,162.466,162.734,162.395,162.81,163.882,165.098,166.841,167.184,169.657,171.406,173.611,176,176.432,175.053,173.043,170.697,169.847,169.876,169.938,170.708,171.348,171.582,171.358,170.988,170.666,170.133,169.541,169.082,168.642,168.251,167.884,167.806,168.123,168.431,168.155,166.74,166.295,165.84,165.491,165.187,164.424,163.545,162.053,161.779,161.742,162.052,162.367,162.891,162.779,162.609,163.583,164.788,165.419,166.657,167.787,168.844,169.97
"16","8","      Other durable goods","DODGRG3",30.361,30.712,30.086,30.28,30.287,30.605,30.855,31.046,31.127,31.014,30.096,29.954,29.809,29.901,30.171,30.554,31.784,31.816,32.264,31.963,31.827,31.774,31.775,32.156,32.054,31.892,32.083,32.086,32.155,31.633,30.994,30.695,30.991,30.926,30.971,31.011,31.104,31.243,31.397,31.452,31.3,31.559,31.576,31.583,31.47,31.646,31.551,31.508,31.679,31.71,31.703,31.679,31.749,31.785,31.799,31.785,31.803,31.708,31.682,31.66,31.715,31.314,31.687,31.6,31.711,31.675,31.636,31.959,32.35,32.594,32.623,32.669,32.417,32.596,32.495,32.061,32.03,32.323,32.428,32.751,33.015,33.036,33.201,33.361,33.511,33.506,33.972,34.541,35.102,35.455
"17","9","    Nondurable goods","DNDGRG3",17.644,17.816,18.138,18.686,18.993,19.184,19.371,19.171,18.881,18.639,18.428,18.29,18.175,18.259,18.783,19.213,20.023,20.204,20.161,20.415,20.437,20.36,20.396,20.48,20.392,20.306,20.349,20.343,20.412,20.479,20.398,20.303,20.303,20.244,20.264,20.252,20.301,20.49,20.687,20.749,20.941,21.054,21.278,21.363,21.703,21.745,21.679,21.569,21.635,21.641,21.734,21.815,21.785,21.941,22.006,22.13,22.163,22.008,22.049,22.008,22.094,22.152,22.174,22.289,22.322,22.3,22.463,22.509,22.644,22.639,22.707,22.799,22.869,23.085,23.211,23.264,23.576,23.775,23.942,24.092,24.086,24.123,24.377,24.54,24.794,25.03,25.269,25.533,25.723,26.082
"18","10","      Food and beverages purchased for off-premises consumption","DFXARG3",16.456,16.499,16.851,17.46,17.631,17.711,17.827,17.428,17.188,17.017,16.828,16.734,16.569,16.692,17.245,17.601,18.605,18.782,18.729,19.153,19.247,19.244,19.353,19.252,18.977,18.846,18.885,18.893,18.932,19.052,18.855,18.716,18.694,18.566,18.502,18.415,18.395,18.63,18.826,18.866,19.041,19.114,19.382,19.443,20.017,20.19,20.04,19.942,19.907,19.794,19.84,19.821,19.777,20.028,20.012,20.211,20.265,20.116,20.05,19.999,20.189,20.235,20.265,20.351,20.439,20.357,20.541,20.553,20.77,20.79,20.938,21.048,21.006,21.303,21.464,21.46,21.954,22.194,22.303,22.376,22.151,22.059,22.322,22.408,22.624,22.798,22.971,23.243,23.338,23.701
"19","11","      Clothing and footwear","DCLORG3",45.752,46.656,47.104,48.04,49.028,49.822,50.11,50.115,48.959,47.957,47.103,46.483,46.238,46.318,47.397,49.028,50.819,51.605,51.623,51.444,51.074,50.124,49.629,51.187,51.261,50.316,50.094,49.867,50.443,50.367,50.747,50.483,50.299,50.248,50.476,50.468,50.807,51.149,51.575,51.79,51.94,52.023,52.118,52.294,52.317,52.328,52.323,52.296,52.495,52.656,52.892,53.009,53.133,53.416,53.616,53.718,53.745,53.632,53.881,53.859,53.658,53.869,54.086,54.149,54.209,54.309,54.455,54.683,54.861,54.986,54.943,54.916,55.123,55.239,55.547,55.71,56.16,56.624,57.194,57.766,58.416,58.944,59.596,60.174,61.077,62.202,63.217,64.035,64.868,65.631
"20","12","      Gasoline and other energy goods","DGOERG3",7.538,7.752,7.988,8.349,8.732,8.963,9.123,9.188,9.159,9.146,9.129,9.103,9.112,9.13,9.293,9.408,9.517,9.495,9.43,9.527,9.591,9.638,9.71,9.719,9.817,9.94,10.145,10.234,10.228,10.232,10.176,10.151,10.206,10.26,10.352,10.404,10.454,10.522,10.729,10.803,11.029,11.158,11.14,11.135,11.182,10.947,11.011,10.828,11.024,11.111,11.103,11.351,11.218,11.219,11.457,11.486,11.478,11.172,11.426,11.358,11.319,11.388,11.353,11.606,11.498,11.36,11.477,11.443,11.404,11.285,11.266,11.398,11.595,11.704,11.738,11.865,11.872,11.898,12.047,12.2,12.286,12.373,12.443,12.481,12.567,12.548,12.667,12.706,12.852,13.092
"21","13","      Other nondurable goods","DONGRG3",15.038,15.168,15.369,15.648,15.88,16.022,16.354,16.373,16.122,15.838,15.695,15.563,15.536,15.57,16.028,16.363,16.803,16.912,16.903,17.013,16.969,16.956,16.988,16.979,17.114,17.29,17.273,17.224,17.222,17.262,17.285,17.316,17.384,17.395,17.459,17.563,17.651,17.743,17.786,17.814,17.969,18.141,18.49,18.67,18.76,18.781,18.776,18.722,18.819,18.961,19.19,19.292,19.35,19.354,19.361,19.382,19.406,19.415,19.403,19.41,19.466,19.471,19.457,19.493,19.525,19.692,19.819,19.933,20.014,20.022,20.033,20.072,20.177,20.308,20.361,20.41,20.522,20.665,20.786,20.902,21.01,21.081,21.286,21.529,21.734,21.965,22.127,22.33,22.485,22.719
"22","14","  Services","DSERRG3",9.021,9.071,9.288,9.499,9.554,9.648,9.794,9.829,9.823,9.843,9.875,9.946,9.988,10.025,10.178,10.309,10.498,10.574,10.631,10.792,10.868,10.954,11.07,11.155,11.272,11.359,11.507,11.621,11.688,11.71,11.731,11.782,11.851,11.894,11.952,12.024,12.094,12.164,12.266,12.342,12.454,12.513,12.619,12.71,12.802,12.846,12.907,12.972,13.067,13.162,13.286,13.402,13.462,13.536,13.626,13.697,13.732,13.793,13.859,13.918,14.001,14.069,14.121,14.166,14.232,14.273,14.32,14.395,14.465,14.538,14.611,14.676,14.738,14.8,14.875,14.969,15.064,15.203,15.343,15.495,15.601,15.714,15.836,15.986,16.177,16.37,16.559,16.761,16.976,17.207
"23","15","    Household consumption expenditures (for services)","DHCERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.487,12.57,12.682,12.799,12.879,12.968,13.066,13.137,13.166,13.22,13.28,13.338,13.42,13.486,13.537,13.581,13.643,13.681,13.726,13.799,13.87,13.943,14.013,14.077,14.132,14.189,14.261,14.35,14.439,14.572,14.706,14.851,14.956,15.062,15.179,15.323,15.507,15.694,15.876,16.069,16.271,16.49
"24","16","      Housing and utilities","DHUTRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.419,15.525,15.61,15.713,15.77,15.82,15.895,15.954,15.99,16.069,16.109,16.119,16.189,16.213,16.28,16.295,16.361,16.403,16.42,16.485,16.498,16.546,16.593,16.615,16.645,16.681,16.716,16.776,16.848,16.911,16.941,17.041,17.125,17.18,17.254,17.348,17.448,17.566,17.669,17.798,17.925,18.079
"25","17","      Health care","DHLCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.908,6.98,7.055,7.195,7.262,7.462,7.612,7.695,7.68,7.655,7.669,7.704,7.766,7.844,7.905,7.972,8.011,8.054,8.129,8.18,8.268,8.333,8.396,8.482,8.537,8.607,8.658,8.72,8.807,8.932,9.079,9.24,9.381,9.506,9.659,9.811,9.97,10.116,10.261,10.428,10.609,10.825
"26","18","      Transportation services","DTRSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.366,15.496,15.614,15.691,15.789,15.818,15.909,16.041,16.171,16.324,16.425,16.491,16.585,16.716,16.764,16.757,16.747,16.758,16.777,16.827,16.944,16.965,17.013,17.072,17.144,17.255,17.336,17.432,17.414,17.472,17.675,17.863,18.008,18.184,18.359,18.508,18.745,18.978,19.173,19.453,19.77,20.15
"27","19","      Recreation services","DRCARG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.088,16.355,16.621,16.827,16.936,17.015,17.15,17.235,17.398,17.482,17.613,17.736,17.837,17.93,18.009,18.124,18.159,18.261,18.43,18.607,18.716,18.799,18.962,19.033,19.106,19.217,19.332,19.396,19.565,19.733,19.792,19.988,20.126,20.309,20.548,20.863,21.198,21.44,21.698,21.89,22.092,22.358
"28","20","      Food services and accommodations","DFSARG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.829,13.007,13.142,13.223,13.345,13.381,13.428,13.458,13.537,13.624,13.714,13.815,13.874,13.965,14.067,14.143,14.229,14.301,14.319,14.411,14.46,14.542,14.557,14.59,14.685,14.733,14.865,15.01,15.106,15.283,15.5,15.696,15.947,16.176,16.34,16.539,16.747,16.966,17.225,17.455,17.678,17.934
"29","21","      Financial services and insurance","DIFSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.617,11.57,11.618,11.751,11.927,12.061,12.228,12.378,12.381,12.427,12.617,12.809,13.038,13.125,13.082,13.059,13.091,13.016,13.074,13.181,13.38,13.564,13.731,13.88,13.863,13.896,14.01,14.173,14.485,14.746,14.968,15.116,15.059,15.047,15.162,15.409,15.702,16.103,16.511,16.855,17.293,17.621
"30","22","      Other services","DOTSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.815,13.829,14.032,14.18,14.226,14.314,14.406,14.467,14.454,14.499,14.53,14.586,14.652,14.739,14.767,14.858,14.974,15.037,15.104,15.18,15.272,15.353,15.459,15.553,15.669,15.751,15.85,15.951,15.966,16.166,16.377,16.539,16.609,16.74,16.834,16.943,17.21,17.429,17.617,17.84,18.048,18.268
"31","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.453,49.304,50.199,49.92,47.913,46.342,45.509,45.434,46.008,46.567,47.182,47.302,47.314,47.444,47.437,47.515,47.923,48.134,48.305,48.395,48.302,48.266,48.494,48.574,49.22,49.65,49.847,50.323,50.781,51.327,51.832,52.408,52.516,53.141,53.473,53.913,54.475,54.931,55.513,56.277,57.333,58.37
"32","24","      Gross output of nonprofit institutions \2\","DNPERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.323,10.693,11.018,11.211,11.018,11.05,11.089,11.172,11.23,11.254,11.319,11.352,11.398,11.484,11.529,11.593,11.662,11.723,11.827,11.899,11.969,12.018,12.089,12.175,12.284,12.39,12.447,12.533,12.625,12.767,12.908,13.079,13.198,13.358,13.51,13.668,13.86,14.035,14.225,14.441,14.669,14.939
"33","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.115,6.395,6.631,6.833,6.804,6.959,7.065,7.152,7.161,7.139,7.153,7.175,7.219,7.292,7.335,7.39,7.424,7.466,7.551,7.613,7.686,7.736,7.785,7.861,7.916,7.984,8.022,8.068,8.121,8.213,8.31,8.428,8.531,8.635,8.753,8.869,9.008,9.139,9.274,9.42,9.558,9.735
"34","26","Gross private domestic investment","B006RG3",17.996,18.712,19.351,19.567,19.831,20.262,20.833,20.961,20.894,20.856,20.627,20.536,20.51,20.817,21.398,21.883,22.696,23.05,23.144,23.36,23.446,23.524,23.536,23.422,23.377,23.468,23.642,23.586,23.616,23.714,23.697,23.706,23.687,23.839,24.131,24.456,24.968,25.238,25.678,25.867,26.111,26.216,26.381,26.473,26.215,26.34,26.369,26.435,26.445,26.553,26.628,26.669,26.695,26.736,26.717,26.668,26.623,26.638,26.627,26.63,26.646,26.659,26.653,26.623,26.631,26.575,26.485,26.55,26.465,26.678,26.712,26.985,26.998,27.053,27.091,27.401,27.279,27.715,27.722,28.054,28.175,28.292,28.447,28.781,29.051,29.313,29.471,30.106,30.414,30.737
"35","27","  Fixed investment","B007RG3",16.879,17.54,17.983,18.348,18.538,18.949,19.539,19.765,19.725,19.696,19.471,19.397,19.395,19.713,20.267,20.65,21.351,21.672,21.84,22.068,22.179,22.286,22.319,22.27,22.282,22.399,22.58,22.536,22.543,22.638,22.636,22.657,22.651,22.809,23.093,23.402,23.892,24.149,24.57,24.754,24.99,25.103,25.276,25.379,25.145,25.248,25.275,25.329,25.372,25.468,25.537,25.575,25.606,25.656,25.642,25.592,25.537,25.556,25.539,25.538,25.556,25.576,25.568,25.537,25.551,25.505,25.413,25.471,25.385,25.611,25.641,25.923,25.938,25.992,26.033,26.344,26.203,26.659,26.654,26.988,27.105,27.233,27.406,27.742,28.025,28.294,28.463,29.105,29.414,29.733
"36","28","    Nonresidential","B008RG3",21.534,22.223,22.821,23.221,23.354,24.028,24.89,25.26,25.072,25.03,24.923,24.768,24.801,25.04,25.562,26.433,27.35,27.815,28.065,28.378,28.522,28.599,28.505,28.509,28.521,28.737,28.961,28.939,29.045,29.193,28.987,29.04,28.937,29.11,29.586,30.215,31.072,31.331,32.145,32.581,33.091,33.272,33.501,33.76,33.379,33.565,33.621,33.717,33.775,33.967,34.119,34.183,34.189,34.221,34.187,34.065,34.01,33.978,33.938,33.953,33.956,34,33.991,33.953,33.975,33.955,33.98,33.972,33.971,34.132,34.14,34.325,34.376,34.463,34.559,34.729,34.675,35.015,35.087,35.41,35.594,35.779,36.017,36.365,36.633,36.992,37.302,37.885,38.153,38.506
"37","29","      Structures","B009RG3",7.526,7.622,7.89,8.154,8.371,8.601,8.823,8.905,8.754,8.633,8.588,8.605,8.589,8.562,8.745,9.116,9.484,9.716,9.877,9.969,10.052,10.018,9.997,10.018,10.048,10.19,10.322,10.307,10.164,10.062,10.066,10.08,10.107,10.189,10.327,10.558,11.025,10.99,11.287,11.4,11.523,11.667,11.729,11.701,11.383,11.455,11.5,11.535,11.457,11.522,11.566,11.575,11.615,11.545,11.49,11.414,11.413,11.435,11.447,11.489,11.506,11.544,11.532,11.567,11.602,11.625,11.655,11.664,11.647,11.78,11.796,11.98,12.003,12.09,12.12,12.359,12.329,12.6,12.615,12.777,12.831,12.901,12.99,13.17,13.355,13.523,13.632,13.976,14.174,14.408
"38","30","      Equipment and software","B010RG3",33.713,35.133,35.923,36.243,36.054,37.113,38.657,39.353,39.274,39.49,39.34,38.908,39.035,39.697,40.511,41.71,43.023,43.56,43.753,44.288,44.43,44.707,44.534,44.487,44.438,44.592,44.791,44.766,45.447,46.147,45.592,45.687,45.34,45.551,46.377,47.337,48.188,48.962,50.187,50.988,51.961,52.003,52.42,53.182,53.17,53.444,53.449,53.597,53.996,54.305,54.569,54.709,54.604,54.897,54.978,54.902,54.758,54.599,54.453,54.365,54.319,54.318,54.33,54.126,54.084,53.967,53.947,53.9,53.945,53.983,53.96,53.919,53.987,53.968,54.13,53.917,53.865,54.015,54.156,54.541,54.857,55.133,55.491,55.893,56.096,56.557,57.042,57.629,57.808,58.111
