"","Table 2#5#5 Personal Consumption Expenditures by Function       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 02, 2012   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/26/2013 6:27:58 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","      Personal consumption expenditures","DPCERC1",605.1,648.3,701.6,770.2,852,932.9,1033.8,1151.3,1277.8,1427.6,1591.2,1755.8,1939.5,2075.5,2288.6,2501.1,2717.6,2896.7,3097,3350.1,3594.5,3835.5,3980.1,4236.9,4483.6,4750.8,4987.3,5273.6,5570.6,5918.5,6342.8,6830.4,7148.8,7439.2,7804.1,8270.6,8803.5,9301,9772.3,10035.5,9845.9,10215.7,10729
"9","2","Household consumption expenditures \1\","DPHCRC1",595,637.2,689.3,756.6,837.4,916.5,1015.7,1131.2,1256,1403.2,1563.4,1723.9,1903.2,2035.4,2245.7,2453.5,2667.3,2841.4,3038.4,3283.3,3522.8,3755.8,3895.8,4144.5,4389,4648.4,4880.1,5157.9,5458.4,5787.5,6197.4,6665,6962.6,7234.2,7592.9,8061.2,8591.8,9061,9518.4,9750.9,9566.4,9936.1,10437.1
"10","3","  Food and beverages purchased for off-premises consumption","DFXARC1",95.4,103.5,107.1,114.5,126.7,143,156.6,167.3,179.8,196.1,218.4,239.2,255.3,267.1,277,291.1,303,316.4,324.3,342.8,365.4,391.2,403,404.5,413.5,432.1,443.7,461.9,474.8,486.5,513.6,537.5,559.7,569.6,587.5,613,644.5,674.2,711.2,746.4,742.3,760.6,810.2
