"","Table 4#2#2# Contributions to Percent Change in Real Exports and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1967 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 29, 2012 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/6/2012 1:45:44 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3
"9",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","    Exports of goods and services","A020RL1",NA,-3.6,-9.4,11.9,12.2,8.2,25.7,-5,-40,124.5,-9.3
"11",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2","Exports of goods \1\","A253RZ2",NA,-0.56,-4.27,5.3,10.2,4.47,22.09,-7.18,-33.37,106.66,-7.18
"13","3","  Foods, feeds, and beverages","B638RZ2",NA,-0.43,-1.1,2.54,1.81,-5.61,1.05,0.98,-10.72,24.96,-3.43
"14","4","  Industrial supplies and materials","A639RZ2",NA,-1.01,-2.77,1.43,3.45,7.21,12.64,-7.88,-16.96,47.88,-2.68
"15","5","    Durable goods","B686RZ2",NA,-0.31,-3.95,0.96,2.48,4.52,3.14,-0.9,-6.25,16.53,1.44
"16","6","    Nondurable goods","B687RZ2",NA,-0.7,1.18,0.46,0.98,2.7,9.5,-6.98,-10.72,31.34,-4.12
"17","7","  Capital goods, except automotive","A640RZ2",NA,1.71,-1.4,1.17,1.48,-2.22,8.11,-4.27,-4.56,24.79,0.66
"18","8","    Civilian aircraft, engines, and parts","B688RZ2",NA,0.44,2.57,0.99,0.88,1.16,4.22,-2.2,-0.26,-3.14,1.16
"19","9","    Computers, peripherals, and parts","B850RZ2",NA,0.14,-0.13,0.43,-0.13,-0.13,0.81,-0.24,0.56,0.72,0.98
