"","Table 1#2#6# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of chained (2005) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 27, 2012     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/1/2012 8:19:00 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Gross domestic product","A191RX1",976.1,892,834.2,725.2,715.8,793.7,864.2,977,1027.1,991.8,1071.9,1165.9,1365,1616.8,1881.5,2033.5,2010.7,1790.7,1774.6,1852.7,1843.1,2004.2,2159.3,2242,2345.2,2330.4,2498.2,2547.6,2598.8,2575.4,2760.1,2828.5,2894.4,3069.8,3204,3389.4,3607,3842.1,3939.2,4129.9,4258.2
"9","2","       Final sales of domestic product","A190RX1",986.8,919.2,865.2,766.6,743.2,814,864.5,978.9,1019.8,1005.2,1079.5,1152.8,1337.8,1616.7,1907,2061.4,2044.7,1764.7,1801.7,1835.7,1879.3,1989,2130.4,2243.8,2354.4,2361,2494,2551.1,2616.7,2597.8,2761.6,2834.2,2902.1,3062.3,3199.9,3390.8,3587.6,3803.4,3920,4115.8,4245
"10","3","       Change in private inventories","A014RX1",10.3,-4.6,-10.6,-23.8,-12.2,-5.8,7.6,7.8,13,-3.1,1.6,16.1,26.4,10.3,-3.6,-4.3,-8.1,25.4,-3.6,19.3,-10.2,19.3,26.7,10.8,6.7,-6.4,16,11.9,2.9,-0.7,13.9,11.8,10.6,21.9,20.3,17.3,32.9,47.1,33.9,30.8,30.3
