"","Table 7#11# Interest Paid and Received by Sector and Legal Form ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/23/2015 12:44:09 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8",NA,"          Monetary interest"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","Monetary interest paid","A2061C1",123.4,141.8,151,168.6,213.5,267,276.1,298.2,338.1,412.8,537.9,687.8,915.4,1028.1,1015.3,1181.9,1263.8,1313.1,1374.8,1546.9,1824.8,1858.1,1755.5,1578.6,1514.6,1628.2,1891.6,1976.9,2147.5,2328.4,2430.6,2856.5,2732.1,2284.4,2142,2324.6,3002.9,3852.8,4493.4,3848.3,2860.5,2609.4,2590.3,2520.7,2380.4,2403
"10","2","  Domestic business \1\","A2062C1",67.3,80.1,85,95.6,127.5,167.4,167.7,174.7,196.8,241.7,325.3,426.8,585.7,646.9,604.5,697.4,738.2,754.2,792.6,913.3,1116.9,1103.5,991.7,834.2,778.2,859.8,1027,1069.9,1186.9,1327,1413.9,1741.4,1651.2,1270.1,1154.6,1296.6,1787,2421.8,2866.8,2343.4,1582,1375.9,1341.8,1308,1207.9,1198.2
"11","3","    Corporate business","A2063C1",54.4,65.3,68.2,76.2,104.2,139.2,136.4,140.6,158.7,197.5,270,358.5,501.9,552.9,506,582.7,611.9,617.8,659.9,766.1,949,936.9,831.5,689.2,638.6,712.3,871.3,907.3,1008.2,1126.3,1208.4,1497.9,1398.1,1051.4,937.2,1063.5,1470,2024.8,2378.1,1904.2,1244.3,1054.2,1029.5,989.5,893.8,881.5
