"","Table 3#4# Personal Current Tax Receipts","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/23/2015 12:23:44 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","    Personal current taxes \1\","W055RC1",104.5,103.1,101.7,123.6,132.4,151,147.6,172.7,197.9,229.6,268.9,299.5,345.8,354.7,352.9,377.9,417.8,437.8,489.6,505.9,567.7,594.7,588.9,612.8,648.8,693.1,748.4,837.1,931.8,1032.4,1112.1,1236.6,1239.3,1054.7,1005.3,1050.6,1213.2,1357.1,1493.2,1507.8,1152.3,1239.3,1453.2,1511.4,1672.8,1780.2
"9","2","Federal","A074RC1",91.7,88.9,85.8,102.8,109.6,126.5,120.7,141.6,162.5,189.2,224.9,250.6,291.2,295.6,286.8,301.9,336.5,350.6,393,403.8,453.1,472.1,463.6,477.5,507.7,545.1,590.3,668.4,749.8,831.2,897.6,999.8,996.3,832.8,778.5,803.2,936.8,1054.6,1169.7,1174.3,864.5,941.6,1129.1,1164.7,1300.6,1396.9
"10","3","  Income taxes","B231RC1",91.7,88.9,85.8,102.8,109.6,126.5,120.7,141.6,162.5,189.2,224.9,250.6,291.2,295.6,286.8,301.9,336.5,350.6,393,403.8,453.1,472.1,463.6,477.5,507.7,545.1,590.3,668.4,749.8,831.2,897.6,999.8,996.3,832.8,778.5,803.2,936.8,1054.6,1169.7,1174.3,864.5,941.6,1129.1,1164.7,1300.6,1396.9
"11","4","    Withheld","PTN0181",74.6,76.2,76,91.3,104.5,118.9,120.2,132.5,149.2,173,202.4,229.7,261.1,264.5,265.7,284.1,304.3,318.5,326.5,346.5,371.7,397.1,400.8,408.9,434.7,465.9,501.4,548.8,595.3,648.5,717.9,779.5,800.7,733.7,725.2,748.6,804,867.2,951.1,948.1,833.1,883.4,986.9,1052.6,1083.4,1148.2
