"","Table 6#17C# Corporate Profits Before Tax by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/23/2015 12:40:35 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Corporate profits before tax","A053RC0",330791,388356,389404,404051,429317,462561,505944,601704,685251,738740,796887,728077,766147,747086
"9","2","Domestic industries","E561RC0",282781,331371,322274,327966,352846,389469,429012,523738,592304,636772,689335,625315,644144,600908
"10","3","  Agriculture, forestry, and fishing","A3003C0",1858,1810,1691,1651,1144,2018,1967,1597,2087,3189,3228,3068,4619,4563
"11","4","    Farms","B3004C0",868,975,1237,1087,718,1298,1276,630,762,1586,1817,552,1492,1411
"12","5","    Agricultural services, forestry, and fishing","B3005C0",990,835,453,564,426,720,692,967,1325,1603,1411,2516,3127,3152
"13","6","  Mining","A3006C0",-1775,784,992,2446,1120,2036,1489,3556,4814,8633,11791,1635,2532,11148
"14","7","    Metal mining","B3007C0",-548,578,8,65,-41,1,-399,624,531,-843,-323,-926,-1209,-1224
"15","8","    Coal mining","Q3008C0",346,776,764,515,304,338,-81,456,232,561,214,-115,-54,-187
"16","9","    Oil and gas extraction","B3009C0",-2566,-1550,-532,1315,425,1191,1767,1614,3081,8034,10655,582,4777,12204
"17","10","    Nonmetallic minerals, except fuels","B3010C0",993,980,751,551,432,506,203,862,970,882,1245,2094,-981,355
"18","11","  Construction","B3011C0",8600,7840,7106,4207,4241,2547,6401,10277,14141,17638,18112,24660,28948,34313
"19","12","  Manufacturing","E563RC0",109314,144109,128571,125242,103483,109022,122211,167730,206210,215030,241621,212680,219480,215835
"20","13","    Durable goods","E565RC0",54559,67545,60251,46744,36991,45190,58004,87098,98317,105322,126093,116171,107423,95028
"21","14","      Lumber and wood products","B3014C0",4978,4246,4244,2417,1569,3287,4486,4853,6013,3311,3356,3949,5904,3181
"22","15","      Furniture and fixtures","Q3015C0",1774,1388,1106,930,1026,1545,2022,2054,2293,3282,3546,3388,3617,2957
"23","16","      Stone, clay, and glass products","B3016C0",3206,1965,1558,1493,327,1288,1450,3615,4664,4198,6900,6571,7652,6092
"24","17","      Primary metal industries","B3017C0",3283,6488,5099,2250,-418,-2552,-1352,1885,7009,4064,4706,3810,488,-159
"25","18","      Fabricated metal products","Q3018C0",5978,7302,6470,5745,4751,5578,7029,11269,12669,14374,17068,16165,15737,15607
"26","19","      Industrial machinery and equipment","B3019C0",5903,12338,13631,11818,5492,6002,4495,7143,14753,16039,18486,21582,13409,18800
"27","20","      Electronic and other electric equipment","B3020C0",10790,13173,13187,11698,12314,12436,16245,24962,27399,29019,39181,24141,22753,23525
"28","21","      Motor vehicles and equipment","B3021C0",5691,7119,4650,-1081,-1894,5555,13286,20601,10671,11959,10758,15954,12743,2469
"29","22","      Other transportation equipment","Q3022C0",9371,8054,5575,5259,6881,5125,4220,2940,3522,7210,8369,8593,13919,11528
"30","23","      Instruments and related products","B3023C0",2462,4007,3485,4825,5496,5359,4317,5547,6596,9600,10081,8110,6640,7324
"31","24","      Miscellaneous manufacturing industries","Q3024C0",1124,1465,1246,1389,1448,1566,1806,2230,2729,2266,3642,3908,4561,3703
"32","25","    Nondurable goods","E564RC0",54755,76564,68320,78498,66492,63832,64207,80632,107893,109708,115528,96509,112057,120807
"33","26","      Food and kindred products","B3026C0",11389,10981,10584,13409,17729,17820,16689,20021,28820,22940,24784,20967,27541,26107
"34","27","      Tobacco products","B3027C0",1722,4963,2535,3511,2099,2248,1563,1529,1977,2076,2141,1312,4309,1776
"35","28","      Textile mill products","B3028C0",2244,1606,1261,1158,1418,3113,2687,2488,1986,2245,2340,2461,1962,971
"36","29","      Apparel and other textile products","B3029C0",1883,1785,1994,1776,2222,2954,2851,3000,2613,2551,2548,2221,1659,2157
"37","30","      Paper and allied products","B3030C0",6395,9520,8919,6924,4565,3414,3805,6142,13894,9400,6166,5251,7748,9735
"38","31","      Printing and publishing","B3031C0",9930,9600,9441,8715,9758,11714,11605,14138,12076,16370,16802,17822,20918,17451
"39","32","      Chemicals and allied products","B3032C0",18360,23630,22399,21673,20768,20623,20846,28376,35168,32866,38542,35011,35158,29356
"40","33","      Petroleum and coal products","B3033C0",32,11838,8336,18835,5228,-1275,938,821,7037,16025,16425,5663,7191,30502
"41","34","      Rubber and miscellaneous plastics products","B3034C0",2236,2055,2307,1892,2006,2620,2863,4050,3810,4969,5348,5366,5235,2431
"42","35","      Leather and leather products","B3035C0",564,587,542,605,699,600,360,67,513,267,432,435,336,321
"43","36","  Transportation and public utilities","E567RC0",43494,46233,43084,45093,53268,57616,69876,83932,89067,91880,80738,72222,49706,34414
