"","Table 3#15#2# Contributions to Percent Change in Real Government","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1960 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 04, 2015 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/4/2015 6:34:39 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","      Government","A822RL1",0.6,5.3,6.5,2.4,2.5,3.2,8.7,7.9,3.4,0.2
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","General public service","W575RZ2",0.3,0.23,0.27,0.19,0.23,0.4,0.07,0.13,0.38,0.7
"12","3","National defense","A824RZ2",-0.42,2.49,3.28,-1.09,-1.47,-0.6,5.51,5.52,0.73,-1.83
"13","4","Public order and safety","W579RZ2",0.2,0.18,0.06,0.15,0.25,0.2,0.19,0.15,0.37,0.19
"14","5","Economic affairs","W584RZ2",-0.66,0.78,1.84,1.94,1.7,1.43,0.53,0.41,0.54,0.05
"15","6","  Transportation","W589RZ2",0.2,0.59,0.36,0.63,0.13,0.39,0.53,0.23,0.29,-0.05
"16","7","  Space","W595RZ2",0.44,0.46,0.92,1.68,1.2,0.91,0.36,-0.7,-0.32,-0.37
"17","8","  Other economic affairs","W596RZ2",-1.3,-0.26,0.56,-0.37,0.37,0.13,-0.36,0.89,0.57,0.48
