"","Table 1#9#4# Price Indexes for Net Value Added by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2009=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/4/2015 6:25:26 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Net domestic product","A362RG3",9.775,9.401,8.436,7.462,7.249,7.58,7.752,7.838,8.091,7.914,7.811,7.871,8.378,9.057,9.494,9.723,10,11.29,12.504,13.181,13.141,13.254,14.116,14.423,14.611,14.772,14.979,15.444,15.968,16.365,16.579,16.827,17.035,17.259,17.469,17.756,18.094,18.618,19.168,19.995,20.985
"9","2","Business \1\","A363RG3",13.102,12.569,11.12,9.712,9.541,10.094,10.355,10.431,10.781,10.464,10.316,10.427,11.202,12.118,12.829,12.974,13.038,13.923,15.576,16.512,16.336,16.437,17.615,17.914,18.055,18.166,18.332,18.887,19.502,19.868,20.054,20.283,20.454,20.662,20.804,21.047,21.376,21.915,22.495,23.381,24.46
"10","3","  Nonfarm \2\","A364RG3",12.652,12.348,11.278,10.072,9.781,10.115,10.15,10.166,10.465,10.395,10.383,10.352,10.961,11.589,12.09,12.235,12.251,12.945,14.377,15.336,15.46,15.552,16.47,16.913,17.255,17.441,17.69,18.273,18.871,19.155,19.442,19.68,19.854,20.043,20.212,20.483,20.755,21.235,21.904,22.753,23.781
