"","Table 7#3#6# Real Farm Sector Output, Real Gross Value Added, an","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Billions of chained (2009) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/23/2015 12:43:37 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","Farm output","A2000X1",272.7,276.2,272.2,271.1,279,287.1,290.5,292.5,292.1,290.4,301.2,304.5,292.3,289.4,307.7,312.7
"9","2","  Cash receipts from farm marketings","A2001X1",262.6,268,259.1,264,265.5,262.7,275.8,279.5,278.3,275.1,289.8,298.4,278,291.2,285.1,289.3
"10","3","    Crops","B1005X1",150.1,153.5,145.6,146.7,150.4,148.6,160.4,162.1,160.2,154,169.5,177.4,155.8,168.5,160,169.8
"11","4","    Livestock","B1006X1",112.6,114.6,112.9,116.2,114.6,113.6,116.1,118,118.4,121,120.3,121.2,121.6,122.2,124.3,120.2
"12","5","  Farm products consumed on farms","B1008X1",0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.5,0.5
"13","6","  Other farm income","B1009X1",14.1,12.5,14,13.3,14.2,15.6,15.2,16.7,13.7,13.2,12.7,12.3,12.3,11.4,13.7,17
"14","7","  Change in farm finished goods inventories","W248RX1",-2.5,-2.9,0.9,-5.1,0.4,9.1,-0.1,-3.8,-0.7,1.6,-1.7,-6.5,1.6,-12.2,7,4
"15","8","    Crops","B1010X1",-1.8,-2.5,1.8,-5,1.6,11,-2.2,-5.3,-0.3,2.9,-1,-5.9,3,-11.4,8.2,3.4
"16","9","    Livestock","B1011X1",-0.8,-0.7,-0.5,-0.7,-0.9,0.5,1.2,0.4,-0.4,-1.4,-0.7,-0.8,-1.1,-1,-0.7,1.1
"17","10","Less: Intermediate goods and services consumed","A2003X1",213.4,197.6,202,196,192.3,192.1,188,189.1,209.6,196.5,191.4,193,186.8,199.4,192.1,194.2
"18","11","  Other than rent","W249RX1",199.1,186.8,190.5,185.8,184,183.9,180.1,180.6,201.6,187.3,182.1,181.6,176.7,185.8,178.4,181.9
"19","12","    Intermediate goods and services purchased, other than rent","B1012X1",197.2,187.7,189.6,187.7,183.7,183.6,180.5,180.2,201.3,186.8,182.2,181,176.4,185.5,178,181.6
"20","13","    Less: Change in farm materials and supplies inventories","W250RX1",-1.9,1,-0.9,1.9,-0.3,-0.3,0.4,-0.4,-0.3,-0.5,0.1,-0.5,-0.3,-0.3,-0.4,-0.3
"21","14","  Rent paid to nonoperator landlords","B1013X1",13.3,10.4,11,9.8,8.2,8.2,7.9,8.5,8.1,9.2,9.3,11.4,10.1,13.5,13.6,12.3
"22","15","Equals: Gross farm value added","B359RX1",70.7,83.9,77.7,80.9,89.8,96.1,101.6,102.4,86.2,94.7,109.8,111.5,105.7,93.7,114.9,117.6
"23","16","Less: Consumption of fixed capital","B366RX1",28.8,28.7,28.7,28.9,29.4,30.2,31.2,32,32.6,33.4,34.2,35.1,34.4,36.4,39,41.2
"24","17","Equals: Net farm value added","A365RX1",43.6,56.1,50.2,53.1,61.1,66.1,70.5,70.6,54.8,61.8,75.6,76.4,71.7,60.3,77,78
"25",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","18","  Change in farm inventories \1\","B018RX1",-4.2,-2,0.1,-3.5,0.1,9,0.3,-4.2,-0.9,1.1,-1.6,-7,1.4,-12.6,6.7,3.7
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","1. Beginning with 1991, includes change in farm materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula for the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
