"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11"
"1","[Billions of dollars; quarterly totals not seasonally adjusted];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1968 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 04, 2015 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/4/2015 6:35:29 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1968,1968,1968,1968,1969,1969,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4
"9",NA,"      Current receipts"," ",NA,NA,NA,NA,NA,NA,NA,NA
"10","1","Budget receipts","M318011",36.1,50.3,43.6,39.2,44.2,60.7,48,42.9
"11","2","Less: Coverage differences","M318021",1.1,1.4,1.1,1.1,1.5,1.5,1.2,1.2
"12","3","  Contributions received by federal employee pension and insurance funds \1\","M318041",0.3,0.4,0.4,0.4,0.4,0.3,0.4,0.4
"13","4","  Capital transfers received \2\","M318051",0.7,1,0.7,0.7,0.8,1.3,0.7,0.8
"14","5","  Financial transactions","M318061",0,0,0,0,0,0,0,0
"15","6","  Other \3\","M318071",0.1,-0.1,0,0,0.3,-0.1,0,0.1
"16","7","Less: Netting and grossing differences","M318081",-1,-0.9,-0.9,-1.1,-1.2,-0.7,-0.7,-1.1
"17","8","  Supplementary medical insurance premiums","M318091",NA,NA,NA,NA,NA,NA,NA,NA
"18","9","  Interest receipts","W704MC1",-0.6,-0.6,-0.7,-0.7,-0.5,-0.6,-0.6,-0.7
"19","10","  Current surplus of government enterprises","W705MC1",0.3,0.3,0.4,0.2,0.3,0.3,0.4,0.2
"20","11","  Other \4\","M318111",-0.7,-0.5,-0.6,-0.5,-1,-0.5,-0.5,-0.6
"21","12","Plus: Timing differences","M318121",3.4,-3.1,0.1,1.6,2.5,-5.4,0.1,0.6
"22","13","  Taxes on corporate income","M318131",2,-3.4,0.5,2,0.9,-5.9,0.7,1.3
