"","Table 1#8#3# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"1","[Index numbers, 2009=100]; Seasonally adjusted                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 29, 2015  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/4/2015 6:25:11 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","Gross domestic product","A191RA3",13.416,13.401,13.388,13.598,13.798,14.022,14.101,14.116,13.923,13.876,14.029,13.903,14.457,14.894,15.468,15.767,15.983,16.26,16.595,16.632,16.808,16.843,16.965,17.521,17.847,17.987,17.886,17.614,17.533,17.551,17.75,18.096,18.613,18.916,19.17,19.286,19.211,19.37,19.354,19.671,19.797,19.753,19.946,19.741,19.23,19.356,19.804,20.267,20.644,21.146,21.105,21.188,21.66,21.578,21.632,21.37,21.515,21.915,22.281,22.732,23.142,23.391,23.614,23.706,23.969,24.282,24.756,24.933,25.472,25.775,26.125,26.217,26.864,27.231,27.784,28.44,29.142,29.261,29.47,29.722,29.995,30.021,30.281,30.524,31.144,31.67,31.898,32.04,32.538,32.643,32.847,32.704
"10","2","Less: Exports of goods and services","B020RA3",5.731,5.659,5.372,4.763,4.546,4.121,4.218,4.069,4.556,4.517,4.14,3.584,3.525,3.567,3.66,3.956,4.154,4.563,4.675,4.631,4.877,4.341,3.998,4.026,3.958,3.982,4.142,4.005,3.826,4.376,4.235,4.43,4.595,4.487,4.782,4.803,5.031,5.37,5.549,5.798,6.176,5.993,5.825,5.651,5.09,5.114,5.13,5.114,5.453,5.634,5.813,5.657,6.365,6.77,6.599,6.735,6.689,6.596,6.56,6.763,6.747,7.394,6.981,6.83,6.99,7.808,7.391,7.762,8.237,8.374,8.31,8.557,7.634,9.067,8.547,9.167,9.005,9.4,9.045,9.343,9.521,9.436,9.208,9.47,9.746,9.94,10.526,10.393,9.148,11.199,10.931,11.307
"11","3","Plus: Imports of goods and services","B021RA3",2.758,2.811,2.493,2.627,2.963,3.08,3.241,3.188,3.093,3.047,2.923,2.967,3.05,3.219,3.972,3.979,3.979,3.848,3.522,3.43,3.828,3.808,4.041,4.403,4.294,4.517,4.5,4.279,4.032,4.394,4.129,4.168,4.415,4.665,4.743,4.915,5.122,5.095,5.139,4.903,5.293,5.335,5.232,5.25,5.328,5.556,5.471,5.757,5.906,6.192,6.25,6.091,6.322,6.37,6.182,5.891,5.862,5.933,6.326,6.477,6.674,6.82,6.906,6.991,6.829,6.989,7.167,7.143,7.137,7.297,7.493,7.696,7.419,8.294,8.328,8.735,8.96,9.183,9.698,9.807,9.96,9.881,10.011,10.539,11.159,11.33,12.011,11.909,10.786,12.914,12.747,12.607
"12","4","Equals: Gross domestic purchases","B712RA3",12.752,12.758,12.746,13.093,13.387,13.709,13.794,13.828,13.535,13.488,13.686,13.663,14.235,14.689,15.365,15.614,15.796,15.977,16.229,16.256,16.46,16.585,16.807,17.416,17.732,17.903,17.772,17.489,17.398,17.383,17.561,17.877,18.402,18.762,18.977,19.116,19.037,19.133,19.094,19.329,19.453,19.447,19.65,19.479,19.075,19.231,19.661,20.166,20.508,21.019,20.959,21.043,21.432,21.292,21.345,21.021,21.169,21.592,22.018,22.456,22.894,23.059,23.359,23.486,23.7,23.904,24.466,24.58,25.04,25.343,25.729,25.811,26.562,26.822,27.46,28.072,28.828,28.915,29.252,29.471,29.735,29.764,30.077,30.35,31.009,31.525,31.751,31.9,32.443,32.508,32.731,32.512
"13","5","Plus: Exports of goods and services, command basis \1\","C020RA3",9.403,9.861,9.69,8.614,8.162,7.261,7.208,6.844,7.55,7.388,6.713,5.744,5.571,5.623,5.699,6.168,6.628,7.496,7.88,7.837,8.046,7.118,6.5,6.516,6.427,6.444,6.656,6.389,6.045,6.874,6.643,6.937,7.193,7.017,7.465,7.5,7.839,8.375,8.659,9.097,9.721,9.442,9.138,8.807,7.794,7.768,7.768,7.746,8.169,8.427,8.732,8.555,9.623,10.181,9.926,10.053,10.02,9.998,9.904,10.265,10.211,11.049,10.401,10.165,10.364,11.548,10.89,11.371,12.047,12.202,12.15,12.6,11.454,13.497,12.675,13.447,13.354,13.926,13.448,14.023,14.494,14.259,13.773,14.094,14.452,14.886,15.408,15.106,13.364,16.169,15.777,16.491
"14","6","Less: Imports of goods and services, command basis \1\","C021RA3",3.077,3.322,3.059,3.264,3.717,3.828,3.917,3.793,3.61,3.54,3.402,3.458,3.621,3.879,4.837,4.994,5.244,5.32,5.001,4.828,5.158,5.028,5.205,5.562,5.373,5.584,5.516,5.228,4.959,5.418,5.126,5.171,5.391,5.669,5.738,5.926,6.134,6.092,6.116,5.854,6.278,6.288,6.085,6.013,5.912,6.076,5.961,6.28,6.419,6.743,6.813,6.679,6.899,6.923,6.723,6.36,6.329,6.39,6.791,6.935,7.033,7.174,7.223,7.331,7.189,7.382,7.604,7.57,7.599,7.784,7.945,8.153,7.894,8.747,8.802,9.262,9.493,9.743,10.179,10.275,10.401,10.231,10.275,10.708,11.291,11.429,12.015,11.832,10.658,12.647,12.4,12.424
"15","7","Equals: Command-basis gross domestic product \1,2\","C191RA3",13.682,13.713,13.732,13.999,14.139,14.315,14.399,14.46,14.233,14.124,14.308,14.175,14.738,15.161,15.746,16.075,16.317,16.604,16.906,16.924,17.082,17.081,17.278,17.844,18.172,18.313,18.22,17.921,17.807,17.804,18.039,18.415,18.97,19.253,19.518,19.702,19.632,19.728,19.745,20.028,20.212,20.171,20.34,20.034,19.572,19.679,20.209,20.752,21.083,21.564,21.517,21.604,22.137,22.028,22.064,21.764,21.938,22.368,22.75,23.239,23.674,23.889,24.112,24.193,24.442,24.776,25.256,25.47,25.998,26.284,26.627,26.739,27.438,27.809,28.348,29.005,29.749,29.841,30.1,30.382,30.687,30.686,30.966,31.224,31.863,32.402,32.619,32.769,33.306,33.393,33.607,33.469
"16","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RA3",1.806,1.93,1.942,2.142,2.271,2.359,2.441,2.34,2.357,2.283,2.257,2.102,2.255,2.373,2.686,2.668,2.587,2.957,3.054,3.168,2.966,3.037,2.989,2.972,2.937,3.078,2.849,2.91,3.03,3.014,3.042,3.355,3.462,3.509,3.564,3.626,3.931,3.861,3.973,3.604,4.085,4.324,4.198,3.529,3.609,3.576,3.543,3.581,3.632,3.709,3.987,4.243,4.318,4.323,4.431,4.52,4.733,4.584,4.73,4.857,4.777,5.137,5.194,5.802,5.599,5.531,5.692,5.889,6.274,6.15,6.28,6.08,6.718,6.912,6.624,6.271,6.466,6.52,6.576,6.858,6.813,6.666,7.092,7.091,7.395,7.681,7.908,7.894,8.241,8.463,8.728,8.889
"17","9","Less: Income payments to the rest of the world, command basis \1\","C655RA3",0.76,0.75,0.733,0.866,0.82,0.828,0.968,0.855,0.997,0.974,1.011,1.023,1.075,1.106,1.125,1.138,1.212,1.224,1.203,1.171,1.117,1.195,1.2,1.244,1.242,1.237,1.276,1.337,1.276,1.264,1.246,1.251,1.295,1.406,1.435,1.432,1.443,1.403,1.466,1.478,1.487,1.475,1.506,1.508,1.52,1.413,1.484,1.561,1.648,1.736,1.838,1.948,2.173,2.102,2.071,1.982,2.006,2.023,2.103,2.167,2.077,2.112,2.129,2.156,2.174,2.283,2.385,2.465,2.502,2.564,2.566,2.714,2.75,2.804,2.884,2.971,3.027,3.088,3.296,3.391,3.395,3.382,3.355,3.524,3.746,3.996,4.104,4.153,4.603,5.138,5.764,5.981
"18","10","Equals: Command-basis gross national product \1,3\","CB22RA3",13.594,13.631,13.651,13.919,14.065,14.243,14.325,14.386,14.157,14.046,14.226,14.087,14.649,15.072,15.664,15.988,16.222,16.522,16.826,16.85,16.999,16.999,17.191,17.748,18.072,18.218,18.114,17.819,17.714,17.711,17.945,18.331,18.883,19.162,19.425,19.61,19.555,19.648,19.667,19.931,20.134,20.105,20.265,19.932,19.478,19.586,20.106,20.643,20.97,21.447,21.409,21.502,22.025,21.921,21.962,21.672,21.853,22.271,22.654,23.141,23.57,23.799,24.021,24.127,24.364,24.688,25.166,25.384,25.922,26.198,26.543,26.64,27.359,27.733,28.25,28.882,29.625,29.716,29.968,30.257,30.556,30.55,30.846,31.095,31.735,32.272,32.493,32.639,33.17,33.249,33.451,33.314
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Command-basis net domestic product \4\","C362RA3",14.958,14.982,14.997,15.329,15.507,15.727,15.829,15.902,15.612,15.469,15.688,15.517,16.207,16.721,17.433,17.824,18.104,18.438,18.79,18.785,18.952,18.921,19.134,19.804,20.176,20.317,20.166,19.76,19.583,19.549,19.81,20.25,20.911,21.234,21.533,21.733,21.614,21.701,21.69,22.014,22.211,22.127,22.302,21.88,21.262,21.359,21.988,22.639,23.029,23.606,23.524,23.606,24.247,24.084,24.099,23.693,23.876,24.378,24.821,25.395,25.897,26.128,26.365,26.423,26.689,27.061,27.613,27.834,28.446,28.756,29.133,29.223,30.038,30.443,31.053,31.81,32.669,32.719,32.976,33.262,33.576,33.511,33.794,34.051,34.784,35.389,35.594,35.717,36.315,36.363,36.567,36.338
"21","12","  Net domestic product","A362RA3",14.644,14.61,14.583,14.845,15.096,15.376,15.471,15.486,15.238,15.174,15.354,15.192,15.87,16.4,17.099,17.451,17.699,18.02,18.412,18.431,18.622,18.635,18.755,19.414,19.783,19.922,19.763,19.392,19.256,19.249,19.466,19.868,20.481,20.828,21.115,21.229,21.104,21.27,21.219,21.584,21.71,21.623,21.828,21.534,20.856,20.978,21.504,22.055,22.502,23.105,23.031,23.109,23.673,23.544,23.582,23.225,23.373,23.837,24.259,24.786,25.257,25.53,25.767,25.839,26.124,26.469,27.015,27.189,27.816,28.147,28.534,28.6,29.349,29.749,30.378,31.131,31.939,32.024,32.219,32.469,32.744,32.714,32.973,33.213,33.921,34.51,34.73,34.844,35.395,35.464,35.658,35.424
"22","13","  Command-basis net national product \4\","C027RA3",14.84,14.871,14.888,15.221,15.406,15.627,15.727,15.798,15.506,15.362,15.576,15.398,16.086,16.599,17.318,17.703,17.972,18.322,18.676,18.678,18.835,18.805,19.012,19.67,20.037,20.183,20.02,19.62,19.454,19.42,19.681,20.132,20.789,21.105,21.403,21.604,21.503,21.587,21.58,21.879,22.1,22.031,22.195,21.741,21.134,21.233,21.849,22.492,22.875,23.446,23.376,23.467,24.094,23.937,23.959,23.566,23.758,24.245,24.686,25.258,25.753,26,26.236,26.326,26.576,26.935,27.485,27.71,28.335,28.631,29.011,29.082,29.921,30.329,30.913,31.636,32.494,32.544,32.792,33.085,33.393,33.321,33.625,33.872,34.603,35.206,35.416,35.534,36.126,36.162,36.352,36.125
"23","14","  Net national product","A027RA3",14.567,14.538,14.511,14.774,15.032,15.314,15.409,15.423,15.174,15.107,15.282,15.113,15.789,16.319,17.029,17.376,17.617,17.954,18.347,18.373,18.554,18.568,18.684,19.334,19.697,19.842,19.67,19.304,19.179,19.171,19.388,19.802,20.411,20.751,21.037,21.154,21.047,21.209,21.162,21.503,21.655,21.581,21.776,21.448,20.781,20.905,21.42,21.963,22.404,23,22.938,23.025,23.577,23.453,23.498,23.154,23.311,23.76,24.181,24.707,25.171,25.46,25.696,25.798,26.069,26.403,26.946,27.126,27.767,28.084,28.474,28.522,29.295,29.699,30.302,31.025,31.831,31.916,32.104,32.361,32.631,32.594,32.874,33.104,33.811,34.399,34.624,34.735,35.281,35.34,35.519,35.288
"24",NA,"  Percent change from preceding period (seasonally adjusted at annual rates):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","15","    Real gross domestic product","A191RL1",NA,-0.4,-0.4,6.4,6,6.7,2.3,0.4,-5.4,-1.3,4.5,-3.5,16.9,12.7,16.3,8,5.6,7.1,8.5,0.9,4.3,0.8,2.9,13.8,7.7,3.2,-2.2,-5.9,-1.8,0.4,4.6,8,11.9,6.7,5.5,2.4,-1.5,3.4,-0.3,6.7,2.6,-0.9,4,-4,-10,2.6,9.6,9.7,7.7,10.1,-0.8,1.6,9.2,-1.5,1,-4.8,2.7,7.6,6.8,8.3,7.4,4.4,3.9,1.6,4.5,5.3,8,2.9,8.9,4.8,5.5,1.4,10.2,5.6,8.4,9.8,10.2,1.6,2.9,3.5,3.7,0.3,3.5,3.2,8.4,6.9,2.9,1.8,6.4,1.3,2.5,-1.7
"26","16","    Command-basis gross domestic product","C191RL1",NA,0.9,0.6,8,4.1,5.1,2.4,1.7,-6.1,-3,5.3,-3.7,16.9,12,16.4,8.6,6.2,7.2,7.5,0.4,3.8,0,4.7,13.8,7.6,3.1,-2,-6.4,-2.5,-0.1,5.4,8.6,12.6,6.1,5.6,3.8,-1.4,2,0.3,5.9,3.7,-0.8,3.4,-5.9,-8.9,2.2,11.2,11.2,6.5,9.4,-0.9,1.6,10.2,-2,0.7,-5.3,3.2,8.1,7,8.9,7.7,3.7,3.8,1.4,4.2,5.6,8,3.4,8.6,4.5,5.3,1.7,10.9,5.5,8,9.6,10.7,1.2,3.5,3.8,4.1,0,3.7,3.4,8.4,6.9,2.7,1.9,6.7,1,2.6,-1.6
"27","17","    Real gross national product","A001RL1",NA,-0.3,-0.4,6.5,6.2,6.7,2.3,0.4,-5.4,-1.4,4.4,-3.7,17,12.7,16.7,7.9,5.5,7.5,8.5,1,4.1,0.8,2.9,13.6,7.6,3.3,-2.5,-5.9,-1.7,0.4,4.6,8.3,11.9,6.6,5.5,2.5,-1.2,3.3,-0.3,6.3,3,-0.7,3.8,-4.6,-9.9,2.7,9.4,9.6,7.6,10,-0.6,1.7,9.1,-1.5,1.1,-4.6,2.9,7.4,6.9,8.4,7.3,4.6,3.9,2,4.3,5.2,8,3,9.2,4.7,5.6,1.2,10.6,5.6,8.1,9.4,10.3,1.6,2.8,3.6,3.7,0.3,3.8,3.1,8.4,6.9,3,1.8,6.3,1.2,2.4,-1.7
"28","18","    Command-basis gross national product","CB22RL1",NA,1.1,0.6,8.1,4.3,5.2,2.3,1.7,-6.2,-3.1,5.2,-3.9,16.9,12.1,16.7,8.5,6,7.6,7.6,0.6,3.6,0,4.6,13.6,7.5,3.3,-2.3,-6.4,-2.3,-0.1,5.4,8.9,12.6,6,5.6,3.9,-1.1,1.9,0.4,5.5,4.1,-0.6,3.2,-6.4,-8.8,2.2,11.1,11.1,6.5,9.4,-0.7,1.7,10.1,-1.9,0.8,-5.2,3.4,7.9,7.1,8.9,7.6,3.9,3.8,1.8,4,5.4,8,3.5,8.8,4.3,5.4,1.5,11.2,5.6,7.7,9.3,10.7,1.2,3.4,3.9,4,-0.1,3.9,3.3,8.5,6.9,2.8,1.8,6.7,1,2.5,-1.6
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Deflator is the gross domestic purchases price index.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2. This measure is called 'real gross domestic income' in the System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","3. This measure is called 'real gross national income' in the System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","4. Deflator is the net domestic purchases price index.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
