"","Table 6#17A# Corporate Profits Before Tax by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/4/2015 6:43:49 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948
"8","1","    Corporate profits before tax","A053RC0",10911,4559,562,-1346,1832,3215,4371,7107,7629,4603,7778,10636,18762,22476,25846,24786,20393,25563,32636,36502
"9","2","Domestic industries","E561RC0",10677,4419,567,-1313,1832,3155,4210,7003,7357,4302,7453,10372,18371,22098,25474,24363,20052,24872,31649,35243
"10","3","  Agriculture, forestry, and fisheries","Q3003C0",11,-37,-67,-65,-26,-26,11,21,8,-9,6,19,55,82,108,100,94,146,157,163
"11","4","    Farms","Q3004C0",2,-44,-68,-64,-29,-29,8,16,4,-10,4,18,50,71,102,94,89,140,152,159
"12","5","    Agricultural services, forestry, and fisheries","Q3005C0",9,7,1,-1,3,3,3,5,4,1,2,1,5,11,6,6,5,6,5,4
"13","6","  Mining","Q3006C0",472,126,-129,-74,-23,168,177,322,514,280,346,483,647,598,523,508,411,464,989,1517
"14","7","    Metal mining","Q3007C0",253,43,-32,-45,20,58,81,136,242,122,180,239,268,293,177,129,104,79,215,282
"15","8","    Anthracite mining","B3077C0",10,13,7,-12,-7,0,-11,-5,-13,-12,-13,6,15,18,17,22,11,34,35,444
"16","9","    Bituminous and other soft coal mining \1\","B3008C0",16,-7,-21,-26,-21,19,8,12,16,-13,13,45,79,107,140,145,113,122,327,NA
"17","10","    Crude petroleum and natural gas","Q3009C0",133,32,-96,12,-17,78,80,144,228,162,130,153,221,111,134,162,132,143,299,653
"18","11","    Nonmetallic mining and quarrying","Q3010C0",60,45,13,-3,2,13,19,35,41,21,36,40,64,69,55,50,51,86,113,138
"19","12","  Contract construction","Q3011C0",148,118,18,-68,-31,9,31,71,66,38,47,85,205,329,246,127,96,229,400,684
"20","13","  Manufacturing","Q563RC0",5060,1815,-163,-1152,934,1496,2245,3693,3857,1712,3835,5740,11288,12837,14477,13595,10276,12421,17777,19514
"21","14","    Durable goods","Q565RC0",2610,696,-531,-1309,-176,346,906,1740,2077,535,1722,3206,6839,7487,8160,7448,4724,3900,8052,9456
"22","15","      Lumber and basic timber products","Q3014C0",112,-7,-83,-85,3,-5,16,57,79,6,40,96,200,214,189,171,114,280,536,576
"23","16","      Furniture and finished lumber products \2\","B3015C0",38,-39,-60,-77,-19,-8,7,35,31,16,56,76,153,145,141,160,134,240,285,NA
"24","17","      Stone, clay, and glass products","Q3016C0",160,67,-11,-69,7,52,82,163,156,73,163,209,361,350,293,233,214,379,468,555
"25","18","      Iron and steel and their products, including ordnance","Q3017C0",861,287,-141,-302,-27,118,199,398,534,27,325,649,1642,2066,2138,1818,1205,1079,1965,1859
"26","19","      Nonferrous metals and their products \3\","B3018C0",218,54,-10,-47,60,116,140,188,198,49,155,224,395,374,487,431,264,402,604,NA
"27","20","      Machinery, except electrical","Q3019C0",498,184,-59,-201,-32,118,198,358,456,218,346,696,1454,1648,1495,1310,872,760,1550,1727
"28","21","      Electric and electronic equipment","Q3020C0",118,-17,-106,-186,-166,-150,-38,45,101,14,111,282,663,681,819,825,501,200,851,903
"29","22","      Motor vehicles and equipment","Q3021C0",465,164,46,-190,64,104,254,399,379,73,347,558,928,406,366,339,208,208,1348,1751
"30","23","      Other transportation equipment \3\","B3022C0",45,4,-49,-49,-39,-21,-22,9,53,12,91,303,809,1346,1918,1862,965,-7,27,NA
"31","24","      Miscellaneous manufacturing, including instruments and miscellaneous plastic products \4\","B3024C0",95,-1,-58,-103,-27,22,70,88,90,47,88,113,234,257,314,299,247,359,418,NA
"32","25","    Nondurable goods","Q564RC0",2450,1119,368,157,1110,1150,1339,1953,1780,1177,2113,2534,4449,5350,6317,6147,5552,8521,9725,10058
"33","26","      Food and kindred products","Q3026C0",472,374,201,94,366,428,416,542,364,372,563,577,907,1266,1517,1520,1432,2045,1864,1618
"34","27","      Tobacco manufactures","Q3027C0",141,157,167,175,78,127,122,142,137,140,152,163,189,197,197,173,145,175,194,244
"35","28","      Textile mill products","Q3028C0",178,-161,-114,-124,201,63,101,203,118,-3,186,228,623,860,831,787,729,1414,1551,1508
"36","29","      Apparel and other textile products","Q3029C0",38,-34,-60,-70,22,24,27,58,32,19,52,62,146,224,261,259,251,508,467,309
"37","30","      Paper and allied products","Q3030C0",111,56,1,-49,42,78,86,113,140,53,124,203,399,373,403,412,343,591,952,808
"38","31","      Printing and publishing","Q3031C0",356,247,151,55,96,137,161,197,174,117,155,196,243,299,523,644,662,690,671,634
"39","32","      Chemicals and allied products","Q3032C0",427,298,210,121,244,301,322,402,395,304,517,657,1062,1120,1222,1162,999,1492,1800,1641
"40","33","      Petroleum and coal products","Q3033C0",645,234,-154,-1,4,-37,36,205,368,146,258,342,621,689,918,754,609,1053,1782,2909
