"","Table 7#24# Transactions of State and Local Government Defined B","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/23/2015 12:45:14 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","Current receipts, accrual basis","Y307RC1",17.9,20.8,24.5,29.6,30.5,35,41.5,42.7,47.3,52.9,60,67,74.9,90.3,101.9,106.4,115.6,126.6,132.7,139.8,168.2,170.7,186.2,203.9,210,226.8,255.8,251.3,272.2,260.1,260.3,239,241,279.1,359.8,379.6,383.5,404.6,408.5,385.9,478.8,501.2,499.1,534.4,555.3,532
"9","2","  Output \1\","Y327RC1",0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.7,0.8,0.9,1,1.3,1.4,1.6,1.8,2,2.2,2.5,3.4,3.9,4.2,4.6,6,7.5,7.7,7.8,9,10.1,12.6,14,10.9,8.7,9.8,10.4,11.1,11.7,12.1
"10","3","  Contributions","Y308RC1",13.6,15.5,18.3,21.9,22.3,25.3,29.6,30,33.1,36.9,41.5,45.6,50.5,59.2,66.2,69.6,75.3,82.2,86.5,91.6,110.6,114.4,124.4,140.1,145,155.7,172.8,172.3,185.4,182.6,185.9,178.6,182.6,204.9,250.4,269.5,272.6,285.5,290.9,286.1,337.4,356.6,355.5,373.1,384.1,372.9
"11","4","    Claims to benefits accrued through service to employers","Y318RC1",9.3,10.3,12.3,14.4,14.3,15.8,17.9,17.5,19.1,21.1,23.2,24.4,26.5,28.5,30.9,33.1,35.6,38.6,41.3,44.4,54.2,59.5,64.2,78.1,82.1,86.9,92.3,96.7,102.5,109.3,116.2,124,131.7,138.4,148.8,168.3,171.8,179,187.4,197.3,204.6,221.7,222.2,222.9,224.5,225.9
