"","Table 5#6#6BM# Change in Real Private Inventories by Industry   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186"
"12","4","  Durable goods industries","KC30D0",16356,10608,1032,22260,18480,10764,24816,11484,12060,27036,-8052,36840,35148,31944,28404,20052,12972,21420,2256,17508,10740,28560,7860,-8100,-19020,13488,26784,-9444,2784,-5532,28968,-8928,14940,-7344,27408,21984,-15564,18912,-8664,18636,-11040,25788,6936,19932,-11940,21504,27384,-6576,19452,-23748,-41064,-288,-15144,-24468,-29088,-17916,-25320,-21240,-32892,-38184,-12312,-14016,-25632,-5268,-17976,1668,-8244,1884,-3468,-3024,-15072,31908,-14436,33744,-12744,-3156,-1620,-27276,-22116,-10800,-18324,9204,-16104,19764,-10740,1092,96,-2436,2244,19452,14940,5664,-11304,8964,21192,-984,35592,30612,17316,4788,12912,-540,37248,-72,3036,24288,27048,6792,15060,-9600,18348,20652,4776,10596,23760,1716,24096,21888,3852,4692,23940,7680,828,9072,9516,1932,-2076,1572,19776,11484,14700,34944,1020,-5580,3420,-17508,-19212,-21720,-4488,1764,-15984,12972,14844,7020,6516,-19428,-51288,-20724,-24252,-50088,-17856,-37824,-30420,-4008,300,-15576,3612,21276,5976,14940,20208,33312,14784,25692,24360,17652,22728,17712,20328,22200,39240,21000,31860,10728,27180,30696,-516,19476,26208,15312,25848,3900,9840
"13","5","  Nondurable goods industries","KC30N0",5688,5568,12768,12912,8664,5916,-7608,15276,13944,15648,9252,8232,540,7848,-960,-3816,-144,-1788,4836,-7536,-7308,2976,13752,-21036,13872,4572,5220,16500,18840,-1944,1980,5940,7752,14352,16200,9444,-576,2136,-8148,5832,960,8496,12180,-7968,1668,3144,984,-10788,19488,-35064,-3936,-216,-6816,-15756,-3972,-5328,4332,-732,-3780,-4560,-2076,-36564,1128,8556,-1872,4020,11844,8220,12936,3108,4164,-3504,-10512,18480,-11700,4680,-5724,1380,-6768,5796,-9312,-9216,7500,-21504,-8100,11028,852,-8448,4620,5004,8712,7428,-16176,6624,18372,-7056,27036,6420,8616,-2844,-21492,13488,5856,-8076,-2076,16008,-11376,21972,29520,-8892,11532,9132,6840,17700,-1716,9108,564,-6492,4536,-7476,-9252,1632,-2100,19788,21816,1872,-6060,-12972,36372,-4056,4476,972,65280,4320,4464,-20052,-22536,36840,-30168,-15456,-30696,-16368,-5652,-91224,-11760,-36228,2028,-27936,-3468,-48,-16968,-2244,-21840,21084,-3780,-13428,-8520,22020,-5928,-4320,-41268,-3396,6900,-13356,16344,27816,9924,22428,23148,3324,-5352,25452,-7320,-6144,-4308,-14784,1368,36228,7020,-5028,13608,1200,-7056
"14","6","Wholesale trade industries","KCWT0",41412,5076,17832,20424,25608,61596,-4776,21912,36360,27492,35376,34704,13560,48528,38124,8016,35496,492,12576,45096,33252,18492,24744,6072,10188,37380,25380,10296,8856,7104,37368,16884,16104,38364,39360,5724,27288,10188,16212,36336,12336,31272,19356,20760,4884,40176,27660,1572,-4092,-7908,-7116,13476,4584,-38616,-48000,-13320,-14376,-11604,-30972,-5400,-3060,-36276,14700,-6012,8088,11784,29664,-13644,-1752,-15996,-9504,21180,-23820,6408,-2232,8328,-21288,-8688,6696,-8964,-4956,32040,-6432,18408,-7332,36648,13920,-20316,40896,28752,55980,36408,-6684,32832,40548,-5700,68292,15996,22524,28488,-9276,17988,8772,2904,-5028,28500,12348,26040,15264,34224,4656,28248,19908,12768,8844,27372,13584,20436,37968,-63000,-8364,10704,2028,4572,8184,5868,8184,-7200,50184,-36864,7392,9084,14028,11712,-11268,35136,-16788,59208,19596,24936,-20172,6780,16824,-32868,-36624,-85176,-79296,-61416,-64356,-88476,-75444,-69600,-68328,25764,17532,-71520,1944,15000,25464,29292,37944,13560,76896,29064,44868,89616,-40332,288,25368,10476,30948,30732,70476,15732,40116,9036,-29856,50244,8952,34260,23016,35544,4632
"15",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","7","    Durable goods industries","KCWTD0",21828,8256,15060,16704,19188,40836,-12600,8940,28368,9960,13884,31476,17112,31524,27528,6624,21276,-1824,8892,36504,21756,17808,4056,15600,8232,22572,17556,-1140,20580,15336,14460,3204,14580,21360,30216,8352,11556,12000,11652,27912,10752,29388,11220,17928,-2256,22176,18132,-1896,5544,-12000,-14100,-6048,-13776,-46068,-28716,-21984,-17292,-3528,-41232,-12936,-9756,-18540,7008,4644,4200,1692,22800,6708,624,-11664,240,-2976,-7728,19044,-312,7092,-11856,-5304,-8784,-5964,-9324,5340,-4752,32388,7944,20016,17484,-7212,30156,29004,24864,42012,14724,14736,20340,3168,32040,22356,13152,9636,4932,20964,15756,5076,-17304,38460,15084,288,8088,15324,-5796,34896,7380,6144,11340,12144,26724,17388,8700,-32880,17520,10680,5796,-19308,6084,-5772,-22368,-4908,17340,-21996,5232,21492,18240,11472,2868,28092,2256,-1332,20064,29232,18024,-3828,-6804,-20484,-28620,-78492,-80220,-53424,-58704,-53688,-46728,-51636,-36516,-3996,-15432,-39504,-5544,15528,30156,9696,23520,11304,34860,26964,16152,27960,10548,3228,17664,15588,12420,12612,50964,28224,29892,34740,5076,18060,2196,22236,30960,11388,26988
"17","8","    Nondurable goods industries","KCWTN0",20196,-4560,1572,2508,5304,19488,10392,13956,6132,19068,23160,444,-5832,16236,9312,936,14112,2856,3336,6084,10908,-1044,23208,-12372,1452,14664,7224,13032,-15108,-10668,24456,15012,504,17232,7812,-3492,16464,-2796,4200,7440,1080,312,8160,2004,7872,18156,9312,3804,-10392,4944,8100,21048,20124,10080,-19104,10296,3984,-8412,13104,8784,7716,-18036,7872,-11592,3960,10692,6288,-21612,-2484,-4176,-10128,25236,-16500,-13476,-1980,1104,-9480,-3372,16248,-2964,4692,27264,-1716,-14808,-15672,16668,-3852,-13272,10560,-624,31452,-6384,-22140,18240,20328,-9120,36552,-6792,9360,19008,-14400,-3120,-6936,-2064,12108,-9396,-2544,25332,7152,18804,10320,-6300,12456,6624,-2328,15108,-12708,3168,28836,-29904,-24936,204,-3552,22464,2088,10968,28668,-2496,31656,-15060,2052,-10332,-2868,792,-12672,8112,-17076,53772,840,-1968,-33348,9312,21432,-12696,-8712,-9012,-1788,-9480,-7608,-35004,-28980,-18996,-31536,27744,30096,-31824,6684,264,-2880,18732,14568,2628,40896,3216,27324,57648,-45096,-2520,8304,-3060,17292,16920,21744,-8256,11676,-19140,-29832,29604,6072,12528,-3900,21948,-16584
"18",NA,"  By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","9","    Merchant wholesale industries","KC42W0",31980,4440,23760,13248,21912,62268,-5604,19860,34764,19092,31200,29760,12372,42876,32184,8760,33564,288,13392,42828,28224,12324,16956,11820,11964,35616,18120,7020,5568,1968,37260,6168,16008,32664,37644,5976,20640,6336,15312,26676,15036,20652,10344,16224,2568,29112,27132,3204,-10476,96,408,12804,12864,-33852,-35856,-8376,-5412,-7116,-23376,-6900,3384,-24816,10056,-10524,7212,9720,22128,-7608,-2604,-20580,-2748,23568,-11712,-2784,2916,6648,-16692,-8796,2580,-15180,6720,29208,-3348,10944,-10932,37608,13248,-13980,30252,23496,60528,27540,-15600,41148,30060,-2328,55920,10512,13356,25056,-1452,13500,4968,1200,2064,16212,1236,29376,744,33192,14484,37356,22320,11748,15108,20736,8832,18096,36708,-42408,-4944,6612,7056,1824,8064,7296,9984,6900,29856,-19080,1248,14628,1476,-3312,-33624,36504,-5808,14400,29016,13860,-5112,-20328,11424,-5328,-12912,-60576,-69360,-43716,-48696,-77268,-59184,-63696,-49836,15876,29088,-51084,-9744,10164,23532,20988,39948,13344,61920,23484,39252,78324,-46440,10140,6576,1752,20604,14784,66996,18732,26724,5376,-34932,46128,-396,42600,15264,36192,8520
"20","10","      Durable goods industries","KC42WD0",13788,6924,21948,10788,16464,44184,-13980,9000,27900,2832,12744,27060,14376,28260,23928,8868,20352,-2724,9552,34380,16296,14136,-1572,18696,11100,19956,13452,-4344,19956,10944,17484,-3216,14724,17916,30324,7104,7116,10152,9828,21192,15120,22236,4440,12792,-2004,13056,16404,96,1788,-7284,-6228,-6636,-8100,-44412,-21516,-18780,-10344,1764,-36576,-13428,-4224,-16488,4032,-264,1836,3960,15648,8496,-240,-14436,-216,-828,-5208,16404,3864,6828,-9408,-4260,-9204,-10164,-120,1380,-4116,25008,1416,24276,18180,-2508,29808,22152,31368,36132,2292,20484,18072,3744,31884,15132,3888,8568,5352,23088,13380,-2292,-8700,30120,2520,8724,-228,17472,8352,39756,11268,5436,13656,3600,19104,16908,2772,-15696,11052,6060,6360,-13872,9576,-7728,-14844,648,8640,-9108,3072,12900,19980,6108,-7044,28704,660,-3624,21972,22956,16860,-9660,2244,-22356,-21288,-67548,-71856,-49128,-49380,-40644,-43932,-49164,-31188,-4536,-16152,-40572,-9012,9516,22200,7836,17580,9480,26400,20268,17028,25992,5148,11880,13128,7944,5808,12936,45312,26136,21948,23628,4872,17040,-1032,23100,24888,14352,25284
"21","11","      Nondurable goods industries","KC42WN0",19320,-3420,192,1872,4716,16608,10596,11448,5340,17976,19608,852,-3384,14088,7356,-792,13164,3564,3552,6720,12048,-3132,20724,-9000,168,15876,4224,12828,-17232,-10644,20556,10500,456,14988,6144,-1620,14268,-4680,5388,4860,-816,-2736,6108,3084,4992,16488,10704,3276,-12852,8016,7224,20616,22248,12624,-14256,11604,5556,-9336,15192,7380,8184,-8148,6180,-10728,5556,5916,6288,-16824,-2424,-6048,-2592,25044,-6588,-19788,-1032,-240,-7296,-4572,12180,-4992,6960,28140,744,-14328,-12444,13284,-5052,-11556,312,1212,29280,-9072,-18204,20736,11940,-6264,24108,-4848,9564,16572,-6900,-9720,-8388,3528,10680,-13512,-1260,20460,984,15720,6156,-2208,11064,6324,1548,16992,-10020,1308,33312,-26244,-15420,588,744,14748,-1332,14208,23412,5856,20304,-9804,-1656,2172,-15876,-8376,-24564,8640,-6024,15660,7500,-6912,-19068,-10728,8076,14628,7116,4308,-108,3324,-1320,-36120,-16128,-15564,-18792,19020,41724,-11628,-1128,984,2172,12576,21660,3960,34320,3828,21288,48948,-46176,-864,-4692,-4716,13464,2760,22968,-4140,6096,-13764,-34140,26820,468,19056,-6108,20280,-12180
