"","Table 4BU2# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186"
"11","28","  Durable goods industries","KS30DW0",109443,109571,109331,109030,109087,108955,108826,108949,108431,108023,108515,110305,111097,112033,113111,114649,115491,116428,116579,117911,117218,118717,118141,118321,116245,116451,117295,116412,116442,115539,117423,116453,117092,117202,117923,117165,116608,117085,116616,116154,114923,114961,113945,113023,112396,112178,113006,112352,112137,111235,110519,111716,110448,109451,108644,108194,108595,107631,105944,104016,104413,104383,102047,101509,101312,101748,101415,101472,101377,100905,100536,102975,102433,103411,102943,103719,103778,102216,101851,101814,101040,101689,101047,102259,101934,101604,100869,100665,100320,100645,101099,100706,99192,99374,100376,99912,100667,102167,102031,101617,102358,102345,104297,103774,104159,105066,105764,106511,107126,105877,106594,107331,107151,107514,107879,106209,107402,107998,107518,108401,109312,109580,109746,110496,111340,111383,111757,112472,113571,114650,115397,117157,117298,117316,117759,117512,117165,116347,115999,115962,114898,115602,115886,116784,117113,116483,115187,114774,114977,114952,115576,114124,113432,114730,115815,115330,116239,117373,117537,118769,119313,120300,120976,122072,123480,124159,125208,126886,127705,128616,131135,132055,133653,134553,135780,136653,135993,136939,138360,138677,139434,140102,140154
"12","29","    Wood product manufacturing","KS321W0",1789,1830,1786,1752,1792,1798,1832,1861,1864,1886,1885,1841,1819,1823,1948,1885,1950,1889,1879,1872,1888,1903,1958,1955,1967,1976,1976,2053,1987,1978,1982,2044,2029,2072,2077,2084,2253,2212,2191,2184,2151,2174,2173,2147,2129,2174,2221,2108,2086,2027,1968,1902,1926,1915,1904,1897,2295,2194,2115,1997,1989,2049,2001,1984,2000,2032,2018,1992,2022,2019,2042,2026,2030,2017,2011,2023,2024,2039,2018,2009,2041,2007,2031,2036,2066,2075,2071,2072,2079,2057,2097,2099,2157,2182,2141,2171,2208,2201,2289,2251,2269,2198,2169,2178,2171,2192,2225,2274,2249,2297,2277,2255,2371,2227,2267,2274,2245,2197,2181,2156,2137,2105,2093,2098,2170,2098,2093,2052,2011,1987,2018,2006,1973,1862,1822,1804,1776,1804,1802,1774,1786,1800,1774,1646,1605,1564,1516,1467,1431,1405,1416,1428,1412,1387,1345,1337,1343,1351,1372,1408,1388,1402,1379,1337,1413,1435,1444,1455,1478,1482,1475,1463,1463,1466,1462,1461,1444,1514,1524,1501,1511,1520,1503
"13","30","    Nonmetallic mineral product manufacturing","KS327W0",1495,1542,1528,1494,1542,1425,1441,1514,1533,1528,1506,1492,1534,1582,1545,1488,1472,1453,1481,1450,1424,1434,1425,1443,1465,1431,1408,1436,1430,1437,1449,1494,1480,1504,1481,1493,1491,1488,1504,1563,1538,1501,1485,1488,1457,1453,1454,1543,1528,1513,1506,1491,1466,1462,1448,1402,1435,1454,1440,1387,1362,1316,1325,1350,1359,1372,1382,1375,1390,1412,1423,1425,1395,1517,1541,1474,1439,1435,1413,1379,1372,1355,1355,1364,1369,1378,1390,1333,1339,1332,1301,1319,1299,1308,1299,1302,1288,1288,1285,1255,1268,1271,1272,1262,1270,1241,1245,1254,1264,1241,1260,1278,1274,1295,1290,1295,1318,1330,1329,1329,1340,1335,1340,1355,1363,1341,1334,1328,1326,1324,1331,1346,1324,1361,1312,1303,1274,1271,1238,1215,1226,1230,1233,1227,1231,1165,1157,1141,1132,1111,1073,1080,1070,1052,1019,976,983,998,983,962,968,988,996,987,999,1006,1026,1015,1003,981,981,987,1004,1006,1004,1002,991,1000,1019,1035,1000,1000,1003
"14","31","    Primary metal manufacturing","KS331W0",8999,9048,9187,9095,9175,9255,9233,9190,9192,9091,9160,9233,9416,9312,9302,9289,9262,9171,9289,9342,9389,9424,9530,9417,9633,9560,9545,9451,9760,9711,9744,9718,9688,9788,9897,9942,9977,9882,9713,9818,9765,9765,9698,9698,9683,9615,9499,9591,9284,9164,9010,8959,8838,8730,8692,8631,8611,8562,8431,8313,8147,8127,7950,7882,7874,7978,7981,8157,8175,8191,8304,8279,8297,8303,8226,8150,8095,7763,7673,7640,7395,7378,7311,7309,7471,7177,7483,7421,7218,7163,7107,7298,7489,7693,7629,7553,7983,7961,7837,7819,8044,8052,8037,7996,8046,7981,7945,8182,8156,8270,8198,8237,8241,8182,8170,8277,8418,8545,8606,8477,8528,8596,8640,8660,8572,8709,8638,8459,8297,8271,8366,8570,8511,8539,8611,8520,8721,8552,8599,8440,8413,8353,8209,7897,7395,7169,6892,6550,6400,6389,6412,6695,6742,6282,6256,6226,6355,6416,6455,6623,6922,6618,6699,6769,6714,6755,6761,6802,6903,6981,6968,7182,7223,7199,7246,7314,7286,7342,7540,7580,7553,7626,7512
"15","32","    Fabricated metal product manufacturing","KS332W0",10612,10707,10772,10838,10793,11019,10999,10995,11009,11044,11105,11242,11121,10988,11203,11282,11294,11407,11293,11350,11290,11183,11158,11196,11156,11078,11126,11066,11211,10976,11082,11062,11132,11256,11413,11339,11558,11548,11466,11515,11606,11628,11614,11576,11499,11505,11415,11364,11593,11409,11323,11254,11271,11207,11081,11035,11301,11102,11057,10876,10609,10679,10708,10757,10740,10959,10857,10793,10853,10735,10772,10830,10549,10782,10705,10515,10482,10425,10259,10399,10314,10430,10443,10532,10596,10560,10588,10502,10522,10533,10467,10284,10177,10159,10288,10458,10412,10516,10738,10708,10850,10783,10865,10979,11065,11089,11217,11189,11418,11300,11317,11466,11421,11536,11605,11723,11717,11731,11871,11908,12117,12015,11901,12062,12088,12095,12165,12216,12422,12626,12306,12439,12400,12497,12499,12253,12270,12164,12172,12188,11576,11722,11757,11909,11817,11656,11521,11388,11259,10956,10983,10557,10618,10692,10864,10597,10581,10590,10621,10723,10496,10563,10702,10660,10641,10662,10828,10798,10870,10881,10981,11038,11109,11146,11262,11379,11335,11441,11639,11772,11793,11828,11777
"16","33","    Machinery manufacturing","KS333W0",14604,14275,14434,14666,14507,14507,14352,14218,14123,14053,14182,14446,14430,14582,14432,14342,14371,14430,14293,14477,14512,14499,14497,14402,14188,13992,14013,14007,14222,13958,14152,14097,13861,14036,13843,13951,14180,14520,14141,13598,14196,14500,14483,14336,14462,14913,15042,15452,14925,14804,14818,14632,14513,14187,14074,13788,13674,13781,13374,13110,13020,13047,12821,12886,12666,12525,12370,12251,12144,11953,11860,12227,11847,11785,11639,11788,11525,11322,11123,11496,11540,11530,11496,11636,11554,11623,11421,11478,11622,11603,11698,11538,11396,11171,11433,11276,11524,11458,11465,11520,11516,11446,11617,11751,11652,11838,11965,11929,11918,11792,11991,11957,11985,12059,12091,11976,12085,11983,11687,12299,12192,12262,12309,12354,12390,12299,12210,12455,12487,12545,12435,12395,12377,12335,12536,12247,12062,11955,11992,12085,12502,12377,12149,12552,12702,12404,12125,11955,12001,11902,11597,11493,11315,11287,11190,11254,11319,11310,11279,11300,11130,11072,11415,11519,11626,11711,11707,11725,11738,11739,11821,11830,12095,12060,12119,11955,11881,12068,12216,12236,12708,12529,12546
"17","34","    Computer and electronic product manufacturing","KS334W0",14922,15019,15200,15117,15200,15415,15758,15744,15836,15580,15886,16374,16256,16586,16902,17066,16988,16986,16599,16689,16310,16389,16375,16245,16213,16371,16386,16639,16721,16506,16406,16415,16334,16349,16119,16067,16369,16603,16464,17433,17501,17711,18158,18436,17477,18097,18913,19049,19411,19522,19652,20102,19175,19235,18476,18471,18076,17554,17281,16420,16622,16584,16665,16360,16399,16397,16428,16353,16613,16226,16309,16319,16385,16528,16578,17002,16983,16941,17238,17169,17137,17551,17787,18365,17881,17894,18215,18723,19206,19289,19429,19684,19672,19868,19916,19698,19740,19717,19833,19891,20055,20266,20979,20824,20881,21539,21728,21582,22185,21563,21362,21363,21222,21208,20910,20677,20459,20537,20279,20128,20311,20282,19934,19476,19880,19435,19415,19518,19681,20058,20092,19979,20278,20296,20164,20861,20815,20474,20764,20621,20618,21003,21094,20923,21049,20860,20867,20826,20783,20356,20168,20062,20173,20227,20341,20760,20575,20841,20654,20686,20863,21438,21369,21724,21667,21756,21662,21555,21112,21244,21670,21876,21857,22026,22059,22003,21960,22065,21738,21213,21242,21060,21244
"18","35","    Electrical equipment, appliance, and component manufacturing","KS335W0",5530,5540,5568,5603,5637,5595,5658,5640,5618,5653,5645,5658,5681,5671,5612,5599,5570,5562,5625,5693,5708,5688,5675,5677,5616,5591,5643,5616,5622,5620,5512,5482,5653,5682,5663,5600,5577,5596,5480,5537,5573,5637,5664,5680,5680,5727,5750,5752,5731,5763,5733,5695,5608,5537,5514,5489,5493,5473,5400,5309,5276,5208,5247,5263,5246,5181,5127,5110,5080,5053,5048,5103,5086,5045,5028,5003,4970,4948,4951,4951,4964,4965,4977,4946,4940,4923,4877,4865,4891,4912,4856,4878,4868,4743,4826,4825,4848,4824,4811,4784,4748,4743,4763,4780,4824,4801,4784,4808,4817,4830,4881,4906,4886,4928,4916,5065,5011,5016,5017,5091,5089,5118,5141,5175,5189,5138,5195,5041,5045,5101,5282,5296,5319,5341,5291,5236,5226,5336,5216,5215,5259,5325,5322,5300,5137,5134,5098,5046,4989,4947,4888,4889,4853,4845,4852,4755,4782,4783,4773,4789,4824,4835,4876,4913,4953,4943,4959,4964,5004,5003,4999,5031,5031,5037,5031,5085,5045,5081,5133,5109,5213,5160,5144
"19","36","    Transportation equipment manufacturing","KS336W0",46887,47128,46336,46109,46019,45390,44823,45089,44461,44446,44235,45079,46004,46588,47031,48531,49507,50449,51109,52124,51938,53533,52821,53395,51365,51733,52519,51379,50734,50623,52482,51448,52176,51899,52877,52050,50544,50444,50833,49359,47447,46829,45305,44196,44603,43184,43008,41827,41710,40991,40570,41642,41711,41192,41589,41700,42104,42069,41479,41423,42034,42085,40033,39688,39634,39965,39976,40161,39691,39901,39389,41438,41350,41909,41533,42137,42573,41457,40907,40737,40837,41039,39910,40301,40376,40146,38971,38760,37932,38140,38502,37930,36546,36382,36984,36764,36883,38127,37872,37150,37498,37577,38682,37978,38345,38530,38788,39340,39233,38698,39503,39978,39881,40231,40594,38838,40011,40466,40361,40888,41485,41748,42383,43339,43651,44218,44617,45372,46291,46686,47578,49110,49060,49123,49549,49475,49167,48837,48327,48652,47695,48024,48641,49665,50512,50909,50465,51028,51659,52606,53803,52718,52154,53947,54929,54448,55327,56081,56324,57068,57502,58206,58321,58982,60220,60655,61627,63296,64220,64961,67024,67440,68635,69434,70416,71162,70751,71155,72097,72656,72824,73789,73816
"20","37","      Motor vehicle and parts manufacturing","KS3MVW0",7742,7840,7891,8125,8283,8043,7827,8002,8697,7923,7809,7890,7876,7839,8287,7874,7721,7478,7448,7223,7137,6658,7130,7508,7111,6644,7597,6805,6628,6752,7216,7117,7112,7346,7453,7623,7377,7467,7071,7272,7917,7581,7463,7547,7598,7656,7688,7646,7473,7394,7034,7455,7345,7187,7047,6929,6934,6795,6641,6569,6868,6503,6193,6530,6484,6828,6845,6801,6891,6936,6838,6865,6650,7154,7112,7294,7196,6914,6975,6923,6949,6941,7125,7123,7136,7117,7042,6933,6848,7013,7010,7002,6919,6850,6831,6824,6954,6986,6954,6959,6989,7148,6976,6989,6798,7165,7112,7143,7067,6723,7019,7238,7234,7288,7214,7094,6860,6912,7173,7418,7379,7124,7040,7196,7182,7052,7106,7088,7073,7308,7093,6971,7112,6895,6803,6624,6336,6349,6079,6050,5943,5781,5640,5492,5299,5507,5176,5180,5260,5070,4976,4992,4958,4918,4900,5108,5181,5565,5309,5653,5550,5467,5581,5494,5505,5537,5648,6038,6001,6047,5953,5942,5876,5816,5839,5668,5851,5924,5970,5893,5879,6027,6050
"21","38","      Other transportation equipment manufacturing","KS3OTW0",39105,39246,38397,37926,37672,37287,36939,37026,35678,36463,36370,37134,38074,38696,38674,40606,41746,42949,43642,44893,44790,46871,45674,45862,44229,45063,44898,44548,44079,43845,45238,44304,45036,44526,45396,44402,43141,42949,43735,42060,39512,39225,37822,36631,36986,35514,35305,34166,34222,33581,33520,34170,34349,33988,34526,34755,35154,35258,34822,34837,35152,35561,33821,33146,33136,33128,33122,33350,32792,32957,32541,34559,34679,34744,34410,34834,35363,34527,33921,33801,33875,34084,32783,33173,33234,33023,31927,31823,31081,31127,31491,30929,29629,29534,30154,29940,29930,31143,30920,30191,30511,30431,31708,30989,31545,31366,31676,32197,32166,31974,32483,32740,32646,32942,33381,31741,33155,33559,33189,33471,34106,34628,35349,36149,36476,37177,37520,38296,39233,39389,40503,42166,41968,42251,42772,42882,42876,42526,42298,42654,41798,42295,43057,44233,45277,45465,45355,45914,46466,47604,48895,47793,47261,49095,50095,49407,50213,50583,51084,51480,52021,52811,52813,53562,54791,55195,56057,57336,58301,58996,61158,61585,62851,63714,64677,65601,65001,65331,66229,66869,67053,67868,67873
"22","39","    Furniture and related product manufacturing","KS337W0",1534,1526,1494,1448,1473,1449,1500,1493,1494,1493,1487,1507,1507,1512,1564,1580,1597,1600,1642,1652,1649,1613,1609,1611,1667,1647,1635,1583,1597,1627,1614,1646,1576,1608,1654,1655,1668,1689,1697,1715,1703,1712,1708,1734,1727,1725,1739,1728,1742,1771,1799,1794,1774,1718,1690,1625,1605,1612,1597,1588,1637,1623,1645,1665,1707,1676,1699,1675,1746,1753,1710,1644,1713,1715,1739,1707,1622,1638,1636,1550,1547,1541,1543,1559,1595,1579,1578,1562,1529,1569,1568,1644,1566,1599,1629,1617,1649,1693,1660,1666,1669,1655,1622,1637,1621,1620,1661,1626,1630,1613,1623,1596,1657,1659,1644,1646,1682,1666,1685,1636,1623,1651,1588,1542,1604,1581,1617,1626,1602,1585,1594,1594,1592,1568,1544,1543,1524,1515,1483,1436,1498,1463,1446,1440,1510,1486,1508,1428,1373,1389,1363,1355,1327,1307,1307,1289,1266,1291,1308,1341,1345,1348,1352,1338,1354,1345,1355,1359,1371,1380,1385,1384,1396,1379,1379,1403,1401,1384,1397,1373,1383,1398,1416
