"","Table 6#2C# Compensation of Employees by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/27/2016 2:45:03 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Compensation of employees","A033RC0",2724310,2950040,3142566,3342670,3451998,3671132,3820671,4010129,4202649,4422110,4714693,5077823,5410309,5856581
"9","2","Domestic industries","A4002C0",2725666,2950907,3143851,3344977,3454749,3674097,3823991,4014144,4206739,4426235,4719095,5082386,5417479,5863146
"10","3","  Private industries \1\","A4003C0",2186167,2371171,2518802,2668556,2734823,2909092,3035636,3197637,3366612,3562746,3823494,4146921,4429103,4811250
"11","4","    Agriculture, forestry, and fishing","A4004C0",20251,22955,24828,28262,28520,28989,30732,32054,33587,35273,37839,40597,44068,46602
"12","5","      Farms","B4005C0",9412,10576,11409,13435,13236,13008,14191,14435,15484,16028,17143,18213,18908,19718
"13","6","      Agricultural services, forestry, and fishing","B4006C0",10839,12379,13419,14827,15284,15982,16541,17619,18103,19244,20696,22385,25161,26885
"14","7","    Mining","A4007C0",29956,30457,30749,32755,33226,32767,32496,32951,32758,33952,36345,37138,35462,37559
"15","8","      Metal mining","Q4008C0",1846,2263,2609,2863,2856,2876,2838,2923,3166,3508,3578,3709,3800,3637
"16","9","      Coal mining","B4009C0",7693,6849,6862,7280,6941,6749,6276,6512,6322,6328,6528,6302,5972,5697
"17","10","      Oil and gas extraction","B4010C0",16730,17338,17160,18413,19456,19036,19168,18953,18416,18942,20734,21237,19731,22147
"18","11","      Nonmetallic minerals, except fuels","Q4011C0",3685,4007,4119,4199,3973,4106,4214,4563,4853,5175,5505,5890,5959,6078
"19","12","    Construction","B4012C0",143503,156871,165089,171066,160207,161326,167355,182563,192624,207935,226548,249543,275554,304339
"20","13","    Manufacturing","A4013C0",611962,654175,680398,696680,704384,737784,756569,786766,807087,828734,872176,912268,949053,1005495
"21","14","      Durable goods","A4014C0",385049,413136,427443,432313,431388,449003,460232,481815,497119,513387,543706,572442,599966,642467
"22","15","        Lumber and wood products","B4015C0",17692,19204,19271,19099,18299,19593,21040,22692,23290,24213,25448,26797,28531,28977
"23","16","        Furniture and fixtures","B4016C0",11625,12348,12818,12957,12446,13361,14200,14956,15396,15962,16970,18250,19397,20483
"24","17","        Stone, clay, and glass products","B4017C0",17769,18673,19257,19364,18629,19500,20344,21316,22020,22928,23695,24737,26077,27902
"25","18","        Primary metal industries","B4018C0",28517,31450,32741,32461,31601,34561,34432,36526,35762,36311,38047,37914,38502,39533
"26","19","        Fabricated metal products","B4019C0",43444,46663,48543,49562,49310,51474,53003,56334,58506,60334,63655,65281,67759,70903
"27","20","        Industrial machinery and equipment","B4020C0",74367,79992,83673,85417,85867,87589,91355,97138,99837,104129,111800,118681,123815,134908
"28","21","        Electronic and other electric equipment","B4021C0",60695,61466,63697,64056,64793,67099,70137,74291,78156,82035,88587,93273,100225,116702
"29","22","        Motor vehicles and equipment","B4022C0",38614,43244,42663,41576,41798,46266,48805,53416,55428,54855,56025,59389,63174,65496
"30","23","        Other transportation equipment","B4023C0",48413,49527,52469,54703,54098,53219,50240,47796,48992,49893,54297,58092,59213,59265
"31","24","        Instruments and related products","B4024C0",34703,40107,41347,41796,43076,44118,43670,43577,45539,47337,49024,53821,56274,60532
"32","25","        Miscellaneous manufacturing industries","B4025C0",9210,10461,10962,11323,11470,12224,13006,13773,14192,15390,16156,16206,16998,17766
"33","26","      Nondurable goods","A4026C0",226913,241039,252955,264368,272997,288780,296337,304952,309969,315348,328470,339826,349086,363028
"34","27","        Food and kindred products","B4027C0",45032,46863,48850,51788,54110,56518,58238,59765,60813,62403,64464,68020,69790,72866
"35","28","        Tobacco products","Q4028C0",2558,2641,2780,2732,2761,2837,2622,2920,2934,2925,3001,2968,2923,3090
"36","29","        Textile mill products","B4029C0",15523,16116,16671,16609,16923,18193,18807,19189,19061,18869,19426,19264,18862,18549
"37","30","        Apparel and other textile products","B4030C0",18166,18938,19562,19677,19951,20860,21163,21518,20962,20391,20296,19932,19184,18418
"38","31","        Paper and allied products","J4031C0",24278,25549,26897,27945,28715,30559,31226,31806,32602,33004,34003,34457,35357,35975
"39","32","        Printing and publishing","B4032C0",42566,46765,48766,51341,52238,54657,55907,57925,59529,61089,64559,67484,70261,73511
"40","33","        Chemicals and allied products","B4033C0",43967,48159,51280,54633,57580,61615,62756,63682,64625,67649,70859,73869,77820,84254
"41","34","        Petroleum and coal products","B4034C0",9052,8623,9139,9403,9983,10439,10595,10907,10788,10270,10998,10689,10586,10372
