"","Table 1#17#5# Gross Domestic Product, Gross Domestic Income, and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192"
"11","2","    Gross domestic income (GDI)","A261RC1",989.8,1009.4,1031.2,1042.6,1049.8,1064.4,1082,1086,1124.5,1146.8,1168.5,1193.2,1229.2,1252.6,1284.9,1334.6,1374.3,1402.9,1434.4,1478.3,1494.7,1524.1,1560,1586.8,1604.3,1642.1,1705.1,1751.3,1806.3,1836.1,1873.5,1912.6,1961,2039.3,2104.1,2162.4,2208.2,2315.3,2369.4,2440.8,2507.7,2554.6,2612,2675.2,2732.8,2740.7,2824.4,2976.4,3074.5,3132.5,3233.3,3256.7,3275.5,3328.2,3363,3386.3,3451.7,3534.2,3620,3730,3874.3,3970,4046.3,4117.6,4201.8,4258.6,4335.8,4385.6,4451.9,4481.5,4529.5,4590.7,4670.6,4776.5,4883.2,4988.3,5088.3,5197.3,5305.3,5421.6,5517.2,5563.3,5625,5668.5,5790.9,5883.9,5930.9,5947.2,5998.7,6055.6,6116.2,6172.2,6307.1,6399.1,6450,6557.4,6567.7,6689,6740.8,6908.2,6979.1,7124.4,7230.4,7353.9,7430.9,7506.8,7634.9,7721.4,7847.7,7996,8094.1,8236.7,8382.7,8504.4,8677.6,8820.1,8928.9,9075.8,9239.2,9353.4,9516.7,9607.8,9731.8,9936.2,10216.6,10331.4,10475.7,10513.3,10701.8,10757.8,10754.6,10733,10906.6,11014.4,11077.9,11202.2,11289.1,11430.7,11604,11773.4,11966.6,12195.8,12410.7,12560.9,12800.8,12986.1,13223,13506.9,13871,14003.7,14157.2,14260.7,14384.6,14485.8,14456.4,14513.7,14621.9,14683.4,14718.7,14452.7,14266.6,14244.2,14309.9,14552.9,14623.2,14790.4,15051.5,15195.4,15282.5,15467.7,15661.8,15813.1,16192.6,16290.2,16371.8,16579.5,16626.2,16787.2,16882.6,17067.2,17159.6,17457,17746.1,17877.8,17901.6,18094,18244.5,18328.7,NA
"12","3","    Average of GDP and GDI \1\","LA0000091",992.6,1010.4,1031.6,1041.7,1051.7,1067.3,1085.2,1088.7,1131.2,1153.1,1174.4,1193.4,1231.5,1261.3,1289.4,1333.3,1377.5,1410.2,1435.6,1478.7,1494.7,1529.2,1561.7,1594.9,1611.9,1649.3,1709.5,1758.6,1815.4,1846.5,1882,1925.5,1976.8,2049.7,2113.2,2165.6,2208.4,2325.9,2384.1,2461.5,2519.6,2575.3,2641.2,2703,2764.7,2770.3,2842.2,2985,3103.2,3149.9,3247.3,3270.1,3274.7,3329.7,3365,3397,3466,3559,3656.2,3763.1,3893.5,3992.5,4066.8,4132.6,4219.4,4280.5,4365.2,4419.4,4484.1,4518.4,4574.6,4630.1,4703.4,4799,4891.9,5005.5,5089.4,5202.5,5302.4,5417.1,5522.3,5595.9,5668.3,5716,5840.9,5929.3,5980.2,5985.3,6026.8,6099.6,6167.3,6225.8,6343.9,6445.7,6518.3,6627.5,6657.9,6759.3,6822.5,6970.5,7057.7,7197.1,7291.3,7415.3,7488.1,7555.8,7670.7,7760.4,7870.4,8028.8,8126.6,8261.9,8392.4,8528.2,8684.7,8804.2,8909.3,9035.3,9192.8,9339.5,9481.9,9582.4,9722,9931.2,10123.8,10304.9,10416.6,10492.8,10605,10698.1,10697.1,10717.1,10870.5,10974.6,11057.5,11153,11259.6,11400.7,11614.6,11795.1,11977.5,12188.6,12389.2,12561.5,12807.2,12980.1,13214.2,13444.3,13760,13901.8,14032.9,14163.5,14308.9,14454.1,14513,14599.5,14645.2,14748.2,14780.9,14501.3,14325.3,14292.3,14347,14559.7,14652.2,14839.5,15054.6,15212.8,15260.4,15464.3,15624.5,15799.2,16083.2,16206,16299.8,16438.4,16533.4,16657,16805,17012.4,17072,17363.5,17634.1,17746.8,17775.4,18003.9,18152.3,18246.8,NA
"13","4","    Net domestic product \2\","A362RC1",875,887.9,905.7,911.5,921.3,934.9,950.2,950,993.2,1011.8,1030,1040.5,1077.7,1111.1,1131.4,1166,1210.4,1242.5,1256.4,1292.5,1301,1332.6,1353,1383.9,1391.9,1421.5,1472.7,1519.5,1573.7,1601.1,1628.8,1669.9,1716.4,1776.1,1830.2,1867.8,1898.8,2016.9,2068.9,2141.5,2179.4,2231.4,2293.1,2340.2,2392.3,2381.5,2426.9,2545.4,2668.5,2689,2768.8,2777.3,2754.3,2800.2,2827.1,2861.2,2929,3027.2,3128.9,3225.2,3332.8,3425.8,3488.4,3538.5,3616.9,3671.4,3752.4,3799.6,3851.4,3878.6,3931.8,3970.1,4026.4,4100.2,4166.8,4275.6,4329,4432.1,4510.1,4609.7,4710.9,4798.7,4868.8,4907.9,5022.6,5093.9,5136.2,5118.3,5137.6,5215.8,5281.8,5336.4,5433.4,5537.7,5623.5,5723.7,5762.4,5831.9,5894.9,6011.3,6103.1,6223.1,6289.8,6396.7,6445.8,6488.8,6575.3,6655.2,6737.1,6893.2,6976.7,7089.7,7187.8,7320.3,7443.3,7522.9,7607.8,7694.6,7827.2,7986,8086.9,8171.9,8299.5,8480.7,8549.9,8769.4,8829.3,8933.6,8937.3,9039.7,9023.5,9070.9,9194.3,9282.2,9367.8,9417.5,9528.1,9654.2,9890.1,10061.4,10205.1,10368.2,10521.7,10677.9,10891.7,11014.8,11204.5,11336.1,11566.7,11680.7,11755.7,11876.3,12005.8,12168.6,12293.2,12385.5,12340.7,12460,12463.3,12156.9,11998.2,11973.5,12029,12200.7,12311.2,12513.7,12675.2,12831.1,12819,13018,13124.6,13307.6,13472.6,13597.5,13681.4,13732.7,13851,13908.5,14081.8,14280,14276,14537.2,14760.6,14831.7,14856.6,15109.3,15227.6,15309.2,15348.7
"14","5","    Net domestic income \2\","W256RC1",869.4,886,904.9,913.4,917.6,929.2,943.7,944.5,980,999.3,1018.2,1040.2,1073.1,1093.5,1122.5,1168.6,1204,1227.8,1253.9,1291.7,1301.1,1322.5,1349.7,1367.7,1376.6,1407.1,1464,1504.9,1555.6,1580.3,1611.8,1644,1684.8,1755.2,1811.9,1861.5,1898.3,1995.6,2039.4,2100.2,2155.5,2190.1,2234.6,2284.7,2328.6,2322.2,2391.3,2528.2,2611.2,2654.2,2740.9,2750.4,2755.9,2797.2,2823,2839.6,2900.4,2977.6,3056.7,3159.1,3294.3,3380.8,3447.3,3508.5,3581.7,3627.8,3693.7,3732.1,3786.9,3804.9,3841.7,3891.4,3960.8,4055.3,4149.5,4241.2,4326.7,4421.7,4515.9,4618.6,4700.8,4733.6,4782.3,4813,4922.7,5003.2,5037.6,5042.2,5081.4,5127.8,5179.6,5229.3,5359.6,5444.5,5487,5583.5,5581.9,5691.2,5731.5,5886.6,5945.9,6077.6,6168,6274,6331.4,6390.7,6503.7,6577.1,6691.7,6827.6,6911.8,7039.3,7168.5,7272.8,7429.1,7554.7,7647,7775.7,7919.8,8013.7,8156.5,8222.7,8319,8490.8,8735.4,8822.5,8947.6,8974.6,9131,9159.1,9138.7,9102.5,9266.4,9361.9,9408.6,9515.9,9587.1,9714.2,9869,10018,10183.4,10382.6,10564.6,10676.6,10878.7,11026.8,11222.1,11461.4,11788.8,11884.7,12004.5,12070.7,12157.2,12232.2,12179.9,12213.9,12294.2,12330.4,12339,12059.6,11881,11877.3,11954.7,12187.1,12253.4,12415.5,12669.1,12796.3,12863.1,13024.8,13199.3,13335.3,13691.3,13765.8,13825.3,14014.9,14036.5,14168.9,14236.9,14389.6,14451.3,14724.2,14984.6,15093.5,15108.9,15289.7,15412,15473.1,NA
"15",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","6","    Gross national product","A001RC1",1001.8,1017.5,1038,1046.8,1059.8,1076.7,1095,1097.5,1145.2,1167.3,1187.6,1201.3,1242,1278.2,1302.8,1341,1391.4,1429.2,1450.7,1493.4,1511.7,1550.6,1578.7,1616.3,1630.9,1668.1,1726.8,1781.8,1840.3,1873.6,1907.6,1956.3,2013.3,2080.9,2143.3,2187.5,2230.8,2355.3,2419.8,2506.8,2557.2,2625.4,2706.5,2767.2,2834.5,2835.7,2894.5,3022.1,3163.2,3197.3,3293.9,3321.2,3309.8,3372.2,3402.1,3441.9,3514.4,3620.6,3730.1,3835.8,3949.8,4052.5,4124.7,4180.8,4262.7,4330,4417.1,4478.7,4538.5,4570.7,4637.8,4681.4,4750.6,4839.6,4918.3,5042.4,5115.6,5230.5,5319.6,5435.4,5549.7,5650.1,5735.9,5794.2,5920.4,6006.3,6056.6,6073.8,6094.3,6172.2,6243.5,6312.5,6413.5,6524.4,6615.8,6727.9,6786.2,6861.1,6941.2,7054.3,7164.5,7293.6,7374.4,7497.9,7575.9,7638.4,7726.2,7830.8,7931.3,8091.5,8185.8,8319.4,8426,8583.4,8715.6,8805.5,8915.9,9018.1,9156.9,9338.7,9469.2,9584.4,9736.8,9960.6,10061.8,10312.2,10386.7,10526.4,10548.6,10688.1,10666.3,10791.5,10885.6,10967.3,11083.9,11167.7,11280.2,11434.5,11689.1,11907.4,12097.3,12265.3,12462.4,12631.2,12916.6,13065.8,13307.8,13454.9,13724.3,13870.2,13965.6,14133.9,14301.9,14512.9,14717.8,14880.3,14848.7,14997.5,15045.2,14671,14512.3,14465.1,14563.6,14738.1,14884.7,15093.9,15257.4,15445.4,15466.5,15692,15842.6,16057.1,16225.1,16353.3,16465,16528,16661.7,16774,16991.4,17226.9,17243.1,17527,17794,17880.6,17876.8,18144.3,18263.8,18357.5,NA
"17","7","    Gross national income","A023RC1",996.2,1015.6,1037.1,1048.6,1056.1,1071,1088.6,1092,1132,1154.8,1175.8,1201,1237.4,1260.7,1293.8,1343.7,1384.9,1414.5,1448.3,1492.6,1511.8,1540.5,1575.3,1600.2,1615.7,1653.8,1718.1,1767.3,1822.1,1852.7,1890.7,1930.4,1981.7,2060.1,2125,2181.2,2230.3,2334,2390.3,2465.4,2533.3,2584,2648.1,2711.7,2770.8,2776.5,2858.8,3004.9,3105.9,3162.5,3266,3294.3,3311.5,3369.1,3398,3420.4,3485.7,3570.9,3657.9,3769.7,3911.4,4007.6,4083.6,4150.9,4227.5,4286.3,4358.3,4411.2,4474,4497,4547.7,4602.7,4685,4794.7,4901,5008,5113.2,5220.1,5325.4,5444.2,5539.6,5585,5649.3,5699.3,5820.5,5915.5,5958,5997.7,6038.1,6084.1,6141.3,6205.4,6339.8,6431.2,6479.2,6587.7,6605.7,6720.4,6777.8,6929.6,7007.3,7148.2,7252.6,7375.1,7461.6,7540.2,7654.6,7752.7,7885.8,8025.9,8120.9,8269,8406.7,8535.9,8701.4,8837.3,8955.1,9099.2,9249.5,9366.4,9538.8,9635.2,9756.3,9970.8,10247.4,10365.2,10505,10567.4,10742.3,10807.5,10781.5,10823.2,10957.8,11047,11124.7,11266.1,11339.2,11494.5,11668,11864,12075.6,12279.7,12505.4,12630,12903.7,13077.9,13325.3,13580.2,13946.4,14074.1,14214.3,14328.3,14453.2,14576.5,14604.5,14708.6,14802.2,14867.9,14920.9,14573.8,14395,14368.9,14489.4,14724.5,14826.8,14995.7,15251.3,15410.7,15510.6,15698.8,15917.3,16084.9,16443.8,16521.6,16608.8,16810.2,16847.3,17034.4,17146.5,17336.5,17418.4,17714,18018,18142.4,18129.1,18324.7,18448.1,18521.4,NA
"18","8","    Net national product \2\","A027RC1",881.3,894.1,911.7,917.5,927.6,941.5,956.8,956.1,1000.7,1019.8,1037.3,1048.3,1085.9,1119.2,1140.4,1175,1221.1,1254.1,1270.3,1306.8,1318.1,1349,1368.3,1397.3,1403.3,1433.1,1485.7,1535.4,1589.5,1617.8,1645.9,1687.7,1737.1,1796.8,1851.1,1886.6,1920.9,2035.6,2089.8,2166.1,2205,2260.9,2329.1,2376.7,2430.3,2417.3,2461.3,2573.9,2699.9,2719,2801.5,2815,2790.3,2841.1,2862.1,2895.3,2963.1,3064,3166.7,3264.9,3369.8,3463.3,3525.8,3571.7,3642.6,3699.1,3774.9,3825.2,3873.6,3894.1,3950,3982.1,4040.8,4118.4,4184.6,4295.3,4354,4454.9,4530.3,4632.4,4733.3,4820.4,4893.1,4938.7,5052.1,5125.5,5163.4,5168.8,5177.1,5244.4,5306.9,5369.6,5466.1,5569.8,5652.7,5754,5800.4,5863.3,5931.9,6032.8,6131.4,6246.9,6312,6418,6476.4,6522.3,6594.9,6686.5,6775.3,6923.1,7003.5,7122,7211.8,7351.8,7467.1,7540,7634,7717.9,7837.6,7999,8109,8199.3,8324,8515.2,8580.6,8803.2,8858.6,8987.7,8977.8,9089.4,9050.4,9161.1,9245.5,9314.8,9414.6,9481.3,9578.2,9718,9954.1,10151.9,10314.1,10452.1,10616.3,10746.9,10994.6,11106.5,11306.9,11409.4,11642.1,11751.1,11812.8,11943.9,12074.4,12259.3,12441.3,12580.4,12521,12644.5,12665.5,12278,12126.7,12098.1,12208.5,12372.4,12514.8,12719,12874.9,13046.3,13047.1,13249.1,13380.1,13579.4,13723.8,13828.9,13918.5,13963.3,14072.1,14155.7,14345.7,14549.3,14534.8,14794.3,15032.5,15096.3,15084.1,15340,15431.2,15501.8,NA
"19","9","    National income \3\","A032RC1",875.7,892.1,910.8,919.4,923.9,935.8,950.3,950.6,987.4,1007.3,1025.5,1047.9,1081.2,1101.7,1131.4,1177.6,1214.7,1239.4,1267.8,1306,1318.2,1338.9,1364.9,1381.1,1388,1418.8,1477,1520.8,1571.3,1596.9,1628.9,1661.9,1705.6,1776,1832.8,1880.3,1920.3,2014.3,2060.3,2124.8,2181.1,2219.6,2270.7,2321.2,2366.6,2358,2425.7,2556.8,2642.6,2684.2,2773.6,2788.1,2791.9,2838.1,2858,2873.7,2934.4,3014.3,3094.5,3198.8,3331.3,3418.3,3484.7,3541.8,3607.4,3655.4,3716.2,3757.7,3809.1,3820.4,3859.9,3903.4,3975.2,4073.4,4167.3,4260.9,4351.7,4444.5,4536.1,4641.2,4723.2,4755.2,4806.5,4843.8,4952.2,5034.8,5064.7,5092.6,5120.9,5156.4,5204.7,5262.5,5392.4,5476.6,5516.2,5613.8,5619.9,5722.7,5768.5,5908.1,5974.2,6101.4,6190.2,6295.2,6362,6424.1,6523.3,6608.4,6729.8,6857.6,6938.5,7071.6,7192.4,7304.3,7453,7571.8,7673.1,7799,7930.2,8026.8,8178.6,8250.1,8343.6,8525.4,8766.2,8856.3,8976.8,9028.7,9171.5,9208.8,9165.5,9192.7,9317.6,9394.5,9455.5,9579.7,9637.2,9778.1,9933,10108.5,10292.3,10466.5,10659.3,10745.7,10981.6,11118.5,11324.4,11534.7,11864.2,11955,12061.5,12138.2,12225.8,12322.8,12328.1,12408.8,12474.5,12514.9,12541.2,12180.7,12009.4,12002,12134.2,12358.8,12457,12620.8,12868.8,13011.5,13091.2,13255.9,13454.8,13607.2,13942.5,13997.2,14062.3,14245.5,14257.6,14416,14500.8,14658.9,14710.1,14981.3,15256.5,15358.2,15336.4,15520.3,15615.6,15665.7,NA
"20",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","10","    Gross domestic purchases","A712RC1",995.2,1010.1,1031,1037.4,1050.1,1064.7,1084.6,1088.3,1133.4,1159.5,1180.4,1195.2,1237.3,1274.4,1296.5,1335.1,1382.1,1415.1,1430.4,1470.1,1488.3,1536.9,1570.4,1603,1603.1,1634.9,1701.8,1752.1,1819.9,1857.4,1894.6,1945,2013.6,2081.3,2143,2198.3,2247.4,2359.2,2422.6,2498.6,2549.7,2618.1,2693.4,2757.5,2832.3,2815.1,2854.6,3000.2,3146.1,3180.8,3268.8,3298.3,3290.1,3335.7,3396.7,3437.4,3504.9,3629.3,3757.5,3867.5,4007.8,4119.3,4191.2,4255.4,4328.3,4416.7,4511.5,4586.5,4642.4,4684.1,4758.6,4803,4877.5,4968.4,5046,5168.1,5214.6,5314.3,5398.7,5520.4,5628.3,5716.6,5786.6,5846.2,5979.4,6043.5,6104.5,6102.4,6102,6166.8,6239.5,6302.4,6401.3,6525.1,6625,6744.7,6803.9,6892.8,6972.6,7106.3,7216.9,7360.4,7449.1,7578.6,7650.6,7714.4,7781,7869.3,7981.9,8155.2,8273.2,8375.9,8510.9,8637.1,8788.6,8905.3,9024.9,9157.1,9321.2,9504.3,9655.6,9802.4,9988.4,10222.6,10383.8,10637.9,10745.9,10874.6,10899.8,10997.7,11006.2,11058.4,11209.7,11350.7,11468.7,11586.8,11731.7,11872,12125.1,12328.6,12535,12789.4,13005.7,13246.2,13490.5,13663.2,13936.8,14169.1,14426.1,14581.4,14714.1,14785.8,14961.7,15155.3,15281.8,15385.9,15425.2,15572.4,15616.6,15152.4,14777.7,14682.1,14789.7,15007.1,15169.8,15411.8,15592.7,15733.9,15800.8,16047.9,16159.5,16383.5,16588.6,16702.8,16763.1,16829.2,16969.9,17054.6,17239.9,17421.9,17513.7,17800.9,18036.6,18161.1,18200.9,18433,18590.6,18679.1,18729.3
"22","11","    Final sales to domestic purchasers \4\","A713RC1",983.8,1000.9,1020.8,1031.6,1048.3,1059.6,1079.5,1092.3,1121.1,1148.7,1170.2,1195.5,1234.1,1262.4,1282.8,1327.6,1371.5,1396.9,1420.6,1445.1,1475.7,1519.5,1564.8,1582.5,1613.1,1648.8,1703.2,1751.7,1805.2,1835,1873.8,1934.5,1998.8,2061.8,2112.1,2174.2,2221.9,2334.9,2397.7,2470.1,2525.9,2590.7,2681.3,2749,2822.4,2807.4,2888.4,3009.3,3107.3,3169,3224.8,3273.5,3311.6,3339.8,3390.9,3477.2,3539.9,3637,3761.7,3843.6,3934.8,4050,4119.9,4207.4,4312.1,4395.1,4495.2,4553.4,4612,4668.5,4765.6,4815.8,4849.5,4951.9,5045,5105,5197.6,5294.7,5380.6,5501.3,5580.2,5680.3,5776.8,5829.7,5965.4,6009.8,6082.6,6113.8,6117.5,6184.8,6238.7,6271.2,6401.1,6501.9,6604.5,6723.3,6767.9,6868.7,6966,7089.7,7171.5,7279,7395.9,7503.4,7589.4,7680.7,7769.6,7850.8,7975.1,8124.7,8222.2,8341.2,8461.1,8548.8,8720.6,8827.7,8919.8,9119.7,9268.7,9444.3,9572.2,9767.3,9947.9,10138.3,10367.6,10547.5,10688.7,10820.3,10930.4,11009.3,11036.3,11139.2,11209.9,11331.6,11443.4,11557,11700.7,11872.4,12116.9,12290.2,12486.2,12713.2,12943.4,13178.2,13391,13632.5,13918.9,14078.9,14351.7,14504.1,14637,14746.7,14941.5,15108.2,15233.1,15364,15445.3,15596.3,15635.4,15217.5,14923.4,14870.1,14995.6,15057.9,15157.7,15361.7,15471.1,15671.5,15774.6,15984.8,16174.4,16290.8,16523.2,16613.5,16689.1,16810.8,16933.4,17005.9,17134.3,17325.5,17470.9,17711.9,17948.3,18072.6,18073.6,18305.5,18495.3,18592.3,18660.3
"23","12","    Final sales to private domestic purchasers \5\","LA0000031",748.7,762.7,776.9,787.3,798.9,808.9,823.3,831.9,857.4,880.7,898.5,921.6,949.9,973.4,996.5,1034.1,1070.2,1092,1115.1,1131.4,1149.6,1182.3,1216.5,1221.8,1241.4,1273.1,1316.2,1354.4,1402.2,1431.8,1468.8,1522.2,1576.1,1628.8,1673,1726.1,1767.1,1861.6,1913.6,1972.7,2022.9,2073.4,2149.5,2198.8,2251.2,2220.5,2296.6,2395.9,2471.3,2520.1,2569.6,2594.7,2624.2,2638.9,2676.4,2740,2791.1,2876,2980.8,3071.3,3140.6,3230.8,3287.2,3352.7,3437.5,3496.6,3570.6,3617.3,3667.8,3702.6,3772.6,3821,3841.5,3926.9,4009,4051,4140.6,4223.8,4302.2,4394.9,4463.3,4534.3,4612.2,4649.5,4751.4,4781.2,4842.2,4843.3,4830.4,4888.3,4936.3,4964.7,5074.2,5163.2,5249.1,5362.9,5416.4,5507.8,5595.4,5708.4,5797.6,5886.6,5971.5,6079.3,6149.4,6225,6312.4,6395.1,6502.1,6632.2,6721.7,6821.3,6928.9,6996.5,7160.9,7255.2,7353.1,7515.3,7640.2,7789.9,7896.2,8063.6,8207.6,8354.1,8572.5,8718.6,8843.7,8951.6,9018.5,9050.6,9070.8,9140.1,9161.6,9251,9335.7,9413.9,9522.7,9655.5,9885.7,10032.9,10183.1,10369.6,10561.7,10776.9,10948.8,11162.8,11397.4,11537.6,11759.5,11873.4,11981.6,12056.1,12205.9,12325.8,12408.8,12498.7,12521.5,12612.9,12579.5,12167.9,11888,11783.6,11883.1,11935.9,12022,12180.2,12276.4,12487.2,12620.7,12801,12997.6,13130.4,13351.6,13453.9,13529.5,13667.3,13813.6,13894.5,14023.6,14210.4,14348.7,14565.7,14770.9,14910.1,14924.1,15126.3,15294.3,15388.4,15446.5
"24",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","13","    Disposable personal income","A067RC1",668.7,684.8,707.9,721.7,737.2,754.1,773.4,781.4,804.6,825.7,838.2,853.2,866.2,880.1,904.9,948.6,966.9,993.4,1016,1048.2,1061.6,1081.5,1111.7,1138.5,1157.9,1226.5,1231.3,1261.5,1290.5,1308.1,1337.7,1366.9,1391.2,1432.6,1476.5,1526.5,1562.9,1610.9,1651,1695.5,1745.7,1777.9,1830.5,1883,1946,1964.6,2035,2126.2,2173,2208.8,2290.9,2330.3,2362.6,2398.8,2449.6,2487.9,2530.9,2572.4,2645.6,2720.6,2806.3,2880.7,2942.9,2985.6,3014.1,3098,3112.2,3169.7,3232.2,3271.2,3311.2,3336.9,3400.4,3399.5,3493.7,3571.5,3651.7,3730,3812.3,3887.7,3979.8,4021,4071.5,4136.3,4230.7,4294.3,4349.9,4372,4403,4457,4503.4,4574.5,4701.4,4782,4833.5,4884.2,4940.9,4982.9,5007.7,5069.5,5123.1,5206.2,5274.5,5373,5450.3,5493.5,5564.8,5621.6,5707.2,5799.8,5871.1,5941.6,6027.7,6094.3,6182.7,6290.7,6424.4,6525.7,6612.1,6682.8,6760,6812.9,6894.7,7037.6,7236.3,7344.9,7477,7543.8,7659.1,7689,7876.7,7784.4,7988.2,8090.5,8120.8,8197.2,8278.1,8405.2,8595.1,8664.8,8794.5,8943.5,9042.9,9228.2,9186.6,9320.8,9471.4,9624.4,9889.8,9981.1,10081.2,10195.5,10358,10460.5,10547.3,10662.2,10831.2,11175.4,11029.7,10941.4,10858.9,10985.2,10933,10993,11041.5,11197.6,11286.7,11425.7,11652.2,11751.7,11876.6,11924.9,12190,12321.3,12355.4,12748.1,12250.3,12344.4,12463.1,12524.7,12697.5,12858.7,12982.7,13116.8,13179.8,13338.3,13486.4,13575.4,13681.9
