"","Table 1#4#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Percent]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 29, 2015  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/4/2015 6:21:08 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","Gross domestic product","A191RL1",-8.5,-6.4,-12.9,-1.3,10.8,8.9,12.9,5.1,-3.3,8,8.8,17.7,18.9,17,8,-1,-11.6,-1.1,4.1,-0.5,8.7,8.1,4.1,4.7,-0.6,7.1,2.1,2.1,-0.7,6.9,2.6,2.6,6.1,4.4,5.8,6.5,6.6,2.7,4.9,3.1
"9","2","Less: Exports of goods and services","A020RL1",-17.3,-16.9,-21.6,0.6,11.2,5.5,5.1,25.9,-1.1,5.6,13.8,2.5,-34,-15.7,7.4,40.2,116,14,-21.2,-0.9,-12.4,22.5,-4.3,-6.7,4.8,10.7,16.5,8.7,-13.5,10.3,17.3,0.5,5.1,7.2,11.8,2.8,6.9,2.3,7.9,4.9
"10","3","Plus: Imports of goods and services","A021RL1",-13,-12.8,-17.1,4.2,2.2,31,-1.2,12.5,-22.3,5,2.5,22.9,-9.2,26.1,4.7,6.4,-17.1,-5,16.7,-3.5,18.2,3.9,8.8,9.4,-4.9,12.1,8.1,4.2,4.8,10.5,1.3,-0.7,11.3,2.7,5.3,10.6,14.9,7.3,14.9,5.7
"11","4","Equals: Gross domestic purchases","A712RL1",-8.3,-6.2,-12.7,-1.2,10.5,9.8,12.6,4.6,-4.2,8,8.4,18.6,20.3,18.2,7.9,-1.6,-15.2,-2.2,6.6,-0.6,10.2,7.3,4.7,5.4,-1,7.2,1.8,1.9,0.1,6.9,1.9,2.5,6.4,4.2,5.5,6.9,6.9,3,5.2,3.2
"12","5","Less: Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","6","Equals: Final sales to domestic purchasers","A713RL1",-6.5,-5.6,-11.1,-2.9,9.1,7.1,12.8,3.7,-2.2,7.3,6.4,17.6,22.7,19.7,7.9,-1.3,-17.8,0.8,4,2.3,7.3,6.6,6.2,5.7,-0.1,5.6,2.1,2.4,0.3,6.1,2,2.6,5.8,4.3,5.6,6.3,6.4,3.5,5.4,3.2
"14",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Final sales of domestic product","A190RL1",-6.8,-5.8,-11.2,-3,9.5,6.3,13.1,4.2,-1.3,7.3,6.9,16.7,21.3,18.6,8,-0.7,-14.2,1.8,1.7,2.3,5.9,7.5,5.5,5,0.3,5.6,2.4,2.6,-0.6,6.1,2.7,2.6,5.6,4.5,5.9,5.9,6.1,3.3,5.1,3.2
"16","8","  Final sales to private domestic purchasers \1\","PB0000031",-8.2,-6.9,-12.3,-2.8,8.6,7.9,12.2,5.2,-3.9,7,6.9,8.2,-8.3,0.4,4.1,8.5,19.3,4.7,3.6,0.5,8.8,0.4,2.4,5.4,2.1,8.4,2.6,1.8,-0.6,7.2,2.4,1.8,5.7,4.8,6.6,7.2,5.8,2.1,6,4.2
"17","9","  Gross domestic purchases, current dollars","A712RP1",-11.8,-15.7,-23.1,-4,16.4,12,14.1,9.4,-7,7.2,9.5,26.5,29.6,23.5,10.3,1,-3.6,8.4,12.6,-0.6,11.9,15.1,6.3,6.5,0.1,8.9,5.2,5.1,2.3,8.4,3.3,3.6,7.6,5.4,7.1,8.7,9.9,5.8,9.7,8.2
"18","10","  Final sales to domestic purchasers, current dollars","A713RP1",-10.3,-14.7,-21.2,-5.4,14.6,9.3,14.3,7.7,-3.7,6.2,7.2,25.1,32.5,25.4,10.4,1.3,-6.9,11.7,10,2.5,8.7,14,8.4,7,1.1,7.1,5.5,5.9,2.5,7.5,3.4,3.7,7.1,5.6,7.3,8.1,9.4,6.4,9.9,8.3
"19","11","  Final sales to private domestic purchasers, current dollars \1\","PA0000031",-12.1,-16.5,-22.6,-6.2,13.5,10.3,13.3,9.6,-5.7,6.1,8.1,15.1,2.9,9.3,9.9,12.7,28.1,16.5,10,0.3,10.3,7.6,4.6,6.7,2.9,9.2,5.5,5,1.3,8.7,3.9,2.6,6.7,5.8,8,8.8,8.4,4.8,10.2,9
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1. Final sales to domestic purchasers less government consumption expenditures and gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
