"","Table 1#5#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Percent]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 29, 2015  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/4/2015 6:21:29 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Gross domestic product","A191RL1",-8.5,-6.4,-12.9,-1.3,10.8,8.9,12.9,5.1,-3.3,8,8.8,17.7,18.9,17,8,-1,-11.6,-1.1,4.1,-0.5,8.7,8.1,4.1,4.7,-0.6,7.1,2.1,2.1,-0.7,6.9,2.6,2.6,6.1,4.4,5.8,6.5,6.6,2.7,4.9,3.1
"9","2","Personal consumption expenditures","DPCERL1",-5.4,-3.1,-9,-2.2,7.1,6.1,10.2,3.7,-1.6,5.6,5.2,7.1,-2.4,2.8,2.8,6.2,12.4,1.9,2.3,2.8,6.4,1.6,3.2,4.8,2.1,7.4,2.9,2.5,0.9,5.7,2.7,2.1,4.9,4.1,6,6.3,5.7,3,5.7,3.7
"10","3","  Goods","DGDSRL1",-7.9,-3.6,-11.7,-0.7,9.1,8.1,13.3,3,-2.2,6.9,6.2,7.9,-7.7,-1,0.7,6.8,18.5,2.9,2,3,7.8,-1.2,2.2,5.2,1.1,9.2,1.5,1.7,-1,6.3,1.8,0.6,5.1,4,6,7.1,6.3,2,6.2,3.1
"11","4","    Durable goods","DDURRL1",-17.2,-13.6,-24,-2.6,14.5,21,22.2,5.2,-17.1,18.5,14.5,15.4,-36.5,-10.2,-7.8,11.1,80.6,17.3,6.6,8.1,21.3,-8.3,-2.2,11.7,-0.4,21.3,-3.7,0.9,-7.6,11.8,2,-3.4,11.4,9.2,9.3,12.4,8.3,1.5,11.1,3.7
"12","5","      Motor vehicles and parts","DMOTRL1",-30.4,-22,-36.1,19.2,24.4,38.5,23.5,1.6,-35.3,36.2,26,13.7,-84,2.6,-7.5,23.8,237.1,45,13,28.2,29.3,-15.6,-10,24.3,-4.6,36.9,-14.9,4.7,-17.2,19.2,6.2,-10,18.7,12.5,5.6,15.8,1.6,-2.4,15.7,3.7
"13","6","      Furnishings and durable household equipment","DFDHRL1",-17.3,-2.6,-17.4,-6.2,8.6,13.4,23.5,3.5,-9.6,11.9,9.6,16,-17.1,-20.9,-11.4,8.5,69.1,16.3,5.8,-2.2,15.3,-4.9,-0.4,3,0,12.7,4.9,-1.9,-1.2,6.5,-1.5,0.6,5.6,6.6,11.3,6.5,8.7,2.3,6,2.1
"14","7","      Recreational goods and vehicles","DREQRL1",5.6,-17.5,-26.5,-12,12.7,12.1,27.3,13.6,-7.5,16.7,11.1,18.3,-10.2,-17.2,-5.2,14.4,100.9,1.3,-1.3,0.6,28,-2.2,8.9,10.1,7.6,12.8,5.3,-2.2,-0.5,11.4,-0.7,4,6.6,9.2,17.4,16.6,23.1,9.9,10.8,6.7
"15","8","      Other durable goods","DODGRL1",-7.8,-21.3,-17.5,-18,14.9,13.7,9.3,15.8,0.5,6.8,6.4,15,7.8,20.1,-1.9,9.8,18.2,-5.9,2,-2.4,4.7,3.3,7.4,2.8,3.9,6.6,4.6,0.8,1.1,3.2,0.7,2,9.2,3.6,8.6,10.3,15,0.9,9.8,3.9
"16","9","    Nondurable goods","DNDGRL1",-5.2,-1.1,-8.8,-0.4,8.2,5.7,11.4,2.5,1.4,4.6,4.3,6,0.3,0.6,2.1,6.2,9,-0.6,0.7,1.5,3.3,1.5,3.8,3.1,1.6,5.2,3.5,2,1.3,4.5,1.7,2,3.1,2.2,4.7,5,5.6,2.1,4.2,2.8
"17","10","      Food and beverages purchased for off-premises consumption","DFXARL1",-2.5,-0.5,-7.2,4.5,9.7,5.1,13.7,2.8,2.2,1.3,4.2,3.3,-0.5,-2.6,4.3,5.4,12.1,0,-0.8,0.5,2.1,0.5,2.7,3.8,2.7,4.8,3.3,2.4,0.4,4.1,0.7,1.4,0.7,0.8,3.4,5,3.9,2.3,4.4,2.8
"18","11","      Clothing and footwear","DCLORL1",-10,-1.2,-11.1,-10,5.6,8.1,8.7,-1,1.4,8,3.2,7.5,4.3,8.9,-3.2,3.3,2,-4.6,1,0.6,2.5,-0.5,5.2,0.9,0.1,4.9,2.6,-0.7,1,5.2,0.9,1.8,4.5,1.8,7.6,4.2,6.7,0.7,4,1.9
"19","12","      Gasoline and other energy goods","DGOERL1",-0.6,-2.3,-6.3,2.3,5.2,5.1,8.1,4,-1.1,7.2,6.6,8.1,-14,-18.4,0.7,16.9,40.9,5.9,3.9,0.2,5.1,5.3,4.3,2.6,2.8,8,4.3,2.5,4.5,2.4,1.6,-0.7,3.2,3.5,5.3,4.8,5.5,2.6,4.2,4.3
"20","13","      Other nondurable goods","DONGRL1",-8.4,-1.6,-11.3,-1.3,9.4,4.8,10.4,5.3,1.1,8.3,4.3,10.7,6.6,8.4,4.8,9.1,-0.6,0.2,3.6,6.4,6.8,4.6,4.5,4.1,-0.3,4.9,4.6,3.7,2,6,4.7,5.2,7,4.6,4.4,6,8,2.9,4,2.7
"21","14","  Services","DSERRL1",-2.1,-2.5,-6,-3.7,4.9,3.5,6.2,4.7,-0.8,3.9,3.9,5.9,5.5,8,5.6,5.4,4.6,0.4,2.6,2.4,4.4,5.9,4.5,4.2,3.5,5,4.8,3.4,3.2,4.9,3.9,3.7,4.7,4.3,6,5.5,4.9,4.1,5.3,4.4
"22","15","    Household consumption expenditures (for services)","DHCERL1",-2.4,-2.7,-6,-3.5,5.4,3.7,6.3,5,-1,4,3.8,6.1,5.5,7.9,5.5,5.5,4.6,0.7,2.7,2.5,4.5,6.2,4.3,4.3,3.5,5.1,4.7,3.5,3.2,4.8,3.7,3.7,4.8,4.3,5.8,5.6,5,4.1,5.3,4.6
"23","16","      Housing and utilities","DHUTRL1",-0.3,-0.6,-1.7,-1.9,5.3,1.2,2.2,2.1,1.8,2.8,3.6,5.4,5.3,3.7,4,2.6,9,8.6,6.7,6.9,7.8,7.9,6.8,5.8,5.5,5.5,5.6,5.2,5.1,5.7,5.3,4.9,5.8,4.7,4.9,5.3,4.6,4.5,5,5.5
"24","17","      Health care","DHLCRL1",-2.2,-1.9,-5.5,-7.3,2.7,0.5,6.5,2.4,-2.1,5.2,2.7,3.2,4.6,-0.2,6.7,2.1,17.2,4.6,9,2.2,4.7,2.9,5.4,4.9,7.4,3,6.1,5.6,7.8,7.6,1.3,4.4,9,6.6,11.3,4.6,5.4,4.7,7.8,7.4
"25","18","      Transportation services","DTRSRL1",-11.8,-11.7,-12.5,0.2,6.1,2.3,11.9,5.4,-4.7,7.8,6.8,11.5,10.2,24.1,8.7,7.5,18,-2.2,-0.4,-4.8,-2.9,3.5,1.2,2.5,-3.1,3.3,2.8,1.8,-1.5,3.9,3.3,1.2,3.7,4.4,5.5,5.1,5.8,5.3,6.4,6.7
"26","19","      Recreation services","DRCARL1",-1.6,-2.7,-18.7,-4.2,9.7,6.3,10.7,6.8,-5.3,3.1,7.9,5.9,8.7,7.8,-1.4,6,15.5,-5.3,-3,-2.2,0.2,1.1,1.7,1.2,2,4.6,4.9,-3.3,-0.8,7.1,5.5,4.3,4.8,4.1,4.1,3.7,6,3.4,6.3,5.9
