"","Table 6#19B# Corporate Profits After Tax by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/4/2015 6:44:24 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Corporate profits after tax","A055RC0",24081,19839,25856,22821,21883,22862,23169,29400,30632,29771,26066,32227,31071,31014,35109,38045,43291,52045,56503,54705,58278,56675
"9","2","Domestic industries","A3202C0",22820,18714,24587,21077,19995,21064,21207,27046,27811,26679,23543,29509,27934,27698,31337,33964,38822,47339,51975,49930,52642,50080
"10","3","  Agriculture, forestry, and fishing","A3203BC0",91,67,86,64,14,-9,30,2,3,5,18,-5,22,23,74,20,47,133,150,57,125,116
"11","4","    Farms","B3204BC0",90,71,87,61,11,-12,28,-2,-1,0,-7,-51,-26,-32,6,-30,5,80,87,17,66,43
"12","5","    Agricultural services, forestry, and fishing","B3205BC0",1,-4,-1,3,3,3,2,4,4,5,25,46,48,55,68,50,42,53,63,40,59,74
"13","6","  Mining","A3206BC0",1147,815,1118,1048,862,798,865,1033,1089,964,791,542,651,722,580,789,824,680,676,546,583,497
"14","7","    Metal mining","B3207BC0",205,102,198,184,109,143,142,190,203,123,113,-28,64,108,55,103,151,103,177,-92,35,18
"15","8","    Coal mining","B3208BC0",312,116,167,138,94,59,29,86,160,139,105,61,69,95,72,111,150,150,130,138,130,115
"16","9","    Oil and gas extraction","B3209BC0",536,507,647,612,546,488,566,601,574,579,501,413,378,405,347,387,282,246,171,286,235,160
"17","10","    Nonmetallic minerals, except fuels","B3210BC0",94,89,106,114,113,108,127,156,152,123,72,96,140,114,106,187,240,181,198,214,184,205
"18","11","  Construction","B3211BC0",431,404,363,311,354,291,314,266,433,471,448,406,223,329,518,570,823,1045,1092,1264,1273,1136
"19","12","  Manufacturing","A3212BC0",12517,9779,13728,11470,10483,11564,11668,15475,15736,14993,12174,15927,14651,13654,16036,17749,20448,25639,27837,26269,27436,25397
"20","13","    Durable goods","A3213BC0",5912,4813,7208,5961,5537,6004,5831,8309,8175,7891,5752,7979,6872,6258,8255,9546,11025,14572,15579,14355,15051,13524
"21","14","      Lumber and wood products","B3214BC0",371,204,419,333,253,221,242,363,285,178,247,377,242,249,349,446,548,672,539,557,907,929
"22","15","      Furniture and fixtures","B3215BC0",108,82,134,97,94,79,75,131,137,112,80,99,81,92,130,151,184,249,239,248,272,255
