"","Table 6#5D# Full-Time Equivalent Employees by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1","[Thousands]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/27/2016 2:46:12 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","      Full-time equivalent employees \1\","A4301C0",117758,120328,122988,123199,121974,121477,122606,124840,127102,128501,127478,121201,119772,121260,123548,125634,129971
"9","2","Domestic industries","A4302C0",118159,120769,123384,123740,122523,122069,123234,125505,127788,129226,128578,122003,120594,122086,124527,126661,131039
"10","3","  Private industries","A4303C0",99458,101925,104283,104309,102719,102147,103318,105572,107780,108947,108027,101374,100074,101851,104524,106753,110914
"11","4","    Agriculture, forestry, fishing, and hunting","N4304C0",1173,1198,1170,1118,1108,1121,1066,1037,1121,1097,1084,1071,1102,1116,1143,1169,1192
"12","5","      Farms \2\","N4305C0",734,774,752,748,747,759,706,668,644,643,627,634,647,654,668,676,687
"13","6","      Forestry, fishing, and related activities","N4306C0",439,424,418,370,361,362,359,369,477,454,457,437,455,462,475,493,504
"14","7","    Mining","N4307C0",558,520,511,527,502,492,512,550,606,647,709,630,642,714,780,795,738
"15","8","      Oil and gas extraction","N4308C0",138,127,123,123,120,118,120,124,132,143,160,159,158,168,184,193,174
"16","9","      Mining, except oil and gas","N4309C0",241,231,218,217,207,197,202,210,217,217,223,204,202,210,214,207,181
"17","10","      Support activities for mining","N4310C0",180,163,169,187,174,177,191,216,256,287,325,268,282,335,381,395,384
"18","11","    Utilities","N4311C0",598,594,592,592,580,559,553,542,543,545,554,556,546,545,544,540,543
"19","12","    Construction","N4312C0",6017,6375,6659,6827,6758,6763,7040,7353,7651,7631,7187,5956,5423,5407,5512,5776,6248
"20","13","    Manufacturing","N4313C0",17246,17051,16948,16121,14976,14216,14024,13954,13897,13609,13142,11528,11231,11451,11660,11747,11928
"21","14","      Durable goods","N4314C0",10781,10689,10713,10173,9336,8815,8768,8820,8837,8661,8332,7106,6908,7128,7348,7412,7534
"22","15","        Wood products","N4315C0",596,614,602,560,550,529,542,549,549,508,444,348,334,327,331,343,357
"23","16","        Nonmetallic mineral products","N4316C0",532,538,549,534,510,490,492,494,505,496,456,377,357,357,357,365,376
"24","17","        Primary metals","N4317C0",636,617,611,558,499,467,459,460,458,446,436,353,353,382,397,393,392
"25","18","        Fabricated metal products","N4318C0",1724,1718,1735,1647,1524,1453,1465,1499,1523,1528,1505,1275,1249,1312,1383,1400,1427
"26","19","        Machinery","N4319C0",1478,1437,1427,1346,1205,1131,1121,1142,1159,1168,1168,1000,976,1037,1082,1086,1103
"27","20","        Computer and electronic products","N4320C0",1807,1732,1779,1732,1479,1334,1299,1293,1286,1256,1229,1117,1079,1090,1080,1048,1035
"28","21","        Electrical equipment, appliances, and components","N4321C0",587,577,583,548,490,454,438,428,428,421,413,364,351,357,366,366,372
"29","22","        Motor vehicles, bodies and trailers, and parts","N4322C0",1258,1300,1301,1203,1147,1108,1108,1095,1059,985,874,665,673,715,776,819,866
"30","23","        Other transportation equipment","N4323C0",801,776,740,720,675,643,650,671,688,709,724,671,645,654,673,680,672
"31","24","        Furniture and related products","N4324C0",641,662,671,631,592,559,560,553,548,519,470,372,346,345,343,350,367
"32","25","        Miscellaneous manufacturing","N4325C0",722,718,715,694,666,646,634,636,635,626,613,562,547,552,559,561,569
"33","26","      Nondurable goods","N4326C0",6465,6362,6235,5948,5640,5401,5255,5134,5060,4948,4810,4422,4322,4323,4312,4335,4393
"34","27","        Food and beverage and tobacco products","N4327C0",1721,1736,1727,1709,1689,1658,1637,1617,1621,1622,1616,1578,1561,1575,1585,1597,1639
"35","28","        Textile mills and textile product mills","N4328C0",642,609,588,517,472,434,403,372,343,320,294,241,230,231,226,223,225
"36","29","        Apparel and leather and allied products","N4329C0",697,613,539,472,393,344,319,288,267,241,225,189,179,174,171,168,162
"37","30","        Paper products","N4330C0",623,609,598,562,530,503,485,469,458,447,430,393,382,378,370,367,356
"38","31","        Printing and related support activities","N4331C0",773,767,757,750,695,659,646,626,622,612,578,507,472,459,447,441,442
"39","32","        Petroleum and coal products","N4332C0",121,123,120,117,116,113,109,110,110,113,115,113,109,110,110,110,107
"40","33","        Chemical products","N4333C0",974,971,967,944,909,886,868,862,853,845,836,785,775,774,773,786,799
"41","34","        Plastics and rubber products","N4334C0",913,934,938,877,836,804,789,788,786,747,716,615,615,622,631,644,665
"42","35","    Wholesale trade","N4335C0",5331,5450,5551,5535,5409,5402,5485,5613,5739,5829,5796,5412,5285,5348,5468,5550,5777
"43","36","      Durable goods","N4336C0",3163,3243,3315,3289,3173,3147,3191,3277,3367,3417,3386,3104,3017,3067,3149,3200,3330
"44","37","      Nondurable goods","N4337C0",2168,2207,2236,2247,2236,2255,2294,2336,2371,2411,2410,2308,2268,2282,2319,2350,2447
"45","38","    Retail trade","N4338C0",12280,12633,12994,13416,13258,13159,13240,13467,13593,13722,13481,12704,12468,12639,12867,13054,14946
"46","39","      Motor vehicle and parts dealers","N4339C0",1478,1525,1577,1646,1660,1660,1677,1694,1690,1690,1615,1435,1408,1454,1506,1553,1813
"47","40","      Food and beverage stores","N4340C0",2481,2524,2545,2617,2558,2515,2487,2489,2497,2527,2528,2475,2424,2438,2482,2544,2923
"48","41","      General merchandise stores","N4341C0",2223,2274,2360,2457,2444,2450,2476,2560,2580,2640,2652,2590,2553,2645,2666,2653,3026
"49","42","      Other retail \3\","N4342C0",6097,6310,6511,6696,6596,6533,6601,6724,6826,6865,6686,6204,6083,6101,6213,6304,7184
"50","43","    Transportation and warehousing","N4343C0",4051,4133,4215,4194,4062,4021,4087,4194,4277,4343,4321,4011,3938,4053,4190,4236,3999
"51","44","      Air transportation","N4344C0",530,552,575,586,535,503,489,478,460,467,466,436,424,432,439,425,385
"52","45","      Rail transportation","N4345C0",212,207,198,192,186,182,182,190,193,192,190,179,176,186,191,189,177
"53","46","      Water transportation","N4346C0",49,49,49,50,51,51,53,58,59,61,64,60,60,60,62,63,59
"54","47","      Truck transportation","N4347C0",1316,1345,1369,1352,1310,1298,1328,1368,1400,1408,1364,1233,1202,1254,1304,1317,1240
"55","48","      Transit and ground passenger transportation","N4348C0",366,377,373,369,372,373,379,387,394,404,414,413,408,419,429,432,410
"56","49","      Pipeline transportation","N4349C0",48,45,44,42,40,38,36,36,37,38,39,39,40,40,42,41,40
"57","50","      Other transportation and support activities \4\","N4350C0",1073,1090,1121,1113,1070,1066,1076,1102,1127,1143,1146,1053,1033,1056,1082,1099,1051
"58","51","      Warehousing and storage","N4351C0",456,468,487,490,499,510,544,575,606,630,638,600,595,608,642,670,637
"59","52","    Information","N4352C0",3035,3187,3410,3410,3155,2972,2885,2859,2861,2853,2807,2630,2512,2519,2511,2534,2559
"60","53","      Publishing industries (includes software)","N4353C0",936,963,1008,969,909,874,849,855,870,893,867,787,751,760,760,759,787
"61","54","      Motion picture and sound recording industries","N4354C0",309,319,308,345,330,322,323,320,312,316,329,315,309,319,317,333,364
"62","55","      Broadcasting and telecommunications","N4355C0",1391,1462,1566,1602,1477,1371,1323,1289,1270,1332,1306,1236,1163,1141,1116,1107,1058
"63","56","      Information and data processing services","N4356C0",399,443,528,494,439,405,389,394,408,311,306,292,289,300,317,335,350
"64","57","    Finance and insurance","N4357C0",5318,5408,5403,5596,5599,5704,5742,5829,5964,5942,5828,5575,5517,5582,5663,5716,5771
"65","58","      Federal Reserve banks, credit intermediation, and related activities","N4358C0",2413,2452,2412,2533,2590,2691,2735,2793,2842,2788,2659,2529,2477,2484,2522,2556,2510
"66","59","      Securities, commodity contracts, and investments","N4359C0",754,785,841,871,822,792,805,834,866,903,921,863,853,830,830,840,858
"67","60","      Insurance carriers and related activities","N4360C0",2137,2156,2136,2177,2173,2207,2188,2187,2242,2243,2241,2177,2182,2265,2309,2316,2397
"68","61","      Funds, trusts, and other financial vehicles","N4361C0",14,14,14,15,14,14,14,15,15,7,7,6,5,4,3,3,6
