"","Table 6#18B# Taxes on Corporate Income by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/27/2016 2:48:32 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","      Taxes on corporate income \1\","A054RC0",39977,34757,38165,42341,49973,52785,51646,65288,74441,84858,90016,87190,84339,66499,80648,97531,99406,109675,130441
"9","2","Domestic industries","A3102C0",39977,34757,38165,42341,49973,52785,51646,65288,74441,84858,90016,87190,84339,66499,80648,97531,99406,109675,130441
"10","3","  Agriculture, forestry, and fishing","A3103BC0",117,90,126,173,317,258,291,274,290,365,413,406,327,96,179,335,289,450,516
"11","4","    Farms","B3104BC0",86,62,91,117,271,197,266,220,232,295,319,345,254,80,118,261,228,388,368
"12","5","    Agricultural services, forestry, and fishing","B3105BC0",31,28,35,56,46,61,25,54,58,70,94,61,73,16,61,74,61,62,148
