"","Table 6#18D# Taxes on Corporate Income by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/27/2016 2:48:43 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","      Taxes on corporate income","A054RC0",248366,258784,265092,203296,192336,243767,306093,412384,473360,445530,309100,269444,370571,379095,447623,468890,513858
"9","2","Domestic industries","A3102C0",248366,258784,265092,203296,192336,243767,306094,412384,473360,445530,309100,269445,370571,379094,447623,468890,513858
"10","3","  Agriculture, forestry, fishing, and hunting","N3103C0",525,538,512,338,141,653,986,1108,900,925,452,260,768,909,1260,1196,930
"11","4","    Farms \1\","N3104C0",426,443,431,317,99,516,762,853,709,761,336,191,615,689,1021,NA,NA
"12","5","    Forestry, fishing, and related activities","N3105C0",99,94,81,21,42,136,224,256,191,164,116,69,153,220,239,NA,NA
"13","6","  Mining","N3106C0",1554,1171,2475,2292,1051,2778,4655,11102,13946,13955,13317,3728,8206,9528,7544,6992,8595
"14","7","    Oil and gas extraction","N3107C0",159,464,1644,1247,753,2314,3695,8161,7096,6220,6662,820,2994,3498,2241,NA,NA
"15","8","    Mining, except oil and gas","N3108C0",710,580,606,305,170,282,647,1661,2889,3262,2945,1850,3277,3828,2975,NA,NA
"16","9","    Support activities for mining","N3109C0",684,126,225,740,128,181,313,1280,3961,4473,3710,1057,1935,2202,2328,NA,NA
"17","10","  Utilities","N3110C0",13606,15546,11098,8737,5161,4171,5302,9703,12657,15454,7489,5394,4203,1501,1237,2349,2836
"18","11","  Construction","N3111C0",4323,4852,4891,4634,4211,5284,7993,11626,10434,6043,3161,527,2193,2371,2774,3191,6234
"19","12","  Manufacturing","N3112C0",67446,72898,77729,48238,40502,54003,79282,118798,131249,127108,105955,81945,94407,103827,118054,125629,140195
"20","13","    Durable goods","N3113C0",35528,35279,36512,11559,11674,16467,27009,45484,50829,51508,42098,20596,41820,44108,52021,58323,61680
"21","14","      Wood products","N3114C0",813,1211,635,474,252,380,783,885,546,206,-16,-272,92,140,230,NA,NA
"22","15","      Nonmetallic mineral products","N3115C0",1850,2096,1433,931,721,891,1466,2581,2848,1707,630,-160,389,385,502,NA,NA
"23","16","      Primary metals","N3116C0",1584,1211,932,152,325,346,2587,3548,5813,5949,4990,-14,1541,2614,2440,NA,NA
"24","17","      Fabricated metal products","N3117C0",3761,3665,3706,1899,2146,2245,3562,4236,4095,4321,3517,1557,2590,3136,3541,NA,NA
"25","18","      Machinery","N3118C0",5360,3974,3210,1380,1112,1327,2511,5733,7899,8577,7343,2370,5289,8451,9841,NA,NA
"26","19","      Computer and electronic products","N3119C0",8743,9113,13136,-533,-350,4679,6430,12023,11871,12376,13104,10604,18019,14658,17729,NA,NA
"27","20","      Electrical equipment, appliances, and components","N3120C0",2520,2586,3131,1410,922,1091,2337,2139,2521,2740,2915,1526,2208,3023,3129,NA,NA
"28","21","      Motor vehicles, bodies and trailers, and parts","N3121C0",5032,4893,3367,876,1370,1338,1870,5218,3562,2272,-753,-4924,1358,1219,3015,NA,NA
"29","22","      Other transportation equipment","N3122C0",2086,3443,3648,2603,2593,1208,2081,3847,5429,7698,6407,5775,5616,6468,7310,NA,NA
"30","23","      Furniture and related products","N3123C0",1026,961,808,390,442,452,493,1007,1037,509,137,36,198,275,387,NA,NA
"31","24","      Miscellaneous manufacturing","N3124C0",2754,2127,2505,1976,2141,2510,2890,4269,5208,5153,3824,4098,4521,3739,3899,NA,NA
"32","25","    Nondurable goods","N3125C0",31918,37619,41217,36679,28827,37536,52273,73314,80420,75600,63857,61349,52587,59719,66034,67306,78515
"33","26","      Food and beverage and tobacco products","N3126C0",8920,13807,10638,10288,10563,9867,10317,14576,14183,14634,12510,14095,13797,13308,13954,NA,NA
"34","27","      Textile mills and textile product mills","N3127C0",663,648,435,8,93,1081,361,302,325,274,148,28,163,151,204,NA,NA
"35","28","      Apparel and leather and allied products","N3128C0",915,699,738,524,675,643,730,789,821,622,371,464,466,612,516,NA,NA
"36","29","      Paper products","N3129C0",1678,2152,2216,1089,550,723,1723,2869,3354,2789,2321,1150,1851,1372,1956,NA,NA
"37","30","      Printing and related support activities","N3130C0",1188,877,811,543,478,535,683,782,808,722,366,352,538,430,424,NA,NA
"38","31","      Petroleum and coal products","N3131C0",4149,4351,11913,9406,3530,10016,22119,29456,32318,31061,25648,9891,14535,19136,23206,NA,NA
"39","32","      Chemical products","N3132C0",13116,13689,13266,14267,12418,14046,15593,23623,27566,24500,22069,34841,20399,23530,24119,NA,NA
"40","33","      Plastics and rubber products","N3133C0",1289,1395,1199,553,520,626,747,917,1044,998,424,528,839,1180,1655,NA,NA
"41","34","  Wholesale trade","N3134C0",10729,12310,13354,8888,10285,13069,18365,22655,26323,27187,20712,15591,23762,24788,27668,29329,32292
"42","35","    Durable goods","N3135C0",6481,6949,8031,4251,4498,5457,8687,10630,12416,11624,8428,4893,9352,11077,13437,NA,NA
"43","36","    Nondurable goods","N3136C0",4248,5361,5323,4638,5788,7612,9678,12026,13907,15563,12284,10698,14410,13711,14231,NA,NA
"44","37","  Retail trade","N3137C0",17146,17985,18212,17674,18698,22853,26690,33815,35745,32672,24325,27984,29639,32192,38419,42143,45595
"45","38","  Transportation and warehousing","N3138C0",5568,4787,4412,2321,2238,3566,5843,8486,10347,7214,7108,4181,6622,6316,10271,11765,11387
"46","39","    Air transportation","N3139C0",1813,1352,546,-718,-1022,51,149,298,449,312,195,-208,629,326,496,NA,NA
"47","40","    Rail transportation","N3140C0",478,395,423,319,325,274,541,1851,3006,3001,2552,1481,2145,1725,3119,NA,NA
"48","41","    Water transportation","N3141C0",228,149,219,357,154,176,423,302,371,457,381,101,174,110,302,NA,NA
"49","42","    Truck transportation","N3142C0",824,782,685,416,475,681,1082,1700,1727,1058,852,521,765,702,1214,NA,NA
"50","43","    Transit and ground passenger transportation","N3143C0",70,59,42,3,19,38,64,72,125,62,49,44,84,74,61,NA,NA
"51","44","    Pipeline transportation","N3144C0",315,263,242,250,263,245,325,388,318,449,307,374,451,338,482,NA,NA
"52","45","    Other transportation and support activities \2\","N3145C0",1755,1688,2128,1630,1957,2028,3155,3692,4139,1661,2640,1622,2072,2772,4245,NA,NA
"53","46","    Warehousing and storage","N3146C0",85,97,126,63,68,73,104,182,212,214,133,246,302,268,352,NA,NA
