"","Table 6#19A# Corporate Profits After Tax by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/4/2015 6:44:17 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947
"8","1","    Corporate profits after tax","A055RC0",9542,3717,64,-1731,1311,2471,3420,5698,6127,3574,6337,7802,11152,11061,11772,11837,9704,16459,21368
"9","2","Domestic industries","A3202C0",9310,3580,68,-1697,1313,2411,3261,5594,5855,3273,6013,7536,10761,10683,11400,11414,9362,15768,20382
"10","3","  Agriculture, forestry, and fisheries","Q3203C0",5,-40,-68,-66,-28,-30,5,12,0,-14,-1,9,32,43,46,44,33,88,96
"11","4","    Farms","Q3204C0",-3,-47,-69,-65,-31,-33,2,7,-3,-15,-2,9,28,34,43,40,31,85,94
"12","5","    Agricultural services, forestry, and fisheries","Q3205C0",8,7,1,-1,3,3,3,5,3,1,1,0,4,9,3,4,2,3,2
"13","6","  Mining","Q3206C0",425,106,-135,-82,-33,145,154,282,452,245,303,409,497,399,364,380,303,346,721
"14","7","    Metal mining","Q3207C0",230,40,-33,-46,17,51,72,119,206,105,157,197,193,187,122,95,79,56,149
"15","8","    Anthracite mining","B3277C0",8,11,6,-12,-8,-1,-11,-6,-13,-12,-13,5,13,14,13,16,7,25,25
"16","9","    Bituminous and other soft coal mining","Q3208C0",11,-10,-22,-27,-22,15,4,8,12,-15,10,37,58,71,89,96,75,90,234
"17","10","    Crude petroleum and natural gas","Q3209C0",123,25,-96,8,-20,70,73,131,212,150,118,139,191,90,108,144,113,115,234
"18","11","    Nonmetallic mining and quarrying","Q3210C0",53,40,10,-5,0,10,16,30,35,17,31,31,42,37,32,29,29,60,79
"19","12","  Contract construction","Q3211C0",129,100,9,-72,-35,4,22,58,50,25,33,59,117,137,91,53,37,143,258
"20","13","  Manufacturing","Q3212C0",4442,1442,-369,-1284,679,1167,1761,2973,3089,1265,3094,4013,6044,5536,5810,5819,4373,7676,11307
"21","14","    Durable goods","Q3213C0",2282,528,-595,-1330,-242,228,707,1377,1637,348,1365,2131,3315,2887,2961,2998,1818,2244,5017
"22","15","      Lumber and basic timber products","Q3214C0",103,-10,-83,-85,2,-7,13,50,69,2,33,74,123,106,89,91,60,179,346
"23","16","      Furniture and finished lumber products","Q3215C0",30,-41,-62,-78,-22,-11,3,25,23,9,44,55,90,67,62,71,60,148,176
"24","17","      Stone, clay, and glass products","Q3216C0",140,54,-17,-71,1,41,66,133,125,56,132,146,191,141,112,95,92,239,292
"25","18","      Iron and steel and their products, including ordnance","Q3217C0",764,247,-146,-305,-34,100,164,325,431,-1,257,445,791,764,787,715,455,653,1228
"26","19","      Nonferrous metals and their products","Q3218C0",193,43,-16,-52,50,97,117,152,156,37,126,148,196,152,203,195,126,261,401
"27","20","      Machinery, except electrical","Q3219C0",435,148,-72,-206,-42,92,160,285,355,173,280,461,710,610,523,502,329,422,957
"28","21","      Electric and electronic equipment","Q3220C0",89,-33,-109,-187,-168,-154,-50,18,67,-4,75,166,271,231,259,299,148,83,532
"29","22","      Motor vehicles and equipment","Q3221C0",416,135,26,-189,45,83,206,323,305,41,279,362,460,202,171,170,87,134,879
"30","23","      Other transportation equipment","Q3222C0",36,-2,-50,-50,-40,-23,-24,2,39,2,71,199,357,513,644,727,358,-70,-37
"31","24","      Miscellaneous manufacturing, including instruments and miscellaneous plastic products","Q3224C0",76,-13,-66,-107,-34,10,52,64,67,33,68,75,126,101,111,133,103,195,243
"32","25","    Nondurable goods","Q3225C0",2160,914,226,46,921,939,1054,1596,1452,917,1729,1882,2729,2649,2849,2821,2555,5432,6290
"33","26","      Food and kindred products","Q3226C0",411,314,153,62,304,357,295,437,282,286,451,430,578,619,629,619,591,1238,1122
"34","27","      Tobacco manufactures","Q3227C0",124,136,145,149,66,110,104,120,115,115,126,123,120,104,97,87,80,107,117
"35","28","      Textile mill products","Q3228C0",147,-171,-121,-129,170,43,76,159,85,-19,146,164,357,334,303,294,273,847,945
"36","29","      Apparel and other textile products","Q3229C0",30,-37,-62,-72,16,18,21,48,26,13,42,48,92,102,108,107,110,319,296
"37","30","      Paper and allied products","Q3230C0",95,46,-5,-52,33,63,69,89,112,39,100,144,216,163,161,165,140,368,592
"38","31","      Printing and publishing","Q3231C0",323,223,134,44,83,116,136,163,141,93,126,150,167,175,255,292,293,439,428
"39","32","      Chemicals and allied products","Q3232C0",374,256,179,97,206,253,269,325,319,241,415,453,564,517,520,479,415,929,1124
"40","33","      Petroleum and coal products","Q3233C0",591,206,-157,-6,-4,-41,30,183,332,130,238,292,480,475,625,624,518,851,1393
"41","34","      Rubber products","Q3234C0",23,-42,-17,-21,8,-1,12,31,20,13,46,46,88,98,87,93,76,191,138
"42","35","      Leather and leather products","Q3235C0",42,-17,-23,-26,39,21,42,41,20,6,39,32,67,62,64,61,59,143,135
"43","36","  Transportation and public utilities","Q3236C0",1596,932,364,55,94,270,315,531,623,329,757,941,1332,1843,1993,1691,1189,1173,1526
"44","37","    Transportation","Q3237C0",879,356,-126,-331,-240,-201,-138,18,-9,-237,74,185,582,1124,1220,946,514,219,655
"45","38","      Railroad transportation","Q3238C0",668,226,-177,-346,-292,-279,-211,-85,-104,-278,-56,14,364,890,950,685,316,-48,397
"46","39","      Local and interurban passenger transit","Q3239C0",45,37,-3,-16,-5,-11,-34,-5,-27,-58,-40,-4,5,78,114,93,74,91,22
"47","40","      Trucking and warehousing","Q3240C0",39,26,17,10,17,18,21,21,19,26,44,26,40,45,36,34,25,75,93
"48","41","      Water transportation","Q3241C0",47,16,3,-8,12,15,26,31,36,11,40,57,75,35,41,39,36,71,99
"49","42","      Transportation by air","Q3242C0",-6,-19,-9,-3,-3,-6,-3,0,-3,-2,6,8,11,18,18,33,21,-26,-39
"50","43","      Pipelines, except natural gas","Q3243C0",77,62,36,27,21,58,58,53,66,59,70,61,60,32,33,34,25,26,37
"51","44","      Transportation services","Q3244C0",9,8,7,5,10,4,5,3,4,5,10,23,27,26,28,28,17,30,46
"52","45","    Communication","Q3245C0",270,218,203,135,114,135,156,170,183,171,216,215,202,212,230,237,202,246,188
"53","46","      Telephone and telegraph","Q3246C0",250,221,206,135,116,127,145,153,165,158,199,194,182,197,209,211,178,209,155
"54","47","      Radio and television broadcasting","Q3247C0",20,-3,-3,0,-2,8,11,17,18,13,17,21,20,15,21,26,24,37,33
"55","48","    Electric, gas, and sanitary services","Q3248C0",447,358,287,251,220,336,297,343,449,395,467,541,548,507,543,508,473,708,683
"56","49","      Utilities: electric and gas","B3278C0",415,332,271,228,186,308,269,322,426,380,446,519,524,487,505,479,451,689,630
"57","50","      Local utilities and public services, n.e.c.","B3279C0",32,26,16,23,34,28,28,21,23,15,21,22,24,20,38,29,22,19,53
