"","Table 6U# Real BEA Retail and Food Service Sales                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Millions of chained (2009) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 30, 2015    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/27/2015 11:35:36 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","27","S1 QN446ZZZMG     Health and personal care stores","T060270",188722,198559,205660,215408,225479,227707,235534,242735,253556,257194,257260,257986,262444,258309,263336,273129
"35","28","S1 QN447ZZZMG     Gasoline stations","T060280",406449,387527,399592,415384,405164,416190,417941,420046,416448,407530,399356,396298,385139,389310,394975,393712
"36","29","S1 QN451ZZZMG     Sporting goods, hobby, book, and music stores","T060290",70596,74809,76177,77134,78722,81298,83883,87603,89892,89199,86126,87356,88383,90742,94250,94507
"37","30","S4 QN4511ZZMG       Sporting goods, hobby, and musical instrument stores","T060300",43296,46757,48398,49971,52217,54739,57655,62156,65647,66431,65424,67388,70114,74117,77612,78481
"38","31","S4 QN4512ZZMG       Book, periodical, and music Stores","T060310",28651,29204,28734,27909,27051,27011,26564,25619,24301,22781,20702,19973,18285,16641,16655,16055
"39","32","S1 QN453ZZZMG     Miscellaneous store retailers","T060320",106535,108338,104620,104975,107990,111326,116090,123784,127069,119680,108643,112149,116592,118431,124307,128509
"40","33","S3 QN4531ZZMG       Florists","T060330",8528,8575,8038,7656,7193,7099,7496,7719,7659,7118,6113,6205,5870,5844,5085,5468
"41","34","S3 QN4532ZZMG       Office supplies, stationery, and gift stores","T060340",30247,31991,30888,31654,33111,35564,37856,41115,42825,40578,38027,39092,39923,40530,43594,45064
"42","35","S4 QN4533ZZMG       Used merchandise stores","T060350",8464,8885,8744,8958,8998,9191,9451,10720,11405,11462,10823,11779,12796,13992,15444,16277
"43","36","S4 QN4539ZZMG       Other miscellaneous store retailers","T060360",62010,60568,58572,57945,59903,60175,61769,64486,65315,60574,53680,55078,57956,58062,60280,61839
"44","37","S1 QN454ZZZMG     Nonstore retailers","T060370",188010,212602,214619,228770,241984,257690,276432,298756,316403,314352,316647,343079,371276,399436,442376,476531
"45","38","S2 QN4541ZZMG       Electronic shopping and mail-order houses","T060380",102477,124780,127681,136176,148774,166219,187735,211535,230364,233502,236949,266130,298305,329970,372086,409017
"46","39","S4 QN4542ZZMG       Vending machine operators","T060390",10812,11027,9771,9740,9335,9519,9300,9306,8729,8031,6970,6645,6219,6511,6269,6073
"47","40","S4 QN4543ZZMG       Direct selling establishments","T060400",79285,79219,79336,85240,85416,82312,79049,77452,76888,72797,72727,70635,68350,66305,68882,68318
"48","41","S1 QN722ZZZMG Food services and drinking places","T060410",407285,424296,429274,436068,452209,468026,483577,501203,509597,500468,479542,489229,503620,518199,523010,539088
"49","42","S4 QN7221ZZMG   Full-service restaurants","T060420",177619,184474,187830,192816,198968,205327,211114,218921,222632,215124,205340,207082,216015,223525,223662,232408
"50","43","S4 QN7222ZZMG   Limited-service eating places","T060430",174161,180310,182468,184496,192536,200960,208341,213865,215618,214489,207456,214492,219392,224325,234591,241410
"51","44","S4 QN7223ZZMG   Special food Services","T060440",34696,38209,37895,37431,38636,40028,42482,45877,48870,48929,45716,46810,47539,49361,44208,44620
"52","45","S4 QN7224ZZMG   Drinking places (alcoholic beverages)","T060450",20809,21264,21040,21260,22035,21717,21661,22519,22416,21913,21029,20852,20674,20982,20559,20663
"53",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","46","S1 QN04472BMG   Retail and food services except motor vehicle and parts dealers","T060460",2833337,2947470,3026941,3131491,3245419,3383820,3538433,3678358,3739944,3677133,3553786,3645169,3733055,3828638,3954115,4076388
"55","47","S1 QN44GZZZMG   Retail trade except motor vehicle and parts dealers","T060470",2428595,2525916,2599546,2696438,2794287,2916597,3055160,3177340,3230535,3176811,3074244,3155930,3229477,3310517,3431173,3537314
"56","48","S2 QN44BZZZMG   GAFO-Department store merchandise stores \1\","T060480",788765,842805,876908,924619,979018,1041600,1112571,1174236,1215095,1206342,1162228,1211413,1253176,1294398,1338821,1385327
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","S1=Based on Census advance data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","S2=Based on Census preliminary and final data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","S3=Based on unpublished Census data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","S4=Based on unpublished Census data, seasonally adjusted by BEA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1. Includes industries QN442ZZZMG, QN443ZZZMG, QN448ZZZMG, QN451ZZZMG,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","QN452ZZZMG, and QN4532ZZMG.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
