"","Table 9#2U# Final Sales of Domestic Computers                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Billions of chained (2009) dollars; quarters seasonally adjusted at annual rates]:                                                                                                                                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 30, 2015    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/27/2015 11:17:58 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","Gross domestic product (GDP)","A191RX1",12065.9,12559.7,12682.2,12908.8,13271.1,13773.5,14234.2,14613.8,14873.7,14830.4,14418.7,14783.8,15020.6,15369.2,15710.3,16085.6
"9","2","GDP less final sales of domestic computers \1\","BB00RX1",12112,12576.8,12684.9,12909.9,13259.1,13760.1,14208.8,14570.2,14817.6,14760.8,14346.2,14714.3,14945.6,15286.8,15619.8,15989.7
"10","3","Final sales of domestic computers","BB01RX1",18.7,24.5,27.6,28.5,33.4,35,41.1,51.3,59.6,69.9,72.5,69.3,75.5,84.5,95.4,102.5
"11","4","  Personal consumption expenditures \2\","DCPPRX1",4.1,5.7,7.5,10.4,13.7,17.1,21.7,27.1,32,36.9,41.6,48.5,57.9,66.8,77.9,88.1
"12","5","  Private fixed investment \3\","B935RX1",29.2,35.4,36.3,38,41.7,46.8,52.1,64.3,72.7,77.1,76.8,84.7,83,86.8,86.7,84.6
"13","6","  Exports \2\","B850RX1",27,33.8,29.9,25.8,27.4,29.8,34.3,37.6,38.9,40.9,37.7,45,52.5,53,53.1,54.7
"14","7","  Imports \2\","B852RX1",40.2,47,42.8,47.1,51.4,63.7,72.9,85.5,93.9,95.5,94.2,119.6,128.4,133.4,133.1,134.4
"15","8","  Government \4\","SWSHGX1",2.1,2.4,2.5,3.4,3.9,4.5,5.2,7.1,9.4,10.6,10.6,11.1,11.2,12.1,12,11.9
"16","9","Residual \5\","SWSHRX1",-68.3,-47.4,-36.1,-31.6,-23.3,-21.1,-15,-7,-3,-0.4,0,-0.2,-1.2,-2.9,-6.1,-9
"17",NA,"[Percent change from preceding period at annual rates]:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","Gross domestic product","A191RL1",4.7,4.1,1,1.8,2.8,3.8,3.3,2.7,1.8,-0.3,-2.8,2.5,1.6,2.3,2.2,2.4
"19","11","GDP less final sales of domestic computers","BB00RL1",4.3,3.8,0.9,1.8,2.7,3.8,3.3,2.5,1.7,-0.4,-2.8,2.6,1.6,2.3,2.2,2.4
"20","12","Final sales of domestic computers","BB01RL1",43.2,30.6,13,3.1,17.2,4.8,17.4,24.7,16.3,17.3,3.7,-4.5,9,11.9,12.9,7.5
"21",NA,"[Billions of dollars; quarters seasonally adjusted at annual rates]:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","13","Final sales of domestic computers","BB01RC1",101.8,109.9,98.8,83.1,83.1,80.4,79.1,83.1,82.2,81.1,72.5,63.2,63.2,66,67.9,68.9
"23","14","  Personal consumption expenditures \2\","DCPPRC1",29.8,31.7,29.9,31.2,32.5,35.5,37.8,39.9,42.1,42.6,41.6,45.1,48.5,50.7,53.8,56.5
"24","15","  Private fixed investment \3\","B935RC1",97.2,103.2,87.6,79.7,78.3,81.5,80,86.4,87.7,83.8,76.8,81.3,76.4,78.3,77.6,75.7
"25","16","  Exports \2\","B850RC1",46.7,55.5,47.6,38.6,39.9,42.8,45.5,47.6,45.5,43.9,37.7,43.8,48.5,49.3,48.1,48.9
"26","17","  Imports \2\","B852RC1",81.5,89.8,74.1,75.2,76.6,88.8,93.5,101.6,105.5,101.2,94.2,117.3,119.7,122.3,121.2,121.5
"27","18","  Government \4\","SWSHGC1",9.5,9.3,7.8,8.9,9,9.5,9.3,10.8,12.2,12,10.6,10.3,9.6,10,9.6,9.3
"28",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,"  [Billions of chained (2009) dollars; quarters seasonally adjusted at annual rates]:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","19","  Gross private domestic investment less private fixed investment in computers","SW19RX1",2239.7,2367.6,2214.2,2195.8,2280.2,2477.3,2632.2,2671.9,2574.2,2319.7,1801.3,2035.7,2147.1,2348.2,2468,2617.6
"31","20","  Private fixed investment less computers","SW20RX1",2171.7,2306.2,2265.4,2178.9,2261.2,2408.9,2569.7,2603.4,2539,2356.1,1948.9,1971.6,2103.4,2280.5,2391.3,2524.8
"32","21","  Private nonresidential fixed investment less computers","SW21RX1",1514.8,1639.5,1595,1474.4,1495.1,1566.7,1672.3,1778.1,1877.1,1858,1556.7,1589.2,1718.9,1844.3,1902.9,2029.7
"33","22","  Private nonresidential equipment less computers","SW22RX1",662.6,715.8,678,632.2,646.9,692.9,758.1,811.8,828.9,760.3,567.5,662,764.2,817.8,859.1,921.1
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","other coverage limitations identified in the other footnotes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. Computer aggregates exclude change in inventories and are subject to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Consists of computers and peripheral equipment and parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3. Consists of computers and peripheral equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","4. Consists of computer components of government consumption expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","and government gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","5. Line 1 less line 2 less lines 4, 5, 6, and 8, plus line 7.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Note. This table shows published and unpublished detail for final sales of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","domestic computers and for GDP less final sales of domestic computers.  Series",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","in this table have been used by BEA to estimate the impact of changes in real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","final sales of domestic computers on changes in real GDP.  Care should be taken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","in interpreting these estimates because estimates for computers in change in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","inventories are not available and because the computer components of some",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","aggregates include parts (see table footnotes).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
