"","Table 4BU3# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75"
"11","54","  Durable goods industries","KS30DF0",79895,82737,84271,85655,88809,88428,89547,91084,91810,92292,92833,94143,94249,94953,97317,98605,98478,99134,96707,94424,93490,93529,93571,93708,94139,93452,92394,92281,91544,92277,93940,94467,97274,97757,98326,99652,100536,101913,103891,105069,106060,104873,104673,105245,104697,102888,102334,102531,99125,96108,93546,93567,93835,94669,96327,96049,97888,98697,100385,100439,101110,102924,103967,103758,103052,103740,104541,105915,106931,107212,109067,109388
"12","55","    Wood product manufacturing","KS321F0",3628,3623,3918,3934,3835,3803,4117,4179,4084,4337,4325,4477,4495,4680,4579,4802,4638,5029,4761,4471,4719,4683,4879,4737,4784,4541,4455,4525,4649,4751,4796,4723,5216,5115,5041,5126,5015,5285,5397,5243,5242,5117,5072,5026,4567,4596,4627,4447,4118,3879,3795,3659,3800,3917,3908,3831,3841,3797,3902,3926,3863,3861,3956,4045,4134,4247,4258,4345,4476,4426,4362,4566
"13","56","    Nonmetallic mineral product manufacturing","KS327F0",7071,7292,6947,6990,7092,7095,6987,7030,6889,6831,7017,7214,7095,7057,7108,7263,7207,7150,7017,6885,6796,6806,6945,7127,7248,7491,7336,7020,7004,6954,7044,7214,7211,7238,7233,7285,7313,7344,7515,7619,7565,7633,7697,7776,7576,7533,7279,7366,6985,6786,6538,6359,6237,6209,6295,6331,6249,6319,6402,6579,6472,6518,6576,6569,6534,6614,6726,6768,6877,6942,6956,7075
"14","57","    Primary metal manufacturing","KS331F0",8995,8997,9129,9368,9294,9585,9896,9898,9568,9911,9900,9915,9897,9915,10019,10001,9939,9514,9429,9247,9273,9284,9227,9328,9316,9302,9101,9054,8817,8861,9180,9726,10640,10373,10139,10370,10234,10315,10440,10482,10597,10506,10807,10759,11164,10985,10950,9611,8623,7576,7403,7888,8119,8309,8383,8619,8887,9380,9519,9676,9662,9926,10060,10161,10338,10057,10147,10381,10790,10919,11092,11183
"15","58","    Fabricated metal product manufacturing","KS332F0",12893,13178,13111,13343,13699,13865,13958,14207,14555,14303,14203,14612,14473,14640,14927,15128,15222,15151,15066,14775,14781,15084,15117,15233,16181,15664,15017,15002,14843,14949,15121,14820,15111,15462,15164,15347,15621,15378,15659,15835,16075,15923,15568,16084,16020,15877,16009,16216,16168,15688,15171,15130,15078,15107,15294,15325,15714,15838,16141,16230,16011,16235,16351,16269,16468,16530,16581,17009,16983,17062,17716,18011
"16","59","    Machinery manufacturing","KS333F0",13380,13892,13831,14081,14515,14265,14958,15345,15105,15003,14970,15353,15628,15527,16066,15976,16216,15917,15438,14454,14467,14222,14575,14762,14575,14535,13954,13979,14039,13961,14128,14189,14479,14469,15141,15072,15212,15428,16026,16313,16237,16272,16417,16543,16854,16334,15696,16448,15999,15616,15000,15033,14583,14880,14967,15254,15643,15886,16466,16499,17448,18038,18717,18315,18274,18177,18308,18321,17771,17637,17912,17635
"17","60","    Computer and electronic product manufacturing","KS334F0",9468,10178,10923,11174,11934,11984,11647,11697,12416,12443,12625,12592,12197,12084,12907,13986,13575,14512,13507,13023,12478,12474,11730,11575,11818,11777,11992,11838,11581,11939,12168,12284,12505,12750,12673,12948,13139,13312,13573,13723,14280,13914,14044,13918,14131,14173,14346,14764,13883,14102,13936,14280,14467,14596,15296,15172,15641,15906,15924,15963,16209,16413,16476,16560,16543,17010,17152,17335,17192,17363,17892,17602
"18","61","    Electrical equipment, appliance, and component manufacturing","KS335F0",4362,4574,4671,4530,4750,4685,4862,4987,4822,4938,4890,4831,4807,4845,5028,5050,5028,4679,4501,4611,4684,4732,4804,4644,4633,4597,4434,4524,4343,4375,4492,4311,4341,4350,4202,4210,4362,4461,4502,4692,4725,4628,4831,5039,4980,4875,4826,4940,4608,4435,4348,4171,3994,4032,4229,4135,4140,4276,4305,4337,4458,4434,4477,4375,4481,4461,4496,4625,4713,4686,4746,4736
"19","62","    Transportation equipment manufacturing","KS336F0",12005,12691,13021,13161,14147,13702,13827,14553,14737,14775,14897,14908,15078,15565,15497,14895,14947,15203,15186,15432,15169,14952,14914,14938,14056,14105,14125,14219,14168,14414,14901,14926,15525,15400,15499,15780,15937,16715,16820,17098,17223,16923,16326,16092,15531,15209,14956,14579,14362,13720,13149,13075,13440,13149,13202,12342,12583,12449,12924,12485,12731,13138,12911,13049,11816,12225,12591,12399,13103,13130,13220,13422
"20","63","      Motor vehicle and parts manufacturing","KS3MVF0",6519,6401,6229,6335,6560,6454,6529,6740,6881,7066,7194,7156,7394,7686,7671,7634,7481,7422,7177,7136,6984,7109,7455,7428,7055,7293,7302,7554,7578,7480,7787,7670,8018,8013,7879,7893,7950,7700,8123,7882,8189,8146,7882,7970,7701,7629,7639,7694,7400,6714,6676,6963,7826,7688,7781,7393,7568,7496,7809,7645,7586,7759,7514,7787,6626,6967,7198,6989,7707,7338,7235,7542
"21","64","      Other transportation equipment manufacturing","KS3OTF0",5452,6288,6810,6843,7622,7273,7323,7846,7887,7736,7729,7778,7705,7901,7846,7277,7484,7804,8039,8330,8217,7873,7488,7536,7026,6840,6850,6700,6628,6962,7146,7286,7539,7419,7648,7913,8013,9026,8711,9226,9049,8792,8458,8134,7841,7586,7321,6885,6962,7009,6469,6112,5628,5478,5441,4972,5040,4978,5141,4865,5170,5404,5420,5287,5206,5277,5413,5426,5420,5809,5999,5897
"22","65","    Furniture and related product manufacturing","KS337F0",2829,2890,2818,2844,2827,2823,2800,2880,2872,2873,2991,3076,3238,3180,3245,3184,3275,3134,3207,3083,2943,2996,3271,3371,3325,3237,3135,3192,3190,3169,3215,3343,3338,3323,3449,3508,3510,3476,3477,3431,3438,3361,3308,3306,3233,3100,3141,3087,2988,2807,2777,2694,2680,2735,2723,2737,2746,2586,2591,2578,2550,2578,2614,2721,2669,2612,2587,2572,2591,2544,2561,2589
"23","66","    Miscellaneous durable goods manufacturing","KS339F0",6379,6255,6224,6474,6687,6609,6770,6637,6682,6824,6893,7140,7436,7599,7854,7888,8133,8087,8124,8049,7999,8146,8244,8210,8472,8451,8912,9002,8989,8920,8908,8945,8941,9290,9788,9989,10171,10168,10477,10624,10638,10581,10557,10668,10546,10110,10392,11086,11407,11511,11445,11291,11446,11740,12035,12278,12405,12163,12118,12068,11621,11691,11734,11615,11689,11737,11639,12083,12351,12426,12530,12475
"24","67","  Nondurable goods industries","KS30NF0",102199,103875,104065,105488,106065,106340,106323,106398,107331,108212,110420,111428,111953,113219,114155,114874,114125,112855,111809,112484,111347,112257,113283,114207,113498,114093,113724,112987,112401,113296,113981,114490,116313,116425,115086,116997,119116,118637,118971,120120,119162,120575,122126,121871,122775,122871,118632,115983,115682,115048,114088,114125,115069,115748,117608,119674,119564,121637,120605,120934,120706,119645,120337,120363,120263,120570,119127,118922,117649,118165,117474,117675
"25","68","    Food manufacturing","KS311F0",21940,22331,22150,22549,22765,22672,22517,22559,22534,22517,23272,23312,24081,24043,24138,24432,24069,24108,24002,24401,24324,25113,25358,25363,25450,25048,24936,24735,24351,24101,24531,24225,24349,24527,24681,24752,25495,25167,24509,24734,24428,24387,24793,24741,24184,24151,24308,25315,25645,25536,25943,26168,26059,26191,26489,26117,25759,25707,25415,25717,25854,25498,24891,25305,25155,25075,25058,24498,23969,23963,24325,24425
"26","69","    Beverage and tobacco product manufacturing","KS312F0",4174,4225,4192,4389,4278,3964,4066,4260,4161,4372,4289,4479,4729,4571,4537,4565,4750,4478,4561,4828,4587,4934,4851,4864,4906,5115,4870,4969,4974,5131,5246,5258,5291,5065,5085,5183,5196,5068,5282,5221,5191,5256,5282,5315,5341,5304,5176,5251,5382,5403,5549,5558,5478,5670,5807,5821,5912,5778,5847,5888,5963,6168,6160,6178,6183,6192,6129,6165,6187,6451,6425,6628
"27","70","    Textile mills","KS313F0",2956,3017,2985,2938,2981,3037,3123,3192,3281,3306,3299,3317,3226,3184,3140,3099,3016,3090,3042,2959,2977,2875,2907,2871,2891,2956,2898,2756,2749,2733,2725,2690,2644,2683,2602,2669,2651,2665,2696,2600,2543,2516,2592,2563,2555,2336,2378,2394,2396,2296,2129,2119,2087,2089,2115,2203,2187,2199,2202,2182,2179,2160,2152,2104,2109,2122,2139,2155,2178,2175,2162,2177
"28","71","    Textile product mills","KS314F0",1527,1637,1681,1714,1746,1668,1673,1602,1675,1722,1768,1797,1863,1907,1906,1985,2044,2127,2156,2205,2026,1954,1843,1679,1749,1785,1788,1821,1796,1779,1829,1782,1867,1802,1791,1905,1849,1927,1977,1981,1898,1923,1904,1883,1840,1761,1765,1775,1632,1519,1489,1496,1538,1596,1663,1699,1700,1730,1755,1768,1726,1720,1734,1752,1767,1765,1761,1732,1750,1710,1602,1626
"29","72","    Apparel manufacturing","KS315F0",4910,5167,5320,5247,5409,5389,5514,5559,5877,5965,6160,6086,5874,5767,5718,6041,5853,5786,5332,5038,4996,4951,5136,5104,5390,5451,5373,5288,5102,5029,5043,5110,5257,5212,5170,5089,4979,4952,4821,5140,5062,5084,5052,5028,5009,5011,4940,4877,4777,4707,4621,4589,4558,4557,4578,4581,4533,4520,4548,4584,4563,4585,4627,4623,4700,4734,4772,4872,4948,5068,5104,5303
"30","73","    Leather and allied product manufacturing","KS316F0",945,1007,990,1000,1059,1109,1073,1065,1061,1091,1114,1097,1093,1072,1100,1037,1021,964,962,935,768,783,852,872,889,872,835,834,824,795,795,823,859,874,879,870,862,881,933,976,986,997,969,960,944,1087,1024,980,1016,999,970,951,940,930,953,995,1024,1017,1033,1042,1049,1087,1088,1124,1117,1108,1100,1087,1089,1115,1132,1138
"31","74","    Paper manufacturing","KS322F0",7623,7537,7705,7791,7751,7881,7916,7829,7866,7993,8025,7976,8017,8058,8023,7826,7625,7662,7711,8018,8176,8306,8426,8562,8326,8458,8398,8278,8373,8188,8239,8363,8440,8549,8303,8292,8285,8226,8283,8267,8237,8183,8124,8168,8110,8149,7987,7943,7762,7711,7596,7432,7289,7383,7362,7370,7358,7368,7461,7438,7409,7414,7329,7327,7319,7288,7199,7064,7054,7078,7186,7288
"32","75","    Printing and related support activities","KS323F0",3100,3222,3129,3136,3115,2968,3187,3152,3186,3240,3239,3267,3257,3247,3238,3261,3176,3158,3189,3156,3234,3244,3113,3254,3165,3115,3163,3117,3090,3126,3167,3136,3139,3087,3201,3154,3084,3133,3183,3214,3254,3271,3229,3315,3369,3269,3139,3186,3105,3085,3054,2960,2940,2907,2895,2923,2956,2883,2889,2893,2901,2955,2966,2957,2965,3025,3049,3122,3278,3251,3337,3393
"33","76","    Petroleum and coal product manufacturing","KS324F0",12793,12945,13188,12997,12605,13512,12656,12411,12155,11908,12467,12308,12692,12949,12904,13123,13396,13182,12839,13110,12449,12848,13488,12902,12669,13168,13226,12721,12486,13679,12914,13133,13574,13282,12860,13322,13788,13699,13976,13971,13632,14191,14861,15155,16898,18530,17443,14732,14203,15230,14695,15770,15822,14934,15328,15913,16323,17107,16310,16497,16742,16358,17315,16735,16211,16458,15717,16132,15663,16308,15378,14624
"34","77","    Chemical manufacturing","KS325F0",33600,33992,34162,35040,35398,35444,35323,35232,35645,35902,36597,37417,37092,38041,38940,38897,38821,38172,37611,37381,37231,37283,36925,37609,36776,36559,37257,37563,37850,38281,38618,39275,40145,40447,40032,41016,41722,41599,41774,42523,42229,43032,43429,42751,41843,40155,38155,38228,38749,37922,37690,36852,38064,39430,40128,41573,41256,41959,42236,42096,41311,40860,40974,41360,42078,42026,41608,41388,41048,40590,40509,41034
"35","78","    Plastics and rubber product manufacturing","KS326F0",9321,9415,9295,9348,9420,9674,9681,9810,9951,10051,10245,10386,10108,10559,10731,10875,10767,10450,10566,10621,10556,10024,10629,11215,11286,11652,11177,11030,10920,10870,11103,10994,11115,11261,10850,11095,11540,11653,11805,11836,12053,12054,12087,12069,12233,11888,11801,11305,10972,10720,10509,10233,10309,10297,10512,10651,10589,11157,11009,10863,10904,10881,10910,10860,10834,10894,10910,10902,10868,10665,10727,10558
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Chained (2009) dollar inventory series are calculated to ensure that the chained (2009) dollar change in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","inventories for 2009 equals the current-dollar change in inventories for 2009 and that the average of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2008 and 2009 end-of-year chain-weighted and fixed-weighted inventories are equal.  Chained (2009) dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","final sales series are calculated as the product of the chain-type quantity index and the 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","current-dollar value of the corresponding series, divided by 100.  Because the formula for the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
