"","Table 6#9C# Hours Worked by Full-Time and Part-Time Employees by","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of hours]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 21, 2004      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/27/2005 1:41:41 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Hours worked by full-time and part-time employees","B4701C0",186572,191466,196933,198053,193610,194252,197474,202686,207817,210620,216830,222744,227813,231510
"9","2","Domestic industries","B4702C0",186707,191619,197102,198220,193777,194411,198342,203662,208789,211517,217792,223698,228861,232433
"10","3","  Private industries","B4703C0",155289,159592,164425,164930,160589,161372,165446,170708,175690,178409,184510,190105,195056,198024
"11","4","    Agriculture, forestry, and fishing","B4704C0",3384,3531,3472,3532,3487,3378,3450,3502,3663,3671,3821,3980,4180,4188
"12","5","      Farms","B4705C0",2051,2109,1971,1967,1934,1830,1823,1776,1848,1757,1849,1883,1959,1899
"13","6","      Agricultural services, forestry, and fishing","B4706C0",1333,1422,1501,1565,1553,1548,1627,1726,1815,1914,1972,2097,2221,2289
"14","7","    Mining","B4707C0",1496,1489,1478,1564,1515,1381,1346,1319,1308,1314,1342,1285,1162,1157
"15","8","    Construction","B4708C0",9707,10180,10419,10362,9442,9081,9483,10167,10536,11003,11590,12159,13058,13715
"16","9","    Manufacturing","B4709C0",36701,37768,37882,37101,35544,35237,35602,36344,36470,36389,36939,36929,36777,36287
"17","10","      Durable goods","B4710C0",21567,22408,22374,21665,20444,20091,20346,20962,21229,21434,21994,22189,22140,21972
"18","11","      Nondurable goods","B4711C0",15134,15360,15508,15436,15100,15146,15256,15382,15241,14955,14945,14740,14637,14315
"19","12","    Transportation and public utilities","B4712C0",10089,9960,10255,10503,10279,10322,10678,11196,11662,11847,12096,12422,12945,12969
"20","13","      Transportation","B4713C0",5968,5933,6163,6342,6155,6238,6537,7048,7446,7668,7810,8042,8240,8207
"21","14","      Communications","B4714C0",2359,2310,2282,2353,2296,2243,2299,2352,2429,2468,2574,2701,2999,3117
"22","15","      Electric, gas, and sanitary services","B4715C0",1762,1717,1810,1808,1828,1841,1842,1796,1787,1711,1712,1679,1706,1645
"23","16","    Wholesale trade","B4716C0",10992,11480,11844,11626,11251,11419,11063,11587,12133,12064,12426,12976,12956,13322
"24","17","    Retail trade","B4717C0",28635,29315,30377,29331,28582,28640,29146,30359,31116,31463,32382,32418,33829,33750
"25","18","    Finance, insurance, and real estate","B4718C0",11571,11538,11651,11627,11493,11477,11747,11936,11908,12053,12669,13131,13489,13296
"26","19","    Services","B4719C0",42714,44331,47047,49284,48996,50437,52931,54298,56894,58605,61245,64805,66660,69340
"27","20","  Government","B4720C0",31418,32027,32677,33290,33188,33039,32896,32954,33099,33108,33282,33593,33805,34409
"28","21","    General government","B4721C0",28128,28676,29277,29851,29769,29754,29598,29554,29630,29633,29793,30084,30290,30904
"29","22","    Government enterprises","B4722C0",3290,3351,3400,3439,3419,3285,3298,3400,3469,3475,3489,3509,3515,3505
"30","23","Rest of the world \1\","B4723C0",-137,-153,-169,-167,-167,-159,-868,-976,-972,-897,-962,-954,-1048,-923
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1. Beginning with 1993, includes estimates of foreign professional workers and undocumented",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Mexican migratory workers employed temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
