"","Table 5#4#1B# Percent Change From Preceding Period in Real Priva","F2","F3","F4","F5","F6","F7","F8","F9","F10"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 04, 2005   ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/27/2005 1:33:54 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004
"8","1","    Private fixed investment in structures","A349RL1",6.6,3.3,3.2,-0.7,-4.3,3.9,7.6
"9","2","Nonresidential","B009RL1",5.1,-0.4,6.8,-2.3,-17.1,-4.2,2.2
"10","3","  Commercial and health care","W001RL1",5.8,3.2,6.3,-5.3,-15.7,-6.4,2.2
"11","4","    Office \1\","W031RL1",17.1,6.3,11.6,-7.9,-30.7,-15.8,2
"12","5","    Health care","W032RL1",-1.6,-0.6,1.3,-4,13,4.7,4.4
"13","6","      Hospitals and special care","C311RL1",-1.5,-5.4,2.2,-1.1,15.7,0.6,-0.9
"14","7","        Hospitals","W033RL1",-8.3,-3.9,2.7,6.4,21.3,5.8,2.5
"15","8","        Special care","W034RL1",18.4,-8.9,1,-19.1,-2.3,-20,-18.5
"16","9","      Medical buildings","W035RL1",-2,15.7,-1.2,-12.4,4.2,19.6,20.2
"17","10","    Multimerchandise shopping","W036RL1",4.1,10.7,-5.7,5.8,-7.9,-3.7,11.5
"18","11","    Food and beverage establishments","W037RL1",1.6,-12.6,2.2,-3.9,-12.6,3,-8.3
"19","12","    Warehouses","W038RL1",-3.5,3.9,4.2,2,-26.6,1,-8.7
"20","13","    Other commercial \2\","W039RL1",-2.3,0.9,10,-12.9,-1.5,-11.8,3.8
"21","14","  Manufacturing","C307RL1",3.4,-22.5,-6.1,-10.3,-41.6,-7.4,4.8
"22","15","  Power and communication","W003RL1",15.3,17.4,14.7,3,-2.4,-14.1,-11.7
"23","16","    Power","W028RL1",26.4,-1.3,27.3,4.3,1,-3.1,-16.5
"24","17","      Electric","C571RL1",7.2,16.6,45.3,4.8,-3.9,-4.9,-21.1
"25","18","      Other power","W029RL1",69.8,-26.5,-12.7,2.4,19.7,2.4,-3.9
"26","19","    Communication","C314RL1",0.5,49.5,0.1,1.2,-7.6,-32.6,0
"27","20","  Mining exploration, shafts, and wells","E318RL1",-7.8,-8.8,27.8,17.8,-23.3,17.4,16.4
"28","21","    Petroleum and natural gas","C319RL1",-6.6,-8.6,27.7,19.1,-25.6,20.4,16.2
"29","22","    Mining","C320RL1",-26.2,-12.5,28.4,-8.8,50.5,-36.4,24.6
"30","23","  Other structures","W004RL1",5.4,0.8,2.9,-4.7,-16,-4.1,0.5
"31","24","    Religious","C309RL1",10.2,7.1,4.3,0.1,-2.5,-0.3,-10.6
"32","25","    Educational and vocational","W044RL1",7.3,-4.6,15,5.4,-0.4,-1.5,-10.1
"33","26","    Lodging","W045RL1",10.9,3.3,-2.2,-14.7,-29.2,-7.9,10
"34","27","    Amusement and recreation","W046RL1",-2.4,6.7,-12.1,-14.5,-6.2,1,4.1
"35","28","    Transportation","W047RL1",14.4,-13.2,1.5,-0.5,-7.6,-9.7,4.4
"36","29","      Air","W048RL1",11.5,10.8,38.7,5.6,-34.6,-25.9,-11.8
"37","30","      Land \3\","W049RL1",14.9,-17.9,-8.6,-3.1,4.6,-5.2,8
"38","31","    Farm","C316RL1",8.4,13.3,13.3,-17.9,7.3,-16.4,0.4
