"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 2001 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2008     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 7/30/2008 1:41:06 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9","1","      National income without capital consumption adjustment","A422RC1",8893.9,8904.8,8787.2,8833.6,8911.9,8991.4,9031.3,9119.4,9219.3,9321,9482.1,9678.7,9890.6,10056.8,10162.6,10405.1,10866.1,11003.2,10922.2,11402.4,11673,11813.6,11934.6,12079.2,12167.2,12320.5,12433.7,12528.4,12367.5,NA
"10","2","Domestic industries","A423RC1",8855.1,8860.3,8770.5,8759,8885.7,8974.8,9001.7,9069.4,9179.9,9264.4,9428.5,9600.9,9794.4,9984,10079.6,10352.4,10763.5,10911,10819.2,11328.1,11593.5,11728.4,11868.1,11997.4,12094.8,12260.8,12321.5,12363,12229.3,NA
"11","3","  Private industries","A736RC1",7823.9,7816.9,7710.4,7682.3,7779.1,7855.1,7866.7,7918,7998.8,8067.8,8222.1,8384.1,8549.8,8726.9,8812.7,9075.1,9457.3,9599.9,9507.7,9991,10232.7,10359,10479.6,10591.5,10666.8,10817,10857.6,10884.5,10728.6,NA
"12","4","    Agriculture, forestry, fishing, and hunting","N5004C1",67.6,67.5,68.7,73.6,62.9,59.9,67.2,73.4,73.8,80.9,82.5,85.6,97.9,99.4,91.7,93.8,89.3,91.3,89.8,84.2,79.5,74.8,82.2,94.9,111.2,115.5,121.4,121.4,112.4,NA
"13","5","    Mining","N5005C1",112.8,109.4,99.8,82.2,76.7,78.7,81.9,88.4,99.5,102.1,106.4,108,116.8,122.4,123.1,134.2,144.8,151.2,151.2,185.9,192.3,192.7,202.7,199.2,187,207.4,212.8,212.5,217.7,NA
"14","6","    Utilities","N5006C1",145.6,147.5,155.3,148.3,138.2,143.3,145.3,148.2,147.8,146.8,149.6,151.1,157.7,161.6,161.2,165.9,168.2,169.9,162.4,183.3,191.2,201.7,212.3,213.2,211.9,211.8,217.2,224.3,207.1,NA
"15","7","    Construction","N5007C1",459.8,464.9,466.5,462.1,466.7,468.9,471.9,475.7,478.6,472,475.6,486.9,495.9,511.8,530.7,556,572.2,593.6,608.1,633.4,665.7,661.3,639.3,614,592.1,564.7,555.7,541.5,528,NA
"16","8","    Manufacturing","N5008C1",1169.4,1133.3,1074.8,998.8,1045.8,1069.7,1079.5,1091.6,1096.9,1085.5,1106,1160.6,1166.3,1202.8,1233.4,1254.4,1315.4,1324,1338,1368.5,1434.6,1460.1,1487,1465.6,1485.7,1520.9,1476.3,1475.4,1425.4,NA
"17","9","      Durable goods","N5009C1",690.7,647.2,592.1,541.3,588.7,615,623.7,627.9,627,619.1,619.9,655.6,650.4,672.5,692.4,699,739,755.1,764.9,775.7,813.3,801.2,825,835.6,837,834.5,842.7,845.1,804.2,NA
"18","10","      Nondurable goods","N5010C1",478.7,486,482.7,457.5,457.1,454.6,455.9,463.7,469.9,466.4,486.1,505,516,530.4,541,555.4,576.4,568.9,573.1,592.8,621.4,658.9,662,630,648.7,686.4,633.6,630.3,621.2,NA
"19","11","    Wholesale trade","N5011C1",565.4,556.5,553.6,555.4,548.6,556.5,551.5,556.9,561.1,565.1,583.1,594.5,607.5,627.6,647.3,645,668,694.7,679.8,710.1,722.7,721.5,762.3,750.4,760.4,772.2,773.5,754.6,728.6,NA
"20","12","    Retail trade","N5012C1",686.7,687,685,697.2,698.7,709.8,715.1,716.7,724,735,741.9,748.7,757.8,761.4,761.5,776.6,804.9,841.5,832.9,867.2,879.1,875.8,886.2,898.4,901.7,920.2,902.4,907.9,894.4,NA
"21","13","    Transportation and warehousing","N5013C1",260,261.9,238.6,247.1,246.4,247.3,251,256.5,257.8,251.8,260.6,264.9,280.9,294.5,293.6,293.8,311.3,317.8,319.5,330.8,339,346,347,353.4,354.1,368.3,364.2,359.2,344.8,NA
"22","14","    Information","N5014C1",311.3,319.6,301.4,290.2,311.4,308.1,302.7,306.9,264,299.7,348.1,342.9,336.6,359.6,376.1,375,400.8,419.3,419.9,429.9,436.2,433.3,442.6,440,454.7,441.5,472.4,485.1,473.3,NA
"23","15","    Finance, insurance, real estate, rental, and leasing","N5015C1",1665.2,1638.9,1607.9,1662.6,1675.8,1665.3,1623.8,1613.9,1640.2,1670.7,1708.2,1743.8,1771.6,1772,1726,1852.2,1957.9,1932.7,1792.2,2023.3,2040,2089,2077.2,2163.1,2151.7,2212.1,2208.1,2200.2,2160.7,NA
"24","16","    Professional and business services \1\","N5016C1",1137,1171.4,1189.1,1187.7,1199,1210.8,1218.1,1216.8,1263,1256.1,1241.9,1252.5,1288.4,1313.2,1348.8,1395.1,1449.5,1453,1501.1,1526.5,1571.3,1590,1625.1,1658.2,1695,1694,1736.8,1743.4,1789.5,NA
"25","17","    Educational services, health care, and social assistance","N5017C1",703.3,714,724.5,735,754.2,772.3,786.2,795.3,809.6,817.5,826.8,841.2,856.7,875,888.9,900,922.4,940.6,942.4,960,980,1003.1,1003.4,1019.3,1025.8,1046.2,1067.5,1101.1,1098.4,NA
"26","18","    Arts, entertainment, recreation, accommodation, and food services","N5018C1",314.1,318.5,318.3,316.6,322.9,329.2,332.7,336.1,338,338.7,344.1,352.8,363.3,370.5,371.9,372,385.6,398.8,398.4,412.6,422.9,427.6,428.6,434.1,443.1,448.5,452.3,455.6,449.1,NA
"27","19","    Other services, except government","N5019C1",225.8,226.4,226.9,225.6,231.6,235.4,239.7,241.8,244.6,245.9,247.3,250.7,252.4,254.9,258.6,261.2,267,271.5,271.8,275.2,278,282.3,283.6,287.8,292.4,293.8,297,302.5,299.4,NA
"28","20","  Government","B436RC1",1031.2,1043.4,1060.1,1076.6,1106.6,1119.7,1135,1151.4,1181.1,1196.6,1206.4,1216.8,1244.5,1257.1,1267,1277.3,1306.2,1311.1,1311.6,1337.1,1360.8,1369.4,1388.5,1405.9,1428,1443.9,1463.9,1478.5,1500.7,NA
"29","21","Rest of the world","A192RC1",38.7,44.5,16.7,74.6,26.2,16.6,29.6,50,39.4,56.6,53.7,77.7,96.2,72.8,83,52.7,102.6,92.2,103,74.2,79.5,85.2,66.5,81.8,72.4,59.7,112.2,165.4,138.2,NA
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","1. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Note. Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
