"","Table 6#6A# Wage and Salary Accruals Per Full-Time Equivalent Em","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23"
"1","[Dollars]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February  13, 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 7/30/2008 1:41:51 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948
"8","1","    Wage and salary accruals per full-time equivalent employee","A4401C0",1430,1392,1299,1143,1069,1110,1157,1203,1277,1249,1282,1317,1460,1729,1973,2126,2208,2383,2616,2822
"9","2","Domestic industries","A4402C0",1430,1392,1299,1143,1069,1110,1157,1203,1277,1249,1282,1317,1460,1729,1972,2124,2206,2381,2614,2821
"10","3","  Private industries","A4403C0",1416,1372,1266,1092,1023,1076,1129,1184,1260,1227,1269,1309,1473,1751,2039,2212,2275,2382,2614,2821
"11","4","    Agriculture, forestry, and fisheries","H4404C0",479,464,377,299,278,303,344,368,430,441,460,487,593,799,1031,1220,1339,1428,1518,1594
"12","5","      Farms","B4405C0",460,444,355,279,259,286,324,351,407,420,436,463,567,769,1002,1189,1307,1394,1479,1541
"13","6","      Agricultural services, forestry, and fisheries","H4406C0",898,893,844,755,685,679,759,788,854,870,981,1010,1162,1410,1616,1743,1855,1950,2104,2408
"14","7","    Mining","H4407C0",1526,1424,1221,1016,990,1108,1154,1263,1366,1282,1367,1388,1579,1796,2162,2499,2621,2719,3113,3387
"15","8","      Metal mining","B4408C0",1613,1551,1291,1060,1040,1133,1239,1380,1630,1453,1515,1610,1771,2045,2333,2458,2551,2636,3010,3340
"16","9","      Anthracite mining","B4492C0",1728,1750,1602,1452,1435,1500,1414,1408,1388,1315,1409,1297,1467,1753,2119,2525,2685,2890,3125,3388
"17","10","      Bituminous and other soft coal mining \1\","H4409C0",1293,1119,909,723,748,900,957,1103,1170,1050,1197,1235,1500,1715,2115,2535,2629,2724,3212,NA
"18","11","      Crude petroleum and natural gas","H4410C0",2019,1980,1890,1600,1427,1472,1558,1594,1734,1734,1684,1714,1779,1940,2299,2601,2762,2819,3156,3586
"19","12","      Nonmetallic mining and quarrying","B4411C0",1409,1358,1186,945,852,903,968,1100,1211,1134,1178,1217,1375,1634,1911,2089,2205,2371,2653,2918
"20","13","    Contract construction","H4412C0",1674,1526,1233,907,869,942,1027,1178,1278,1193,1268,1330,1635,2191,2503,2602,2600,2537,2829,3126
"21","14","    Manufacturing","H4413C0",1543,1488,1369,1150,1086,1153,1216,1287,1376,1296,1363,1432,1653,2023,2349,2517,2517,2517,2793,3038
