"","Table 6#21A# Undistributed Corporate Profits by Industry        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 16, 2004  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 7/30/2008 1:44:00 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947
"8","1","    Undistributed corporate profits","B057RC0",3425,-2019,-4207,-4409,-831,-232,421,999,1288,249,2421,3587,6301,6378,7032,6889,4732,10258,14356
"9","2","Domestic industries","A3402C0",3425,-2019,-4207,-4409,-831,-232,421,999,1138,195,2281,3555,6141,6225,6898,6759,4618,9992,14059
"10","3","  Agriculture, forestry, and fisheries","A3403C0",-3,-43,-81,-72,-27,-46,-12,-21,-26,-24,-15,-9,11,22,20,21,20,67,52
"11","4","    Farms","B3404C0",-6,-46,-80,-70,-29,-48,-13,-24,-27,-24,-14,-7,10,15,21,19,19,68,53
"12","5","    Agricultural services, forestry, and fisheries","B3405C0",3,3,-1,-2,2,2,1,3,1,0,-1,-2,1,7,-1,2,1,-1,-1
"13","6","  Mining","A3406C0",116,-101,-246,-151,-91,-15,32,121,226,90,144,193,264,193,214,268,208,241,575
"14","7","    Metal mining","B3407C0",45,-45,-68,-56,6,23,37,47,85,43,66,92,92,48,57,42,43,16,86
"15","8","    Anthracite mining","B3477C0",-8,-2,-3,-18,-9,-4,-14,-9,-14,-13,-13,2,9,7,7,9,1,12,15
"16","9","    Bituminous and other soft coal mining","B3408C0",-16,-34,-38,-34,-26,-13,-7,-8,0,-22,1,22,42,50,66,73,49,62,197
"17","10","    Crude petroleum and natural gas","B3409C0",74,-38,-127,-26,-54,-19,17,82,142,79,76,64,99,69,71,133,103,113,229
"18","11","    Nonmetallic mining and quarrying","B3410C0",21,18,-10,-17,-8,-2,-1,9,13,3,14,13,22,19,13,11,12,38,48
"19","12","  Contract construction","B3411C0",69,33,-31,-91,-54,-10,3,25,11,5,12,38,91,113,69,33,20,115,224
"20","13","  Manufacturing","A3412C0",1730,-1160,-2335,-2450,-337,-53,235,643,733,11,1308,2006,3530,3132,3443,3369,1884,4661,7729
"21","14","    Durable goods","A3413C0",905,-649,-1404,-1712,-525,-263,45,288,437,-106,519,1072,1933,1679,1835,1839,645,891,3321
"22","15","      Lumber and basic timber products","B3414C0",34,-56,-103,-93,-7,-31,-9,17,31,-13,9,39,72,63,51,56,22,135,284
"23","16","      Furniture and finished lumber products","B3415C0",4,-58,-73,-85,-26,-18,-6,6,3,-9,20,30,63,44,39,47,39,113,130
"24","17","      Stone, clay, and glass products","B3416C0",53,-23,-75,-101,-24,-2,12,33,20,8,52,62,93,77,51,44,35,156,196
"25","18","      Iron and steel and their products, including ordnance","B3417C0",414,-77,-329,-389,-73,-1,-57,131,177,-85,115,279,547,490,520,432,178,385,882
"26","19","      Nonferrous metals and their products","B3418C0",81,-41,-79,-97,9,28,55,27,33,8,70,96,127,85,122,102,34,158,262
"27","20","      Machinery, except electrical","B3419C0",176,-70,-215,-279,-91,8,53,102,134,30,123,255,445,368,323,305,139,168,627
"28","21","      Electric and electronic equipment","B3420C0",-19,-127,-189,-209,-186,-174,-64,-65,-45,-66,-21,27,101,103,135,192,26,-71,321
"29","22","      Motor vehicles and equipment","B3421C0",168,-73,-147,-261,-21,4,124,63,87,34,118,158,197,92,107,108,29,-93,581
"30","23","      Other transportation equipment","B3422C0",-5,-42,-76,-61,-44,-51,-51,-22,0,-11,11,94,221,300,417,460,87,-168,-129
"31","24","      Miscellaneous manufacturing, including instruments and miscellaneous plastic products","B3424C0",-1,-82,-118,-137,-62,-26,-12,-4,-3,-2,22,32,67,57,70,93,56,108,167
"32","25","    Nondurable goods","A3425C0",825,-511,-931,-738,188,210,190,355,296,117,789,934,1597,1453,1608,1530,1239,3770,4408
"33","26","      Food and kindred products","B3426C0",109,-13,-112,-138,114,115,50,102,-12,33,182,165,284,335,327,320,280,844,699
"34","27","      Tobacco manufactures","B3427C0",40,39,43,56,-21,20,24,20,15,22,35,37,26,35,32,17,16,33,37
"35","28","      Textile mill products","B3428C0",13,-269,-198,-174,121,-37,0,39,-34,-63,79,91,251,232,196,181,161,646,705
"36","29","      Apparel and other textile products","B3429C0",-6,-64,-81,-81,8,7,5,20,3,-2,24,29,68,80,80,79,84,265,244
"37","30","      Paper and allied products","B3430C0",38,-6,-43,-73,5,24,24,29,38,-2,50,85,130,94,87,96,67,269,455
"38","31","      Printing and publishing","B3431C0",104,29,-13,-51,32,31,46,41,28,14,43,57,68,75,137,148,144,289,270
"39","32","      Chemicals and allied products","B3432C0",160,-14,-23,-76,31,94,4,76,62,64,160,193,269,238,241,196,105,539,677
"40","33","      Petroleum and coal products","B3433C0",363,-95,-415,-120,-124,-45,8,11,205,62,172,232,398,249,412,397,307,631,1128
"41","34","      Rubber products","B3434C0",-7,-68,-40,-36,1,0,7,2,-4,1,26,33,62,77,58,61,41,143,99
"42","35","      Leather and leather products","B3435C0",11,-50,-49,-45,21,1,22,15,-5,-12,18,12,41,38,38,35,34,111,94
"43","36","  Transportation and public utilities","A3436C0",402,-500,-782,-797,-567,-580,-645,-402,-353,-516,-152,0,383,1014,1147,777,277,213,585
"44","37","    Transportation","A3437C0",314,-220,-502,-507,-363,-433,-456,-267,-294,-410,-153,-72,313,893,966,657,225,-57,423
"45","38","      Railroad transportation","B3438C0",371,-122,-394,-371,-311,-356,-282,-202,-227,-322,-132,-99,282,760,801,497,114,-213,272
"46","39","      Local and interurban passenger transit","B3439C0",-70,-42,-69,-80,-60,-61,-90,-40,-58,-74,-55,-23,-18,56,86,65,46,43,-11
"47","40","      Trucking and warehousing","B3440C0",27,15,9,2,10,11,13,12,10,15,30,14,27,29,24,22,14,60,77
"48","41","      Water transportation","B3441C0",18,-14,-17,-20,4,-9,-30,-9,-5,-9,8,15,25,8,19,16,16,48,66
"49","42","      Transportation by air","B3442C0",-6,-19,-9,-3,-3,-9,-6,-3,-5,-3,6,7,8,14,10,27,16,-27,-38
"50","43","      Pipelines, except natural gas","B3443C0",-15,-28,-13,-26,-2,-1,-54,-13,2,-5,1,11,-18,15,14,17,15,13,22
"51","44","      Transportation services","B3444C0",-11,-10,-9,-9,-1,-8,-7,-12,-11,-12,-11,3,7,11,12,13,4,19,35
"52","45","    Communication","A3445C0",104,16,-17,-57,-75,-55,-41,-14,-7,-26,31,28,8,10,46,42,2,37,-8
"53","46","      Telephone and telegraph","B3446C0",88,25,-9,-56,-72,-60,-44,-20,-13,-30,25,19,2,4,37,28,-12,13,-29
"54","47","      Radio and television broadcasting","B3447C0",16,-9,-8,-1,-3,5,3,6,6,4,6,9,6,6,9,14,14,24,21
"55","48","    Electric, gas, and sanitary services","B3448C0",-16,-296,-263,-233,-129,-92,-148,-121,-52,-80,-30,44,62,111,135,78,50,233,170
