"","Table 7#8# Supplements to Wages and Salaries by Type            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 01, 2007   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 7/30/2008 1:45:36 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
"8","1","      Supplements to wages and salaries","A038RC1",6.4,7.1,8,9.8,10.5,11.2,11.9,13.5,15.5,17.6,18.2,21.1,23.6,24.8,27.8,30.4,32.9,35.7,42.3,46.1,52.3,59.3,65.7,74.4,86.4,102.5,118,134.3,159.6,186.4,214.9,245,274.2,308.3,332.1,358,400.5,429.2,455.3,479.5,514.2,548.9,584.2,622.3,670.9,712.2,747.5,757.7,767.3,787,836.7,885.7,953.4,999.3,1110.3,1197.7,1276.9
"9","2","Employer contributions for government social insurance (3.6:2)","B039RC1",3,3.3,3.4,4.1,4.1,4.2,4.6,5.2,5.7,6.4,6.3,7.9,9.3,9.6,11.2,12.4,12.6,13.1,16.8,18,20,22.8,23.8,26.4,31.2,39.8,44.7,46.7,54.4,61.1,71.5,82.6,88.9,103.6,109.8,119.9,139,147.7,157.9,166.3,184.6,193.7,206.5,215.1,228.4,239.8,254.1,264,274.9,289.5,307,323.3,343.5,356.6,365.2,382.1,408.3
"10","3","Employer contributions for employee pension and insurance funds (6.11A-D:1)","B040RC1",3.4,3.8,4.7,5.7,6.4,7,7.3,8.4,9.8,11.2,11.9,13.3,14.3,15.2,16.6,18,20.3,22.7,25.5,28.1,32.4,36.5,41.8,47.9,55.2,62.7,73.3,87.6,105.2,125.3,143.4,162.4,185.2,204.7,222.4,238.1,261.5,281.5,297.5,313.2,329.6,355.2,377.8,407.1,442.5,472.4,493.3,493.6,492.5,497.5,529.7,562.4,609.9,642.7,745.1,815.6,868.5
"11",NA,"              By type"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","Pension, profit-sharing, and other retirement benefit plans \1\","A2209C1",3.1,3.3,4.5,5.5,6,6.4,7.1,8.1,9.1,10.6,10.8,12.6,14.2,14.6,15.8,17.9,19.6,21.5,26,28.6,31.9,36.7,40,46.3,53,62.4,73.6,83.6,96.4,111,124.8,142.6,160.1,177.6,188.7,199.2,224.5,237.3,249.1,258,268.9,283.4,293.6,308.8,324.1,339.7,358,371.1,379.5,394.1,420,438.8,459.5,477.8,547.7,583.4,604.8
"13","5","  Old-age, survivors, and disability insurance (3.6:5)","L306051",0.8,0.8,1.3,1.7,1.8,1.9,2.5,2.8,3,3.7,3.7,4.6,5.6,5.7,6.2,7.5,7.8,8.3,11,11.9,13.1,15.6,16.2,18.2,20.6,25.2,29.2,30.5,33.8,37.5,42.9,50.3,55.6,64.9,69.2,73.5,85.7,91.5,98.1,104.1,118.3,126.6,137.3,141,147.4,153.4,162.1,170.1,179.2,191.6,205.8,219.1,233.3,243.3,248,254.5,266.1
