"","Table 6#12C# Nonfarm Proprietors' Income by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 20, 2004 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 7/30/2008 1:42:29 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","     Nonfarm proprietors' income","B046RC0",239128,279136,294548,322385,327108,366364,393028,414203,445240,475394,500680,553370,595223,641768
"9","2","Agricultural services, forestry, and fishing","B1800C0",5609,6419,5890,7134,7324,7698,10315,8048,7976,7083,8047,8720,10000,10216
"10","3","Mining","B1801C0",-1156,2210,4668,5653,1966,2945,4016,4119,4362,8056,11287,10693,9716,14899
"11","4","Construction","B1802C0",45692,46855,47301,46170,42438,45767,48340,52592,50839,52535,53605,62338,67815,69873
"12","5","Manufacturing","A1803C0",10444,12055,16388,17470,18316,21928,24770,30475,35059,32231,32241,35071,38854,45989
"13","6","  Durable goods","B1804C0",5792,6221,7588,6558,6530,9093,10356,13048,14220,13084,13165,14015,15142,19546
"14","7","  Nondurable goods","B1805C0",4652,5834,8800,10912,11786,12835,14414,17427,20839,19147,19076,21056,23712,26443
"15","8","Transportation and public utilities","A1806C0",13718,15262,17693,19775,20970,25183,33865,37274,41422,44855,37244,38014,39052,41506
"16","9","  Transportation","B1807C0",12281,11096,12312,12516,12520,13904,15241,15579,15959,16384,17886,18737,21709,22204
"17","10","  Communications","B1808C0",-362,1285,2172,3380,3572,5183,9319,11756,13014,11867,3465,4570,2229,2588
"18","11","  Electric, gas, and sanitary services","B1809C0",1799,2881,3209,3879,4878,6096,9305,9939,12449,16604,15893,14707,15114,16714
"19","12","Wholesale trade","B1810C0",10220,11655,11268,13520,12990,13063,12073,13530,13917,14632,12753,15775,16707,17913
"20","13","Retail trade","B1811C0",33132,34211,34848,34544,33726,34032,35160,35945,36833,37991,40142,41135,43760,44518
"21","14","Finance, insurance, and real estate","B1812C0",-9505,-3144,-5803,-432,4166,18630,31457,34417,52372,67798,85780,99086,124874,134185
"22","15","Services","A1813C0",130974,153613,162295,178551,185212,197118,193032,197803,202460,210213,219581,242538,244445,262669
"23","16","  Hotels and other lodging places","B1814C0",-3982,-4292,-4444,-3784,-3070,-1206,-135,507,1524,2482,3495,4488,3661,3969
"24","17","  Personal services","B1815C0",11122,13515,12035,12521,12370,12863,14589,14533,14226,13586,14388,16236,16371,15320
"25","18","  Business services","B1816C0",30418,34716,38784,44200,40852,43744,39839,43365,44443,49241,54991,58929,62335,68223
"26","19","  Auto repair, services, and parking","B1817C0",8753,10024,8927,8657,8678,8859,9139,10196,9644,9380,8318,9999,7238,8528
"27","20","  Miscellaneous repair services","B1818C0",3237,3691,3720,3923,3989,3829,4285,4737,5032,4562,4471,5883,5435,7200
"28","21","  Motion pictures","B1819C0",2754,4198,4592,4597,4602,4500,4863,4001,4884,4765,3764,4027,5351,5917
"29","22","  Amusement and recreation services","B1820C0",3511,3988,4301,4682,7922,9629,7053,5456,7371,6929,6584,10588,10985,10489
"30","23","  Health services","B1821C0",32300,36201,39591,45872,49521,51353,50191,51586,50808,50871,49949,51420,51215,55593
"31","24","  Legal services","B1822C0",23803,28039,28996,31494,33099,36224,35519,35014,35279,38084,39511,42539,42356,44351
"32","25","  Other \1\","B1823C0",19058,23533,25793,26389,27249,27323,27689,28408,29249,30313,34110,38429,39498,43079
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Consists of educational services; social services; museums, botanical and zoological",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","gardens; membership organizations; engineering and management services, except for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","commercial research and testing services and for management and public relations; and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","miscellaneous services, not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
