"","Table 3#15#5# Government Consumption Expenditures and Gross Inve","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 10, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 7/30/2008 1:35:48 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
"8","1","      Government","A822RC1",110,111.6,119.5,130.1,136.4,143.2,151.5,171.8,192.7,209.4,221.5,233.8,246.5,263.5,281.7,317.9,357.7,383,414.1,453.6,500.8,566.2,627.5,680.5,733.5,797,879,949.3,999.5,1039,1099.1,1180.2,1234.4,1271,1291.2,1325.5,1369.2,1416,1468.7,1518.3,1620.8,1721.6,1825.6,1961.1,2092.5,2216.8
"9","2","General public service","W575RC1",5.1,5.6,6,6.4,6.9,7.4,8.4,8.9,9.5,10.8,13.2,14.9,17.1,19.4,21.9,26.5,31.4,33.5,36.9,39.1,42.7,47.5,49.9,54.2,58.2,61.6,71.9,84.8,86.3,89.2,92,101.2,107.3,114.4,117.2,120.9,126.2,126.4,134.8,143.2,156.8,164.5,173.1,184.1,189.8,201.5
"10","3","  Executive and legislative","W576RC1",2.4,2.7,2.7,3,3.1,3.3,3.7,3.8,3.6,2.5,3.2,3.8,4.7,5.2,5.8,7.3,8,8.5,9.4,9.4,11.3,13.1,13.6,15.1,13.9,14.8,16.2,17,19,18.7,19.6,23.5,24.8,25,25.4,26.3,29.5,28.3,33.2,33.9,35.7,38.6,40.5,42.1,46,55.5
"11","4","  Tax collection and financial management","W577RC1",1.2,1.3,1.4,1.5,1.5,1.7,1.8,1.9,2.2,3.8,4.8,5.5,6.1,6.6,6.9,7.9,9.5,9.9,10.9,11.2,11.4,11.7,12.1,14.2,17.1,17.1,23.9,33,29,31.2,29.3,30.9,33.6,36.7,37.4,37.4,37.8,36.2,35.9,37.1,43,39.6,40.2,44,45.7,46.7
"12","5","  Other","W578RC1",1.5,1.6,1.9,2,2.2,2.5,2.9,3.2,3.7,4.5,5.3,5.5,6.4,7.6,9.3,11.3,13.9,15.1,16.5,18.4,20,22.6,24.2,25,27.1,29.6,31.8,34.9,38.4,39.3,43.1,46.9,48.9,52.7,54.4,57.1,58.9,61.8,65.7,72.1,78.1,86.3,92.3,98,98.1,99.3
"13","6","National defense","A824RC1",53.8,53.4,56.5,61.1,61,60.3,60.6,71.7,83.5,89.3,89.5,87.6,84.6,87,88.2,95.6,103.9,111.1,120.9,130.5,145.2,168,196.3,225.9,250.7,281.6,311.2,330.9,350,354.9,362.2,374,383.2,376.9,362.9,353.7,348.7,354.6,349.6,345.7,360.6,370.3,392.6,437.1,497.2,550.7
"14","7","Public order and safety","W579RC1",4.4,4.7,5.1,5.3,5.6,6.1,6.5,7.2,7.9,9.2,10.2,11.6,13.3,15,16.8,19.2,22.1,24.3,26.7,30.6,34,38.1,42.5,47.5,51.8,56.4,62.7,68.6,74.4,82.2,91,100.6,109.1,116.5,123.8,132.5,142.1,151.3,160.2,170.8,183.7,196.2,209,224.9,233.3,245.9
