"","Table 5#4#5# Private Fixed Investment in Structures by Type     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","  Commercial and health care","W001RC1","1,239.0","1,002.0","525.0","257.0","140.0","182.0","221.0","307.0","418.0","320.0","323.0","381.0","455.0","184.0","44.0","82.0","240.0","1,245.0","1,082.0","1,540.0","1,394.0","1,777.0","1,938.0","1,557.0","2,134.0","2,575.0","3,415.0","4,199.0","4,143.0","4,237.0","4,556.0","4,836.0","5,492.0","6,186.0","6,096.0","6,758.0","8,170.0","8,257.0","8,186.0","9,403.0","11,665.0"
"22","4","    Office \1\","W031RC1","496.0","390.0","198.0","97.0","57.0","76.0","92.0","127.0","169.0","125.0","128.0","152.0","179.0","68.0","14.0","24.0","89.0","507.0","425.0","618.0","521.0","626.0","664.0","508.0","794.0","978.0","1,346.0","1,684.0","1,581.0","1,587.0","1,739.0","1,846.0","2,061.0","2,270.0","2,210.0","2,385.0","2,957.0","2,983.0","2,991.0","3,416.0","4,144.0"
"23","5","    Health care","W032RC1","163.0","155.0","95.0","46.0","17.0","18.0","21.0","32.0","51.0","50.0","46.0","51.0","67.0","37.0","13.0","29.0","48.0","145.0","161.0","200.0","264.0","419.0","498.0","455.0","412.0","453.0","494.0","546.0","713.0","789.0","777.0","825.0","1,017.0","1,256.0","1,294.0","1,576.0","1,747.0","1,779.0","1,689.0","1,986.0","2,669.0"
"24","6","      Hospitals and special care","C311RC1","104.0","109.0","71.0","34.0","10.0","9.0","10.0","17.0","31.0","35.0","31.0","33.0","46.0","29.0","11.0","26.0","37.0","85.0","110.0","126.0","202.0","344.0","419.0","394.0","317.0","337.0","334.0","345.0","525.0","600.0","570.0","605.0","771.0","985.0","1,030.0","1,291.0","1,394.0","1,423.0","1,332.0","1,579.0","2,175.0"
"25","7","        Hospitals","W033RC1","84.0","88.0","57.0","27.0","8.0","7.0","8.0","14.0","25.0","28.0","25.0","27.0","37.0","23.0","9.0","21.0","30.0","69.0","89.0","102.0","163.0","277.0","338.0","318.0","256.0","272.0","269.0","278.0","423.0","484.0","460.0","488.0","622.0","794.0","830.0","1,041.0","1,124.0","1,147.0","1,074.0","1,273.0","1,753.0"
"26","8","        Special care","W034RC1","20.0","21.0","14.0","7.0","2.0","2.0","2.0","3.0","6.0","7.0","6.0","6.0","9.0","6.0","2.0","5.0","7.0","16.0","21.0","24.0","39.0","67.0","81.0","76.0","61.0","65.0","65.0","67.0","102.0","116.0","110.0","117.0","149.0","191.0","200.0","250.0","270.0","276.0","258.0","306.0","422.0"
"27","9","      Medical buildings","W035RC1","59.0","46.0","24.0","12.0","7.0","9.0","11.0","15.0","20.0","15.0","15.0","18.0","21.0","8.0","2.0","3.0","11.0","60.0","51.0","74.0","62.0","75.0","79.0","61.0","95.0","116.0","160.0","201.0","188.0","189.0","207.0","220.0","246.0","271.0","264.0","285.0","353.0","356.0","357.0","407.0","494.0"
"28","10","    Multimerchandise shopping","W036RC1","215.0","169.0","86.0","42.0","25.0","33.0","40.0","55.0","73.0","54.0","55.0","66.0","77.0","29.0","6.0","11.0","38.0","220.0","184.0","268.0","226.0","271.0","288.0","220.0","344.0","424.0","583.0","729.0","685.0","671.0","735.0","783.0","877.0","964.0","934.0","1,010.0","1,257.0","1,268.0","1,272.0","1,459.0","1,777.0"
"29","11","    Food and beverage establishments","W037RC1","116.0","91.0","46.0","23.0","13.0","18.0","22.0","30.0","40.0","29.0","30.0","36.0","42.0","16.0","3.0","6.0","21.0","119.0","99.0","145.0","122.0","146.0","155.0","119.0","186.0","229.0","315.0","394.0","370.0","363.0","397.0","423.0","474.0","521.0","504.0","545.0","679.0","685.0","687.0","788.0","959.0"
"30","12","    Warehouses","W038RC1","97.0","76.0","39.0","19.0","11.0","15.0","18.0","25.0","33.0","24.0","25.0","30.0","35.0","13.0","3.0","5.0","17.0","99.0","83.0","121.0","102.0","122.0","130.0","99.0","155.0","191.0","263.0","329.0","309.0","303.0","331.0","353.0","396.0","435.0","421.0","456.0","567.0","572.0","574.0","658.0","801.0"
"31","13","    Other commercial \2\","W039RC1","152.0","120.0","61.0","30.0","17.0","23.0","28.0","39.0","52.0","38.0","39.0","47.0","55.0","21.0","4.0","8.0","27.0","156.0","130.0","190.0","160.0","192.0","204.0","156.0","244.0","300.0","413.0","517.0","485.0","524.0","577.0","606.0","669.0","740.0","733.0","787.0","962.0","970.0","973.0","1,097.0","1,315.0"
"32","14","  Manufacturing","C307RC1","949.0","532.0","221.0","74.0","176.0","191.0","158.0","266.0","492.0","232.0","254.0","442.0","801.0","346.0","156.0","208.0","642.0","1,689.0","1,702.0","1,397.0","972.0","1,062.0","2,117.0","2,320.0","2,229.0","2,030.0","2,259.0","3,224.0","3,557.0","2,382.0","2,106.0","2,851.0","2,780.0","2,842.0","2,906.0","3,565.0","5,092.0","6,566.0","5,956.0","6,021.0","6,807.0"
"33","15","  Power and communication","W003RC1","1,068.0","1,006.0","654.0","328.0","167.0","198.0","247.0","369.0","506.0","486.0","546.0","604.0","685.0","589.0","359.0","478.0","563.0","1,025.0","1,842.0","2,438.0","2,680.0","2,776.0","3,025.0","3,119.0","3,598.0","3,344.0","3,262.0","4,142.0","4,521.0","4,396.0","4,307.0","4,371.0","4,085.0","4,066.0","4,355.0","4,754.0","5,385.0","6,291.0","7,093.0","8,281.0","8,670.0"
"34","16","    Power","W028RC1","714.0","673.0","488.0","241.0","122.0","151.0","195.0","302.0","404.0","394.0","453.0","482.0","506.0","434.0","298.0","395.0","446.0","720.0","1,332.0","1,725.0","2,147.0","2,336.0","2,538.0","2,549.0","2,983.0","2,689.0","2,504.0","3,029.0","3,453.0","3,492.0","3,357.0","3,285.0","3,108.0","3,073.0","3,232.0","3,446.0","3,928.0","4,690.0","5,464.0","6,588.0","6,482.0"
"35","17","      Electric","C571RC1","350.0","377.0","225.0","109.0","59.0","66.0","87.0","139.0","218.0","267.0","303.0","311.0","305.0","255.0","144.0","163.0","245.0","425.0","761.0","1,016.0","1,313.0","1,240.0","1,315.0","1,537.0","1,805.0","1,717.0","1,488.0","1,804.0","2,168.0","2,291.0","1,997.0","2,006.0","1,858.0","1,862.0","2,021.0","2,162.0","2,535.0","2,986.0","3,669.0","4,270.0","4,484.0"
"36","18","      Other power","W029RC1","364.0","296.0","263.0","132.0","63.0","85.0","108.0","163.0","186.0","127.0","150.0","171.0","201.0","179.0","154.0","232.0","201.0","295.0","571.0","709.0","834.0","1,096.0","1,223.0","1,012.0","1,178.0","972.0","1,016.0","1,225.0","1,285.0","1,201.0","1,360.0","1,279.0","1,250.0","1,211.0","1,211.0","1,284.0","1,393.0","1,704.0","1,795.0","2,318.0","1,998.0"
"37","19","    Communication","C314RC1","354.0","333.0","166.0","87.0","45.0","47.0","52.0","67.0","102.0","92.0","93.0","122.0","179.0","155.0","61.0","83.0","117.0","305.0","510.0","713.0","533.0","440.0","487.0","570.0","615.0","655.0","758.0","1,113.0","1,068.0","904.0","950.0","1,086.0","977.0","993.0","1,123.0","1,308.0","1,457.0","1,601.0","1,629.0","1,693.0","2,188.0"
"38","20","  Mining exploration, shafts, and wells","E318RC1","420.0","315.0","210.0","210.0","210.0","210.0","315.0","315.0","525.0","425.0","392.0","425.0","452.0","346.0","393.0","594.0","687.0","753.0","903.0","1,233.0","1,216.0","1,435.0","1,709.0","1,950.0","2,144.0","2,306.0","2,522.0","2,653.0","2,603.0","2,369.0","2,521.0","2,339.0","2,324.0","2,485.0","2,251.0","2,415.0","2,435.0","2,453.0","2,430.0","2,560.0","2,795.0"
"39","21","    Petroleum and natural gas","C319RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","715.0","844.0","1,167.0","1,158.0","1,364.0","1,623.0","1,867.0","2,052.0","2,227.0","2,441.0","2,570.0","2,524.0","2,263.0","2,405.0","2,214.0","2,189.0","2,341.0","2,097.0","2,257.0","2,272.0","2,285.0","2,258.0","2,345.0","2,537.0"
"40","22","    Mining","C320RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","38.0","59.0","66.0","58.0","71.0","86.0","83.0","92.0","79.0","81.0","83.0","79.0","106.0","116.0","125.0","135.0","144.0","154.0","158.0","163.0","168.0","172.0","215.0","258.0"
"41","23","  Other structures","W004RC1","1,815.0","1,593.0","1,009.0","523.0","398.0","453.0","492.0","621.0","765.0","661.0","702.0","705.0","857.0","776.0","818.0","1,007.0","1,204.0","2,669.0","2,608.0","2,918.0","2,916.0","2,907.0","3,165.0","3,278.0","3,465.0","3,610.0","3,699.0","3,962.0","4,126.0","4,245.0","4,659.0","5,171.0","5,034.0","5,199.0","5,591.0","6,245.0","7,239.0","7,782.0","7,846.0","7,292.0","7,761.0"
"42","24","    Religious","C309RC1","147.0","135.0","87.0","45.0","22.0","21.0","28.0","34.0","44.0","51.0","48.0","59.0","62.0","31.0","6.0","11.0","26.0","76.0","126.0","251.0","360.0","409.0","452.0","399.0","472.0","593.0","696.0","806.0","868.0","863.0","947.0","1,013.0","1,003.0","1,033.0","1,001.0","992.0","1,201.0","1,145.0","1,063.0","1,079.0","993.0"
"43","25","    Educational and vocational","W044RC1","120.0","118.0","100.0","53.0","15.0","14.0","17.0","40.0","42.0","40.0","39.0","50.0","58.0","24.0","6.0","11.0","31.0","123.0","174.0","253.0","269.0","294.0","345.0","351.0","426.0","529.0","466.0","562.0","525.0","574.0","525.0","566.0","609.0","680.0","678.0","751.0","787.0","987.0","1,048.0","1,147.0","1,083.0"
"44","26","    Lodging","W045RC1","151.0","132.0","80.0","38.0","29.0","29.0","30.0","40.0","54.0","65.0","68.0","57.0","64.0","31.0","12.0","21.0","41.0","125.0","97.0","168.0","197.0","188.0","217.0","203.0","235.0","282.0","234.0","298.0","320.0","409.0","527.0","632.0","745.0","704.0","898.0","1,402.0","1,430.0","1,369.0","1,219.0","1,192.0","1,330.0"
"45","27","    Amusement and recreation","W046RC1","247.0","213.0","134.0","67.0","58.0","54.0","53.0","64.0","85.0","100.0","104.0","91.0","100.0","50.0","19.0","33.0","64.0","191.0","160.0","254.0","299.0","300.0","320.0","309.0","367.0","431.0","380.0","455.0","515.0","634.0","734.0","891.0","848.0","889.0","988.0","981.0","1,322.0","1,401.0","1,394.0","751.0","956.0"
"46","28","    Transportation","W047RC1","912.0","849.0","539.0","294.0","237.0","289.0","289.0","351.0","421.0","309.0","356.0","390.0","459.0","526.0","631.0","763.0","779.0","713.0","783.0","892.0","853.0","805.0","932.0","1,032.0","1,041.0","894.0","849.0","977.0","953.0","733.0","703.0","742.0","639.0","644.0","721.0","762.0","850.0","961.0","901.0","977.0","1,065.0"
"47","29","      Air","W048RC1","25.0","22.0","13.0","7.0","5.0","5.0","5.0","6.0","9.0","10.0","11.0","9.0","10.0","5.0","2.0","3.0","7.0","20.0","16.0","26.0","31.0","30.0","34.0","32.0","38.0","45.0","38.0","47.0","52.0","65.0","76.0","92.0","87.0","91.0","102.0","100.0","136.0","143.0","143.0","70.0","89.0"
"48","30","      Land \3\","W049RC1","887.0","828.0","525.0","287.0","232.0","284.0","284.0","344.0","413.0","299.0","345.0","381.0","449.0","521.0","629.0","760.0","772.0","693.0","767.0","866.0","822.0","774.0","898.0","1,000.0","1,004.0","850.0","811.0","930.0","901.0","668.0","627.0","650.0","551.0","553.0","620.0","662.0","714.0","818.0","758.0","906.0","976.0"
"49","31","    Farm","C316RC1","139.0","70.0","30.0","10.0","15.0","25.0","57.0","72.0","88.0","76.0","82.0","60.0","84.0","93.0","134.0","149.0","144.0","659.0","755.0","786.0","743.0","747.0","798.0","866.0","780.0","733.0","703.0","789.0","761.0","841.0","1,115.0","1,201.0","1,156.0","1,283.0","1,321.0","1,331.0","1,387.0","1,484.0","1,702.0","1,598.0","1,689.0"
"50","32","    Other \4\","W050RC1","73.0","61.0","42.0","26.0","28.0","23.0","19.0","18.0","23.0","23.0","23.0","24.0","24.0","14.0","5.0","9.0","16.0","42.0","49.0","54.0","64.0","82.0","58.0","68.0","91.0","97.0","110.0","102.0","144.0","151.0","165.0","216.0","196.0","214.0","239.0","253.0","320.0","362.0","346.0","362.0","467.0"
"51","33","    Brokers' commissions on sale of structures","C321RC1","73.0","54.0","32.0","20.0","20.0","20.0","22.0","27.0","35.0","26.0","27.0","34.0","47.0","27.0","21.0","24.0","43.0","126.0","112.0","104.0","81.0","82.0","91.0","88.0","101.0","102.0","122.0","130.0","138.0","152.0","155.0","178.0","188.0","204.0","204.0","227.0","289.0","320.0","308.0","275.0","265.0"
"52","34","    Net purchases of used structures","E322RC1","-48.0","-39.0","-35.0","-30.0","-26.0","-23.0","-23.0","-24.0","-27.0","-29.0","-45.0","-61.0","-41.0","-20.0","-16.0","-14.0","61.0","613.0","353.0","156.0","50.0","0.0","-48.0","-38.0","-49.0","-51.0","139.0","-157.0","-99.0","-111.0","-212.0","-268.0","-350.0","-452.0","-459.0","-454.0","-347.0","-248.0","-135.0","-89.0","-87.0"
"53","35","Residential","A012RC1","3,880.0","2,287.0","1,725.0","732.0","578.0","888.0","1,235.0","1,648.0","1,969.0","2,058.0","2,958.0","3,438.0","3,979.0","2,142.0","1,395.0","1,327.0","1,652.0","7,634.0","11,756.0","15,308.0","14,349.0","20,162.0","18,053.0","18,224.0","19,002.0","20,688.0","24,571.0","23,095.0","21,715.0","21,871.0","27,538.0","25,756.0","25,879.0","28,436.0","31,544.0","33,646.0","33,530.0","31,594.0","31,646.0","37,853.0","41,610.0"
"54","36","  Permanent site","A943RC1","3,179.0","1,667.0","1,372.0","503.0","312.0","405.0","759.0","1,275.0","1,568.0","1,691.0","2,374.0","2,713.0","3,236.0","1,589.0","847.0","686.0","815.0","5,188.0","8,280.0","11,155.0","10,687.0","16,126.0","13,802.0","13,368.0","13,915.0","15,377.0","18,580.0","16,518.0","15,073.0","15,445.0","19,673.0","17,497.0","17,405.0","19,946.0","22,414.0","24,098.0","23,846.0","21,811.0","21,541.0","26,723.0","29,224.0"
"55","37","    Single-family structures","A944RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","13,131.0","16,696.0","14,866.0","14,089.0","15,104.0","15,976.0","17,649.0","17,839.0","16,568.0","16,817.0","19,520.0","19,696.0"
"56","38","    Multifamily structures","C292RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,314.0","2,977.0","2,631.0","3,316.0","4,842.0","6,438.0","6,449.0","6,007.0","5,243.0","4,724.0","7,203.0","9,528.0"
"57","39","  Other structures","A863RC1","701.0","620.0","353.0","229.0","266.0","483.0","476.0","373.0","401.0","367.0","584.0","725.0","743.0","553.0","548.0","641.0","837.0","2,446.0","3,476.0","4,153.0","3,662.0","4,036.0","4,251.0","4,856.0","5,087.0","5,311.0","5,991.0","6,577.0","6,642.0","6,426.0","7,865.0","8,259.0","8,474.0","8,490.0","9,130.0","9,548.0","9,684.0","9,783.0","10,105.0","11,130.0","12,386.0"
"58","40","    Manufactured homes","A945RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","84.0","167.0","200.0","101.0","126.0","139.0","223.0","225.0","235.0","368.0","542.0","564.0","517.0","561.0","529.0","510.0","564.0","638.0","856.0","1,025.0","1,084.0","1,209.0","1,725.0","2,333.0"
"59","41","    Dormitories","C295RC1","86.0","70.0","25.0","14.0","12.0","16.0","18.0","21.0","28.0","26.0","32.0","32.0","33.0","18.0","5.0","9.0","14.0","51.0","44.0","54.0","65.0","61.0","67.0","65.0","94.0","104.0","119.0","157.0","176.0","224.0","238.0","233.0","315.0","519.0","443.0","550.0","615.0","594.0","481.0","416.0","346.0"
"60","42","    Improvements","A946RC1","454.0","409.0","235.0","141.0","195.0","269.0","338.0","399.0","434.0","402.0","436.0","457.0","512.0","308.0","220.0","304.0","523.0","1,814.0","2,731.0","3,437.0","3,076.0","3,356.0","3,486.0","3,897.0","4,107.0","4,184.0","4,675.0","5,107.0","5,384.0","5,301.0","6,062.0","6,548.0","6,740.0","6,226.0","6,508.0","6,613.0","6,574.0","6,984.0","7,384.0","7,631.0","8,183.0"
"61","43","    Brokers' commissions on sale of structures","A758RC1","195.0","168.0","117.0","95.0","77.0","214.0","145.0","123.0","130.0","119.0","127.0","162.0","176.0","181.0","208.0","268.0","310.0","510.0","525.0","460.0","474.0","573.0","653.0","763.0","783.0","907.0","1,009.0","977.0","932.0","1,057.0","1,353.0","1,242.0","1,268.0","1,495.0","1,729.0","1,808.0","1,882.0","1,751.0","1,792.0","2,110.0","2,275.0"
"62","44","    Net purchases of used structures","A759RC1","-34.0","-27.0","-24.0","-21.0","-18.0","-16.0","-25.0","-170.0","-191.0","-180.0","-11.0","74.0","22.0","46.0","115.0","60.0","-10.0","-13.0","9.0","2.0","-54.0","-80.0","-94.0","-92.0","-122.0","-119.0","-180.0","-206.0","-414.0","-673.0","-349.0","-293.0","-359.0","-314.0","-188.0","-279.0","-412.0","-630.0","-761.0","-752.0","-751.0"
"63",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","45","  Private fixed investment in new structures \5\","W040RC1","9,185.0","6,579.0","4,254.0","2,060.0","1,616.0","1,927.0","2,549.0","3,570.0","4,728.0","4,246.0","5,077.0","5,786.0","7,025.0","4,149.0","2,837.0","3,358.0","4,584.0","13,779.0","18,894.0","24,112.0","22,976.0","29,544.0","29,405.0","29,727.0","31,859.0","33,714.0","38,638.0","40,531.0","40,108.0","39,075.0","44,740.0","44,465.0","44,847.0","48,281.0","51,457.0","56,081.0","60,439.0","61,750.0","61,953.0","69,866.0","77,606.0"
"65","46","    Nonresidential structures","A771RC1","5,466.0","4,433.0","2,622.0","1,402.0","1,097.0","1,237.0","1,434.0","1,875.0","2,698.0","2,127.0","2,235.0","2,584.0","3,244.0","2,234.0","1,765.0","2,359.0","3,232.0","6,642.0","7,672.0","9,266.0","9,047.0","9,875.0","11,911.0","12,174.0","13,518.0","13,814.0","14,896.0","18,207.0","18,911.0","17,588.0","18,206.0","19,658.0","19,877.0","21,026.0","21,454.0","23,964.0","28,379.0","31,277.0","31,338.0","33,371.0","37,520.0"
"66","47","    Residential structures","A756RC1","3,719.0","2,146.0","1,632.0","658.0","519.0","690.0","1,115.0","1,695.0","2,030.0","2,119.0","2,842.0","3,202.0","3,781.0","1,915.0","1,072.0","999.0","1,352.0","7,137.0","11,222.0","14,846.0","13,929.0","19,669.0","17,494.0","17,553.0","18,341.0","19,900.0","23,742.0","22,324.0","21,197.0","21,487.0","26,534.0","24,807.0","24,970.0","27,255.0","30,003.0","32,117.0","32,060.0","30,473.0","30,615.0","36,495.0","40,086.0"
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Includes all financial buildings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
