"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"19","1","    Gross saving","A929RC1","198,445.0","192,803.0","209,224.0","237,262.0","292,177.0","301,831.0","296,853.0","341,979.0","396,717.0","476,338.0","533,209.0","542,724.0","646,053.0","621,490.0","602,396.0","753,353.0","738,367.0","709,317.0","782,254.0","901,518.0","924,147.0","917,601.0","951,313.0","932,295.0","958,419.0","1,094,668.0","1,219,036.0","1,344,353.0","1,525,665.0","1,654,410.0","1,708,030.0","1,800,149.0","1,695,670.0","1,560,924.0","1,552,750.0","1,724,171.0","1,903,366.0","2,174,401.0","2,013,628.0","1,785,214.0","1,533,757.0","1,697,779.0"
"20","2","Net saving","W201RC1","99,254.0","84,490.0","91,451.0","110,111.0","151,395.0","138,145.0","106,474.0","133,809.0","164,941.0","214,924.0","234,308.0","198,639.0","252,711.0","187,948.0","151,291.0","279,006.0","232,924.0","170,842.0","211,160.0","290,504.0","272,695.0","226,399.0","226,953.0","187,944.0","180,404.0","275,501.0","349,576.0","431,836.0","561,860.0","633,863.0","613,640.0","615,825.0","439,449.0","255,945.0","198,698.0","291,406.0","361,991.0","513,724.0","246,117.0","-63,995.0","-327,351.0","-171,073.0"
"21","3","  Net private saving","W202RC1","82,719.0","92,870.0","113,677.0","119,382.0","147,512.0","143,303.0","174,647.0","180,098.0","197,935.0","225,151.0","235,269.0","246,472.0","301,913.0","325,416.0","322,645.0","426,533.0","389,186.0","344,724.0","348,527.0","411,686.0","386,501.0","396,655.0","451,195.0","491,823.0","461,573.0","487,664.0","546,569.0","557,099.0","585,698.0","553,374.0","473,022.0","389,353.0","414,868.0","562,800.0","613,911.0","679,234.0","619,073.0","666,469.0","479,115.0","599,642.0","944,499.0","1,129,461.0"
"22","4","    Domestic business","A127RC1","30,255.0","23,442.0","32,882.0","42,249.0","44,625.0","29,122.0","48,704.0","57,303.0","72,633.0","82,776.0","77,818.0","50,163.0","65,173.0","61,503.0","95,719.0","130,269.0","135,587.0","98,271.0","125,089.0","155,069.0","121,520.0","119,963.0","138,001.0","159,512.0","169,740.0","199,362.0","243,943.0","272,310.0","308,207.0","212,601.0","260,092.0","176,257.0","209,952.0","280,600.0","309,156.0","390,503.0","486,381.0","430,267.0","270,678.0","156,739.0","284,202.0","475,512.0"
"23","5","      Undistributed corporate profits","B057RC1","27,155.0","21,928.0","29,687.0","39,047.0","55,092.0","61,772.0","60,936.0","75,437.0","91,300.0","110,485.0","124,598.0","102,282.0","85,647.0","54,399.0","69,887.0","80,270.0","60,506.0","30,106.0","80,346.0","118,374.0","86,411.0","97,201.0","106,112.0","137,686.0","145,059.0","170,167.0","212,054.0","211,546.0","225,137.0","123,068.0","184,333.0","129,506.0","138,509.0","173,755.0","234,846.0","372,975.0","670,454.0","644,675.0","498,393.0","227,175.0","342,921.0","651,829.0"
"24","6","      Inventory valuation adjustment, corporate","B058RC1","-5,870.0","-6,552.0","-4,584.0","-6,610.0","-19,569.0","-38,221.0","-10,544.0","-14,113.0","-15,698.0","-23,709.0","-40,138.0","-42,133.0","-24,626.0","-7,505.0","-7,445.0","-3,979.0","21.0","7,061.0","-16,239.0","-22,174.0","-16,348.0","-12,892.0","4,927.0","-2,821.0","-4,021.0","-12,436.0","-18,284.0","3,071.0","14,090.0","15,743.0","-3,954.0","-16,809.0","8,044.0","-2,566.0","-11,283.0","-34,255.0","-30,699.0","-38,033.0","-47,235.0","-44,089.0","11,923.0","-44,892.0"
"25","7","      Capital consumption adjustment, corporate","A059RC1","8,970.0","8,066.0","7,779.0","9,812.0","9,102.0","5,571.0","-1,688.0","-4,021.0","-2,969.0","-4,000.0","-6,642.0","-9,986.0","4,152.0","14,609.0","33,277.0","53,978.0","75,060.0","61,104.0","60,982.0","58,869.0","51,457.0","35,654.0","26,962.0","24,647.0","28,702.0","41,631.0","50,173.0","57,693.0","68,980.0","73,790.0","79,713.0","63,560.0","63,399.0","109,411.0","85,593.0","51,783.0","-153,374.0","-176,375.0","-180,480.0","-26,347.0","-70,642.0","-131,425.0"
"26","8","    Households and institutions","W986RC1","52,464.0","69,428.0","80,795.0","77,133.0","102,887.0","114,181.0","125,943.0","122,795.0","125,302.0","142,375.0","157,451.0","196,309.0","236,740.0","263,913.0","226,926.0","296,264.0","253,599.0","246,453.0","223,438.0","256,617.0","264,981.0","276,692.0","313,194.0","332,311.0","291,833.0","288,302.0","302,626.0","284,789.0","277,491.0","340,773.0","212,930.0","213,096.0","204,916.0","282,200.0","304,755.0","288,731.0","132,692.0","236,202.0","208,437.0","442,903.0","660,297.0","653,949.0"
"27","9","      Personal saving","A071RC1","52,464.0","69,428.0","80,422.0","77,462.0","102,931.0","114,181.0","125,943.0","122,795.0","125,302.0","142,375.0","157,451.0","196,309.0","236,740.0","263,913.0","226,926.0","296,264.0","253,599.0","246,453.0","223,438.0","256,617.0","264,981.0","276,692.0","313,194.0","348,067.0","285,386.0","270,683.0","286,257.0","281,141.0","280,424.0","341,478.0","207,780.0","213,096.0","204,916.0","282,200.0","289,755.0","303,731.0","127,692.0","234,952.0","214,687.0","447,903.0","655,297.0","653,949.0"
"28","10","      Wage accruals less disbursements","B185RC1","0.0","0.0","373.0","-329.0","-44.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-15,756.0","6,447.0","17,619.0","16,369.0","3,648.0","-2,933.0","-705.0","5,150.0","0.0","0.0","0.0","15,000.0","-15,000.0","5,000.0","1,250.0","-6,250.0","-5,000.0","5,000.0","0.0"
"29","11","  Net government saving","A922RC1","16,535.0","-8,380.0","-22,226.0","-9,271.0","3,883.0","-5,158.0","-68,173.0","-46,289.0","-32,994.0","-10,227.0","-961.0","-47,833.0","-49,202.0","-137,468.0","-171,354.0","-147,527.0","-156,262.0","-173,882.0","-137,367.0","-121,182.0","-113,806.0","-170,256.0","-224,242.0","-303,879.0","-281,169.0","-212,163.0","-196,993.0","-125,263.0","-23,838.0","80,489.0","140,618.0","226,472.0","24,581.0","-306,855.0","-415,213.0","-387,828.0","-257,082.0","-152,745.0","-232,998.0","-663,637.0","-1,271,850.0","-1,300,534.0"
"30","12","    Federal","A923RC1","8,556.0","-15,488.0","-28,694.0","-24,898.0","-11,829.0","-14,489.0","-70,642.0","-53,666.0","-46,130.0","-28,902.0","-13,960.0","-56,616.0","-56,757.0","-135,271.0","-176,240.0","-171,465.0","-178,613.0","-194,606.0","-149,344.0","-138,420.0","-133,940.0","-176,442.0","-218,434.0","-302,485.0","-280,227.0","-220,391.0","-206,170.0","-148,249.0","-60,138.0","33,583.0","98,806.0","185,207.0","40,499.0","-252,774.0","-376,382.0","-379,467.0","-283,010.0","-203,784.0","-245,221.0","-616,235.0","-1,251,725.0","-1,333,453.0"
"31","13","    State and local","A924RC1","7,979.0","7,108.0","6,468.0","15,627.0","15,712.0","9,331.0","2,469.0","7,377.0","13,136.0","18,675.0","12,999.0","8,783.0","7,555.0","-2,197.0","4,886.0","23,938.0","22,351.0","20,724.0","11,977.0","17,238.0","20,134.0","6,186.0","-5,808.0","-1,394.0","-942.0","8,228.0","9,177.0","22,986.0","36,300.0","46,906.0","41,812.0","41,265.0","-15,918.0","-54,081.0","-38,831.0","-8,361.0","25,928.0","51,039.0","12,223.0","-47,402.0","-20,125.0","32,919.0"
"32","14","Consumption of fixed capital","A262RC1","99,191.0","108,313.0","117,773.0","127,151.0","140,782.0","163,686.0","190,379.0","208,170.0","231,776.0","261,414.0","298,901.0","344,085.0","393,342.0","433,542.0","451,105.0","474,347.0","505,443.0","538,475.0","571,094.0","611,014.0","651,452.0","691,202.0","724,360.0","744,351.0","778,015.0","819,167.0","869,460.0","912,517.0","963,805.0","1,020,547.0","1,094,390.0","1,184,324.0","1,256,221.0","1,304,979.0","1,354,052.0","1,432,765.0","1,541,375.0","1,660,677.0","1,767,511.0","1,849,209.0","1,861,108.0","1,868,852.0"
"33","15","  Private","A024RC1","74,490.0","81,702.0","89,528.0","97,713.0","109,459.0","127,835.0","150,449.0","165,544.0","186,148.0","211,962.0","244,462.0","282,290.0","323,249.0","356,438.0","369,519.0","387,466.0","412,774.0","439,063.0","464,485.0","497,114.0","529,604.0","560,416.0","585,433.0","599,900.0","626,383.0","660,953.0","704,619.0","743,352.0","789,710.0","841,567.0","907,237.0","986,828.0","1,051,593.0","1,094,033.0","1,135,933.0","1,200,874.0","1,290,810.0","1,391,388.0","1,476,195.0","1,536,895.0","1,535,825.0","1,533,969.0"
"34","16","    Domestic business","W276RC1","61,937.0","68,155.0","74,601.0","81,168.0","90,611.0","106,096.0","125,750.0","138,454.0","155,455.0","176,416.0","203,511.0","235,390.0","271,191.0","300,679.0","311,393.0","325,951.0","347,978.0","369,884.0","390,338.0","417,610.0","444,396.0","469,817.0","490,593.0","500,927.0","521,165.0","549,420.0","585,954.0","619,158.0","658,470.0","702,082.0","756,841.0","824,313.0","876,541.0","908,506.0","935,434.0","978,714.0","1,045,725.0","1,123,284.0","1,190,718.0","1,244,473.0","1,245,215.0","1,241,455.0"
"35","17","    Households and institutions","W279RC1","12,553.0","13,547.0","14,927.0","16,545.0","18,848.0","21,739.0","24,699.0","27,090.0","30,693.0","35,546.0","40,951.0","46,900.0","52,058.0","55,759.0","58,126.0","61,515.0","64,796.0","69,179.0","74,147.0","79,504.0","85,208.0","90,599.0","94,840.0","98,973.0","105,218.0","111,533.0","118,665.0","124,194.0","131,240.0","139,485.0","150,396.0","162,515.0","175,052.0","185,527.0","200,499.0","222,160.0","245,085.0","268,104.0","285,477.0","292,422.0","290,610.0","292,514.0"
"36","18","  Government","A264RC1","24,701.0","26,611.0","28,245.0","29,438.0","31,323.0","35,851.0","39,930.0","42,626.0","45,628.0","49,452.0","54,439.0","61,795.0","70,093.0","77,104.0","81,586.0","86,881.0","92,669.0","99,412.0","106,609.0","113,900.0","121,848.0","130,786.0","138,927.0","144,451.0","151,632.0","158,214.0","164,841.0","169,165.0","174,095.0","178,980.0","187,153.0","197,496.0","204,628.0","210,946.0","218,119.0","231,891.0","250,565.0","269,289.0","291,316.0","312,314.0","325,283.0","334,883.0"
"37","19","    Federal","A918RC1","15,386.0","16,054.0","16,456.0","16,610.0","17,029.0","18,180.0","19,714.0","21,376.0","23,049.0","24,976.0","26,953.0","29,998.0","33,799.0","37,576.0","40,684.0","44,549.0","48,033.0","51,563.0","55,175.0","59,094.0","63,310.0","67,747.0","72,047.0","74,595.0","77,835.0","80,087.0","81,702.0","81,934.0","82,528.0","82,827.0","85,044.0","87,773.0","88,596.0","89,152.0","90,839.0","94,818.0","100,436.0","106,561.0","112,648.0","119,764.0","124,348.0","129,665.0"
"38","20","    State and local","A919RC1","9,315.0","10,557.0","11,789.0","12,828.0","14,294.0","17,671.0","20,216.0","21,250.0","22,579.0","24,476.0","27,486.0","31,797.0","36,294.0","39,528.0","40,902.0","42,332.0","44,636.0","47,849.0","51,434.0","54,806.0","58,538.0","63,039.0","66,880.0","69,856.0","73,797.0","78,127.0","83,139.0","87,231.0","91,567.0","96,153.0","102,109.0","109,723.0","116,032.0","121,794.0","127,280.0","137,073.0","150,129.0","162,728.0","178,668.0","192,550.0","200,935.0","205,218.0"
"39","21","    Gross domestic investment, capital account transactions, and net lending, NIPAs","A928RC1","201,317.0","199,680.0","220,238.0","246,208.0","300,196.0","311,645.0","313,159.0","365,449.0","417,930.0","502,393.0","580,183.0","588,016.0","682,635.0","626,240.0","652,090.0","784,891.0","780,669.0","777,060.0","815,125.0","891,984.0","980,252.0","1,001,799.0","1,031,049.0","1,042,287.0","1,094,214.0","1,203,477.0","1,271,558.0","1,370,273.0","1,511,691.0","1,569,094.0","1,636,962.0","1,666,170.0","1,592,317.0","1,538,852.0","1,569,361.0","1,716,322.0","1,823,705.0","1,953,828.0","2,034,763.0","1,921,808.0","1,712,898.0","1,855,956.0"
"40","22","Gross domestic investment","W170RC1","199,712.0","195,955.0","219,927.0","250,249.0","291,335.0","305,675.0","293,320.0","358,355.0","428,843.0","515,020.0","581,350.0","579,505.0","679,266.0","629,546.0","687,151.0","874,975.0","894,983.0","919,745.0","969,231.0","1,007,720.0","1,072,617.0","1,076,717.0","1,023,191.0","1,087,891.0","1,172,775.0","1,318,204.0","1,376,642.0","1,484,417.0","1,641,020.0","1,773,637.0","1,928,868.0","2,076,536.0","1,983,963.0","1,990,428.0","2,085,481.0","2,340,920.0","2,564,243.0","2,752,229.0","2,751,671.0","2,592,219.0","2,092,582.0","2,337,111.0"
"41","23","  Gross private domestic investment","A006RC1","156,444.0","152,378.0","178,168.0","207,608.0","244,489.0","249,418.0","230,219.0","291,960.0","361,340.0","437,953.0","492,875.0","479,252.0","572,381.0","517,232.0","564,300.0","735,623.0","736,181.0","746,519.0","784,951.0","821,571.0","874,948.0","860,968.0","802,891.0","864,786.0","953,345.0","1,097,288.0","1,144,044.0","1,240,191.0","1,388,657.0","1,510,784.0","1,641,508.0","1,772,210.0","1,661,928.0","1,646,957.0","1,729,694.0","1,968,550.0","2,172,228.0","2,327,174.0","2,295,211.0","2,096,688.0","1,589,204.0","1,827,495.0"
"42","24","    Domestic business","W987RC1","119,548.0","116,699.0","131,578.0","149,786.0","180,312.0","190,963.0","170,351.0","213,801.0","258,363.0","318,563.0","370,086.0","369,655.0","462,491.0","414,093.0","420,788.0","567,554.0","562,764.0","545,716.0","565,554.0","590,214.0","641,631.0","638,815.0","590,935.0","620,690.0","685,623.0","795,306.0","849,349.0","912,178.0","1,036,382.0","1,113,434.0","1,209,873.0","1,313,713.0","1,176,245.0","1,124,982.0","1,142,982.0","1,278,193.0","1,391,237.0","1,549,510.0","1,633,282.0","1,570,097.0","1,176,549.0","1,423,621.0"
"43","25","    Households and institutions","W988RC1","36,896.0","35,679.0","46,590.0","57,822.0","64,177.0","58,455.0","59,868.0","78,159.0","102,977.0","119,390.0","122,789.0","109,597.0","109,890.0","103,139.0","143,512.0","168,069.0","173,417.0","200,803.0","219,397.0","231,357.0","233,317.0","222,153.0","211,956.0","244,096.0","267,722.0","301,982.0","294,695.0","328,013.0","352,275.0","397,350.0","431,635.0","458,497.0","485,683.0","521,975.0","586,712.0","690,357.0","780,991.0","777,664.0","661,929.0","526,591.0","412,655.0","403,874.0"
"44","26","  Gross government investment","A782RC1","43,268.0","43,577.0","41,759.0","42,641.0","46,846.0","56,257.0","63,101.0","66,395.0","67,503.0","77,067.0","88,475.0","100,253.0","106,885.0","112,314.0","122,851.0","139,352.0","158,802.0","173,226.0","184,280.0","186,149.0","197,669.0","215,749.0","220,300.0","223,105.0","219,430.0","220,916.0","232,598.0","244,226.0","252,363.0","262,853.0","287,360.0","304,326.0","322,035.0","343,471.0","355,787.0","372,370.0","392,015.0","425,055.0","456,460.0","495,531.0","503,378.0","509,616.0"
"45","27","    Federal","A787RC1","14,966.0","14,828.0","11,695.0","12,000.0","13,629.0","16,620.0","19,512.0","22,556.0","24,716.0","27,587.0","31,641.0","36,282.0","41,928.0","47,487.0","56,402.0","64,377.0","74,418.0","80,415.0","85,831.0","79,845.0","82,962.0","88,513.0","88,247.0","88,765.0","83,759.0","77,871.0","78,630.0","80,448.0","73,428.0","76,419.0","81,624.0","80,068.0","81,533.0","90,147.0","96,222.0","103,263.0","110,462.0","120,688.0","127,427.0","145,252.0","152,425.0","170,869.0"
"46","28","    State and local","A799RC1","28,302.0","28,749.0","30,064.0","30,641.0","33,217.0","39,637.0","43,589.0","43,839.0","42,787.0","49,480.0","56,834.0","63,971.0","64,957.0","64,827.0","66,449.0","74,975.0","84,384.0","92,811.0","98,449.0","106,304.0","114,707.0","127,236.0","132,053.0","134,340.0","135,671.0","143,045.0","153,968.0","163,778.0","178,935.0","186,434.0","205,736.0","224,258.0","240,502.0","253,324.0","259,565.0","269,107.0","281,553.0","304,367.0","329,033.0","350,279.0","350,953.0","338,747.0"
"47","29","Capital account transactions (net) \1\","W167RC1","2.0","5.0","16.0","30.0","37.0","36.0","57.0","51.0","64.0","87.0","108.0","128.0","122.0","113.0","101.0","98.0","143.0","111.0","138.0","134.0","348.0","7,373.0","5,299.0","-1,277.0","875.0","1,270.0","419.0","209.0","476.0","230.0","4,467.0","343.0","-12,940.0","500.0","2,123.0","-2,794.0","-12,854.0","2,065.0","-90.0","-5,404.0","568.0","504.0"
"48","30","  Private","W999RC1","3,456.0","3,803.0","4,463.0","5,661.0","7,917.0","9,857.0","4,677.0","7,657.0","8,961.0","6,031.0","8,431.0","10,766.0","12,593.0","11,487.0","10,928.0","9,695.0","7,015.0","9,326.0","6,816.0","6,906.0","8,245.0","10,755.0","9,566.0","8,175.0","11,588.0","13,885.0","20,642.0","20,878.0","28,808.0","30,589.0","28,441.0","27,262.0","14,745.0","17,506.0","1,724.0","-5,544.0","-32,635.0","19,017.0","-10,043.0","-70,852.0","-142,207.0","-84,624.0"
"49","31","    Domestic business","W989RC1","-416.0","-118.0","-85.0","128.0","2,638.0","4,999.0","-278.0","1,761.0","881.0","80.0","2,220.0","3,405.0","4,900.0","3,140.0","4,614.0","3,512.0","627.0","2,198.0","-516.0","-793.0","1,264.0","-706.0","-626.0","6,758.0","-674.0","2,962.0","6,538.0","2,413.0","6,660.0","4,089.0","-1,243.0","-1,563.0","-7,779.0","-3,223.0","-2,939.0","1,833.0","-1,471.0","12,512.0","-1,722.0","-50,683.0","-124,954.0","-55,471.0"
"50","32","    Households and institutions","W990RC1","3,872.0","3,921.0","4,548.0","5,533.0","5,279.0","4,858.0","4,955.0","5,896.0","8,080.0","5,951.0","6,211.0","7,361.0","7,693.0","8,347.0","6,314.0","6,183.0","6,388.0","7,128.0","7,332.0","7,699.0","6,981.0","11,461.0","10,192.0","1,417.0","12,262.0","10,923.0","14,104.0","18,465.0","22,148.0","26,500.0","29,684.0","28,825.0","22,524.0","20,729.0","4,663.0","-7,377.0","-31,164.0","6,505.0","-8,321.0","-20,169.0","-17,253.0","-29,153.0"
"51","33","  Government","W991RC1","-3,454.0","-3,798.0","-4,446.0","-5,631.0","-7,879.0","-9,821.0","-4,620.0","-7,605.0","-8,897.0","-5,944.0","-8,323.0","-10,638.0","-12,471.0","-11,374.0","-10,827.0","-9,597.0","-6,872.0","-9,215.0","-6,679.0","-6,772.0","-7,897.0","-3,382.0","-4,267.0","-9,453.0","-10,713.0","-12,615.0","-20,213.0","-20,670.0","-28,332.0","-30,358.0","-23,973.0","-26,920.0","-27,685.0","-17,006.0","399.0","2,751.0","19,780.0","-16,952.0","9,953.0","65,447.0","142,775.0","85,134.0"
"52","34","    Federal","W992RC1","2,408.0","1,316.0","929.0","-17.0","-2,290.0","-2,527.0","4,410.0","2,670.0","2,632.0","6,153.0","6,205.0","6,191.0","3,361.0","3,525.0","4,910.0","7,909.0","12,044.0","10,129.0","11,493.0","11,995.0","10,618.0","15,874.0","15,704.0","11,571.0","11,611.0","11,101.0","5,563.0","7,150.0","1,053.0","-2,057.0","7,199.0","8,249.0","13,398.0","24,187.0","40,435.0","38,915.0","59,314.0","29,319.0","55,045.0","113,465.0","196,783.0","137,235.0"
"53","35","    State and local","W993RC1","-5,862.0","-5,114.0","-5,375.0","-5,614.0","-5,589.0","-7,294.0","-9,030.0","-10,275.0","-11,529.0","-12,097.0","-14,528.0","-16,829.0","-15,832.0","-14,899.0","-15,737.0","-17,506.0","-18,916.0","-19,344.0","-18,172.0","-18,767.0","-18,515.0","-19,256.0","-19,971.0","-21,024.0","-22,324.0","-23,716.0","-25,776.0","-27,820.0","-29,385.0","-28,301.0","-31,172.0","-35,169.0","-41,083.0","-41,193.0","-40,036.0","-36,164.0","-39,534.0","-46,271.0","-45,092.0","-48,018.0","-54,008.0","-52,101.0"
"54","36","Net lending or net borrowing (-), NIPAs","W162RC1","1,603.0","3,720.0","295.0","-4,071.0","8,824.0","5,934.0","19,782.0","7,043.0","-10,977.0","-12,714.0","-1,275.0","8,383.0","3,247.0","-3,419.0","-35,162.0","-90,182.0","-114,457.0","-142,796.0","-154,244.0","-115,870.0","-92,713.0","-82,291.0","2,559.0","-44,327.0","-79,436.0","-115,997.0","-105,503.0","-114,353.0","-129,805.0","-204,773.0","-296,373.0","-410,709.0","-378,706.0","-452,076.0","-518,243.0","-621,804.0","-727,684.0","-800,466.0","-716,818.0","-665,007.0","-380,252.0","-481,659.0"
"55","37","  Private","W994RC1","180.0","25,268.0","31,588.0","12,772.0","12,584.0","21,677.0","106,506.0","69,495.0","34,995.0","19,184.0","25,398.0","84,036.0","76,769.0","157,885.0","166,631.0","100,220.0","101,065.0","95,686.0","54,118.0","70,790.0","89,017.0","169,548.0","303,908.0","328,754.0","258,818.0","146,253.0","139,024.0","65,302.0","-56,031.0","-231,753.0","-360,757.0","-557,277.0","-313,566.0","-29,702.0","35,037.0","-90,747.0","-309,370.0","-508,906.0","-308,723.0","247,295.0","1,212,468.0","1,078,737.0"
"56","38","    Domestic business","W995RC1","-24,069.0","-18,107.0","-12,996.0","-17,551.0","-39,695.0","-50,930.0","20,687.0","3,665.0","-9,943.0","-33,396.0","-44,004.0","-42,215.0","-94,446.0","-50,301.0","31,405.0","-83,307.0","-37,525.0","-12,015.0","-16,738.0","-26,275.0","-20,874.0","35,871.0","118,022.0","142,983.0","141,751.0","59,323.0","26,532.0","2,797.0","-90,339.0","-288,161.0","-262,764.0","-445,566.0","-185,327.0","45,275.0","121,158.0","81,342.0","62,680.0","-229,043.0","-149,029.0","18,392.0","656,963.0","506,995.0"
