"","Table 6#16A# Corporate Profits by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/25/2011 10:05:28 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947"
"19","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1","10,656.0","7,358.0","2,834.0","-270.0","-272.0","2,382.0","3,858.0","6,044.0","6,854.0","4,801.0","6,400.0","9,648.0","15,277.0","20,434.0","24,744.0","24,783.0","20,192.0","17,940.0","23,487.0"
"20","2","Domestic industries","A445RC1","10,424.0","7,221.0","2,838.0","-236.0","-270.0","2,322.0","3,699.0","5,940.0","6,582.0","4,500.0","6,076.0","9,382.0","14,886.0","20,056.0","24,372.0","24,360.0","19,850.0","17,249.0","22,501.0"
"21","3","  Financial","A587RC1","1,559.0","671.0","516.0","641.0","777.0","517.0","543.0","859.0","811.0","910.0","914.0","1,060.0","1,141.0","1,203.0","1,337.0","1,587.0","1,630.0","2,073.0","1,712.0"
"22","4","  Nonfinancial","A463RC1","8,865.0","6,550.0","2,322.0","-877.0","-1,047.0","1,805.0","3,156.0","5,081.0","5,771.0","3,590.0","5,162.0","8,322.0","13,745.0","18,853.0","23,035.0","22,773.0","18,220.0","15,176.0","20,789.0"
"23","5","Rest of the world","B394RC1","232.0","137.0","-4.0","-34.0","-2.0","60.0","159.0","104.0","272.0","301.0","324.0","266.0","391.0","378.0","372.0","423.0","342.0","691.0","986.0"
"24","6","    Corporate profits with inventory valuation adjustment","A052RC1","11,067.0","7,551.0","2,771.0","-433.0","-415.0","2,454.0","3,989.0","6,193.0","7,419.0","5,406.0","6,914.0","10,237.0","15,871.0","20,843.0","24,779.0","24,168.0","19,457.0","19,673.0","26,046.0"
"25","7","Domestic industries","A390RC1","10,835.0","7,414.0","2,775.0","-399.0","-413.0","2,394.0","3,830.0","6,089.0","7,147.0","5,105.0","6,590.0","9,971.0","15,480.0","20,465.0","24,407.0","23,745.0","19,115.0","18,982.0","25,060.0"
"26","8","  Financial","A392RC1","1,651.0","750.0","582.0","687.0","812.0","565.0","581.0","895.0","869.0","970.0","981.0","1,117.0","1,231.0","1,358.0","1,483.0","1,746.0","1,772.0","2,193.0","1,940.0"
"27","9","    Federal Reserve banks","B397RC1","38.0","6.0","0.0","21.0","7.0","8.0","6.0","5.0","9.0","1.0","9.0","14.0","8.0","14.0","26.0","55.0","94.0","89.0","89.0"
"28","10","    Other","B398RC1","1,613.0","744.0","582.0","666.0","805.0","557.0","575.0","890.0","860.0","969.0","972.0","1,103.0","1,223.0","1,344.0","1,457.0","1,691.0","1,678.0","2,104.0","1,851.0"
"29","11","  Nonfinancial","A399RC1","9,184.0","6,664.0","2,193.0","-1,086.0","-1,225.0","1,829.0","3,249.0","5,194.0","6,278.0","4,135.0","5,609.0","8,854.0","14,249.0","19,107.0","22,924.0","21,999.0","17,343.0","16,789.0","23,120.0"
"30","12","    Manufacturing","A400RC1","5,197.0","3,889.0","1,287.0","-574.0","-448.0","969.0","2,007.0","3,139.0","3,770.0","2,258.0","3,279.0","5,472.0","9,458.0","11,773.0","13,768.0","13,220.0","9,688.0","8,991.0","13,514.0"
"31","13","      Durable goods","A406RC1","2,575.0","1,391.0","-82.0","-1,136.0","-563.0","177.0","833.0","1,598.0","1,647.0","683.0","1,576.0","3,002.0","6,315.0","7,122.0","8,040.0","7,336.0","4,487.0","2,401.0","5,692.0"
"32","14","      Nondurable goods","A401RC1","2,622.0","2,498.0","1,369.0","562.0","115.0","792.0","1,174.0","1,541.0","2,123.0","1,575.0","1,703.0","2,470.0","3,143.0","4,651.0","5,728.0","5,884.0","5,201.0","6,590.0","7,822.0"
"33","15","    Transportation and public utilities","A416RC1","1,851.0","1,197.0","568.0","217.0","114.0","398.0","457.0","711.0","799.0","555.0","1,009.0","1,329.0","2,037.0","3,474.0","4,433.0","3,885.0","2,756.0","1,863.0","2,201.0"
"34","16","    Wholesale trade and retail trade and automobile services","A413RC1","1,204.0","1,063.0","534.0","-103.0","-309.0","602.0","783.0","977.0","1,100.0","938.0","834.0","1,301.0","1,539.0","2,361.0","3,055.0","3,283.0","3,368.0","3,863.0","4,686.0"
"35","17","    Other","A420RC1","932.0","515.0","-196.0","-626.0","-582.0","-140.0","2.0","367.0","609.0","384.0","487.0","752.0","1,215.0","1,499.0","1,668.0","1,611.0","1,531.0","2,072.0","2,719.0"
"36","18","Rest of the world","B394RC1","232.0","137.0","-4.0","-34.0","-2.0","60.0","159.0","104.0","272.0","301.0","324.0","266.0","391.0","378.0","372.0","423.0","342.0","691.0","986.0"
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
