"","Table 2#1# Personal Income and Its Disposition                  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172"
"34","15","    Personal dividend income","B703RC1","23,964.0","24,124.0","24,268.0","24,600.0","24,508.0","24,260.0","24,240.0","24,220.0","25,048.0","24,956.0","25,168.0","24,936.0","26,104.0","26,428.0","27,104.0","27,708.0","28,372.0","29,280.0","30,376.0","31,492.0","32,516.0","33,276.0","33,536.0","33,420.0","32,896.0","32,644.0","32,812.0","33,336.0","36,120.0","38,068.0","39,880.0","41,816.0","42,632.0","43,896.0","45,584.0","46,780.0","48,216.0","49,392.0","51,708.0","53,596.0","55,348.0","56,860.0","57,956.0","59,584.0","61,692.0","64,188.0","64,564.0","65,448.0","68,572.0","72,564.0","75,772.0","77,612.0","77,544.0","76,368.0","76,980.0","79,348.0","80,876.0","81,924.0","84,164.0","86,188.0","88,424.0","90,688.0","90,892.0","92,568.0","95,260.0","96,848.0","98,160.0","99,316.0","103,092.0","106,220.0","107,340.0","107,468.0","108,692.0","109,688.0","113,152.0","117,068.0","121,548.0","126,244.0","132,624.0","138,556.0","147,856.0","155,536.0","160,880.0","166,916.0","169,900.0","169,656.0","169,752.0","165,988.0","175,216.0","180,176.0","182,968.0","183,000.0","184,058.0","186,481.0","188,773.0","190,936.0","193,340.0","197,755.0","204,551.0","213,730.0","224,529.0","233,328.0","239,367.0","242,644.0","244,078.0","248,029.0","255,417.0","266,240.0","279,709.0","292,077.0","302,553.0","311,137.0","318,196.0","325,467.0","333,315.0","341,742.0","349,855.0","353,440.0","351,612.0","344,369.0","333,766.0","329,557.0","333,796.0","346,482.0","365,158.0","378,153.0","383,008.0","379,725.0","370,467.0","365,510.0","367,017.0","374,990.0","387,775.0","397,522.0","402,578.0","402,944.0","401,009.0","408,124.0","426,678.0","456,673.0","494,447.0","522,617.0","537,523.0","638,548.0","531,908.0","536,500.0","557,308.0","594,332.0","643,892.0","688,509.0","724,502.0","751,872.0","753,812.0","801,822.0","807,093.0","804,799.0","809,938.0","799,449.0","795,724.0","773,170.0","732,240.0","696,350.0","677,795.0","683,377.0","702,375.0","709,156.0","715,046.0","724,157.0","739,437.0"
"35","16","  Personal current transfer receipts","A577RC1","60,444.0","61,536.0","62,896.0","64,340.0","66,104.0","76,080.0","76,348.0","80,120.0","82,024.0","89,584.0","89,568.0","91,256.0","94,348.0","94,896.0","96,040.0","106,396.0","109,056.0","111,452.0","113,296.0","116,468.0","121,876.0","129,888.0","137,120.0","144,292.0","155,904.0","171,544.0","174,824.0","177,640.0","181,404.0","179,668.0","186,368.0","188,456.0","190,604.0","191,060.0","196,204.0","198,980.0","203,092.0","204,876.0","213,640.0","216,944.0","222,476.0","227,140.0","242,744.0","248,888.0","258,748.0","263,896.0","295,908.0","299,332.0","305,860.0","309,320.0","327,856.0","330,440.0","335,664.0","344,896.0","361,512.0","377,256.0","380,180.0","386,356.0","381,936.0","386,492.0","393,388.0","397,760.0","400,496.0","408,884.0","419,568.0","422,148.0","427,464.0","430,412.0","442,648.0","448,485.0","455,488.0","457,244.0","462,606.0","467,564.0","468,649.0","471,628.0","488,928.0","492,526.0","498,610.0","505,771.0","529,807.0","537,163.0","546,237.0","557,200.0","577,532.0","588,503.0","598,044.0","615,549.0","639,362.0","659,124.0","668,502.0","696,478.0","724,729.0","743,320.0","755,327.0","759,688.0","779,400.0","783,821.0","797,727.0","802,120.0","815,576.0","820,288.0","824,309.0","845,405.0","869,445.0","878,953.0","885,880.0","881,509.0","910,910.0","931,258.0","926,658.0","927,479.0","944,560.0","944,327.0","950,505.0","957,393.0","968,692.0","975,075.0","978,514.0","989,387.0","1,009,962.0","1,013,246.0","1,026,335.0","1,036,795.0","1,052,429.0","1,079,426.0","1,093,717.0","1,106,478.0","1,149,972.0","1,182,604.0","1,188,161.0","1,231,687.0","1,257,681.0","1,280,383.0","1,288,632.0","1,301,876.0","1,318,124.0","1,333,694.0","1,355,593.0","1,359,585.0","1,392,457.0","1,411,031.0","1,418,500.0","1,440,080.0","1,481,323.0","1,506,419.0","1,516,743.0","1,529,829.0","1,569,014.0","1,597,879.0","1,620,716.0","1,632,402.0","1,701,627.0","1,698,577.0","1,719,784.0","1,753,847.0","1,793,159.0","1,934,431.0","1,875,196.0","1,914,204.0","2,023,691.0","2,160,151.0","2,159,251.0","2,188,237.0","2,245,499.0","2,286,060.0","2,316,408.0","2,337,703.0","2,338,514.0"
"36","17","    Government social benefits to persons","A063RC1","57,184.0","58,180.0","59,528.0","61,000.0","62,980.0","73,112.0","73,500.0","77,356.0","79,348.0","86,928.0","86,872.0","88,500.0","91,432.0","91,860.0","92,852.0","103,088.0","105,428.0","107,588.0","109,232.0","112,264.0","117,544.0","125,376.0","132,240.0","139,064.0","149,756.0","164,644.0","167,728.0","170,408.0","174,356.0","172,688.0","179,712.0","182,364.0","185,136.0","186,056.0","191,344.0","193,952.0","197,448.0","198,700.0","206,892.0","209,660.0","214,624.0","218,948.0","234,348.0","240,428.0","250,572.0","255,568.0","287,196.0","290,028.0","295,504.0","298,348.0","316,372.0","318,552.0","323,632.0","332,600.0","349,032.0","364,520.0","367,400.0","373,184.0","367,956.0","371,240.0","375,780.0","378,512.0","379,928.0","387,400.0","397,620.0","400,000.0","405,132.0","407,800.0","419,308.0","425,028.0","432,480.0","435,256.0","441,332.0","447,004.0","448,920.0","452,280.0","469,328.0","472,416.0","477,848.0","483,860.0","506,536.0","514,032.0","523,044.0","534,112.0","554,252.0","565,560.0","576,172.0","594,872.0","620,208.0","641,192.0","651,476.0","680,048.0","708,228.0","726,860.0","739,056.0","743,772.0","764,280.0","769,460.0","784,056.0","789,056.0","802,768.0","807,500.0","811,060.0","831,232.0","853,432.0","861,112.0","866,236.0","860,096.0","888,112.0","907,732.0","903,416.0","905,532.0","924,840.0","925,600.0","931,552.0","937,008.0","945,848.0","949,988.0","951,400.0","960,452.0","978,780.0","980,416.0","991,528.0","999,724.0","1,012,608.0","1,037,964.0","1,050,416.0","1,061,328.0","1,103,280.0","1,134,596.0","1,140,724.0","1,186,752.0","1,216,896.0","1,244,320.0","1,256,856.0","1,273,724.0","1,289,316.0","1,306,848.0","1,330,864.0","1,337,164.0","1,374,868.0","1,394,816.0","1,402,408.0","1,422,208.0","1,457,548.0","1,479,968.0","1,489,412.0","1,504,040.0","1,547,340.0","1,578,032.0","1,600,072.0","1,609,076.0","1,674,918.0","1,669,021.0","1,687,826.0","1,719,921.0","1,757,475.0","1,897,737.0","1,838,022.0","1,877,081.0","1,987,191.0","2,124,077.0","2,123,418.0","2,152,459.0","2,208,862.0","2,249,081.0","2,279,179.0","2,298,931.0","2,300,624.0"
"37","18","      Old-age, survivors, disability, and health insurance benefits","B222RC1","32,384.0","32,912.0","33,348.0","33,664.0","34,108.0","41,312.0","39,276.0","39,840.0","40,580.0","46,660.0","45,364.0","46,060.0","46,764.0","47,440.0","48,224.0","56,708.0","58,640.0","60,292.0","61,668.0","63,036.0","64,164.0","69,284.0","72,864.0","75,020.0","76,492.0","78,132.0","85,020.0","86,468.0","88,544.0","89,800.0","96,192.0","98,648.0","100,092.0","102,052.0","108,768.0","110,448.0","111,940.0","112,956.0","120,256.0","122,540.0","124,532.0","127,056.0","138,160.0","140,320.0","142,980.0","145,288.0","163,968.0","166,912.0","171,404.0","173,652.0","190,720.0","192,796.0","194,992.0","197,584.0","209,480.0","216,484.0","217,312.0","220,912.0","222,648.0","228,020.0","233,388.0","236,768.0","238,008.0","242,936.0","249,408.0","251,048.0","255,568.0","255,956.0","264,104.0","266,572.0","271,884.0","273,040.0","278,560.0","282,720.0","283,716.0","285,324.0","296,920.0","298,492.0","301,204.0","304,204.0","319,728.0","323,640.0","327,516.0","331,336.0","345,308.0","350,316.0","353,456.0","358,012.0","374,216.0","379,304.0","383,952.0","389,292.0","405,800.0","412,716.0","417,316.0","421,656.0","438,944.0","441,800.0","446,004.0","452,132.0","465,704.0","473,940.0","480,012.0","486,680.0","500,472.0","507,060.0","511,792.0","516,256.0","528,696.0","534,324.0","539,156.0","545,316.0","558,284.0","562,956.0","565,804.0","566,992.0","573,048.0","573,540.0","575,720.0","576,652.0","583,560.0","586,880.0","590,204.0","593,756.0","605,472.0","620,776.0","624,560.0","631,232.0","654,660.0","663,028.0","674,224.0","678,744.0","696,688.0","702,804.0","709,024.0","715,876.0","726,824.0","736,568.0","744,032.0","754,148.0","773,228.0","785,744.0","795,060.0","806,652.0","828,952.0","841,260.0","848,948.0","859,448.0","917,540.0","941,600.0","950,660.0","963,356.0","989,072.0","998,520.0","1,007,124.0","1,018,100.0","1,044,704.0","1,060,776.0","1,076,864.0","1,090,868.0","1,138,576.0","1,158,224.0","1,172,552.0","1,188,812.0","1,191,284.0","1,208,108.0","1,223,512.0","1,232,644.0","1,250,308.0"
"38","19","      Government unemployment insurance benefits","B223RC1","2,204.0","2,112.0","2,244.0","2,404.0","2,756.0","3,720.0","4,344.0","5,120.0","5,404.0","5,916.0","5,948.0","5,976.0","6,156.0","6,412.0","5,400.0","4,708.0","4,376.0","4,260.0","4,292.0","4,552.0","5,632.0","6,504.0","6,628.0","8,332.0","13,788.0","18,892.0","19,608.0","18,188.0","17,032.0","15,660.0","15,520.0","14,924.0","14,920.0","12,784.0","11,504.0","11,436.0","10,464.0","9,092.0","8,776.0","8,232.0","9,100.0","8,932.0","9,340.0","10,252.0","11,640.0","15,384.0","18,552.0","17,408.0","16,036.0","15,168.0","14,640.0","16,452.0","19,032.0","23,808.0","25,992.0","31,760.0","30,064.0","31,900.0","23,148.0","19,788.0","17,104.0","15,572.0","15,020.0","15,708.0","16,716.0","15,844.0","14,884.0","15,456.0","15,480.0","16,212.0","16,816.0","16,792.0","15,344.0","14,920.0","14,316.0","13,400.0","13,784.0","13,008.0","13,080.0","12,916.0","13,460.0","13,588.0","14,504.0","15,640.0","16,316.0","16,912.0","18,024.0","20,820.0","24,208.0","27,372.0","25,736.0","29,088.0","39,172.0","40,520.0","38,804.0","37,104.0","34,272.0","34,732.0","34,820.0","32,644.0","27,488.0","24,044.0","21,700.0","20,944.0","20,564.0","21,244.0","21,656.0","22,192.0","22,724.0","22,432.0","21,368.0","21,456.0","20,692.0","20,132.0","19,396.0","19,188.0","19,188.0","19,088.0","20,064.0","19,588.0","20,596.0","20,664.0","20,124.0","19,848.0","20,364.0","19,792.0","20,396.0","21,688.0","25,292.0","28,204.0","32,932.0","40,440.0","42,648.0","60,168.0","56,816.0","53,164.0","50,908.0","54,556.0","54,356.0","51,420.0","42,940.0","35,444.0","33,316.0","32,276.0","32,756.0","30,620.0","30,256.0","31,680.0","29,616.0","29,404.0","30,392.0","30,260.0","31,312.0","30,564.0","32,800.0","34,656.0","35,632.0","37,556.0","58,104.0","71,464.0","98,176.0","127,732.0","144,996.0","143,432.0","146,076.0","136,796.0","135,680.0","127,724.0","117,840.0"
"39","20","      Veterans benefits","B224RC1","6,372.0","6,656.0","6,760.0","7,004.0","7,048.0","7,452.0","7,868.0","8,264.0","8,528.0","8,640.0","8,852.0","8,992.0","10,072.0","9,020.0","9,168.0","10,692.0","10,296.0","10,228.0","10,444.0","10,800.0","11,012.0","11,008.0","12,080.0","13,212.0","14,264.0","14,016.0","14,476.0","15,128.0","15,924.0","14,344.0","13,448.0","13,752.0","14,452.0","13,848.0","13,312.0","13,656.0","14,080.0","13,648.0","13,632.0","14,132.0","14,456.0","14,208.0","14,408.0","14,684.0","14,776.0","14,652.0","14,952.0","15,664.0","15,968.0","15,940.0","16,044.0","16,420.0","16,348.0","16,212.0","16,268.0","16,648.0","16,856.0","16,552.0","16,556.0","16,560.0","16,396.0","16,360.0","16,520.0","16,384.0","16,852.0","16,764.0","16,612.0","16,520.0","17,016.0","16,852.0","16,636.0","16,420.0","16,704.0","16,672.0","16,488.0","16,508.0","17,044.0","16,852.0","16,876.0","16,692.0","17,544.0","17,284.0","17,268.0","17,208.0","18,036.0","17,780.0","17,700.0","17,808.0","18,088.0","18,664.0","18,336.0","18,180.0","19,260.0","19,444.0","19,276.0","19,368.0","20,208.0","20,296.0","19,920.0","19,728.0","20,124.0","19,972.0","20,112.0","20,196.0","20,968.0","20,824.0","20,900.0","20,760.0","21,704.0","21,936.0","21,544.0","21,632.0","22,664.0","22,464.0","22,440.0","22,660.0","23,544.0","23,428.0","23,380.0","23,556.0","24,416.0","24,324.0","24,300.0","24,320.0","25,252.0","25,116.0","25,092.0","25,280.0","26,208.0","26,496.0","26,608.0","27,804.0","28,980.0","29,600.0","30,112.0","30,608.0","31,692.0","32,116.0","32,488.0","32,488.0","33,928.0","34,184.0","34,704.0","35,088.0","36,512.0","36,732.0","36,948.0","37,072.0","38,888.0","39,216.0","39,472.0","39,724.0","40,992.0","42,104.0","42,273.0","42,956.0","44,680.0","45,144.0","46,032.0","46,508.0","50,200.0","51,016.0","52,768.0","55,091.0","57,792.0","60,375.0","63,264.0","64,024.0","66,069.0"
"40","21","      Family assistance \1\","B226RC1","3,276.0","3,416.0","3,636.0","3,852.0","4,168.0","4,588.0","5,072.0","5,516.0","5,856.0","6,108.0","6,316.0","6,500.0","6,760.0","6,884.0","6,996.0","7,052.0","7,092.0","7,192.0","7,224.0","7,364.0","7,572.0","7,724.0","8,072.0","8,452.0","8,876.0","9,096.0","9,440.0","9,808.0","9,908.0","10,100.0","10,176.0","10,236.0","10,456.0","10,648.0","10,716.0","10,736.0","10,796.0","10,880.0","10,740.0","10,688.0","10,764.0","10,888.0","11,172.0","11,488.0","11,844.0","12,180.0","12,904.0","13,136.0","12,896.0","13,032.0","13,224.0","13,424.0","12,792.0","12,748.0","12,852.0","13,164.0","13,560.0","13,768.0","13,980.0","14,080.0","14,624.0","14,560.0","14,212.0","14,524.0","14,872.0","15,032.0","15,320.0","15,516.0","15,660.0","16,168.0","16,300.0","16,424.0","16,316.0","16,432.0","16,472.0","16,440.0","16,644.0","16,808.0","16,976.0","17,132.0","17,116.0","17,292.0","17,564.0","17,968.0","18,444.0","18,912.0","19,476.0","19,916.0","20,508.0","20,964.0","21,372.0","21,684.0","21,896.0","22,164.0","22,340.0","22,568.0","22,660.0","22,808.0","22,860.0","22,976.0","23,096.0","23,164.0","23,236.0","23,156.0","22,932.0","22,808.0","22,548.0","22,260.0","21,360.0","20,764.0","20,172.0","19,004.0","18,404.0","17,984.0","17,668.0","17,452.0","17,380.0","17,380.0","17,424.0","17,532.0","17,672.0","17,832.0","18,000.0","18,176.0","18,352.0","18,460.0","18,496.0","18,452.0","18,340.0","18,200.0","18,036.0","17,848.0","17,664.0","17,588.0","17,644.0","17,840.0","18,128.0","18,352.0","18,480.0","18,508.0","18,456.0","18,396.0","18,340.0","18,292.0","18,252.0","18,224.0","18,200.0","18,188.0","18,184.0","18,200.0","18,232.0","18,288.0","18,204.0","18,232.0","18,352.0","18,548.0","18,828.0","19,116.0","19,400.0","19,678.0","19,940.0","20,108.0","20,174.0","20,128.0","19,890.0","19,411.0","19,913.0","19,896.0","18,720.0"
"41","22","      Other","B227RC1","12,948.0","13,084.0","13,540.0","14,076.0","14,900.0","16,040.0","16,940.0","18,616.0","18,980.0","19,604.0","20,392.0","20,972.0","21,680.0","22,104.0","23,064.0","23,928.0","25,024.0","25,616.0","25,604.0","26,512.0","29,164.0","30,856.0","32,596.0","34,048.0","36,336.0","44,508.0","39,184.0","40,816.0","42,948.0","42,784.0","44,376.0","44,804.0","45,216.0","46,724.0","47,044.0","47,676.0","50,168.0","52,124.0","53,488.0","54,068.0","55,772.0","57,864.0","61,268.0","63,684.0","69,332.0","68,064.0","76,820.0","76,908.0","79,200.0","80,556.0","81,744.0","79,460.0","80,468.0","82,248.0","84,440.0","86,464.0","89,608.0","90,052.0","91,624.0","92,792.0","94,268.0","95,252.0","96,168.0","97,848.0","99,772.0","101,312.0","102,748.0","104,352.0","107,048.0","109,224.0","110,844.0","112,580.0","114,408.0","116,260.0","117,928.0","120,608.0","124,936.0","127,256.0","129,712.0","132,916.0","138,688.0","142,228.0","146,192.0","151,960.0","156,148.0","161,640.0","167,516.0","178,316.0","183,188.0","194,888.0","202,080.0","221,804.0","222,100.0","232,016.0","241,320.0","243,076.0","248,196.0","249,824.0","260,452.0","261,576.0","266,356.0","266,380.0","266,000.0","280,256.0","288,496.0","289,176.0","289,340.0","278,628.0","293,628.0","308,276.0","301,176.0","298,124.0","304,796.0","302,064.0","306,244.0","310,716.0","312,688.0","316,552.0","314,812.0","323,124.0","332,536.0","330,716.0","338,900.0","343,624.0","343,168.0","353,820.0","361,872.0","364,676.0","378,780.0","398,668.0","388,924.0","421,916.0","430,916.0","434,160.0","443,260.0","456,236.0","461,764.0","465,256.0","481,508.0","480,600.0","506,316.0","521,048.0","520,988.0","529,900.0","541,076.0","553,132.0","555,060.0","557,652.0","543,112.0","549,612.0","561,316.0","557,448.0","595,338.0","579,601.0","587,277.0","605,661.0","613,631.0","735,145.0","637,622.0","648,563.0","680,299.0","766,997.0","732,928.0","744,996.0","793,820.0","824,391.0","836,810.0","854,643.0","847,687.0"
"42","23","    Other current transfer receipts, from business (net)","B931RC1","3,260.0","3,356.0","3,368.0","3,340.0","3,124.0","2,968.0","2,848.0","2,764.0","2,676.0","2,656.0","2,696.0","2,756.0","2,916.0","3,036.0","3,188.0","3,308.0","3,628.0","3,864.0","4,064.0","4,204.0","4,332.0","4,512.0","4,880.0","5,228.0","6,148.0","6,900.0","7,096.0","7,232.0","7,048.0","6,980.0","6,656.0","6,092.0","5,468.0","5,004.0","4,860.0","5,028.0","5,644.0","6,176.0","6,748.0","7,284.0","7,852.0","8,192.0","8,396.0","8,460.0","8,176.0","8,328.0","8,712.0","9,304.0","10,356.0","10,972.0","11,484.0","11,888.0","12,032.0","12,296.0","12,480.0","12,736.0","12,780.0","13,172.0","13,980.0","15,252.0","17,608.0","19,248.0","20,568.0","21,484.0","21,948.0","22,148.0","22,332.0","22,612.0","23,340.0","23,457.0","23,008.0","21,988.0","21,274.0","20,560.0","19,729.0","19,348.0","19,600.0","20,110.0","20,762.0","21,911.0","23,271.0","23,131.0","23,193.0","23,088.0","23,280.0","22,943.0","21,872.0","20,677.0","19,154.0","17,932.0","17,026.0","16,430.0","16,501.0","16,460.0","16,271.0","15,916.0","15,120.0","14,361.0","13,671.0","13,064.0","12,808.0","12,788.0","13,249.0","14,173.0","16,013.0","17,841.0","19,644.0","21,413.0","22,798.0","23,526.0","23,242.0","21,947.0","19,720.0","18,727.0","18,953.0","20,385.0","22,844.0","25,087.0","27,114.0","28,935.0","31,182.0","32,830.0","34,807.0","37,071.0","39,821.0","41,462.0","43,301.0","45,150.0","46,692.0","48,008.0","47,437.0","44,935.0","40,785.0","36,063.0","31,776.0","28,152.0","28,808.0","26,846.0","24,729.0","22,421.0","17,589.0","16,215.0","16,092.0","17,872.0","23,775.0","26,451.0","27,331.0","25,789.0","21,674.0","19,847.0","20,644.0","23,326.0","26,709.0","29,556.0","31,958.0","33,926.0","35,684.0","36,694.0","37,174.0","37,123.0","36,500.0","36,074.0","35,833.0","35,778.0","36,637.0","36,979.0","37,229.0","38,772.0","37,890.0"
"43","24","  Less: Contributions for government social insurance, domestic","A061RC1","42,908.0","43,692.0","44,624.0","45,284.0","45,984.0","46,260.0","46,712.0","46,480.0","50,468.0","51,044.0","51,308.0","51,884.0","58,140.0","58,804.0","59,492.0","60,380.0","73,628.0","74,724.0","76,068.0","77,564.0","83,100.0","84,696.0","86,360.0","86,568.0","87,632.0","88,020.0","89,764.0","91,824.0","98,948.0","100,432.0","102,192.0","103,764.0","109,284.0","112,088.0","114,332.0","116,672.0","126,156.0","130,112.0","132,752.0","136,020.0","148,764.0","150,892.0","154,196.0","157,144.0","163,100.0","163,248.0","166,572.0","171,832.0","191,624.0","194,112.0","197,652.0","199,416.0","207,168.0","208,372.0","209,844.0","210,192.0","220,368.0","223,608.0","227,204.0","232,632.0","250,984.0","255,824.0","259,944.0","263,128.0","275,416.0","278,840.0","282,824.0","288,400.0","297,924.0","300,712.0","305,056.0","310,060.0","316,460.0","320,212.0","324,540.0","331,240.0","352,132.0","359,120.0","364,388.0","370,288.0","379,840.0","382,832.0","386,404.0","391,848.0","404,108.0","408,332.0","414,088.0","413,904.0","424,456.0","427,728.0","432,604.0","435,940.0","448,708.0","453,672.0","457,780.0","459,644.0","467,456.0","475,556.0","480,084.0","486,604.0","498,368.0","506,368.0","510,572.0","517,412.0","525,748.0","530,148.0","535,324.0","539,980.0","544,208.0","552,064.0","558,680.0","565,360.0","575,496.0","582,200.0","590,244.0","601,024.0","611,840.0","620,404.0","628,996.0","637,364.0","652,452.0","656,432.0","662,204.0","674,052.0","697,464.0","698,912.0","711,168.0","715,816.0","735,492.0","734,016.0","731,528.0","731,748.0","746,648.0","752,276.0","752,680.0","754,208.0","766,656.0","774,868.0","781,796.0","792,348.0","812,324.0","821,596.0","833,084.0","842,228.0","861,048.0","865,800.0","879,000.0","885,020.0","915,384.0","917,380.0","920,784.0","933,768.0","953,408.0","954,204.0","958,720.0","971,600.0","988,252.0","987,716.0","989,496.0","983,420.0","964,228.0","971,592.0","970,636.0","974,760.0","987,772.0","1,001,912.0","1,010,172.0","1,014,224.0","924,244.0"
"44","25","Less: Personal current taxes","W055RC1","102,602.0","105,660.0","104,139.0","105,623.0","104,573.0","105,512.0","100,657.0","101,538.0","98,331.0","100,714.0","102,307.0","105,468.0","119,785.0","123,370.0","124,277.0","127,128.0","126,399.0","129,181.0","134,089.0","139,959.0","142,792.0","148,902.0","154,911.0","157,587.0","157,988.0","121,068.0","152,831.0","158,541.0","162,140.0","168,974.0","175,765.0","182,353.0","188,438.0","195,331.0","198,191.0","208,116.0","211,744.0","222,832.0","236,046.0","246,966.0","253,378.0","261,751.0","274,580.0","284,955.0","284,168.0","291,517.0","301,538.0","318,197.0","330,283.0","342,057.0","356,272.0","352,048.0","351,882.0","359,102.0","349,516.0","355,940.0","350,319.0","358,999.0","344,878.0","355,104.0","360,670.0","369,940.0","383,606.0","395,432.0","431,811.0","388,050.0","421,053.0","428,442.0","425,715.0","428,828.0","438,878.0","455,447.0","450,203.0","511,142.0","488,447.0","506,440.0","501,055.0","496,811.0","505,668.0","516,218.0","551,253.0","565,037.0","569,937.0","578,153.0","580,547.0","592,621.0","598,766.0","598,898.0","578,489.0","583,698.0","587,957.0","596,356.0","586,542.0","604,866.0","613,858.0","636,858.0","614,567.0","641,342.0","656,970.0","673,253.0","671,064.0","695,266.0","692,803.0","702,883.0","720,005.0","742,222.0","747,685.0","765,680.0","796,545.0","834,409.0","838,438.0","858,428.0","896,442.0","910,515.0","935,439.0","962,208.0","990,115.0","1,016,355.0","1,037,222.0","1,062,016.0","1,073,520.0","1,090,773.0","1,116,233.0","1,149,578.0","1,204,669.0","1,226,085.0","1,243,640.0","1,254,642.0","1,297,621.0","1,304,479.0","1,109,544.0","1,227,684.0","1,068,351.0","1,045,328.0","1,046,313.0","1,041,680.0","1,021,277.0","1,018,092.0","945,204.0","1,016,815.0","1,009,312.0","1,026,361.0","1,064,699.0","1,090,912.0","1,164,234.0","1,192,330.0","1,224,030.0","1,253,762.0","1,321,498.0","1,340,233.0","1,354,334.0","1,393,543.0","1,458,748.0","1,480,363.0","1,497,502.0","1,518,015.0","1,535,845.0","1,331,624.0","1,442,373.0","1,442,966.0","1,213,415.0","1,112,459.0","1,116,996.0","1,117,230.0","1,134,699.0","1,149,124.0","1,178,199.0","1,203,180.0","1,302,334.0"
"45","26","Equals: Disposable personal income","A067RC1","648,447.0","663,391.0","685,221.0","698,231.0","709,845.0","730,282.0","747,355.0","754,561.0","776,823.0","797,441.0","808,833.0","822,460.0","836,359.0","849,115.0","874,126.0","916,375.0","938,011.0","965,613.0","988,169.0","1,020,755.0","1,035,015.0","1,055,188.0","1,087,033.0","1,109,553.0","1,125,907.0","1,192,956.0","1,198,835.0","1,231,318.0","1,263,260.0","1,284,389.0","1,315,681.0","1,346,062.0","1,371,449.0","1,410,802.0","1,453,578.0","1,504,109.0","1,538,556.0","1,588,239.0","1,629,347.0","1,673,176.0","1,723,300.0","1,757,930.0","1,811,792.0","1,870,421.0","1,931,784.0","1,951,360.0","2,017,493.0","2,110,007.0","2,157,358.0","2,193,620.0","2,279,068.0","2,318,398.0","2,350,448.0","2,389,446.0","2,437,624.0","2,473,308.0","2,514,289.0","2,555,931.0","2,628,521.0","2,700,645.0","2,789,515.0","2,865,141.0","2,932,406.0","2,978,763.0","3,003,135.0","3,085,584.0","3,085,983.0","3,142,578.0","3,202,927.0","3,241,375.0","3,282,402.0","3,308,485.0","3,372,973.0","3,365,857.0","3,461,474.0","3,540,936.0","3,616,058.0","3,689,952.0","3,764,277.0","3,834,924.0","3,925,273.0","3,960,831.0","4,008,276.0","4,071,124.0","4,163,997.0","4,236,688.0","4,293,858.0","4,321,516.0","4,362,482.0","4,422,104.0","4,465,148.0","4,529,764.0","4,634,133.0","4,701,930.0","4,756,800.0","4,854,056.0","4,805,917.0","4,908,382.0","4,936,176.0","5,035,985.0","5,035,657.0","5,148,838.0","5,229,014.0","5,323,730.0","5,387,201.0","5,419,112.0","5,482,694.0","5,539,025.0","5,630,766.0","5,728,295.0","5,803,572.0","5,875,851.0","5,959,115.0","6,019,917.0","6,106,086.0","6,213,242.0","6,357,578.0","6,463,426.0","6,553,210.0","6,621,580.0","6,687,366.0","6,740,847.0","6,819,949.0","6,965,074.0","7,174,942.0","7,280,488.0","7,400,569.0","7,452,706.0","7,561,387.0","7,576,768.0","7,771,092.0","7,684,598.0","7,909,908.0","8,015,412.0","8,028,273.0","8,085,149.0","8,173,180.0","8,302,960.0","8,473,510.0","8,561,489.0","8,670,475.0","8,820,725.0","8,934,362.0","9,132,140.0","9,074,319.0","9,194,398.0","9,353,450.0","9,487,056.0","9,705,169.0","9,863,792.0","9,982,534.0","10,111,212.0","10,255,508.0","10,358,590.0","10,456,893.0","10,623,402.0","10,764,559.0","11,129,236.0","11,004,672.0","10,913,291.0","10,879,811.0","11,090,946.0","11,046,977.0","11,121,724.0","11,215,603.0","11,367,962.0","11,417,283.0","11,497,757.0","11,628,600.0"
