"","Table 3#9#5# Government Consumption Expenditures and Gross Inves","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"19","1","    Government consumption expenditures and gross investment","A822RC1","221,431.0","233,697.0","246,415.0","263,419.0","281,657.0","317,917.0","357,716.0","383,000.0","414,060.0","453,554.0","500,732.0","566,121.0","627,477.0","680,447.0","733,380.0","796,920.0","878,890.0","949,335.0","999,393.0","1,038,903.0","1,100,597.0","1,181,712.0","1,236,090.0","1,273,461.0","1,294,799.0","1,329,791.0","1,374,021.0","1,420,958.0","1,474,434.0","1,526,050.0","1,631,270.0","1,730,951.0","1,846,420.0","1,983,343.0","2,112,550.0","2,232,818.0","2,369,882.0","2,518,396.0","2,674,243.0","2,878,333.0","2,914,905.0","3,000,240.0"
"20","2","      Consumption expenditures \1\","A955RC1","178,164.0","190,120.0","204,656.0","220,778.0","234,811.0","261,660.0","294,615.0","316,605.0","346,557.0","376,487.0","412,258.0","465,868.0","520,593.0","568,133.0","610,529.0","657,568.0","720,088.0","776,109.0","815,112.0","852,755.0","902,928.0","965,962.0","1,015,791.0","1,050,356.0","1,075,369.0","1,108,875.0","1,141,423.0","1,176,732.0","1,222,071.0","1,263,197.0","1,343,910.0","1,426,625.0","1,524,386.0","1,639,872.0","1,756,763.0","1,860,448.0","1,977,867.0","2,093,341.0","2,217,783.0","2,382,802.0","2,411,527.0","2,490,624.0"
"21","3","      Gross investment \2\","A782RC1","43,268.0","43,577.0","41,759.0","42,641.0","46,846.0","56,257.0","63,101.0","66,395.0","67,503.0","77,067.0","88,475.0","100,253.0","106,885.0","112,314.0","122,851.0","139,352.0","158,802.0","173,226.0","184,280.0","186,149.0","197,669.0","215,749.0","220,300.0","223,105.0","219,430.0","220,916.0","232,598.0","244,226.0","252,363.0","262,853.0","287,360.0","304,326.0","322,035.0","343,471.0","355,787.0","372,370.0","392,015.0","425,055.0","456,460.0","495,531.0","503,378.0","509,616.0"
"22","4","        Structures","A760RC1","28,959.0","29,167.0","31,239.0","31,605.0","34,356.0","40,317.0","44,529.0","44,877.0","44,287.0","51,491.0","57,814.0","65,309.0","66,357.0","64,983.0","65,719.0","72,504.0","81,116.0","88,986.0","95,509.0","98,998.0","101,968.0","112,621.0","116,981.0","119,744.0","121,075.0","124,685.0","134,748.0","144,381.0","155,556.0","160,157.0","175,790.0","189,648.0","205,797.0","221,638.0","229,385.0","236,449.0","246,477.0","267,473.0","289,508.0","309,386.0","316,576.0","309,160.0"
"23","5","        Equipment and software","A871RC1","14,309.0","14,410.0","10,520.0","11,036.0","12,490.0","15,940.0","18,572.0","21,518.0","23,216.0","25,576.0","30,661.0","34,944.0","40,528.0","47,331.0","57,132.0","66,848.0","77,686.0","84,240.0","88,771.0","87,151.0","95,701.0","103,128.0","103,319.0","103,361.0","98,355.0","96,231.0","97,850.0","99,845.0","96,807.0","102,696.0","111,570.0","114,678.0","116,238.0","121,833.0","126,402.0","135,921.0","145,538.0","157,582.0","166,952.0","186,146.0","186,802.0","200,456.0"
"24","6","Federal","A823RC1","113,281.0","113,413.0","113,632.0","119,628.0","122,451.0","134,543.0","149,032.0","159,703.0","175,402.0","190,903.0","210,560.0","243,717.0","280,178.0","310,765.0","342,851.0","374,275.0","412,750.0","438,444.0","459,537.0","461,577.0","481,437.0","507,490.0","526,561.0","532,910.0","524,977.0","518,579.0","518,768.0","526,988.0","530,959.0","531,018.0","554,926.0","576,077.0","611,689.0","680,637.0","756,479.0","824,643.0","876,300.0","931,691.0","976,341.0","1,079,875.0","1,139,563.0","1,214,263.0"
"25","7","    Consumption expenditures","A957RC1","98,315.0","98,585.0","101,937.0","107,628.0","108,822.0","117,923.0","129,520.0","137,147.0","150,686.0","163,316.0","178,919.0","207,435.0","238,250.0","263,278.0","286,449.0","309,898.0","338,332.0","358,029.0","373,706.0","381,732.0","398,475.0","418,977.0","438,314.0","444,145.0","441,218.0","440,708.0","440,138.0","446,540.0","457,531.0","454,599.0","473,302.0","496,009.0","530,156.0","590,490.0","660,257.0","721,380.0","765,838.0","811,003.0","848,914.0","934,623.0","987,138.0","1,043,394.0"
"26","8","    Gross investment","A787RC1","14,966.0","14,828.0","11,695.0","12,000.0","13,629.0","16,620.0","19,512.0","22,556.0","24,716.0","27,587.0","31,641.0","36,282.0","41,928.0","47,487.0","56,402.0","64,377.0","74,418.0","80,415.0","85,831.0","79,845.0","82,962.0","88,513.0","88,247.0","88,765.0","83,759.0","77,871.0","78,630.0","80,448.0","73,428.0","76,419.0","81,624.0","80,068.0","81,533.0","90,147.0","96,222.0","103,263.0","110,462.0","120,688.0","127,427.0","145,252.0","152,425.0","170,869.0"
"27","9","      Structures","A801RC1","3,380.0","3,378.0","4,286.0","4,499.0","5,219.0","5,577.0","6,393.0","6,729.0","7,376.0","8,645.0","8,774.0","10,251.0","10,936.0","10,738.0","11,497.0","11,968.0","13,563.0","14,779.0","16,688.0","14,205.0","13,241.0","14,082.0","13,801.0","15,512.0","16,588.0","15,975.0","17,492.0","17,543.0","16,026.0","16,595.0","16,112.0","13,673.0","13,474.0","15,794.0","17,634.0","16,210.0","15,719.0","17,561.0","21,153.0","22,685.0","28,030.0","34,207.0"
"28","10","      Equipment and software","A872RC1","11,586.0","11,450.0","7,409.0","7,501.0","8,410.0","11,043.0","13,119.0","15,827.0","17,340.0","18,942.0","22,867.0","26,031.0","30,992.0","36,749.0","44,905.0","52,409.0","60,855.0","65,636.0","69,143.0","65,640.0","69,721.0","74,431.0","74,446.0","73,253.0","67,171.0","61,896.0","61,138.0","62,905.0","57,402.0","59,824.0","65,512.0","66,395.0","68,059.0","74,353.0","78,588.0","87,053.0","94,743.0","103,127.0","106,274.0","122,567.0","124,395.0","136,662.0"
"29","11","  National defense","A824RC1","89,491.0","87,604.0","84,557.0","86,932.0","88,134.0","95,564.0","103,899.0","111,087.0","120,889.0","130,486.0","145,182.0","167,959.0","196,230.0","225,891.0","250,589.0","281,528.0","311,181.0","330,804.0","349,979.0","354,728.0","362,089.0","373,883.0","383,114.0","376,786.0","363,005.0","353,776.0","348,799.0","354,823.0","349,841.0","346,075.0","361,137.0","371,047.0","392,954.0","437,704.0","497,940.0","550,785.0","589,047.0","624,856.0","662,299.0","737,327.0","771,607.0","817,690.0"
"30","12","    Consumption expenditures","A997RC1","78,144.0","76,531.0","77,053.0","79,464.0","79,399.0","84,498.0","90,868.0","95,790.0","104,152.0","112,685.0","123,785.0","143,669.0","167,295.0","191,145.0","208,716.0","232,836.0","253,675.0","267,884.0","283,565.0","293,451.0","299,392.0","307,968.0","319,703.0","315,230.0","307,513.0","300,814.0","296,977.0","303,174.0","304,512.0","300,322.0","312,961.0","321,839.0","342,015.0","380,661.0","435,182.0","481,209.0","514,837.0","543,883.0","575,369.0","635,651.0","664,143.0","698,221.0"
"31","13","    Gross investment","A788RC1","11,347.0","11,073.0","7,504.0","7,468.0","8,735.0","11,066.0","13,031.0","15,297.0","16,737.0","17,801.0","21,397.0","24,290.0","28,935.0","34,746.0","41,873.0","48,692.0","57,506.0","62,920.0","66,414.0","61,277.0","62,697.0","65,915.0","63,411.0","61,556.0","55,492.0","52,962.0","51,822.0","51,649.0","45,329.0","45,753.0","48,176.0","49,208.0","50,939.0","57,043.0","62,758.0","69,576.0","74,210.0","80,973.0","86,930.0","101,676.0","107,464.0","119,469.0"
"32","14","      Structures","A808RC1","1,491.0","1,321.0","1,827.0","1,789.0","2,112.0","2,177.0","2,320.0","2,145.0","2,378.0","2,509.0","2,521.0","3,177.0","3,210.0","3,954.0","4,763.0","4,934.0","6,219.0","6,774.0","7,657.0","7,357.0","6,358.0","6,090.0","4,633.0","5,220.0","5,347.0","5,763.0","6,696.0","6,287.0","6,117.0","5,834.0","5,386.0","5,396.0","5,333.0","5,848.0","7,314.0","7,145.0","7,452.0","8,056.0","10,059.0","11,337.0","15,949.0","19,031.0"
"33","15","      Equipment and software","A873RC1","9,856.0","9,752.0","5,677.0","5,679.0","6,623.0","8,889.0","10,711.0","13,152.0","14,359.0","15,292.0","18,876.0","21,113.0","25,725.0","30,792.0","37,110.0","43,758.0","51,287.0","56,146.0","58,757.0","53,920.0","56,339.0","59,825.0","58,778.0","56,336.0","50,145.0","47,199.0","45,126.0","45,362.0","39,212.0","39,919.0","42,790.0","43,812.0","45,606.0","51,195.0","55,444.0","62,431.0","66,758.0","72,917.0","76,871.0","90,339.0","91,515.0","100,438.0"
"34","16","  Nondefense","A825RC1","23,790.0","25,809.0","29,075.0","32,696.0","34,317.0","38,979.0","45,133.0","48,616.0","54,513.0","60,417.0","65,378.0","75,758.0","83,948.0","84,874.0","92,262.0","92,747.0","101,569.0","107,640.0","109,558.0","106,849.0","119,348.0","133,607.0","143,447.0","156,124.0","161,972.0","164,803.0","169,969.0","172,165.0","181,118.0","184,943.0","193,789.0","205,030.0","218,735.0","242,933.0","258,539.0","273,858.0","287,253.0","306,835.0","314,042.0","342,548.0","367,956.0","396,573.0"
"35","17","    Consumption expenditures","A542RC1","20,171.0","22,054.0","24,884.0","28,164.0","29,423.0","33,425.0","38,652.0","41,357.0","46,534.0","50,631.0","55,134.0","63,766.0","70,955.0","72,133.0","77,733.0","77,062.0","84,657.0","90,145.0","90,141.0","88,281.0","99,083.0","111,009.0","118,611.0","128,915.0","133,705.0","139,894.0","143,161.0","143,366.0","153,019.0","154,277.0","160,341.0","174,170.0","188,141.0","209,829.0","225,075.0","240,171.0","251,001.0","267,120.0","273,545.0","298,972.0","322,995.0","345,173.0"
"36","18","    Gross investment","A798RC1","3,619.0","3,755.0","4,191.0","4,532.0","4,894.0","5,554.0","6,481.0","7,259.0","7,979.0","9,786.0","10,244.0","11,992.0","12,993.0","12,741.0","14,529.0","15,685.0","16,912.0","17,495.0","19,417.0","18,568.0","20,265.0","22,598.0","24,836.0","27,209.0","28,267.0","24,909.0","26,808.0","28,799.0","28,099.0","30,666.0","33,448.0","30,860.0","30,594.0","33,104.0","33,464.0","33,687.0","36,252.0","39,715.0","40,497.0","43,576.0","44,961.0","51,400.0"
"37","19","      Structures","A830RC1","1,889.0","2,057.0","2,459.0","2,710.0","3,107.0","3,400.0","4,073.0","4,584.0","4,998.0","6,136.0","6,253.0","7,074.0","7,726.0","6,784.0","6,734.0","7,034.0","7,344.0","8,005.0","9,031.0","6,848.0","6,883.0","7,992.0","9,168.0","10,292.0","11,241.0","10,212.0","10,796.0","11,256.0","9,909.0","10,761.0","10,726.0","8,277.0","8,141.0","9,946.0","10,320.0","9,065.0","8,267.0","9,505.0","11,094.0","11,348.0","12,081.0","15,176.0"
"38","20","      Equipment and software","B880RC1","1,730.0","1,698.0","1,732.0","1,822.0","1,787.0","2,154.0","2,408.0","2,675.0","2,981.0","3,650.0","3,991.0","4,918.0","5,267.0","5,957.0","7,795.0","8,651.0","9,568.0","9,490.0","10,386.0","11,720.0","13,382.0","14,606.0","15,668.0","16,917.0","17,026.0","14,697.0","16,012.0","17,543.0","18,190.0","19,905.0","22,722.0","22,583.0","22,453.0","23,158.0","23,144.0","24,622.0","27,985.0","30,210.0","29,403.0","32,228.0","32,880.0","36,224.0"
"39","21","State and local","A829RC1","108,150.0","120,284.0","132,783.0","143,791.0","159,206.0","183,374.0","208,684.0","223,297.0","238,658.0","262,651.0","290,172.0","322,404.0","347,299.0","369,682.0","390,529.0","422,645.0","466,140.0","510,891.0","539,856.0","577,326.0","619,160.0","674,222.0","709,529.0","740,551.0","769,822.0","811,212.0","855,253.0","893,970.0","943,475.0","995,032.0","1,076,344.0","1,154,874.0","1,234,731.0","1,302,706.0","1,356,071.0","1,408,175.0","1,493,582.0","1,586,705.0","1,697,902.0","1,798,458.0","1,775,342.0","1,785,977.0"
"40","22","  Consumption expenditures","A991RC1","79,849.0","91,535.0","102,719.0","113,150.0","125,989.0","143,737.0","165,095.0","179,458.0","195,871.0","213,171.0","233,339.0","258,433.0","282,343.0","304,855.0","324,080.0","347,670.0","381,756.0","418,080.0","441,406.0","471,023.0","504,453.0","546,985.0","577,477.0","606,211.0","634,151.0","668,167.0","701,285.0","730,192.0","764,540.0","808,598.0","870,608.0","930,616.0","994,230.0","1,049,382.0","1,096,506.0","1,139,068.0","1,212,029.0","1,282,338.0","1,368,869.0","1,448,179.0","1,424,389.0","1,447,230.0"
"41","23","  Gross investment","A799RC1","28,302.0","28,749.0","30,064.0","30,641.0","33,217.0","39,637.0","43,589.0","43,839.0","42,787.0","49,480.0","56,834.0","63,971.0","64,957.0","64,827.0","66,449.0","74,975.0","84,384.0","92,811.0","98,449.0","106,304.0","114,707.0","127,236.0","132,053.0","134,340.0","135,671.0","143,045.0","153,968.0","163,778.0","178,935.0","186,434.0","205,736.0","224,258.0","240,502.0","253,324.0","259,565.0","269,107.0","281,553.0","304,367.0","329,033.0","350,279.0","350,953.0","338,747.0"
"42","24","    Structures","A842RC1","25,579.0","25,789.0","26,953.0","27,106.0","29,137.0","34,740.0","38,136.0","38,148.0","36,911.0","42,846.0","49,040.0","55,058.0","55,421.0","54,245.0","54,222.0","60,536.0","67,553.0","74,207.0","78,821.0","84,793.0","88,727.0","98,539.0","103,180.0","104,232.0","104,487.0","108,710.0","117,256.0","126,838.0","139,530.0","143,562.0","159,678.0","175,975.0","192,323.0","205,844.0","211,751.0","220,239.0","230,758.0","249,912.0","268,355.0","286,701.0","288,546.0","274,953.0"
"43","25","    Equipment and software","B881RC1","2,723.0","2,960.0","3,111.0","3,535.0","4,080.0","4,897.0","5,453.0","5,691.0","5,876.0","6,634.0","7,794.0","8,913.0","9,536.0","10,582.0","12,227.0","14,439.0","16,831.0","18,604.0","19,628.0","21,511.0","25,980.0","28,697.0","28,873.0","30,108.0","31,184.0","34,335.0","36,712.0","36,940.0","39,405.0","42,872.0","46,058.0","48,283.0","48,179.0","47,480.0","47,814.0","48,868.0","50,795.0","54,455.0","60,678.0","63,579.0","62,407.0","63,794.0"
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
