"","Table 3#11#6# Real National Defense Consumption Expenditures and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1"
"20","1","    National defense consumption expenditures and gross investment","A824RX1","484,046.0","483,186.0","477,404.0","462,374.0","471,392.0","477,818.0","467,682.0","464,674.0","449,747.0","460,344.0","458,114.0","460,630.0","433,205.0","449,791.0","455,383.0","451,799.0","446,331.0","446,557.0","459,788.0","470,675.0","442,840.0","463,268.0","453,741.0","454,098.0","462,088.0","468,549.0","472,810.0","479,332.0","489,662.0","500,934.0","509,417.0","521,163.0","517,093.0","560,721.0","554,094.0","565,069.0","573,490.0","576,509.0","593,219.0","578,449.0","583,557.0","588,021.0","603,725.0","580,885.0","595,614.0","597,197.0","594,302.0","606,500.0","595,327.0","607,325.0","622,296.0","622,360.0","632,747.0","643,417.0","673,017.0","681,566.0","666,775.0","693,213.0","708,255.0","703,777.0","704,396.0","717,060.0","731,791.0","727,696.0","705,431.0"
"21","2","Consumption expenditures \1\","A997RX1","430,031.0","428,842.0","427,080.0","412,125.0","416,614.0","422,996.0","415,720.0","418,806.0","407,814.0","418,138.0","410,158.0","412,847.0","390,469.0","404,630.0","405,025.0","404,839.0","402,653.0","397,903.0","408,316.0","421,429.0","393,370.0","414,372.0","403,424.0","404,298.0","413,320.0","416,361.0","419,223.0","425,263.0","435,721.0","441,588.0","446,462.0","459,554.0","455,403.0","496,202.0","487,648.0","497,085.0","505,584.0","507,036.0","518,905.0","505,904.0","512,509.0","513,555.0","526,879.0","506,405.0","519,178.0","515,937.0","516,728.0","524,460.0","515,868.0","522,335.0","536,777.0","536,963.0","546,984.0","547,354.0","572,982.0","580,967.0","571,695.0","592,633.0","604,039.0","598,504.0","598,944.0","606,817.0","619,808.0","609,069.0","596,938.0"
"22","3","  Gross output of general government","W085RX1","436,245.0","433,681.0","431,730.0","417,671.0","421,567.0","428,520.0","422,152.0","424,559.0","412,526.0","423,452.0","414,731.0","417,128.0","395,499.0","407,616.0","410,694.0","407,696.0","404,772.0","401,940.0","413,766.0","425,310.0","398,782.0","417,428.0","407,534.0","407,001.0","418,848.0","419,692.0","422,933.0","429,516.0","439,931.0","445,433.0","453,380.0","464,124.0","460,032.0","501,675.0","493,112.0","501,407.0","509,858.0","511,764.0","524,787.0","510,252.0","518,009.0","519,025.0","532,734.0","511,016.0","524,578.0","522,344.0","522,516.0","529,001.0","520,772.0","527,086.0","541,522.0","541,999.0","552,269.0","552,726.0","578,355.0","586,266.0","576,984.0","597,853.0","609,398.0","603,815.0","604,318.0","612,190.0","625,315.0","614,687.0","602,521.0"
"23","4","    Value added","W086RX1","301,574.0","298,898.0","296,039.0","290,715.0","288,971.0","288,362.0","286,823.0","283,218.0","281,243.0","278,968.0","278,101.0","275,135.0","273,464.0","271,255.0","270,828.0","268,027.0","266,173.0","265,074.0","265,477.0","265,010.0","263,076.0","263,917.0","263,821.0","263,148.0","263,853.0","264,091.0","264,334.0","264,335.0","267,412.0","269,279.0","270,226.0","269,445.0","274,177.0","277,159.0","277,872.0","278,083.0","280,821.0","280,243.0","282,582.0","284,110.0","284,611.0","283,830.0","284,237.0","284,893.0","281,755.0","281,379.0","284,093.0","284,712.0","282,919.0","282,516.0","285,603.0","286,714.0","289,194.0","292,182.0","298,343.0","303,082.0","306,020.0","311,853.0","317,178.0","320,206.0","322,061.0","323,706.0","325,257.0","327,162.0","329,353.0"
"24","5","      Compensation of general government employees","B237RX1","232,402.0","229,784.0","226,928.0","221,320.0","219,739.0","219,486.0","218,120.0","214,491.0","212,654.0","210,519.0","209,951.0","207,122.0","205,733.0","203,690.0","203,562.0","200,779.0","199,002.0","198,031.0","198,690.0","198,391.0","196,485.0","197,586.0","197,629.0","197,106.0","198,092.0","198,477.0","198,860.0","198,937.0","202,197.0","204,115.0","205,037.0","204,103.0","208,803.0","211,606.0","212,104.0","212,006.0","214,455.0","213,523.0","215,469.0","216,586.0","216,633.0","215,407.0","215,312.0","215,471.0","211,889.0","211,026.0","213,232.0","213,373.0","211,054.0","210,078.0","212,494.0","212,857.0","214,569.0","216,732.0","222,007.0","225,844.0","227,854.0","232,744.0","237,203.0","239,438.0","240,553.0","241,321.0","241,875.0","242,575.0","243,444.0"
"25","6","        Military","B4080X1","147,142.0","145,592.0","143,335.0","141,638.0","140,686.0","139,309.0","138,914.0","137,653.0","136,447.0","135,196.0","135,522.0","134,440.0","133,543.0","132,252.0","132,479.0","131,121.0","129,888.0","129,338.0","130,524.0","130,215.0","130,015.0","130,067.0","131,878.0","132,517.0","133,515.0","133,899.0","133,367.0","134,341.0","138,046.0","138,816.0","139,176.0","138,778.0","143,681.0","147,768.0","147,262.0","146,311.0","148,733.0","147,290.0","147,160.0","148,549.0","148,573.0","146,807.0","146,163.0","146,636.0","143,498.0","142,662.0","144,410.0","143,838.0","142,175.0","141,309.0","143,386.0","143,025.0","145,024.0","146,106.0","150,277.0","153,861.0","155,978.0","159,831.0","162,741.0","162,614.0","163,401.0","163,405.0","162,651.0","162,041.0","162,623.0"
"26","7","        Civilian","W090RX1","84,229.0","83,177.0","82,555.0","78,814.0","78,193.0","79,236.0","78,294.0","76,000.0","75,381.0","74,516.0","73,680.0","72,011.0","71,522.0","70,778.0","70,449.0","69,073.0","68,526.0","68,115.0","67,659.0","67,660.0","66,054.0","67,037.0","65,441.0","64,392.0","64,412.0","64,420.0","65,252.0","64,433.0","64,121.0","65,215.0","65,761.0","65,250.0","65,134.0","63,963.0","64,940.0","65,761.0","65,817.0","66,285.0","68,287.0","68,039.0","68,061.0","68,601.0","69,148.0","68,834.0","68,399.0","68,379.0","68,832.0","69,562.0","68,911.0","68,811.0","69,129.0","69,886.0","69,552.0","70,658.0","71,722.0","71,919.0","71,777.0","72,793.0","74,350.0","76,771.0","77,098.0","77,888.0","79,254.0","80,624.0","80,910.0"
"27","8","      Consumption of general government fixed capital \2\","B432RX1","70,584.0","70,321.0","70,077.0","69,818.0","69,577.0","69,291.0","69,058.0","68,802.0","68,559.0","68,296.0","68,022.0","67,714.0","67,397.0","67,128.0","66,885.0","66,683.0","66,506.0","66,343.0","66,180.0","66,029.0","65,888.0","65,743.0","65,631.0","65,477.0","65,299.0","65,197.0","65,102.0","65,042.0","65,022.0","65,049.0","65,107.0","65,218.0","65,372.0","65,598.0","65,811.0","66,099.0","66,407.0","66,740.0","67,137.0","67,541.0","67,982.0","68,424.0","68,924.0","69,418.0","69,880.0","70,386.0","70,889.0","71,372.0","71,934.0","72,550.0","73,214.0","73,989.0","74,766.0","75,597.0","76,443.0","77,331.0","78,271.0","79,171.0","80,001.0","80,798.0","81,560.0","82,479.0","83,533.0","84,806.0","86,200.0"
"28","9","    Intermediate goods and services purchased \3\","W087RX1","140,786.0","140,696.0","141,287.0","133,121.0","138,051.0","144,843.0","140,360.0","145,577.0","136,323.0","148,238.0","141,018.0","145,705.0","127,353.0","140,374.0","143,558.0","143,220.0","142,139.0","140,474.0","151,109.0","162,192.0","139,246.0","155,884.0","146,766.0","146,874.0","157,269.0","157,854.0","160,665.0","166,843.0","173,934.0","177,466.0","184,176.0","195,184.0","186,712.0","224,507.0","215,473.0","223,371.0","229,051.0","231,521.0","242,118.0","226,246.0","233,427.0","235,193.0","248,449.0","226,143.0","242,911.0","241,011.0","238,415.0","244,293.0","237,747.0","244,641.0","256,190.0","255,527.0","263,417.0","260,820.0","280,380.0","283,574.0","271,019.0","286,377.0","292,651.0","283,844.0","282,435.0","288,761.0","300,523.0","287,751.0","273,168.0"
"29","10","      Durable goods","A998RX1","22,503.0","20,299.0","24,399.0","19,509.0","20,126.0","22,847.0","22,645.0","20,424.0","21,105.0","22,716.0","21,005.0","21,556.0","20,666.0","21,143.0","22,963.0","22,326.0","20,799.0","23,642.0","25,284.0","22,810.0","23,194.0","23,062.0","23,172.0","22,191.0","21,653.0","23,480.0","24,942.0","22,188.0","22,555.0","23,832.0","25,485.0","24,188.0","23,501.0","27,108.0","27,313.0","27,456.0","27,830.0","29,695.0","30,188.0","29,191.0","28,384.0","29,197.0","30,326.0","30,285.0","31,019.0","31,098.0","32,244.0","33,712.0","32,426.0","34,308.0","36,604.0","37,490.0","38,445.0","40,761.0","42,835.0","43,281.0","39,574.0","43,529.0","46,529.0","44,472.0","42,927.0","44,158.0","45,993.0","49,674.0","41,518.0"
"30","11","        Aircraft","B999RX1","10,563.0","7,414.0","10,954.0","8,353.0","9,018.0","9,260.0","9,594.0","9,105.0","9,640.0","10,786.0","8,986.0","10,099.0","9,664.0","10,201.0","10,582.0","11,496.0","10,073.0","11,505.0","12,180.0","10,536.0","11,016.0","10,033.0","10,658.0","9,524.0","9,171.0","10,014.0","11,704.0","9,784.0","9,578.0","10,274.0","10,615.0","10,340.0","9,994.0","12,126.0","11,642.0","12,086.0","11,488.0","11,828.0","12,644.0","12,152.0","10,725.0","10,693.0","10,591.0","10,951.0","10,448.0","9,985.0","10,440.0","12,027.0","9,806.0","10,697.0","11,628.0","12,342.0","11,270.0","12,134.0","12,994.0","13,529.0","13,230.0","14,086.0","14,828.0","15,911.0","13,430.0","14,406.0","15,307.0","17,282.0","14,078.0"
"31","12","        Missiles","B277RX1","2,488.0","3,156.0","3,484.0","2,701.0","2,486.0","3,090.0","3,073.0","2,420.0","2,342.0","2,569.0","2,441.0","2,467.0","2,260.0","1,971.0","3,339.0","2,196.0","2,277.0","2,319.0","2,442.0","2,470.0","2,348.0","2,603.0","2,601.0","2,886.0","2,920.0","2,810.0","2,793.0","2,559.0","2,440.0","2,257.0","2,827.0","2,767.0","2,229.0","2,372.0","2,402.0","2,822.0","2,440.0","3,190.0","2,399.0","2,543.0","2,942.0","3,314.0","3,152.0","3,672.0","3,858.0","4,178.0","3,682.0","3,936.0","4,029.0","4,219.0","4,359.0","4,602.0","4,384.0","4,339.0","4,475.0","4,480.0","4,006.0","4,196.0","5,042.0","4,243.0","4,073.0","4,435.0","4,664.0","4,721.0","3,909.0"
"32","13","        Ships","B278RX1","1,184.0","1,385.0","1,637.0","749.0","715.0","1,343.0","973.0","800.0","1,021.0","1,016.0","1,031.0","924.0","986.0","859.0","898.0","897.0","1,106.0","1,355.0","1,458.0","1,240.0","1,430.0","1,502.0","1,426.0","1,285.0","1,259.0","1,417.0","1,389.0","1,144.0","1,301.0","1,389.0","1,549.0","1,234.0","1,299.0","1,381.0","1,399.0","1,317.0","1,297.0","1,553.0","1,667.0","1,354.0","1,345.0","1,413.0","1,567.0","1,196.0","1,576.0","1,320.0","1,270.0","1,298.0","1,403.0","1,357.0","796.0","838.0","711.0","833.0","782.0","679.0","648.0","719.0","749.0","519.0","687.0","720.0","773.0","739.0","511.0"
"33","14","        Vehicles","B288RX1","1,570.0","1,624.0","1,739.0","1,195.0","1,271.0","1,296.0","1,447.0","1,274.0","1,556.0","1,697.0","1,444.0","1,421.0","1,200.0","1,179.0","1,146.0","1,039.0","878.0","899.0","837.0","833.0","576.0","826.0","735.0","722.0","718.0","752.0","851.0","771.0","771.0","735.0","722.0","782.0","709.0","780.0","803.0","793.0","759.0","738.0","833.0","902.0","916.0","1,015.0","1,272.0","1,289.0","1,412.0","1,562.0","1,803.0","1,855.0","1,878.0","2,313.0","2,444.0","2,578.0","2,604.0","2,953.0","2,887.0","3,529.0","2,191.0","3,503.0","3,779.0","3,824.0","3,845.0","3,912.0","3,478.0","3,731.0","3,277.0"
"34","15","        Electronics","B388RX1","2,174.0","1,993.0","2,237.0","1,803.0","1,886.0","2,431.0","2,326.0","1,934.0","2,108.0","2,203.0","2,286.0","2,052.0","2,176.0","2,106.0","2,165.0","2,062.0","2,201.0","2,513.0","2,714.0","2,441.0","2,713.0","2,875.0","2,563.0","2,801.0","2,710.0","2,880.0","2,848.0","2,895.0","2,982.0","3,199.0","3,359.0","3,115.0","3,396.0","3,749.0","4,145.0","3,563.0","3,992.0","4,459.0","4,461.0","4,598.0","4,604.0","5,098.0","6,073.0","5,712.0","5,947.0","6,015.0","6,684.0","6,452.0","7,028.0","7,541.0","8,337.0","7,901.0","9,542.0","10,413.0","11,378.0","11,290.0","9,898.0","11,145.0","11,916.0","10,554.0","11,303.0","11,000.0","11,204.0","11,272.0","8,696.0"
"35","16","        Other durable goods","B389RX1","4,770.0","4,988.0","4,641.0","4,887.0","4,941.0","5,542.0","5,401.0","5,063.0","4,652.0","4,698.0","4,969.0","4,804.0","4,513.0","4,967.0","5,004.0","4,794.0","4,361.0","5,143.0","5,732.0","5,363.0","5,160.0","5,253.0","5,251.0","5,005.0","4,914.0","5,644.0","5,412.0","5,055.0","5,501.0","5,992.0","6,433.0","5,968.0","5,876.0","6,703.0","6,915.0","6,883.0","7,863.0","7,936.0","8,185.0","7,636.0","7,853.0","7,663.0","7,671.0","7,465.0","7,775.0","8,039.0","8,382.0","8,143.0","8,292.0","8,191.0","9,068.0","9,255.0","9,967.0","10,143.0","10,396.0","9,868.0","9,693.0","9,989.0","10,314.0","9,567.0","9,692.0","9,785.0","10,658.0","12,027.0","11,079.0"
"36","17","      Nondurable goods","A725RX1","11,035.0","11,237.0","11,057.0","9,820.0","11,582.0","12,469.0","12,465.0","11,127.0","12,334.0","11,445.0","12,223.0","11,981.0","11,983.0","11,750.0","13,325.0","12,514.0","12,175.0","13,452.0","16,230.0","13,543.0","16,114.0","15,424.0","13,400.0","13,185.0","13,800.0","15,315.0","14,514.0","16,153.0","16,119.0","17,414.0","16,480.0","18,277.0","19,302.0","19,202.0","15,466.0","18,113.0","21,618.0","20,803.0","22,966.0","17,640.0","19,770.0","21,601.0","22,233.0","19,952.0","20,071.0","19,433.0","21,811.0","19,201.0","21,114.0","20,917.0","22,272.0","19,189.0","20,165.0","21,199.0","22,186.0","21,493.0","20,783.0","22,691.0","25,026.0","20,608.0","20,482.0","21,196.0","22,145.0","21,162.0","21,125.0"
"37","18","        Petroleum products","B780RX1","9,212.0","8,363.0","9,291.0","7,502.0","9,275.0","8,819.0","9,583.0","7,068.0","7,859.0","8,113.0","7,747.0","7,471.0","7,868.0","7,836.0","7,678.0","7,067.0","7,574.0","8,704.0","10,780.0","6,615.0","8,673.0","7,680.0","7,587.0","7,140.0","8,549.0","8,630.0","8,938.0","10,207.0","9,848.0","10,609.0","9,430.0","11,970.0","13,242.0","10,547.0","5,727.0","8,568.0","12,026.0","10,320.0","12,500.0","6,624.0","8,458.0","11,046.0","11,246.0","9,602.0","9,269.0","9,263.0","11,423.0","8,811.0","9,921.0","10,308.0","10,975.0","9,075.0","9,160.0","10,167.0","10,717.0","9,642.0","9,293.0","9,905.0","11,826.0","9,216.0","8,561.0","9,372.0","10,814.0","9,564.0","9,634.0"
"38","19","        Ammunition","B781RX1","1,287.0","1,486.0","1,277.0","1,087.0","1,535.0","1,626.0","1,235.0","1,619.0","2,095.0","1,639.0","1,814.0","1,841.0","1,742.0","1,589.0","2,779.0","2,258.0","1,879.0","2,015.0","2,587.0","2,036.0","1,827.0","1,758.0","2,349.0","2,165.0","2,094.0","2,363.0","2,416.0","2,375.0","2,556.0","2,943.0","3,016.0","2,734.0","2,360.0","3,032.0","3,107.0","3,138.0","3,644.0","3,757.0","3,937.0","3,922.0","3,756.0","3,957.0","4,222.0","3,949.0","4,000.0","3,856.0","3,789.0","3,958.0","3,840.0","3,360.0","3,975.0","3,438.0","3,904.0","3,417.0","3,750.0","3,886.0","3,252.0","3,670.0","3,538.0","3,665.0","3,700.0","3,740.0","3,245.0","3,518.0","3,333.0"
"39","20","        Other nondurable goods","B783RX1","2,678.0","2,908.0","2,663.0","2,697.0","2,736.0","3,462.0","3,524.0","3,304.0","3,328.0","3,035.0","3,550.0","3,478.0","3,455.0","3,478.0","3,309.0","3,482.0","3,482.0","3,791.0","4,318.0","4,699.0","5,834.0","5,926.0","3,871.0","4,167.0","3,882.0","4,740.0","3,948.0","4,592.0","4,563.0","4,776.0","4,575.0","4,860.0","5,225.0","6,079.0","5,778.0","6,165.0","6,387.0","6,648.0","6,748.0","6,734.0","7,363.0","6,636.0","6,823.0","6,497.0","6,904.0","6,361.0","6,470.0","6,412.0","7,345.0","7,237.0","7,299.0","6,789.0","7,406.0","7,656.0","7,677.0","8,237.0","8,512.0","9,333.0","9,977.0","7,960.0","8,515.0","8,318.0","8,208.0","8,325.0","8,387.0"
"40","21","      Services","A489RX1","106,263.0","108,773.0","104,412.0","103,149.0","106,006.0","108,823.0","104,534.0","113,658.0","102,424.0","113,257.0","107,445.0","111,692.0","94,334.0","106,940.0","106,884.0","107,822.0","108,729.0","102,909.0","109,626.0","125,538.0","100,072.0","117,459.0","109,856.0","111,241.0","121,715.0","119,036.0","120,855.0","128,747.0","135,373.0","136,544.0","142,099.0","152,972.0","144,470.0","178,177.0","171,926.0","177,436.0","179,839.0","180,972.0","189,070.0","179,161.0","185,176.0","184,401.0","195,916.0","175,971.0","191,942.0","190,623.0","184,249.0","191,418.0","184,138.0","189,368.0","197,279.0","199,353.0","205,349.0","199,186.0","215,905.0","219,559.0","211,154.0","220,712.0","221,727.0","219,448.0","219,621.0","224,016.0","233,013.0","217,978.0","210,855.0"
"41","22","        Research and development","B784RX1","32,758.0","30,381.0","32,371.0","30,510.0","33,780.0","36,165.0","36,232.0","31,082.0","31,224.0","36,836.0","34,057.0","35,605.0","30,633.0","31,943.0","32,715.0","33,993.0","34,789.0","28,692.0","31,072.0","34,009.0","31,924.0","31,762.0","27,727.0","33,560.0","32,708.0","33,744.0","33,726.0","35,159.0","37,000.0","41,370.0","38,336.0","48,053.0","39,345.0","54,116.0","43,571.0","50,362.0","51,146.0","54,745.0","53,052.0","52,916.0","53,864.0","56,972.0","55,050.0","49,870.0","56,801.0","56,374.0","53,610.0","56,642.0","55,099.0","54,039.0","51,268.0","51,781.0","52,762.0","53,771.0","53,466.0","59,870.0","52,540.0","55,145.0","54,326.0","53,262.0","53,231.0","53,090.0","53,078.0","50,272.0","49,186.0"
"42","23","        Installation support","B911RX1","32,826.0","33,588.0","31,574.0","31,655.0","31,941.0","33,164.0","31,878.0","33,414.0","31,046.0","32,046.0","31,296.0","31,199.0","28,360.0","30,744.0","30,801.0","28,756.0","29,117.0","29,622.0","30,138.0","33,408.0","28,415.0","31,873.0","31,507.0","30,111.0","32,282.0","31,376.0","32,354.0","33,190.0","34,707.0","33,564.0","35,443.0","35,885.0","35,408.0","38,224.0","40,881.0","40,961.0","38,544.0","37,056.0","39,086.0","35,426.0","33,875.0","34,271.0","37,545.0","35,632.0","35,096.0","35,991.0","33,949.0","35,973.0","33,225.0","33,569.0","34,657.0","35,062.0","36,467.0","35,166.0","39,461.0","39,933.0","40,554.0","42,086.0","41,890.0","40,846.0","40,033.0","39,898.0","41,584.0","37,915.0","35,132.0"
