"","Table 2#7B# Wage and Salary Disbursements by Industry, Monthly  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"2001","2001","2001","2001","2001","2001","2001","2001","2001","2001","2001","2001","2002","2002","2002","2002","2002","2002","2002","2002","2002","2002","2002","2002","2003","2003","2003","2003","2003","2003","2003","2003","2003","2003","2003","2003","2004","2004","2004","2004","2004","2004","2004","2004","2004","2004","2004","2004","2005","2005","2005","2005","2005","2005","2005","2005","2005","2005","2005","2005","2006","2006","2006","2006","2006","2006","2006","2006","2006","2006","2006","2006","2007","2007","2007","2007","2007","2007","2007","2007","2007","2007","2007","2007","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2009","2009","2009","2009","2009","2009","2009","2009","2009","2009","2009","2009","2010","2010","2010","2010","2010","2010","2010","2010","2010","2010","2010","2010","2011","2011","2011","2011"
"19",NA,NA,NA,"1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4"
"20","1","    Wage and salary disbursements","A576RC1","4,965,381.0","4,994,495.0","5,004,477.0","4,974,174.0","4,957,760.0","4,952,338.0","4,941,886.0","4,931,506.0","4,923,892.0","4,918,070.0","4,925,974.0","4,936,470.0","4,951,966.0","4,960,132.0","4,978,572.0","4,987,805.0","4,999,232.0","5,021,936.0","4,998,336.0","5,007,149.0","5,013,396.0","5,009,758.0","5,016,266.0","5,023,132.0","5,031,470.0","5,047,035.0","5,070,185.0","5,078,443.0","5,116,660.0","5,134,488.0","5,137,466.0","5,160,225.0","5,181,046.0","5,215,909.0","5,253,530.0","5,248,724.0","5,266,055.0","5,273,413.0","5,298,717.0","5,340,283.0","5,398,285.0","5,416,705.0","5,464,872.0","5,498,453.0","5,518,375.0","5,541,302.0","5,537,248.0","5,554,581.0","5,575,472.0","5,586,509.0","5,590,562.0","5,626,361.0","5,648,137.0","5,680,492.0","5,739,756.0","5,756,838.0","5,778,428.0","5,795,755.0","5,806,400.0","5,827,080.0","5,935,154.0","5,989,889.0","6,011,642.0","6,031,179.0","6,002,139.0","6,022,476.0","6,051,647.0","6,067,303.0","6,107,351.0","6,152,313.0","6,195,390.0","6,260,234.0","6,317,117.0","6,359,627.0","6,382,635.0","6,378,084.0","6,374,676.0","6,395,632.0","6,411,857.0","6,411,522.0","6,459,310.0","6,475,038.0","6,523,864.0","6,571,332.0","6,583,115.0","6,590,427.0","6,614,293.0","6,579,612.0","6,572,413.0","6,573,247.0","6,560,909.0","6,576,765.0","6,565,925.0","6,564,054.0","6,520,428.0","6,407,334.0","6,307,290.0","6,248,198.0","6,224,578.0","6,276,879.0","6,301,751.0","6,284,338.0","6,259,579.0","6,274,451.0","6,257,633.0","6,272,055.0","6,291,234.0","6,291,454.0","6,291,304.0","6,284,835.0","6,298,119.0","6,362,374.0","6,403,710.0","6,400,387.0","6,428,189.0","6,447,998.0","6,454,966.0","6,475,603.0","6,462,841.0","6,476,267.0","6,499,780.0","6,525,502.0","6,547,414.0","6,574,984.0"
"21","2","Private industries","A132RC1","4,165,593.0","4,189,271.0","4,196,277.0","4,162,698.0","4,143,116.0","4,132,186.0","4,117,066.0","4,103,002.0","4,091,920.0","4,082,570.0","4,086,226.0","4,093,890.0","4,093,210.0","4,098,292.0","4,114,440.0","4,121,177.0","4,128,476.0","4,148,204.0","4,122,888.0","4,128,305.0","4,134,252.0","4,129,078.0","4,133,426.0","4,138,576.0","4,132,458.0","4,142,896.0","4,163,074.0","4,169,568.0","4,203,394.0","4,215,171.0","4,220,678.0","4,244,853.0","4,266,346.0","4,297,633.0","4,333,634.0","4,325,576.0","4,330,060.0","4,333,501.0","4,353,341.0","4,386,881.0","4,447,400.0","4,464,332.0","4,511,003.0","4,542,449.0","4,560,727.0","4,581,038.0","4,573,876.0","4,589,985.0","4,594,592.0","4,603,625.0","4,607,006.0","4,640,777.0","4,660,417.0","4,690,960.0","4,746,960.0","4,762,950.0","4,781,744.0","4,797,967.0","4,804,748.0","4,822,176.0","4,919,642.0","4,970,837.0","4,989,158.0","5,005,695.0","4,973,967.0","4,991,184.0","5,015,615.0","5,027,227.0","5,060,519.0","5,102,865.0","5,143,002.0","5,205,194.0","5,245,037.0","5,282,363.0","5,302,851.0","5,297,340.0","5,292,456.0","5,310,640.0","5,324,321.0","5,319,030.0","5,361,598.0","5,374,854.0","5,419,828.0","5,462,040.0","5,460,875.0","5,463,063.0","5,482,801.0","5,445,012.0","5,434,573.0","5,431,003.0","5,413,961.0","5,425,965.0","5,410,925.0","5,405,214.0","5,359,716.0","5,247,654.0","5,139,114.0","5,081,234.0","5,057,002.0","5,103,339.0","5,125,175.0","5,105,722.0","5,082,799.0","5,098,031.0","5,084,105.0","5,097,231.0","5,116,182.0","5,116,654.0","5,107,558.0","5,099,651.0","5,110,534.0","5,172,226.0","5,207,826.0","5,207,023.0","5,236,313.0","5,264,006.0","5,275,042.0","5,291,455.0","5,278,765.0","5,290,979.0","5,313,136.0","5,338,462.0","5,359,078.0","5,386,360.0"
"22","3","  Goods-producing industries","N231RC1","1,070,414.0","1,073,465.0","1,073,500.0","1,064,092.0","1,053,393.0","1,044,289.0","1,042,511.0","1,028,723.0","1,023,682.0","1,018,454.0","1,016,376.0","1,016,901.0","1,013,102.0","1,015,788.0","1,019,853.0","1,016,393.0","1,017,478.0","1,019,380.0","1,010,944.0","1,007,492.0","1,006,935.0","1,002,422.0","1,002,175.0","1,006,367.0","1,001,922.0","1,001,211.0","1,005,200.0","998,502.0","1,005,139.0","1,006,713.0","997,064.0","1,003,580.0","1,014,297.0","1,027,607.0","1,039,417.0","1,032,093.0","1,022,202.0","1,018,091.0","1,022,740.0","1,033,978.0","1,051,983.0","1,055,957.0","1,067,711.0","1,076,834.0","1,078,927.0","1,075,124.0","1,072,664.0","1,076,609.0","1,080,709.0","1,082,755.0","1,082,289.0","1,088,662.0","1,094,025.0","1,099,316.0","1,113,348.0","1,121,376.0","1,121,088.0","1,123,792.0","1,116,413.0","1,117,114.0","1,156,746.0","1,177,910.0","1,179,947.0","1,175,796.0","1,167,372.0","1,167,086.0","1,167,665.0","1,169,567.0","1,172,106.0","1,183,325.0","1,189,514.0","1,204,516.0","1,209,119.0","1,203,675.0","1,207,245.0","1,214,368.0","1,210,375.0","1,208,209.0","1,210,488.0","1,202,870.0","1,217,378.0","1,212,193.0","1,227,812.0","1,237,359.0","1,225,395.0","1,218,326.0","1,233,799.0","1,216,606.0","1,223,694.0","1,227,079.0","1,210,453.0","1,209,337.0","1,198,876.0","1,192,153.0","1,186,536.0","1,149,168.0","1,118,459.0","1,101,866.0","1,080,182.0","1,072,065.0","1,064,304.0","1,052,507.0","1,045,742.0","1,050,866.0","1,043,520.0","1,040,794.0","1,050,484.0","1,046,876.0","1,037,444.0","1,028,837.0","1,030,288.0","1,045,743.0","1,062,944.0","1,054,150.0","1,061,742.0","1,068,810.0","1,070,470.0","1,070,125.0","1,067,950.0","1,069,650.0","1,082,183.0","1,083,157.0","1,090,679.0","1,097,013.0"
"23","4","    Manufacturing","N552RC1","739,494.0","738,046.0","735,978.0","732,573.0","721,906.0","713,086.0","711,798.0","698,866.0","695,236.0","691,313.0","689,018.0","686,477.0","680,359.0","680,988.0","685,121.0","684,648.0","687,585.0","688,992.0","680,056.0","676,216.0","675,231.0","672,213.0","671,113.0","673,047.0","669,144.0","669,298.0","672,945.0","665,643.0","670,552.0","670,928.0","662,393.0","666,694.0","674,020.0","684,676.0","693,188.0","685,155.0","676,332.0","671,731.0","672,555.0","680,168.0","692,049.0","692,451.0","700,755.0","707,320.0","709,123.0","706,681.0","703,260.0","704,631.0","706,096.0","703,115.0","700,754.0","704,745.0","708,146.0","709,173.0","715,281.0","718,338.0","716,102.0","719,905.0","712,104.0","710,769.0","731,947.0","742,318.0","742,126.0","739,895.0","733,517.0","732,664.0","733,742.0","733,958.0","734,471.0","741,697.0","743,275.0","754,474.0","755,803.0","751,590.0","752,131.0","755,777.0","751,434.0","747,559.0","749,590.0","743,651.0","751,571.0","746,261.0","757,389.0","763,618.0","752,601.0","746,739.0","755,562.0","744,099.0","750,449.0","757,418.0","746,417.0","745,480.0","737,037.0","729,995.0","726,855.0","702,013.0","685,876.0","681,336.0","668,718.0","665,609.0","660,161.0","651,507.0","647,719.0","651,834.0","649,746.0","652,007.0","662,297.0","660,588.0","655,589.0","650,953.0","651,340.0","664,557.0","679,626.0","673,142.0","679,307.0","682,334.0","684,375.0","686,257.0","685,620.0","688,836.0","697,295.0","696,630.0","703,171.0","704,004.0"
"24","5","  Services-producing industries","N233RC1","3,095,179.0","3,115,806.0","3,122,777.0","3,098,606.0","3,089,724.0","3,087,897.0","3,074,555.0","3,074,280.0","3,068,238.0","3,064,116.0","3,069,851.0","3,076,988.0","3,080,108.0","3,082,504.0","3,094,587.0","3,104,785.0","3,110,998.0","3,128,824.0","3,111,944.0","3,120,813.0","3,127,317.0","3,126,656.0","3,131,250.0","3,132,209.0","3,130,536.0","3,141,685.0","3,157,873.0","3,171,065.0","3,198,254.0","3,208,458.0","3,223,614.0","3,241,272.0","3,252,049.0","3,270,026.0","3,294,217.0","3,293,483.0","3,307,858.0","3,315,411.0","3,330,601.0","3,352,902.0","3,395,417.0","3,408,375.0","3,443,292.0","3,465,615.0","3,481,800.0","3,505,914.0","3,501,212.0","3,513,375.0","3,513,882.0","3,520,870.0","3,524,716.0","3,552,115.0","3,566,392.0","3,591,644.0","3,633,612.0","3,641,575.0","3,660,656.0","3,674,175.0","3,688,335.0","3,705,062.0","3,762,895.0","3,792,928.0","3,809,211.0","3,829,899.0","3,806,595.0","3,824,098.0","3,847,950.0","3,857,660.0","3,888,413.0","3,919,540.0","3,953,489.0","4,000,678.0","4,035,917.0","4,078,688.0","4,095,606.0","4,082,972.0","4,082,081.0","4,102,431.0","4,113,833.0","4,116,161.0","4,144,220.0","4,162,662.0","4,192,016.0","4,224,681.0","4,235,480.0","4,244,737.0","4,249,002.0","4,228,406.0","4,210,879.0","4,203,924.0","4,203,508.0","4,216,628.0","4,212,049.0","4,213,061.0","4,173,179.0","4,098,486.0","4,020,656.0","3,979,368.0","3,976,820.0","4,031,274.0","4,060,872.0","4,053,216.0","4,037,057.0","4,047,165.0","4,040,586.0","4,056,437.0","4,065,698.0","4,069,778.0","4,070,113.0","4,070,814.0","4,080,246.0","4,126,483.0","4,144,881.0","4,152,873.0","4,174,571.0","4,195,196.0","4,204,572.0","4,221,331.0","4,210,815.0","4,221,329.0","4,230,953.0","4,255,305.0","4,268,399.0","4,289,347.0"
"25","6","    Trade, transportation, and utilities","N234RC1","852,535.0","852,914.0","854,075.0","849,627.0","848,493.0","848,692.0","844,350.0","842,771.0","841,634.0","838,456.0","840,045.0","839,783.0","840,754.0","840,857.0","845,812.0","844,684.0","848,008.0","850,963.0","848,603.0","848,330.0","848,604.0","844,958.0","847,317.0","849,530.0","849,749.0","853,669.0","858,208.0","856,320.0","857,926.0","857,344.0","858,240.0","864,991.0","868,773.0","877,471.0","880,756.0","875,945.0","878,345.0","879,773.0","881,660.0","890,632.0","900,495.0","904,613.0","913,162.0","917,774.0","922,740.0","926,438.0","922,292.0","926,175.0","927,663.0","929,686.0","928,712.0","936,120.0","938,000.0","942,710.0","953,390.0","952,807.0","953,140.0","955,098.0","956,545.0","961,498.0","974,949.0","984,923.0","987,735.0","993,069.0","985,426.0","989,634.0","996,302.0","996,496.0","1,000,521.0","1,007,892.0","1,013,236.0","1,021,689.0","1,022,469.0","1,033,423.0","1,042,313.0","1,044,260.0","1,044,972.0","1,050,664.0","1,046,055.0","1,039,808.0","1,045,240.0","1,052,595.0","1,059,629.0","1,060,542.0","1,059,565.0","1,061,522.0","1,061,985.0","1,057,695.0","1,054,366.0","1,054,447.0","1,052,167.0","1,053,735.0","1,050,030.0","1,049,728.0","1,036,791.0","1,018,548.0","1,008,368.0","996,730.0","985,803.0","988,534.0","994,476.0","986,743.0","982,641.0","988,801.0","989,394.0","988,884.0","988,232.0","987,572.0","987,899.0","986,414.0","989,606.0","1,002,735.0","1,007,152.0","1,006,246.0","1,014,104.0","1,017,627.0","1,020,254.0","1,020,908.0","1,014,873.0","1,019,200.0","1,019,429.0","1,024,780.0","1,029,370.0","1,036,550.0"
