"","Table 5#7#6B# Real Private Inventories and Real Domestic Final S","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36"
"11","3","Mining, utilities, and construction","N238RX1",NA,NA,NA,33.6,33.7,35.1,36.3,36.1,37.8,39.6,40.9,43.3,44,44.2,43.6,42.7,43.7,43,43.1,41.1,43.3,47.3,50,52.2,52.1,51.5,50.9,50.1,48.3,47.8,47.7,48,46.5
"12","4","Manufacturing","N376RX1",NA,NA,NA,409.9,413.6,419.4,424.8,430.7,439.1,443.9,446.7,449.3,452.7,454.8,458.8,466.3,465.6,470.6,471.5,474.2,471.9,465.1,457.2,450.7,446.4,443.5,444.1,443.2,440.2,436.4,432.4,430.1,430.2
"13","5","  Durable goods industries","N377RX1",NA,NA,NA,248.3,250.8,254.9,258.7,262,269.3,274.1,277.3,279.9,282,282,284.3,288.4,287.1,290.8,291.7,295.7,294.4,289.8,282.4,275.8,270.5,267.3,265.7,266.2,262.8,259.3,255.4,255.1,254.2
"14","6","  Nondurable goods industries","N378RX1",NA,NA,NA,161.9,163.1,164.8,166.4,169,170,169.8,169.4,169.4,170.6,172.7,174.4,177.8,178.5,179.8,179.8,178.5,177.4,175.4,174.7,174.9,175.9,176.3,178.4,177,177.3,176.9,176.9,174.8,175.9
"15","7","Wholesale trade","N379RX1",NA,NA,NA,273.3,278.8,287,291,298.3,305.5,308.1,315.6,320.9,325.9,328.1,334.1,340.6,345.4,351.6,355.3,358.2,358.2,357.9,352.6,345.5,342.3,341.2,343.2,344.8,343.6,342.5,342.1,343.1,344.6
"16","8","  Durable goods industries","N380RX1",NA,NA,NA,164.3,168.1,174.9,176.7,180.6,186.7,187.9,193,197.3,200.5,203,205.9,210.6,213.8,219.6,221,222.6,222.8,218.2,212.2,205.5,202.1,200.7,202.9,203.9,204.1,202.8,200.9,203.2,205.4
"17","9","  Nondurable goods industries","N381RX1",NA,NA,NA,109.3,111.1,112.3,114.5,118,119,120.4,122.9,123.6,125.4,125.1,128.2,129.9,131.6,132.1,134.2,135.6,135.5,139.6,140.2,139.9,140,140.2,140,140.6,139.4,139.5,140.9,139.7,139.1
"18","10","Retail trade","N382RX1",NA,NA,NA,325.9,325.4,330.8,335.6,340.6,350.4,353.2,355.7,357.9,366.3,369.5,373.7,385.5,387.6,396.7,402.4,407.1,406,402.3,401.8,396,396.9,401.7,408.6,415.2,422,425.8,428.6,432.1,439.3
"19","11","  Motor vehicle and parts dealers","N864RX1",NA,NA,NA,101.5,100.5,101.7,103.5,106.6,110.4,110.3,109.4,108.9,114.2,114.3,116.2,121.9,123,129.1,133.1,134.2,131.8,129.8,129.5,125.4,126.4,129.6,133.2,138.3,143.1,146.9,147.2,148.3,153.9
"20","12","  Food and beverage stores","N239RX1",NA,NA,NA,28.5,28.5,28.5,29,28.8,29.4,29.9,29.9,30.1,30.5,30.7,31.4,31.9,32,31.5,31.7,31.8,32.1,32.2,32.3,32.3,31.9,32,32.5,32.4,32.6,32.3,32.7,32,32.1
"21","13","  General merchandise stores","N240RX1",NA,NA,NA,58.9,58.2,59,58.6,59,59.5,59.7,60.3,59.9,60.4,60.7,61.3,62.6,62.8,63.3,63,63.7,65.5,65.5,65,63.6,62.8,62.8,63.6,64.8,64.8,64.7,64.7,65.8,66.5
"22","14","  Other retail stores","N865RX1",NA,NA,NA,137.2,138.3,141.7,144.5,146.1,151.1,153.3,156.1,159,161.2,163.8,164.7,169,169.8,172.7,174.6,177.5,176.6,174.8,175,174.7,175.8,177.4,179.4,179.9,181.7,182.1,184.2,186.4,187.4
"23","15","Other industries","N385RX1",NA,NA,NA,82.7,84.9,86,86.8,88.1,88.9,90.2,91.6,94,96,98.3,100.1,101.3,104.6,108.1,112.5,113.7,114.1,113.9,113.6,113.2,112.8,113.6,113.7,113.5,113,114.1,114.3,114.4,114.8
"24","16","Residual","N968RX1",NA,NA,NA,-1,-1.1,-0.9,-1,-0.9,-0.9,-0.9,-0.9,-0.8,-0.5,-0.4,-0.1,0.3,-0.2,0,0.1,-0.1,0.2,0.5,0.7,0.6,0.6,0.5,0.5,0.4,0.1,0.1,0.1,-0.3,-1.3
"25",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","17","  Private inventories","A371RX1",NA,NA,NA,1251.6,1260.2,1283.8,1301.9,1322.7,1351.9,1364.5,1380.6,1395.3,1415.2,1425.6,1438.3,1464.2,1470.9,1495.7,1509.8,1520.7,1521.7,1514.5,1503.5,1484.7,1478.8,1476.8,1485,1490.4,1490.8,1489.6,1487.4,1489.6,1496
"27","18","    Durable goods industries","N241RX1",NA,NA,NA,572,578.1,591.3,599.7,610.5,629.2,636.2,644.7,652.9,665,668.7,676.7,693.3,697.8,714.6,721.9,729.3,726.2,714.7,701.5,684.5,678.5,677.5,682.5,690.7,693.5,693.2,689.2,694.1,701.8
"28","19","    Nondurable goods industries","N242RX1",NA,NA,NA,680.5,683,693.2,702.9,712.9,723.2,728.8,736.3,742.8,750.3,757.2,761.7,770.9,773.1,781.1,787.9,791.3,795.5,799.6,801.7,799.8,799.9,798.9,802.1,799.4,797.2,796.3,797.9,795.6,794.6
"29","20","  Nonfarm industries","A373RX1",NA,NA,NA,1125.2,1136.4,1158.3,1174.3,1193.7,1221.6,1234.8,1250.3,1264.9,1284.6,1294.7,1310.1,1336.4,1346.8,1370.1,1384.8,1394.3,1393.7,1387,1375.5,1358,1350.8,1351.9,1360.9,1367.2,1367.3,1366.7,1365.2,1367.7,1375.2
"30","21","  Wholesale trade","N379RX1",NA,NA,NA,273.3,278.8,287,291,298.3,305.5,308.1,315.6,320.9,325.9,328.1,334.1,340.6,345.4,351.6,355.3,358.2,358.2,357.9,352.6,345.5,342.3,341.2,343.2,344.8,343.6,342.5,342.1,343.1,344.6
"31","22","    Merchant wholesale trade","N802RX1",NA,NA,NA,231.8,236.5,243.6,247.5,254.1,260.5,263.1,270.2,274.4,278.9,280.4,285.8,292,296.5,302,304.8,307,307,307,303.2,297,294.2,293.1,294.2,295.4,295.3,294.2,294.3,295.1,296.4
"32","23","      Durable goods industries","N803RX1",NA,NA,NA,141.5,144.6,150.7,152.5,156,161.4,162.7,167.3,170.8,173.7,175.4,178.2,182.8,185.8,191.1,191.9,192.8,193,188.6,183.9,177.9,174.8,173.4,175,175.8,176.8,175.7,174.3,176.4,178.5
"33","24","      Nondurable goods industries","N804RX1",NA,NA,NA,90.5,92.1,93.1,95.1,98.2,99.2,100.5,103,103.6,105.3,104.9,107.6,109.2,110.7,110.9,113,114.2,114.1,118.3,119.1,118.8,119.1,119.4,118.9,119.3,118.3,118.3,119.7,118.5,117.9
"34","25","    Nonmerchant wholesale trade","N805RX1",NA,NA,NA,41.6,42.5,43.5,43.6,44.3,45.1,45.1,45.5,46.5,47,47.8,48.4,48.6,48.9,49.6,50.5,51.1,51.2,50.9,49.4,48.5,48.1,48.1,49,49.4,48.3,48.3,47.9,47.9,48.2
"35","26","    Final sales of domestic business \2\","A809RX1",NA,NA,NA,488.3,492.7,496.3,506.2,509.2,513.5,521.7,527.5,538,541.5,549.9,556,563.4,571.2,575,577.5,581,581.5,581.2,578.5,582.4,586.3,587.2,589.1,589.2,594,597.8,614.8,621.4,627.3
"36","27","    Final sales of goods and structures of domestic business \2\","A810RX1",NA,NA,NA,301.2,304.6,306.2,314.1,315.5,318.2,323.7,328.6,337.5,337.8,343.5,346.8,352.3,357.8,359.3,360.3,361.6,362.4,361.6,358.5,361.7,362.6,360.3,361.1,360.4,364.9,367.5,382.8,386.8,389.8
"37",NA,"Ratios of private inventories to final sales of domestic business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","28","Private inventories to final sales","A811RX2",NA,NA,NA,2.56,2.56,2.59,2.57,2.6,2.63,2.62,2.62,2.59,2.61,2.59,2.59,2.6,2.58,2.6,2.61,2.62,2.62,2.61,2.6,2.55,2.52,2.52,2.52,2.53,2.51,2.49,2.42,2.4,2.38
"39","29","Nonfarm inventories to final sales","A812RX2",NA,NA,NA,2.3,2.31,2.33,2.32,2.34,2.38,2.37,2.37,2.35,2.37,2.35,2.36,2.37,2.36,2.38,2.4,2.4,2.4,2.39,2.38,2.33,2.3,2.3,2.31,2.32,2.3,2.29,2.22,2.2,2.19
"40","30","Nonfarm inventories to final sales of goods and structures","A813RX2",NA,NA,NA,3.74,3.73,3.78,3.74,3.78,3.84,3.82,3.81,3.75,3.8,3.77,3.78,3.79,3.76,3.81,3.84,3.86,3.85,3.84,3.84,3.75,3.73,3.75,3.77,3.79,3.75,3.72,3.57,3.54,3.53
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1. Inventories are as of the end of the quarter.  The quarter-to-quarter changes calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","from this table are at quarterly rates, whereas the change in private inventories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","component of GDP is stated at annual rates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2. Quarterly totals at monthly rates.  Final sales of domestic business equals final sales of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","domestic product less gross value added of households and institutions and of general government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","and it includes a small amount of final sales by farm and by government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Chained (2000) dollar inventory series are calculated to ensure that the chained (2000) dollar change in inventories for 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","equals the current-dollar change in inventories for 2000 and that the average of the 1999 and 2000 end-of-year chain-weighted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","and fixed-weighted inventories are equal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
