"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2003",NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 25, 2004     ",NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/23/2004 4:09:13 PM",NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003
"8","1","      National income without capital consumption adjustment","A422RC1",7661.4,8122.9,8687.4,8843.7,9016.8,9343.9
"9","2","Domestic industries","A423RC1",7640.1,8089.2,8648.5,8808.6,8995.3,9300.2
"10","3","  Private industries","A736RC1",6724.6,7134.9,7642.8,7754.9,7879.3,8130.4
"11","4","    Agriculture, forestry, fishing, and hunting","N5004C1",78.5,73.6,70.1,75.4,73,76.7
"12","5","    Mining","N5005C1",72.6,69.3,93.8,101,83,95
"13","6","    Utilities","N5006C1",138.6,142.6,144.3,145.9,153.1,158.6
"14","7","    Construction","N5007C1",366.6,408.7,440.6,466.8,468,480.3
"15","8","    Manufacturing","N5008C1",1112.1,1150.3,1228.5,1094.8,1093.7,1124.3
"16","9","      Durable goods","N5009C1",672.5,695,744,620,633.2,647.3
"17","10","      Nondurable goods","N5010C1",439.5,455.3,484.5,474.8,460.4,477
"18","11","    Wholesale trade","N5011C1",505.4,537.1,563.8,556.6,555.1,567.9
"19","12","    Retail trade","N5012C1",591.1,626.8,665.3,692.4,710.3,728.2
"20","13","    Transportation and warehousing","N5013C1",235.3,247.4,261.2,252.7,250.2,263.8
"21","14","    Information","N5014C1",273.7,302.8,308.3,302.6,291.7,306.6
"22","15","    Finance, insurance, real estate, rental, and leasing","N5015C1",1328.5,1396.3,1529.3,1627,1700.8,1748.1
"23","16","    Professional and business services \1\","N5016C1",975.1,1072.2,1151.6,1177.3,1164.2,1187
"24","17","    Educational services, health care, and social assistance","N5017C1",582.7,615.8,664.6,720.7,771.6,815.5
"25","18","    Arts, entertainment, recreation, accommodation, and food services","N5018C1",267.9,289.1,310.5,316.2,325.7,332.8
"26","19","    Other services, except government","N5019C1",196.6,202.9,215.8,225.5,238.9,245.7
"27","20","  Government","B436RC1",915.5,954.3,1005.7,1053.7,1115.9,1169.8
"28","21","Rest of the world","A192RC1",21.3,33.8,38.9,35.2,21.5,43.7
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA
"31","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA
"32","Note. Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA
"33","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA
