"","Table 5#8#5B# Gross Government Fixed Investment by Type","F2","F3","F4","F5","F6","F7","F8","F9"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2002",NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 12, 2004    ",NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/23/2004 4:08:50 PM",NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002
"8","1","      Gross government fixed investment \1\","A782RC1",252.2,262.4,286.8,304.5,317,337.1
"9","2","        Federal","A787RC1",73.2,75.8,80.7,79.5,81.2,88.7
"10","3","          National defense","A788RC1",44.9,45,47.7,48.8,50.2,55.7
"11","4","          Nondefense","A798RC1",28.3,30.8,33,30.7,31,33
"12","5","        State and local","A799RC1",178.9,186.5,206,225,235.8,248.4
"13","6","Structures \2\","A760RC1",155,159.3,175.3,189.3,198.8,212.4
"14","7","  Federal","A801RC1",15.5,15.7,15.6,13.3,13,14.3
"15","8","    National defense","A808RC1",5.7,5.1,5,5,4.6,4.4
"16","9","      New","A814RC1",5.7,5.1,5,5,4.6,4.4
"17","10","        Residential","B816RC1",1.4,1.4,1.3,1.3,1.5,1.5
"18","11","        Industrial","B817RC1",0.5,0.2,0.2,0.3,0.4,0.2
"19","12","        Military facilities \3\","B818RC1",3.9,3.5,3.4,3.4,2.7,2.7
"20","13","      Net purchases of used structures","B819RC1",0,0,0,0,0,0
"21","14","    Nondefense","A830RC1",9.8,10.6,10.6,8.3,8.4,9.9
"22","15","      New","A831RC1",10.2,9.9,9.8,9.5,9.3,9.7
"23","16","        Residential","ZZZZZZ1",NA,NA,NA,NA,NA,NA
"24","17","        Office","W182RC1",1.9,1.9,1.8,1.6,1.3,1.5
"25","18","        Commercial","W183RC1",0.7,0.8,0.9,0.8,0.6,0.4
"26","19","        Health care","W184RC1",1.3,1,0.9,0.8,0.8,1
"27","20","        Educational","W185RC1",0.4,0.3,0.3,0.4,0.4,0.5
"28","21","        Public safety","W186RC1",2,2,1.9,1.7,1.4,1.3
"29","22","        Amusement and recreation","W187RC1",0.6,0.6,0.6,0.6,0.5,0.6
"30","23","        Transportation","W188RC1",0.4,0.4,0.4,0.4,0.4,0.3
"31","24","        Power","W189RC1",0.1,0.1,0.1,0.1,0.1,0.1
"32","25","        Highways and streets","W190RC1",0.5,0.5,0.4,0.6,0.7,0.5
"33","26","        Conservation and development","W191RC1",1.7,1.8,2,2,2.4,2.7
"34","27","        Other \4\","W192RC1",0.6,0.6,0.6,0.7,0.8,0.8
"35","28","      Net purchases of used structures","B841RC1",-0.4,0.7,0.8,-1.2,-0.9,0.2
"36","29","  State and local","A842RC1",139.5,143.6,159.7,176,185.8,198.1
"37","30","    New","A843RC1",136.6,140,155.7,172,185,194.1
"38","31","      Residential","W147RC1",4.3,4.3,4.6,4.2,4.6,4.6
"39","32","      Office","W193RC1",11,12.1,13.6,15.4,15.2,16
"40","33","      Commercial","W194RC1",0.2,0.2,0.3,0.2,0.3,0.3
"41","34","      Health care","W195RC1",3.2,3.2,3,3,3,3.3
"42","35","      Educational","W148RC1",33.8,35,41.1,45.7,50,56.1
"43","36","      Public safety","W196RC1",3.9,4.2,4.5,4.6,4,3.7
"44","37","      Amusement and recreation","W197RC1",4.6,4.7,5,6.2,6.2,6.2
"45","38","      Transportation","W198RC1",10.3,10.1,11.4,15.1,17.1,17.4
"46","39","      Power","W199RC1",3.1,2.4,3.2,3.9,4.1,3.9
"47","40","      Highways and streets","W149RC1",43,44.8,49.2,53.1,59,59.9
"48","41","      Sewer systems","W150RC1",9.5,8.8,9,8.9,9.2,9.5
"49","42","      Water systems","W168RC1",7.6,7.8,8.5,8.5,9.5,10.1
"50","43","      Conservation and development","W169RC1",1.9,1.9,2.2,2.8,2.8,2.6
"51","44","      Other \5\","W200RC1",0.3,0.4,0.2,0.3,0.2,0.6
"52","45","    Net purchases of used structures","B870RC1",2.9,3.6,4,4.1,0.8,4
"53","46","Equipment and software \2\","A871RC1",97.1,103.1,111.5,115.2,118.2,124.7
"54","47","  Federal","A872RC1",57.7,60.1,65.1,66.2,68.2,74.4
"55","48","    National defense","A873RC1",39.2,39.9,42.8,43.8,45.6,51.2
"56","49","      Aircraft","B874RC1",5.8,5.8,7,7.8,8.5,9.4
"57","50","      Missiles","B875RC1",2.9,3.3,2.8,2.7,3.3,3.3
"58","51","      Ships","B876RC1",6.1,6.4,6.8,6.6,7.2,8.7
"59","52","      Vehicles","B877RC1",1.4,1.5,1.7,1.8,1.8,2.4
"60","53","      Electronics and software","B878RC1",9,9.1,9.8,10.1,9.7,9.8
"61","54","      Other equipment","B879RC1",14,13.8,14.7,14.9,15,17.6
"62","55","    Nondefense","B880RC1",18.5,20.2,22.4,22.3,22.6,23.2
"63","56","  State and local","B881RC1",39.4,43,46.4,49,50,50.3
"64",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA
"65","57","  Government enterprise gross fixed investment","A882RC1",48.6,50.4,56.1,59.7,62.4,64.3
"66","58","    Federal","A883RC1",5.8,7.1,7.7,6.9,5.7,5.6
"67","59","      Structures","B884RC1",2.2,2.4,2.8,2.5,2.3,1.9
"68","60","      Equipment and software","B885RC1",3.6,4.6,4.9,4.4,3.4,3.7
"69","61","    State and local","A886RC1",42.9,43.3,48.4,52.8,56.8,58.7
"70","62","      Structures","B887RC1",37.5,36.9,41,45.5,49.8,51.4
"71","63","      Equipment and software","B888RC1",5.4,6.5,7.5,7.3,6.9,7.3
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA
"74","2. Structures and software include compensation of government employees engaged in new",NA,NA,NA,NA,NA,NA,NA,NA
"75","own-account investment and related expenditures for goods and services.",NA,NA,NA,NA,NA,NA,NA,NA
"76","3. Consists of Department of Defense new structures, except family housing.",NA,NA,NA,NA,NA,NA,NA,NA
"77","4. Consists of lodging, religious, communication, sewage and waste disposal, water supply",NA,NA,NA,NA,NA,NA,NA,NA
"78","structures, and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA
"79","5. Consists of lodging, communication, and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA
