"","Table 2#9# Personal Income and Its Disposition by Households and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1992 To 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 18, 2004     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/23/2004 3:50:30 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
"8","1","Personal income","A065RC1",5362,5558.5,5842.5,6152.3,6520.6,6915.1,7423,7802.4,8429.7,8713.1,8910.3
"9","2","  Compensation of employees, received","W209RC1",3651.2,3794.9,3979.6,4177,4386.9,4664.6,5020.1,5352,5782.7,5940.4,6019.1
"10","3","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",427.6,453.8,473.3,492.1,543.2,576,627.8,678.3,728.4,770.6,797.7
"11","4","  Rental income of persons with capital consumption adjustment","A048RC1",78,95.6,119.7,122.1,131.5,128.8,137.5,147.3,150.3,163.1,173
"12","5","  Personal income receipts on assets","W210RC1",910.9,901.8,950.8,1016.4,1089.2,1181.7,1283.2,1264.2,1387,1374.9,1378.5
"13","6","    Personal interest income","A064RC1",723.4,699.6,716.8,763.2,793,848.7,933.2,928.6,1011,1003.7,982.4
"14","7","    Personal dividend income","B703RC1",187.4,202.2,234,253.2,296.2,333,349.9,335.6,376.1,371.2,396.2
"15","8","  Personal current transfer receipts","A577RC1",749.4,790.1,827.3,877.4,925,951.2,978.6,1022.1,1084,1192.6,1292.2
"16","9","    Government social benefits to persons","A063RC1",729.8,775.7,812.2,858.4,902.1,931.8,952.6,988,1041.6,1142.6,1249.5
"17","10","    Other current transfer receipts, from business (net)","B931RC1",19.6,14.4,15.1,19,22.9,19.4,26,34.1,42.4,49.9,42.6
"18","11","  Less: Contributions for government social insurance","A061RC1",455,477.7,508.2,532.8,555.2,587.2,624.2,661.4,702.7,728.5,750.3
"19","12","Less: Personal current taxes","W055RC1",610.6,646.6,690.7,744.1,832.1,926.3,1027,1107.5,1235.7,1243.7,1053.1
"20","13","Equals: Disposable personal income","A067RC1",4751.4,4911.9,5151.8,5408.2,5688.5,5988.8,6395.9,6695,7194,7469.4,7857.2
