"","Table 5#8#3B# Real Gross Government Fixed Investment by Type, Qu","F2","F3","F4","F5","F6","F7","F8","F9"
"1","[Index numbers, 2000=100]",NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2002",NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 12, 2004    ",NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/23/2004 4:08:20 PM",NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002
"8","1","      Gross government fixed investment \1\","B782RA3",86.857,89.85,96.545,100,102.532,107.708
"9","2","        Federal","B787RA3",92.233,96.6,101.917,100,102.493,112.661
"10","3","          National defense","B788RA3",92.413,93.377,97.566,100,103.833,116.016
"11","4","          Nondefense","B798RA3",92.017,101.779,108.898,100,100.373,107.396
"12","5","        State and local","B799RA3",84.932,87.416,94.619,100,102.544,106.021
"13","6","Structures \2\","B760RA3",91.423,91.199,96.817,100,101.518,105.335
"14","7","  Federal","B801RA3",129.777,128.077,122.426,100,94.257,101.285
"15","8","    National defense","B808RA3",127.983,110.854,103.727,100,88.386,83.881
"16","9","      New","B814RA3",127.969,110.852,103.728,100,88.393,83.89
"17","10","        Residential","B816RA3",124.976,119.221,110.656,100,113.33,115.161
"18","11","        Industrial","B817RA3",184.953,96.094,88.017,100,124.503,79.459
"19","12","        Military facilities \3\","B818RA3",124.468,109.02,102.491,100,76.368,72.81
"20","13","      Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA
"21","14","    Nondefense","B830RA3",130.868,138.383,133.615,100,97.762,111.691
"22","15","      New","B831RA3",119.33,112.612,107.924,100,94.966,96.423
"23","16","        Residential","ZZZZZZ2",NA,NA,NA,NA,NA,NA
"24","17","        Office","W182RA3",132.397,128.461,115.813,100,77.3,89.993
"25","18","        Commercial","W183RA3",100.529,113.479,117.947,100,79.799,53.393
"26","19","        Health care","W184RA3",196.07,143.154,115.088,100,95.409,115.923
"27","20","        Educational","W185RA3",109.816,90.659,78.831,100,113.328,132.269
