"","Table 5#8#4B# Price Indexes for Gross Government Fixed Investmen","F2","F3","F4","F5","F6","F7","F8","F9"
"1","[Index numbers, 2000=100]",NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2002",NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 12, 2004    ",NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/23/2004 4:08:35 PM",NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002
"8","1","      Gross government fixed investment \1\","B782RG3",95.336,95.886,97.547,100,101.525,102.783
"9","2","        Federal","B787RG3",99.897,98.78,99.688,100,99.688,99.068
"10","3","          National defense","B788RG3",99.599,98.703,100.16,100,98.986,98.279
"11","4","          Nondefense","B798RG3",100.298,98.848,98.965,100,100.831,100.356
"12","5","        State and local","B799RG3",93.616,94.813,96.763,100,102.175,104.116
"13","6","Structures \2\","B760RG3",89.567,92.262,95.623,100,103.427,106.492
"14","7","  Federal","B801RG3",89.843,92.451,95.852,100,103.794,106.114
"15","8","    National defense","B808RG3",89.931,92.46,96.057,100,103.916,106.402
"16","9","      New","B814RG3",89.931,92.46,96.057,100,103.915,106.401
"17","10","        Residential","B816RG3",89.105,91.46,95.576,100,104.827,107.398
"18","11","        Industrial","B817RG3",88.563,92.129,95.696,100,103.063,106.004
"19","12","        Military facilities \3\","B818RG3",90.376,92.872,96.266,100,103.6,105.99
"20","13","      Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA
"21","14","    Nondefense","B830RG3",89.777,92.427,95.735,100,103.727,105.966
"22","15","      New","B831RG3",89.92,92.574,95.924,100,103.417,105.652
"23","16","        Residential","ZZZZZZ2",NA,NA,NA,NA,NA,NA
"24","17","        Office","W182RG3",88.645,91.411,95.976,100,102.968,105.627
"25","18","        Commercial","W183RG3",88.641,91.867,95.705,100,104.013,105.957
"26","19","        Health care","W184RG3",88.694,91.876,95.646,100,104.405,106.325
"27","20","        Educational","W185RG3",88.574,92.221,96.006,100,103.669,107.208
