"","Table 5#4#6A# Real Private Fixed Investment in Structures by Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11"
"1","[Billions of chained (2000) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1990 To 1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 23, 2004  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/23/2004 4:05:30 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1990,1991,1992,1993,1994,1995,1996,1997
"8","1","    Private fixed investment in structures","A349RX1",567.2,508.1,531.2,554.8,591.3,594,636.4,662.6
"9","2","Nonresidential","B009RX1",275.2,244.6,229.9,228.3,232.3,247.1,261.1,280.1
"10","3","  Commercial and health care","W001RX1",119.6,92.9,86.4,89.9,94.1,99.7,107.4,118.6
"11","4","    Commercial, including office","C308RX1",101.9,76.5,69.3,71.9,77.1,84.7,92.1,101.5
"12","5","      Office, including medical buildings \1\","B346RX1",48.5,38.3,31.9,31.9,32.6,36.2,38.5,45.9
"13","6","      Commercial \2\","B347RX1",53.4,38.3,37.3,40,44.5,48.5,53.4,55.6
"14","7","    Hospitals and special care","C311RX1",17.6,16.3,17,17.9,16.9,14.9,15.3,17
"15","8","  Manufacturing","C307RX1",45.4,41.8,38.4,30.2,35.7,42.1,44.2,42.3
"16","9","  Power and communication","W003RX1",33.4,39.6,42,39.3,35.6,36.3,31.3,30.1
"17","10","    Power","W028RX1",21.6,29.3,31.8,28.3,24.2,24.6,19.2,17.6
"18","11","      Electric","C571RX1",14.3,20.5,21.2,19.4,17.1,15.9,12.3,12.1
"19","12","      Other power","W029RX1",7.5,8.8,10.7,8.9,7.1,8.7,6.9,5.5
"20","13","    Communication","C314RX1",11.7,10.6,10.6,11.2,11.5,11.9,12.1,12.5
"21","14","  Mining exploration, shafts, and wells","E318RX1",26.6,26,21.5,24.8,23.9,20.3,21.5,25.3
"22","15","    Petroleum and natural gas","C319RX1",25.1,24.3,19.9,23.1,21.7,18.8,19.8,23.7
"23","16","    Mining","C320RX1",1.5,1.7,1.7,1.7,2.2,1.5,1.7,1.6
"24","17","  Other structures","W004RX1",50.4,43.8,40.6,43.8,42.8,47.9,56.4,63.9
"25","18","    Religious","C309RX1",5.5,5,4.5,4.9,4.7,5,5.1,6.3
"26","19","    Educational","C310RX1",6.5,6.6,6.8,6.8,6.8,7.4,8.9,11.1
"27","20","    Other buildings \3\","C312RX1",21.9,16.5,11.6,14.2,14.8,18,24.9,28.8
"28","21","    Railroads","C573RX1",3.4,3.1,3.8,3.7,3.9,4,4.8,5.2
"29","22","    Farm","C316RX1",3.8,3.7,3.2,4.4,4,3.6,4.3,4.3
"30","23","    Other \4\","C317RX1",9.2,9,10.8,9.8,8.4,9.5,7.5,6.2
